Date,Open,High,Low,Close,Volume,OpenInt
20110805,16.5,18,15,15.15,2192,0
20110808,15.75,15.75,13.65,14.1,952,0
20110809,15,16.05,13.95,15.15,3140,0
20110810,15,16.05,15,16.05,657,0
20110811,15.75,16.2,15.75,16.2,348,0
20110812,16.35,17.1,16.35,17.1,681,0
20110815,16.95,18.9,16.95,18,1693,0
20110816,18,18,18,18,1487,0
20110817,16.95,17.85,16.65,17.25,1556,0
20110818,17.4,18.75,16.65,18.15,1945,0
20110819,18.45,18.9,17.25,17.85,846,0
20110822,18,18.9,16.8,17.1,545,0
20110823,17.1,20.7,17.1,20.25,4954,0
20110824,20.85,23.55,20.25,23.55,4576,0
20110825,24.45,26.7,21.3,22.5,3080,0
20110826,21.9,23.1,21.9,22.8,504,0
20110829,23.4,24.15,22.95,23.55,796,0
20110830,25.05,25.8,24.3,24.9,441,0
20110831,25.65,25.65,22.95,22.95,367,0
20110901,22.5,22.5,21.6,21.6,458,0
20110902,21.75,21.75,20.382,20.382,628,0
20110906,19.95,20.55,18.9,18.9,751,0
20110907,18.75,21.3,18.45,18.75,1153,0
20110908,19.5,19.5,19.35,19.5,17,0
20110909,19.95,20.7,19.05,19.2,460,0
20110912,18.75,19.2,18.15,18.15,540,0
20110913,17.7,18.45,17.4,17.4,824,0
20110914,17.4,18.75,17.4,18.3,1155,0
20110915,17.1,18,17.1,18,610,0
20110916,18,18,16.8,17.1,635,0
20110919,18.75,18.75,15.75,16.05,1882,0
20110920,16.5,18,15.9,17.25,2622,0
20110921,16.8,17.4,16.65,16.65,850,0
20110922,15.6,17.7,15,15.45,1731,0
20110923,15.75,16.8,15,15.15,1993,0
20110926,15.3,15.3,15,15.15,453,0
20110927,15.75,17.7,15.75,17.7,409,0
20110928,17.25,17.55,16.2,16.2,393,0
20110929,16.8,16.8,15,15,1381,0
20110930,15,16.049,15,15.3,784,0
20111003,15,15.15,15,15,1210,0
20111004,14.7,16.5,13.8,15.75,982,0
20111005,16.2,16.65,15.45,16.65,262,0
20111006,16.05,16.05,16.05,16.05,90,0
20111007,16.05,16.2,16.05,16.05,354,0
20111010,15.9,15.9,14.25,15.3,1568,0
20111011,16.2,20.55,15,16.35,11037,0
20111012,16.5,18.75,16.35,18,1210,0
20111013,15,15.15,12.75,13.95,14269,0
20111014,14.4,14.4,12,12.3,8128,0
20111017,12.9,13.5,12.45,12.45,3737,0
20111018,12.45,12.6,12,12.6,1477,0
20111019,12,12.15,11.25,12,5246,0
20111020,11.55,12,11.25,11.55,176,0
20111021,11.4,12.3,11.25,12.3,280,0
20111024,12,12.3,11.4,12,848,0
20111025,11.85,11.85,11.25,11.25,1036,0
20111026,11.25,11.25,10.65,10.95,2693,0
20111027,11.85,11.85,10.35,10.95,2391,0
20111028,10.65,10.95,10.5,10.8,1407,0
20111031,10.5,11.1,10.35,10.5,2045,0
20111101,10.5,10.95,10.2,10.8,5193,0
20111102,10.35,10.5,10.05,10.05,1205,0
20111103,10.05,10.65,9.9,10.5,905,0
20111104,10.5,11.1,9.9,10.202,1262,0
20111107,10.05,10.35,9.9,10.35,503,0
20111108,10.05,10.5,10.05,10.5,367,0
20111109,10.5,10.5,9.45,9.9,1547,0
20111110,10.2,10.2,9.45,9.6,676,0
20111111,9.45,9.45,7.2,7.2,14808,0
20111114,7.35,7.65,6.75,6.75,3094,0
20111115,7.2,7.2,6.6,6.6,2417,0
20111116,6.45,7.05,6.3,6.3,2049,0
20111117,6.3,7.05,6.3,6.9,3274,0
20111118,7.35,7.35,6.15,6.3,1832,0
20111121,6.3,6.45,6,6,1901,0
20111122,6.15,6.15,5.4,5.55,8255,0
20111123,4.05,4.2,3,3.15,73385,0
20111125,3.45,3.75,3.15,3.3,27342,0
20111128,3.75,4.65,3.45,3.9,33708,0
20111129,3.75,4.05,3.75,3.9,8013,0
20111130,4.05,4.5,3.9,4.05,3705,0
20111201,4.5,4.5,3.75,3.75,5698,0
20111202,4.2,5.1,3.9,4.2,24296,0
20111205,4.2,4.95,4.05,4.05,9624,0
20111206,4.2,4.767,3,3.75,14743,0
20111207,3.45,4.05,3.45,3.6,3253,0
20111208,3.9,3.9,3.303,3.45,4966,0
20111209,4.05,4.5,3.45,3.45,8449,0
20111212,3.9,4.05,3.75,3.75,3342,0
20111213,3.75,4.35,3.75,4.35,6475,0
20111214,4.2,4.5,3.6,4.05,2570,0
20111215,3.75,4.2,3.75,3.9,1804,0
20111216,4.05,4.2,3.7485,3.75,4865,0
20111219,4.05,4.05,3.6,3.6,4986,0
20111220,3.75,3.9,3.3,3.45,6433,0
20111221,3.45,3.75,3.45,3.75,2987,0
20111222,3.6,3.75,3.3,3.375,6064,0
20111223,3.75,3.75,3.03,3.75,16362,0
20111227,3.45,3.75,3.15,3.3,15016,0
20111228,3.3,3.3015,3.15,3.1515,13958,0
20111229,3.3,3.3,1.95,2.85,22630,0
20111230,2.7,2.85,2.55,2.7,10137,0
20120103,2.7,3,2.7,2.85,5567,0
20120104,2.7,2.85,2.4315,2.7,3353,0
20120105,2.85,2.925,2.7,2.7,4445,0
20120106,2.85,3,2.7,2.925,6434,0
20120109,2.85,2.85,2.7,2.85,3975,0
20120110,3,3,2.85,2.85,3592,0
20120111,3,3.225,2.85,3.15,4973,0
20120112,3.15,3.45,3.15,3.15,1510,0
20120113,3.4485,3.4485,2.7,3.3,5922,0
20120117,3.369,4.35,3.369,3.87,22716,0
20120118,3.9,4.14,3.3375,3.345,7230,0
20120119,3,3.75,3,3.585,5454,0
20120120,3.6,3.75,3.45,3.6,3252,0
20120123,3.75,3.9,3.6,3.6,2167,0
20120124,3.9,4.65,3.675,4.05,7000,0
20120125,4.5,8.25,4.5,8.25,214150,0
20120126,9.15,11.25,6.225,6.45,272353,0
