Date,Open,High,Low,Close,Volume,OpenInt
20140912,12,30,11.5,25.6,12759830,0
20140915,31.76,43.71,30.17,37.15,11243008,0
20140916,41.47,43.49,32,36.95,8220010,0
20140917,37.39,37.97,33.2,33.7,3877285,0
20140918,31.81,32.79,27.53,28.25,2610562,0
20140919,27.51,30.24,27.5,27.78,1296759,0
20140922,27.5,31.98,26.16,31.72,1701909,0
20140923,35,35,30.52,31.1,2904166,0
20140924,32.06,32.2,29.05,30.15,678065,0
20140925,29.64,31.89,27.55,30.49,732688,0
20140926,30.7,31.41,29.57,31,238787,0
20140929,30.7,33.1,29.75,33.1,987154,0
20140930,34,35.55,32.39,34.15,1532385,0
20141001,34.29,34.29,32.15,32.7,525194,0
20141002,33.18,33.6,29.78,31.65,709541,0
20141003,32.31,32.95,30.57,30.93,396283,0
20141006,30.82,31.4,28.51,29.2,367019,0
20141007,28.7,30.3,27.65,28.9,429377,0
20141008,29.31,29.99,28.01,29.85,278428,0
20141009,29.6,31.48,28.58,30.27,589024,0
20141010,29.11,30.41,28.1,29,352376,0
20141013,28.01,28.81,25.5,25.61,555034,0
20141014,25.75,26.44,24.5,25.48,248614,0
20141015,25,25.22,23.502,24.9,221167,0
20141016,24.24,29,23.79,27.98,388275,0
20141017,28.53,30,28.05,28.77,229082,0
20141020,28.9,29.5,27.73,28.89,138468,0
20141021,28.98,29.05,27.8,28.1,172118,0
20141022,28.1,28.18,26.6,26.87,168201,0
20141023,27.7,28,26.11,26.41,159965,0
20141024,26.32,26.65,25.6,25.92,121757,0
20141027,25.74,29.34,25.1,29.1,507241,0
20141028,29.41,32.41,28.66,29.25,1073263,0
20141029,29.42,29.738,27.8,28.85,242309,0
20141030,29.82,31.97,29.18,30.44,535170,0
20141031,31.2,31.88,30.305,30.65,400204,0
20141103,31.3,33.25,29.65,30.18,676689,0
20141104,30.25,30.99,29.39,30.32,244271,0
20141105,30.61,31.5,29.45,30,284944,0
20141106,29.8,30.49,28.91,29.98,322111,0
20141107,29.87,31.1,29,30.02,345178,0
20141110,29.95,31.5,29.6,30.15,441153,0
20141111,30,30.8,29.5,29.59,295670,0
20141112,29.5,30.32,28.7,29.22,312831,0
20141113,29.78,32.9,28,28.1,1723006,0
20141114,28.64,29.44,27.07,27.9,552937,0
20141117,27.64,28.19,26.96,27.15,244093,0
20141118,27.27,27.9,27,27.36,139331,0
20141119,27.5,27.94,26.6,26.98,264832,0
20141120,26.65,27.254,26.28,26.71,156553,0
20141121,27.26,27.88,26.799,27.37,186027,0
20141124,27.08,27.89,26.83,27.5,181688,0
20141125,27.5,27.75,26.53,26.7,272827,0
20141126,26.56,27.47,26.3,26.63,203235,0
20141128,26.55,26.593,26.2,26.38,129249,0
20141201,26.17,26.17,25.33,25.42,279453,0
20141202,25.3,25.751,24.7,25.06,191707,0
20141203,24.88,24.88,24,24.13,233986,0
20141204,24,24,22.1,22.23,253752,0
20141205,22.17,23.92,22.019,23.67,187740,0
20141208,23.5,23.5,22.53,23,146560,0
20141209,22.8,23,21.39,22.82,128090,0
20141210,22.91,23.49,21.41,21.43,176398,0
20141211,22,22.44,21.5,21.5,151857,0
20141212,21.5,21.78,20.73,21.22,191259,0
20141215,21.63,21.65,20.31,20.77,93420,0
20141216,20.66,20.66,19.05,19.18,268478,0
20141217,18.89,18.91,18.01,18.75,164252,0
20141218,19.01,20.46,18.3,20,173376,0
20141219,20.02,21.8,19.82,21.62,148610,0
20141222,21.61,23.31,21.3,23.25,136241,0
20141223,23.26,23.5,21.35,21.55,174174,0
20141224,21.45,22.47,21.45,21.66,51237,0
20141226,21.47,21.746,20.5,20.79,143971,0
20141229,20.98,22.25,20.22,20.5,92945,0
20141230,20.37,20.96,19.69,19.99,107123,0
20141231,20.22,20.22,18.88,18.88,182425,0
20150102,19,19.75,18.76,19.61,86935,0
20150105,19.5,20.47,19.1,19.81,98952,0
20150106,19.81,21,19.33,20.3,92242,0
20150107,20.94,22.25,20,20.4,145504,0
20150108,22,22,20.42,21.26,105928,0
20150109,21.37,21.52,20.67,20.97,106775,0
20150112,21.01,22.25,20.52,22.17,134117,0
20150113,22.33,22.74,20.321,20.74,124272,0
20150114,20.56,21,20.41,20.67,94619,0
20150115,20.67,20.9,19.9,20.59,175555,0
20150116,20.48,20.73,20.177,20.27,30203,0
20150120,20.45,20.45,18.5,18.52,211426,0
20150121,18.64,18.97,17.21,17.34,147574,0
20150122,17.33,17.5,17.1,17.26,83415,0
20150123,17.1,18.57,17.1,18.15,85874,0
20150126,17.92,18.88,17.76,18.5,76790,0
20150127,18.29,18.7,17.7,18.25,39903,0
20150128,18.45,18.46,17.35,18.01,51946,0
20150129,17.97,18.2,17.01,17.71,49787,0
20150130,17.45,17.804,17.01,17.44,55966,0
20150202,17.53,18.72,17.02,18.53,64773,0
