Date,Open,High,Low,Close,Volume,OpenInt
20140718,27,30.51,26.1,30.1,5817650,0
20140721,29.97,30.7,29.2,30,329565,0
20140722,29.9,30.75,27.5,27.59,228616,0
20140723,27.77,27.77,26.67,27.5,74063,0
20140724,27.5,27.7,26.83,27.14,45859,0
20140725,27,27.315,26.19,26.44,43015,0
20140728,27.16,27.16,24.63,25.89,56931,0
20140729,25.82,25.99,24.25,25.86,43976,0
20140730,25.94,27.86,25.6,27.6,81474,0
20140731,27.5,28.22,26.65,28.22,86226,0
20140801,28.42,32.8,25.75,29.75,107147,0
20140804,29.84,30.76,28.5,30.25,195083,0
20140805,29.99,30.21,28.5,29.08,76606,0
20140806,28.78,30.28,28.7,30.11,23113,0
20140807,30.11,30.45,29.7,29.82,50482,0
20140808,30.49,30.49,29.65,29.96,53191,0
20140811,29.8,34.88,29.2,33.4,32530,0
20140812,33.53,33.765,30,31.81,52432,0
20140813,31.51,32,29.54,29.58,38432,0
20140814,29.98,29.98,27.73,28.81,30777,0
20140815,28.34,28.99,26.53,27.28,28633,0
20140818,27.36,27.42,25.46,27,22141,0
20140819,27,29.97,27,29.43,25030,0
20140820,29.45,30.04,28.23,29.14,23157,0
20140821,29.05,29.39,28.651,29,16531,0
20140822,29,29.78,29,29,10167,0
20140825,29,31.65,29,29.17,9838,0
20140826,29.04,29.87,29.04,29.76,9053,0
20140827,29.32,29.65,28.51,29.08,38997,0
20140828,28.77,29.5,28.77,29.43,43058,0
20140829,29.16,29.45,28.5,28.92,10998,0
20140902,28.81,30,27.6,29.59,33673,0
20140903,29.58,30.14,29.58,30.03,19170,0
20140904,30,30,28.972,29.25,6881,0
20140905,28.34,29.06,28.09,28.79,24321,0
20140908,28.96,29,26.38,27.39,35543,0
20140909,27.59,29.8,26.82,28.95,31381,0
20140910,28.49,30,27.51,29.4,8933,0
20140911,31.11,31.11,28.7,29.8,24600,0
20140912,28.79,29.49,28.13,28.56,16461,0
20140915,28.69,29.07,27.771,28.74,44378,0
20140916,28.71,29.1,26.271,28.59,36451,0
20140917,27.5,27.96,27.2,27.96,12179,0
