Date,Open,High,Low,Close,Volume,OpenInt
20050225,28.356,28.928,28.217,28.928,20811,0
20050228,28.668,28.856,28.122,28.39,31983,0
20050301,28.39,29.005,28.122,28.39,35799,0
20050302,28.338,28.459,28.113,28.279,15189,0
20050303,28.598,28.598,27.994,28.537,13250,0
20050304,28.987,29.203,28.417,28.478,17254,0
20050307,28.712,28.893,28.261,28.279,15129,0
20050308,28.166,28.52,27.994,27.994,51199,0
20050309,27.994,28.07,27.836,27.854,19751,0
20050310,27.854,28.209,27.741,27.905,34951,0
20050311,28.295,28.295,27.793,27.932,45629,0
20050314,28.182,28.478,27.827,27.872,37875,0
20050315,28.39,28.417,27.43,27.535,25377,0
20050316,27.387,27.984,27.387,27.957,22176,0
20050317,27.994,28.893,27.732,28.824,56287,0
20050318,28.928,28.987,27.897,27.897,71782,0
20050321,27.897,28.27,27.656,28.045,24751,0
20050322,28.243,28.33,27.705,27.94,25908,0
20050323,27.689,28.001,27.689,27.827,34280,0
20050324,27.863,28.122,27.698,27.924,21978,0
20050328,28.087,28.191,27.638,28.036,32114,0
20050329,27.819,28.191,27.62,27.689,21494,0
20050330,27.949,28.668,27.949,28.615,41795,0
20050331,28.338,28.65,27.602,27.966,46643,0
20050401,28.036,28.036,27.593,27.612,49409,0
20050404,27.664,27.732,27.1,27.638,52029,0
20050405,27.776,27.801,27.352,27.508,17311,0
20050406,27.741,27.776,27.275,27.387,20205,0
20050407,27.196,28.139,27.083,27.769,9858,0
20050408,27.49,27.81,27.075,27.284,14764,0
20050411,27.042,27.118,26.487,26.487,17255,0
20050412,26.487,27.447,26.305,27.058,22414,0
20050413,26.745,26.902,26.712,26.736,15583,0
20050414,27.006,27.006,26.712,26.729,27843,0
20050415,26.945,26.945,26.392,26.547,46699,0
20050418,26.392,26.816,26.392,26.807,22364,0
20050419,26.997,27.456,26.608,27.187,36521,0
20050420,27.648,27.648,26.583,26.583,47195,0
20050421,27.162,27.897,26.893,27.897,30966,0
20050422,27.456,27.957,27.118,27.464,26669,0
20050425,27.593,27.966,27.179,27.3,38952,0
20050426,27.664,27.975,27.257,27.316,42234,0
20050427,27.118,27.464,26.866,27.257,11730,0
20050428,26.987,27.145,26.583,26.608,37028,0
20050429,26.608,27.126,26.433,26.875,26080,0
20050502,26.825,27.378,26.479,27.378,99419,0
20050503,27.284,27.897,27.179,27.543,21940,0
20050504,27.681,28.727,27.55,28.555,13636,0
20050505,28.338,28.59,28.036,28.32,17339,0
20050506,28.07,28.469,27.994,28.338,21398,0
20050509,28.338,28.546,28.173,28.546,20169,0
20050510,28.122,28.408,27.648,28.009,35640,0
20050511,28.078,28.078,27.126,27.602,31102,0
20050512,27.872,27.924,26.858,26.858,8645,0
20050513,26.866,27.221,26.866,26.911,64943,0
20050516,26.736,27.793,26.736,27.715,35611,0
20050517,27.179,27.881,27.179,27.741,28269,0
20050518,27.905,29.592,27.905,28.771,29475,0
20050519,29.023,29.324,28.712,28.712,10683,0
20050520,29.072,29.194,28.182,28.659,34866,0
20050523,28.251,28.848,28.251,28.607,27044,0
20050524,28.32,28.727,28.32,28.555,19076,0
20050525,28.848,28.848,28.485,28.59,31119,0
20050526,28.537,28.771,28.442,28.65,7252,0
20050527,28.712,29.419,28.581,29.239,21813,0
20050531,28.944,29.359,28.727,28.727,12856,0
20050601,28.59,29.211,28.555,28.624,10226,0
20050602,27.94,28.893,27.76,28.261,17718,0
20050603,28.261,28.261,27.275,27.854,15773,0
20050606,27.422,27.844,27.325,27.343,23731,0
20050607,27.681,28.027,27.526,27.819,31378,0
20050608,27.648,28.052,27.638,27.681,15080,0
20050609,27.672,28.251,27.648,28.148,16802,0
20050610,28.347,28.347,27.872,27.881,5644,0
20050613,28.408,28.408,27.776,28.001,7786,0
20050614,27.724,28.243,27.724,28.2,12939,0
20050615,28.39,29.161,28.365,28.797,40586,0
20050616,29.014,30.46,28.901,30.355,63756,0
20050617,30.275,30.535,30.026,30.026,82248,0
20050620,29.929,30.129,29.74,29.929,13911,0
20050621,29.776,29.897,29.535,29.679,10833,0
20050622,30.009,30.059,29.221,29.695,20162,0
20050623,29.472,29.472,28.209,28.209,20830,0
20050624,28.2,28.434,27.844,28.338,78952,0
20050627,28.365,28.528,28.07,28.209,20124,0
20050628,28.434,30.113,28.382,30.113,32069,0
20050629,29.713,30.138,29.679,30.138,14706,0
20050630,29.74,30.717,29.74,30.311,63274,0
20050701,30.068,30.735,30.033,30.735,14263,0
20050705,30.501,32.095,30.501,32.024,80906,0
20050706,31.781,31.886,30.797,30.891,41094,0
20050707,30.581,31.201,30.105,31.192,17357,0
20050708,30.883,32.405,30.779,32.32,13869,0
20050711,32.041,32.881,31.704,32.327,33845,0
20050712,31.696,31.79,30.414,31.004,39303,0
20050713,30.815,30.9,30.026,30.528,42136,0
20050714,30.528,30.725,29.853,29.904,20553,0
20050715,29.722,30.275,29.722,30.275,13171,0
20050718,29.929,30.096,29.722,29.722,19087,0
20050719,30.096,30.096,29.413,29.48,49986,0
20050720,29.333,30.684,29.082,30.563,30979,0
20050721,30.371,30.371,29.169,29.169,35578,0
20050722,29.428,29.993,29.05,29.993,43083,0
20050725,30.017,30.017,29.09,29.09,18465,0
20050726,29.454,29.974,28.987,29.974,17493,0
20050727,29.791,29.92,29.257,29.92,2619,0
20050728,29.984,30.501,29.722,30.492,18193,0
20050729,30.267,30.597,29.853,29.881,17936,0
20050801,30.397,30.709,29.853,30.329,14650,0
20050802,30.235,31.056,29.862,31.056,11893,0
20050803,30.725,30.743,30.347,30.483,16716,0
20050804,30.855,30.855,29.647,29.784,19817,0
20050805,29.647,29.713,29.014,29.014,27254,0
20050808,29.014,29.54,28.789,28.789,12210,0
20050809,28.789,29.299,28.417,28.856,53568,0
20050810,28.987,28.987,28.052,28.279,31554,0
20050811,28.009,28.987,28.009,28.832,34683,0
20050812,28.632,28.712,28.2,28.632,23173,0
20050815,28.347,28.911,28.347,28.901,26294,0
20050816,28.624,29.135,28.624,28.624,24100,0
20050817,28.736,29.535,28.279,29.014,17966,0
20050818,28.65,29.014,28.555,28.598,14573,0
20050819,28.469,28.969,28.469,28.744,16014,0
20050822,28.893,29.161,28.632,29.161,6780,0
20050823,28.928,29.041,28.901,28.944,14358,0
20050824,29.041,29.592,28.824,29.177,8232,0
20050825,29.014,29.177,28.987,29.014,24099,0
20050826,28.969,29.23,28.684,28.719,25945,0
20050829,28.434,28.96,28.209,28.96,6447,0
20050830,28.911,28.936,28.624,28.815,12405,0
20050831,28.65,29.768,28.65,29.768,19303,0
20050901,29.768,29.853,29.472,29.776,15675,0
20050902,29.638,29.937,29.592,29.713,10215,0
20050906,29.862,30.501,29.647,30.501,24524,0
20050907,30.171,30.501,29.897,30.501,12093,0
20050908,30.05,30.32,29.984,30.208,10598,0
20050909,30.355,30.675,29.768,30.226,11509,0
20050912,30.05,30.743,30.05,30.743,13936,0
20050913,30.397,30.397,30.026,30.068,18160,0
20050914,30.002,30.32,30.002,30.181,22322,0
20050915,30.068,30.077,29.576,29.75,15535,0
20050916,30.033,30.432,29.647,30.432,103400,0
20050919,30.501,30.572,29.557,30.017,7653,0
20050920,29.897,30.217,29.576,29.759,14181,0
20050921,29.576,29.825,29.369,29.369,16595,0
20050922,29.662,30.275,29.108,29.947,27491,0
20050923,30.162,30.717,29.108,29.265,59148,0
20050926,29.436,29.638,29.203,29.54,31798,0
20050927,29.419,29.897,29.203,29.799,24613,0
20050928,29.662,29.722,29.014,29.135,15527,0
20050929,28.996,29.221,28.424,29.221,80461,0
20050930,29.135,29.265,29.023,29.161,11921,0
20051003,28.977,29.324,28.944,28.977,5775,0
20051004,28.92,29.211,28.469,28.52,7030,0
20051005,28.424,28.478,28.036,28.036,39799,0
