Date,Open,High,Low,Close,Volume,OpenInt
20140718,11.86,12.05,11.75,11.93,106032,0
20140721,11.85,11.965,11.83,11.9,121181,0
20140722,11.87,11.95,11.86,11.9,78665,0
20140723,11.95,11.95,11.9,11.92,65205,0
20140724,11.9,11.94,11.85,11.86,48356,0
20140725,11.95,11.95,11.86,11.91,74628,0
20140728,11.87,11.96,11.87,11.91,22240,0
20140729,11.9,11.94,11.9,11.92,27138,0
20140730,11.92,11.94,11.915,11.93,16896,0
20140731,11.93,11.94,11.9,11.92,36943,0
20140801,11.92,11.95,11.9,11.92,16329,0
20140804,11.95,11.95,11.9,11.92,31290,0
20140805,11.928,11.928,11.9,11.91,26250,0
20140806,11.92,11.93,11.85,11.88,35200,0
20140807,11.88,11.93,11.88,11.9,6747,0
20140808,11.85,11.91,11.85,11.86,2999,0
20140811,11.87,11.9,11.87,11.89,53852,0
20140812,11.89,11.92,11.88,11.92,23210,0
20140813,11.9,11.93,11.899,11.93,12230,0
20140814,11.92,11.95,11.86,11.93,38048,0
20140815,11.91,11.91,11.88,11.882,16735,0
20140818,11.86,11.9,11.86,11.889,14353,0
20140820,11.89,11.9,11.88,11.882,7527,0
20140821,11.9,11.9,11.88,11.89,6100,0
20140822,11.87,11.88,11.86,11.87,25011,0
20140825,11.87,11.871,11.87,11.87,5734,0
20140826,11.87,11.87,11.81,11.86,7035,0
20140827,11.86,11.87,11.85,11.85,9694,0
20140828,11.86,11.9,11.86,11.89,1211,0
20140829,11.87,11.88,11.8,11.85,12829,0
20140902,11.85,11.857,11.85,11.85,6628,0
20140903,11.84,11.85,11.8,11.85,6495,0
20140904,11.8,11.8,11.79,11.79,2191,0
20140905,11.88,11.88,11.83,11.87,7635,0
20140908,11.8,11.96,11.8,11.96,18722,0
20140909,11.94,11.96,11.9,11.95,24206,0
20140910,11.96,12.1,11.96,12.1,20665,0
20140911,12.09,12.45,12.09,12.33,20528,0
20140912,12.35,12.49,12.33,12.49,6524,0
20140915,12.1,12.5,12,12.5,13584,0
20140916,11.47,12.24,11.47,12.13,7192,0
20140917,12.21,12.27,12.02,12.09,8851,0
20140918,12.11,12.24,12,12.04,6598,0
20140919,12.05,12.22,11.5,11.67,77536,0
20140922,11.77,12.08,11.76,11.85,36870,0
20140923,12,12,11.938,11.938,532,0
20140926,11.9,11.97,11.73,11.82,9956,0
20140929,11.83,11.98,11.8,11.87,9129,0
20140930,11.85,11.88,11.81,11.85,31192,0
20141001,11.85,11.87,11.8,11.81,6204,0
20141002,11.81,11.835,11.8,11.8,3510,0
20141003,11.88,11.98,11.72,11.98,3996,0
20141006,11.85,12,11.85,11.97,3801,0
20141007,11.86,11.98,11.85,11.93,4400,0
20141008,11.87,11.87,11.65,11.79,9645,0
20141009,11.75,11.975,11.65,11.95,17635,0
20141010,11.7,11.82,11.69,11.75,17837,0
20141013,11.69,11.85,11.68,11.84,10470,0
20141014,11.77,12,11.77,11.92,19882,0
20141015,11.96,11.97,11.85,11.886,6596,0
20141016,11.9,11.92,11.88,11.9,3650,0
20141017,11.84,11.92,11.21,11.9,6901,0
20141020,11.9,12,11.77,11.995,12165,0
20141021,12.08,12.08,11.99,12,2820,0
20141022,11.99,12,11.76,11.76,1900,0
20141023,12,12,11.96,12,1403,0
20141024,12,12,11.862,11.895,1944,0
20141027,11.98,11.98,11.896,11.96,1700,0
20141028,11.98,12.03,11.98,12.03,3407,0
20141029,12.1,12.1,12.099,12.099,414,0
20141030,12.05,12.08,12.05,12.08,4448,0
20141031,12.08,12.08,12.05,12.07,5130,0
20141103,12.05,12.05,12.05,12.05,200,0
20141104,12.03,12.03,12.03,12.03,382,0
20141105,11.92,12.05,11.92,12.04,2200,0
20141106,11.935,12.02,11.935,12.02,2326,0
20141107,11.94,12,11.91,12,14631,0
20141110,12,12.02,11.96,12,8273,0
20141111,12,12,11.98,11.998,606,0
20141112,11.98,11.98,11.85,11.98,36517,0
20141113,11.969,11.98,11.969,11.97,2020,0
20141114,11.9,11.98,11.9,11.95,4850,0
20141117,11.92,12.044,11.92,12.044,2600,0
20141118,11.99,11.99,11.98,11.98,1970,0
20141119,12,12,12,12,1330,0
20141120,12.039,12.04,12.039,12.04,2000,0
