Date,Open,High,Low,Close,Volume,OpenInt
20050225,5.6076,5.8779,5.5924,5.8779,407747,0
20050228,5.793,5.8933,5.5924,5.6462,384118,0
20050301,5.6693,5.8703,5.6306,5.8084,529782,0
20050302,5.8238,5.8238,5.6849,5.6849,277790,0
20050303,5.7621,6.0324,5.7004,5.9243,377741,0
20050304,5.9859,6.0248,5.7775,5.9243,213866,0
20050307,5.855,5.994,5.793,5.8393,229437,0
20050308,5.8703,6.0401,5.7696,5.8393,306756,0
20050309,5.8317,5.9243,5.7544,5.7621,213837,0
20050310,5.7388,5.8858,5.6773,5.7004,318300,0
20050311,5.7388,5.7388,5.6462,5.6462,174500,0
20050314,5.6154,5.7004,5.5379,5.6462,261130,0
20050315,5.6849,5.7621,5.4994,5.5306,181610,0
20050316,5.569,5.6462,5.4531,5.4841,236987,0
20050317,5.4607,5.7312,5.4607,5.6849,390334,0
20050318,5.7078,5.7468,5.5998,5.6619,445116,0
20050321,5.6462,5.7468,5.6154,5.7235,179659,0
20050322,5.6619,5.7621,5.6462,5.6849,176911,0
20050323,5.6386,5.7775,5.569,5.6925,240859,0
20050324,5.7388,5.8779,5.6849,5.8624,161978,0
20050328,5.8238,5.9474,5.7853,5.8779,288335,0
20050329,5.8317,5.9166,5.793,5.8933,466326,0
20050330,5.855,5.9399,5.793,5.8624,235423,0
20050331,5.8238,5.8858,5.6619,5.8858,381045,0
20050401,5.9011,5.9011,5.6462,5.7775,304144,0
20050404,5.7468,5.7621,5.623,5.6619,299233,0
20050405,5.7235,6.1638,5.6537,6.1404,397581,0
20050406,6.1867,6.1867,5.855,6.0169,260587,0
20050407,6.0169,6.0324,5.8779,5.963,281826,0
20050408,5.994,5.994,5.8858,5.909,148875,0
20050411,5.9551,6.0248,5.932,5.932,187976,0
20050412,5.9166,6.0015,5.793,5.8703,236015,0
20050413,5.9243,6.0169,5.8471,5.8624,294170,0
20050414,5.8393,5.8624,5.6154,5.6154,735280,0
20050415,5.6154,5.8238,5.6154,5.6773,383341,0
20050418,5.7388,5.8393,5.6462,5.6537,352395,0
20050419,5.6925,5.909,5.6154,5.7004,518256,0
20050420,5.6773,5.7468,5.5459,5.5615,445460,0
20050421,5.6462,5.8703,5.6154,5.8161,156300,0
20050422,5.7696,5.8624,5.4994,5.5072,187609,0
20050425,5.5998,5.6693,5.4994,5.6386,157176,0
20050426,5.5615,5.6619,5.5306,5.5379,162217,0
20050427,5.5306,5.6925,5.4919,5.6462,143339,0
20050428,5.623,5.623,5.4607,5.4607,111070,0
20050429,5.4994,5.623,5.4762,5.6154,173189,0
20050502,5.5844,5.6849,5.3835,5.5227,201020,0
20050503,5.569,5.5844,5.4145,5.4919,170298,0
20050504,5.6076,5.932,5.569,5.8624,1230483,0
20050505,5.8703,5.8779,5.7621,5.8624,409044,0
20050506,5.8624,5.932,5.8393,5.8393,1109661,0
20050509,5.9011,6.0094,5.8624,5.9706,583550,0
20050510,5.9243,6.102,5.9166,5.932,684340,0
20050511,5.909,6.0709,5.855,5.855,310712,0
20050512,5.8933,5.9785,5.8007,5.8317,986548,0
20050513,5.9166,6.0094,5.8317,5.8933,332020,0
20050516,5.8624,5.9551,5.8393,5.8779,221431,0
20050517,5.8393,5.9785,5.6619,5.9706,351635,0
20050518,6.0015,6.1792,5.932,6.1174,485013,0
20050519,6.1404,6.2254,6.0788,6.2254,353669,0
20050520,6.2641,6.2641,5.8624,6.218,167843,0
20050523,6.2254,6.6195,6.2025,6.3027,734021,0
20050524,6.2335,6.5962,6.2254,6.3182,763275,0
20050525,6.2718,6.3798,6.2409,6.2487,316411,0
20050526,6.2335,6.488,6.2335,6.3568,205437,0
20050527,6.3646,6.4108,6.3259,6.3414,251640,0
20050531,6.372,6.5037,6.3337,6.457,365180,0
20050601,6.4495,6.5191,6.349,6.488,231639,0
20050602,6.5112,6.5112,6.3414,6.3568,274875,0
20050603,6.372,6.4108,6.3027,6.3182,351207,0
20050606,6.3646,6.3646,6.2718,6.3027,182777,0
20050607,6.3027,6.372,6.2335,6.3259,273152,0
20050608,6.3414,6.372,6.2025,6.2335,415345,0
20050609,6.218,6.3182,6.1404,6.2949,301161,0
20050610,6.3182,6.349,6.2487,6.3414,210911,0
20050613,6.2949,6.3182,6.1404,6.2796,265037,0
20050614,6.349,6.4495,6.2796,6.4108,407164,0
20050615,6.4415,6.5037,6.4031,6.488,475105,0
20050616,6.4342,6.5422,6.3956,6.5422,200961,0
20050617,6.5885,6.5962,6.2949,6.5037,390060,0
20050620,6.5191,6.5962,6.4652,6.5191,482619,0
20050621,6.5191,6.5962,6.4727,6.5576,543607,0
20050622,6.5422,6.5962,6.3646,6.4262,398146,0
20050623,6.4031,6.5037,6.2487,6.2487,327534,0
20050624,6.2487,6.4262,6.218,6.2949,892506,0
20050627,6.2796,6.4495,6.2487,6.4031,499055,0
20050628,6.4803,6.689,6.4495,6.689,574752,0
