Date,Open,High,Low,Close,Volume,OpenInt
20151105,9.08,9.55,8.74,9.41,51900,0
20151106,9.65,9.7,9.21,9.41,33400,0
20151109,9.35,9.37,8.85,9.37,53972,0
20151110,9.07,9.4,9,9.22,8000,0
20151111,9.01,9.2,8,8.1,22700,0
20151112,8,8.71,7.6,7.98,31900,0
20151113,7.99,7.99,7.59,7.75,27400,0
20151116,7.75,7.75,7.5,7.57,6300,0
20151117,7.51,8,7.5,7.5,16800,0
20151118,7.5,7.5,7.01,7.35,12600,0
20151119,7.46,7.7,7.39,7.55,28400,0
20151120,7.52,7.79,7.2,7.61,20100,0
20151123,7.72,7.94,7.25,7.48,15700,0
20151124,7.72,7.72,7.26,7.39,14400,0
20151125,7.4,8.25,7.4,8.04,20300,0
20151127,8.04,8.91,7.95,8.8,19700,0
20151130,9,9.15,8.74,8.75,31600,0
20151201,8.77,8.9,8.07,8.4133,10621,0
20151202,8.35,8.35,7.75,7.9101,21779,0
20151203,8.2,8.2,7.59,7.898,9777,0
20151204,8,8.16,7.9,7.9,14700,0
20151207,8.01,8.6,7.82,8.6,33500,0
20151208,8.31,8.8,8.07,8.68,19646,0
20151209,8.4,8.78,8.27,8.36,10500,0
20151210,8.24,8.64,8.24,8.57,8100,0
20151211,8.29,8.79,8.29,8.45,18700,0
20151214,8.36,8.5,7.843,8.15,15588,0
20151215,8.27,8.49,8,8.01,14100,0
20151216,8,8,7.59,7.79,32700,0
20151217,7.52,8.05,7.52,7.57,29400,0
20151218,7.61,7.8,7.09,7.09,51900,0
20151221,7.35,7.38,7.03,7.38,27700,0
20151222,7.21,7.285,6.84,7.24,39869,0
20151223,7.07,7.75,7,7.15,16700,0
20151224,7.32,7.39,7.13,7.13,3255,0
20151228,7.11,7.11,6.15,6.69,48136,0
20151229,6.71,6.9,6.6126,6.73,12016,0
20151230,6.7,6.79,6.3,6.53,34551,0
20151231,6.65,6.65,6.3,6.49,19279,0
20160104,6.53,6.8318,6.443,6.56,10826,0
20160105,6.6,6.6,6.4,6.45,22452,0
20160106,6.4,6.59,6.25,6.26,12670,0
20160107,6.32,6.471,6.24,6.3689,15419,0
20160108,6.35,6.51,6,6,10043,0
20160111,6.16,6.7,6,6.27,34762,0
20160112,6.7285,6.729,6.255,6.26,19491,0
20160113,6.26,6.47,6.2,6.24,13871,0
20160114,6.28,6.438,6,6.02,11776,0
20160115,6.02,6.5099,6.02,6.2999,15969,0
20160119,6.24,6.24,5.83,5.9,23300,0
20160120,5.9,5.9,4.61,5.32,49711,0
20160121,5.9,5.9,5.375,5.4101,23969,0
20160122,5.79,5.92,5.15,5.47,16301,0
20160125,5.39,5.845,5.39,5.6,5928,0
20160126,5.6,5.77,5.6,5.62,9215,0
20160127,5.71,6.071,5.71,6.0258,17770,0
20160128,6.0001,6.14,6,6.14,2075,0
20160129,6.1899,6.49,6.09,6.4,13279,0
20160201,6.4,6.8,6.1625,6.62,15003,0
20160202,6.7933,6.858,6.61,6.63,4170,0
20160203,6.6,6.6537,6.6,6.6399,7781,0
20160204,6.65,6.8799,6.65,6.67,7023,0
20160205,6.65,6.67,6.06,6.3967,10769,0
20160208,6.43,6.44,6,6.01,17019,0
20160209,6,6.1408,5.83,5.8355,10931,0
20160210,5.83,5.83,5.6,5.65,7800,0
20160211,5.4,5.4999,5.25,5.3,27694,0
20160212,5.4,5.49,5.274,5.42,6005,0
20160216,5.51,5.9999,5.5,5.89,21637,0
20160217,6,6.3,5.9,6.01,14361,0
20160218,6.0001,6.2574,6.0001,6.15,11621,0
20160219,6.15,6.2931,6.1417,6.15,2003,0
20160222,6.13,6.24,5.8,5.8,18740,0
20160223,5.8,5.9899,5.66,5.84,24581,0
20160224,5.86,6.09,5.8,6.0344,14645,0
20160225,6.0701,6.14,6.0701,6.12,11658,0
20160226,6.21,6.9267,6.15,6.85,33818,0
20160229,6.8,6.82,6.5501,6.6937,12935,0
20160301,6.64,6.73,6.5,6.6377,12045,0
20160302,6.63,6.63,6.1508,6.4,21889,0
20160303,6.4,6.5899,6.26,6.5,8597,0
20160304,6.52,6.61,6.3,6.61,10434,0
20160307,6.4,6.57,6.3,6.3,13372,0
20160308,6.3,6.65,6.01,6.02,28211,0
20160309,5.97,6.2399,5.8,5.87,18907,0
20160310,5.97,5.9784,5.8,5.81,11675,0
20160311,5.8,6.198,5.8,5.8,17102,0
20160314,5.85,5.88,5.7,5.73,20520,0
20160315,5.6,5.82,5.2218,5.55,48179,0
20160316,5.53,5.98,5.53,5.74,23490,0
20160317,5.65,5.65,4.81,5.43,72714,0
20160318,5.41,5.7944,5.25,5.7,90137,0
20160321,5.55,5.8496,5.4801,5.6,17417,0
20160322,5.63,5.6664,5.048,5.2,21915,0
20160323,5.29,5.69,5,5.1101,37165,0
20160324,5.16,5.9,5.15,5.33,20773,0
20160328,5.34,5.73,5.24,5.5,36260,0
20160329,5.54,5.54,5.28,5.29,13239,0
20160330,5.29,5.29,4.44,4.81,104275,0
20160331,4.83,5.14,4.7501,4.85,26471,0
20160401,4.85,4.9,4.62,4.7,25189,0
20160404,4.74,4.74,4.15,4.33,62797,0
20160405,4.05,4.19,2.78,3.73,544854,0
20160406,3.85,3.99,3.5,3.94,167158,0
20160407,4,4.44,3.85,4.44,65506,0
20160408,4.42,4.47,4.11,4.11,43231,0
20160411,4.13,4.72,4,4,259349,0
20160412,4,4.2,4,4.06,43557,0
20160413,4.05,4.27,4.04,4.13,20463,0
20160414,4.05,4.1305,3.82,4.0199,33167,0
20160415,3.9,4.1,3.81,3.89,19817,0
