Date,Open,High,Low,Close,Volume,OpenInt
20050225,32.829,33.02,32.533,33.02,129769,0
20050228,32.965,32.993,32.486,32.653,156347,0
20050301,32.589,33.049,32.543,32.773,219186,0
20050302,32.707,33.076,32.625,32.679,185333,0
20050303,32.9,33.563,32.625,33.361,192504,0
20050304,33.692,34.18,33.39,34.079,276325,0
20050307,34.244,34.244,33.986,34.089,168023,0
20050308,34.254,34.254,33.684,33.803,226541,0
20050309,33.916,33.94,33.444,33.591,154104,0
20050310,33.573,33.747,33.03,33.243,261879,0
20050311,33.444,33.775,33.131,33.667,221440,0
20050314,33.481,34.108,33.481,33.932,130950,0
20050315,34.281,34.281,33.728,33.737,181981,0
20050316,33.545,33.94,33.25,33.305,355624,0
20050317,33.131,33.545,32.947,33.315,233151,0
20050318,33.591,36.847,32.947,35.543,1430033,0
20050321,35.699,35.699,34.807,34.936,453645,0
20050322,35.24,35.24,34.18,34.53,225811,0
20050323,34.697,34.807,34.144,34.577,217329,0
20050324,34.742,34.742,34.32,34.346,144879,0
20050328,34.244,34.603,34.071,34.41,156867,0
20050329,34.466,34.466,33.967,34.135,214744,0
20050330,34.291,34.457,33.737,34.364,279320,0
20050331,34.503,34.511,33.785,33.949,193072,0
20050401,34.263,34.263,33.38,33.554,162881,0
20050404,33.71,33.84,33.269,33.775,158936,0
20050405,34.005,34.005,33.507,33.719,131152,0
20050406,33.949,34.117,33.39,33.785,153836,0
20050407,33.932,34.079,33.371,33.94,152069,0
20050408,34.052,34.18,33.517,33.601,127788,0
20050411,33.869,34.052,33.279,33.821,203488,0
20050412,33.85,34.052,33.269,33.922,175513,0
20050413,33.61,33.916,32.608,32.866,265857,0
20050414,33.104,33.214,32.467,32.467,150602,0
20050415,32.67,32.67,31.548,31.925,384776,0
20050418,31.715,32.432,31.382,32.119,225050,0
20050419,32.303,32.359,31.594,32.008,221922,0
20050420,31.916,32.074,31.2,31.317,259617,0
20050421,31.419,32.58,30.445,32.367,284368,0
20050422,32.514,32.67,31.861,32.008,243628,0
20050425,32.202,32.476,31.998,32.294,105039,0
20050426,32.376,32.543,31.696,32.008,116878,0
20050427,32.045,32.625,31.522,32.184,174117,0
20050428,31.989,32.332,31.309,31.401,158484,0
20050429,31.715,32.211,31.124,32.074,172044,0
20050502,31.916,32.359,31.833,32.313,265071,0
20050503,32.155,32.763,31.816,32.486,270074,0
20050504,32.707,33.279,32.505,33.002,165987,0
20050505,33.131,33.131,32.055,32.247,153721,0
20050506,32.625,33.002,32.202,32.689,97931,0
20050509,32.9,32.9,32.275,32.829,132303,0
20050510,32.891,32.891,32.165,32.247,140578,0
20050511,32.441,32.441,31.087,31.998,134765,0
20050512,31.982,32.359,31.53,31.584,86886,0
20050513,31.797,32.332,31.401,32.211,223779,0
20050516,32.359,32.875,32.074,32.782,174636,0
20050517,32.9,33.25,32.211,33.104,227468,0
20050518,33.002,34.254,33.002,34.17,245905,0
20050519,34.429,34.907,34.254,34.907,253445,0
20050520,34.649,34.742,34.189,34.548,189894,0
20050523,34.558,35.11,34.31,35.073,178052,0
20050524,35.148,35.478,34.907,35.157,207636,0
20050525,34.824,34.898,34.117,34.17,213106,0
20050526,34.329,34.907,34.052,34.511,124818,0
20050527,34.881,34.972,34.263,34.814,70835,0
20050531,34.898,34.955,34.419,34.53,320027,0
20050601,34.833,34.963,34.217,34.697,194917,0
20050602,34.871,34.898,34.448,34.788,99554,0
20050603,34.862,34.898,34.263,34.448,173376,0
20050606,34.586,34.586,34.189,34.511,87539,0
20050607,34.687,35.044,34.127,34.235,206555,0
20050608,34.254,34.364,33.62,33.684,261150,0
20050609,33.85,34.329,33.168,34.329,265655,0
20050610,34.41,34.54,33.922,34.235,367468,0
20050613,34.291,34.484,34.117,34.419,173763,0
20050614,34.503,35.166,34.503,34.889,215272,0
20050615,35.063,35.092,34.493,34.769,252127,0
20050616,34.769,35.405,34.697,35.248,161148,0
20050617,35.211,35.837,34.898,35.607,416963,0
20050620,35.699,35.699,35.017,35.331,202331,0
20050621,35.202,35.598,34.881,35.11,116346,0
20050622,35.432,35.635,35.054,35.496,151482,0
20050623,35.616,35.616,34.734,34.843,147755,0
20050624,34.833,35.588,34.429,34.797,274737,0
20050627,34.769,35.027,33.756,34.843,142657,0
20050628,34.936,35.588,34.687,35.588,266946,0
20050629,35.625,35.883,35.441,35.662,182511,0
20050630,35.837,35.994,35.469,35.478,227309,0
20050701,35.57,35.8,35.202,35.8,197370,0
20050705,35.441,36.388,35.441,36.351,249092,0
20050706,36.52,36.52,35.129,35.248,178203,0
20050707,34.788,35.561,34.788,35.312,224404,0
20050708,35.359,36.158,34.824,36.058,196099,0
20050711,36.28,36.573,35.874,36.196,231327,0
20050712,36.335,36.335,35.551,35.681,277296,0
20050713,35.855,36.021,35.23,35.395,275842,0
20050714,35.699,36.167,35.607,35.662,222121,0
20050715,35.193,35.57,33.766,34.108,594098,0
20050718,34.511,34.788,34.189,34.364,376665,0
20050719,34.603,34.668,34.135,34.577,142493,0
20050720,34.457,34.603,33.591,33.922,330452,0
20050721,33.5,33.658,32.909,33.15,764812,0
20050722,33.371,34.493,33.243,34.438,361563,0
20050725,34.438,34.99,34.089,34.401,224576,0
20050726,34.281,34.658,33.906,34.005,350438,0
20050727,34.043,34.329,33.684,34.226,507477,0
20050728,34.254,34.852,33.701,34.511,269957,0
20050729,34.511,34.697,33.949,34.024,255433,0
20050801,34.071,34.466,34.071,34.135,196880,0
20050802,34.17,34.41,33.967,34.198,247915,0
20050803,34.281,34.281,33.535,33.737,193198,0
20050804,33.859,34.108,33.444,33.49,235556,0
