Date,Open,High,Low,Close,Volume,OpenInt
20141121,17.28,18.05,17,18.05,29729,0
20141124,18,18.92,17,18.69,162698,0
20141125,19.96,21.75,19.67,20.94,59613,0
20141126,20,20.5,19.5,19.75,59810,0
20141128,20.5,23,19.85,20,65416,0
20141201,21,21,17.87,18.85,71293,0
20141202,18.85,19.78,18.51,18.51,34593,0
20141203,18.5,19.99,18,19.35,29349,0
20141204,18.55,20.93,18,19.27,30701,0
20141205,19.13,21,18.55,20.2,52481,0
20141208,20.5,21.5,20.25,21,158647,0
20141209,20.4,21.9,20.4,21.75,131463,0
20141210,21,21.25,20.14,20.34,65066,0
20141211,20.5,21.85,19.46,20.01,75945,0
20141212,20.999,21,19.35,19.7,20743,0
20141215,20,20.9,19.42,19.8,57544,0
20141216,20.5,22,19.75,19.75,14517,0
20141217,21,22,19.4,20.95,21523,0
20141218,22,22,20.9,21.99,19131,0
20141219,23,24.25,22.75,23.75,142920,0
20141222,23.15,23.15,20.05,22.88,31402,0
20141223,20.76,23.56,20.76,21.99,7643,0
20141224,20.69,22,20.07,20.6,15796,0
20141226,21.04,21.04,20.3,20.3,983,0
20141229,20.01,21.13,20,20.37,10600,0
20141230,20.05,20.98,20,20.08,13491,0
20141231,20.65,21,20.65,20.895,3922,0
20150102,20.08,21,20,20.24,5022,0
20150105,19.71,20.8,19.63,20.5,4919,0
20150106,20.79,20.98,19.8,20.25,16226,0
20150107,21,21,19.7,21,3113,0
20150108,21.88,23.96,21.5,23.84,13688,0
20150109,22.5,22.5,21,21.35,24724,0
20150112,22.12,22.12,21.69,21.739,486,0
20150113,23.45,23.45,22,22,4446,0
20150114,22,22,20.52,21,2324,0
20150115,20.51,21.6,20,20.46,6563,0
20150116,20.51,21.5,20.11,21.25,17515,0
20150120,21,21.49,20.51,21.4,32904,0
20150121,21,21.45,20.55,21.4,4044,0
20150122,20.8,22.84,20.557,22.82,9658,0
20150123,22.8,24,22.31,23.75,247187,0
20150126,24.24,24.24,23.5,24.03,3809,0
20150127,21.01,23.79,21.01,23.5,3656,0
20150128,23.1,23.76,22.4,22.4,9099,0
20150129,22.4,22.97,21.78,22.4,2475,0
20150130,21.84,22.89,21.01,21.01,14812,0
20150202,22.05,22.54,21.31,22.5,5202,0
20150203,22.5,23.28,22.09,23,5976,0
20150204,23.5,23.5,21.861,22.3,12720,0
20150205,22.14,22.76,21.92,21.92,4281,0
20150206,22,22.49,21.25,21.44,14532,0
20150209,21.36,22.68,21.15,21.16,3932,0
20150210,21.3,21.6,21.26,21.5,5134,0
20150211,21.3,22.6,21.241,21.26,11339,0
20150212,21.07,22,20.603,20.91,12589,0
20150213,22.12,23,21.99,23,1857,0
20150217,23,24.25,22.97,22.97,2380,0
20150218,23.89,24.25,23.25,23.25,9098,0
20150219,23.9,24.07,23.5,24.07,770,0
20150220,24,24.28,23.72,24.17,3614,0
20150223,24,24.25,23.1,23.76,13711,0
20150224,24.26,24.49,23.47,24,8840,0
20150225,24.25,24.25,23.8,24.15,8956,0
20150226,23.62,23.62,22.72,23.15,11532,0
20150227,23.5,24.4,22.9,23.9,8919,0
20150302,23.44,24,23.29,23.85,1600,0
20150303,23.6,23.65,23.53,23.65,1600,0
20150304,24,24.1,23.5,24,24600,0
20150305,23.43,24.14,23.43,23.9,52500,0
20150309,23.75,23.75,23.5,23.5,1700,0
20150310,23,23.6,22.8,22.8,1600,0
20150311,22.8,22.8,22.8,22.8,3600,0
20150312,22.81,23.06,22.76,23.01,1600,0
20150313,23.89,23.89,23,23.01,1200,0
20150316,23.1,23.1,23.1,23.1,500,0
20150317,23.44,24.5,23.44,24.5,900,0
20150318,23.6,24,23.3,23.3,4300,0
20150319,23.51,24.5,23.51,24.45,9400,0
20150320,25,25,24.03,25,15500,0
20150323,24.9,25.5,24.9,25.25,11600,0
20150324,24.25,25.29,24.25,25.29,3200,0
20150325,25.5,25.5,24.41,25.2,3600,0
20150326,24.81,25.01,24.8,25,6900,0
20150327,25.24,25.5,25.24,25.5,800,0
20150330,25.04,25.5,24.96,25.49,3100,0
20150331,25,25.01,25,25,5800,0
20150401,25.5,26.5,25.5,25.7,23100,0
20150402,24.6,25,24.5,25,9100,0
20150406,26,26,24.62,25.95,3000,0
20150407,24.557,25.75,24.557,25.75,6320,0
20150408,25.02,25.3,25.02,25.3,200,0
20150409,25.5,25.52,25.5,25.52,49861,0
20150410,25.07,25.91,25.02,25.02,1000,0
20150413,25.45,25.45,25.45,25.45,300,0
20150414,25,25.38,25,25,5700,0
20150415,24.73,25.35,24.73,25.25,3009,0
20150416,25.1,26,24.965,25.5,1607,0
20150417,25.72,26,25,25.61,6000,0
20150420,25.02,25.32,24.76,25,11771,0
20150421,25.5,25.5,24.86,25.2,2839,0
20150422,25,25,25,25,511,0
20150423,25.02,25.05,25,25,2600,0
20150424,25,25.01,25,25,800,0
20150427,24.88,24.88,24.01,24.47,4800,0
20150428,24.1,24.1,22.59,23.31,3100,0
20150429,24,24,23.55,23.55,400,0
20150430,23.69,24.12,23.69,24.1,3300,0
20150501,23.57,23.57,23.57,23.57,1300,0
20150504,25,25,23.57,25,1900,0
20150505,24.67,25.05,24.67,25.05,400,0
20150507,25,25,25,25,206,0
20150508,24.84,24.84,24.84,24.84,100,0
20150511,25.99,25.99,24.54,24.89,3300,0
20150512,25.49,25.503,24.57,25,3382,0
20150513,24.99,24.99,24.99,24.99,300,0
20150514,24.42,24.42,24.42,24.42,200,0
20150515,23.83,23.83,23.76,23.83,381,0
20150519,23.92,23.95,23.92,23.95,700,0
20150520,24,24,23.1,23.41,1600,0
20150521,24.12,24.12,22.81,23.67,1900,0
20150522,23.23,23.25,23.22,23.22,800,0
20150526,23.53,24.6,23.53,24.5,2429,0
20150527,25,25.41,24.87,25.4,24500,0
20150528,24.55,24.55,24.55,24.55,519,0
20150529,26.33,26.33,23.93,25.5,6700,0
20150601,24.08,25,24,25,3500,0
20150602,24.25,24.3,23.9,24.3,1962,0
20150603,25.48,25.48,24.58,24.75,1200,0
20150604,25.5,25.5,24.8,24.87,1200,0
20150605,24.5,25.47,23.95,24.56,2800,0
20150608,24.02,24.05,24.02,24.05,300,0
20150609,23.13,23.15,22.35,22.55,8365,0
20150610,21.32,22.21,18.007,20.01,9391,0
20150611,18.63,19.39,18.2,18.418,23863,0
20150612,18.69,18.69,16.81,17.55,1900,0
20150615,16.5,17.99,16.5,17.99,900,0
20150616,17.49,17.6,17,17,3000,0
20150617,17,17,16.2,16.98,10200,0
20150618,17.01,17.9,16.9,17.9,2100,0
20150619,18,18,18,18,1100,0
20150622,17.7,17.7,17.7,17.7,1000,0
20150623,17.3,18.57,17.3,17.3,2092,0
20150624,17.99,18,17.7,17.75,4200,0
20150625,17.13,17.74,16.9,16.9,2700,0
20150626,17,17.2,16.1,16.1,1400,0
20150629,16.03,16.08,14.9,15.03,2600,0
20150630,15.663,15.663,15.663,15.663,439,0
20150701,14.84,15.99,14.84,15.99,5400,0
20150702,15.9,15.9,15.25,15.55,2000,0
20150706,15.5,15.5,15,15,700,0
20150707,15.02,15.45,14.99,15.45,5500,0
20150708,14.82,14.82,14.69,14.7,7600,0
20150709,15.29,15.5,14.96,15.4,1600,0
20150713,14.77,15.92,14.77,14.9,600,0
20150714,14.57,14.9,14.55,14.9,1544,0
20150715,14.56,14.56,14.2,14.2,2261,0
20150716,14.07,14.07,13.39,14,1500,0
20150717,13.51,13.92,12.83,13.5,5400,0
20150720,13.5,13.5,13.5,13.5,500,0
20150721,13.5,13.5,11.81,12.21,8200,0
20150722,13.05,14.2,10.6,12.5,102000,0
20150723,12.2,12.7,12.2,12.7,5600,0
20150724,13.12,13.3,12.32,12.32,500,0
20150727,12.5,12.5,12.3,12.3,800,0
20150728,12.35,13.04,12.35,13.04,3900,0
20150729,13,13.25,12.97,13.25,3700,0
20150730,13.45,13.45,13.45,13.45,300,0
20150731,14,14,12.48,13.1,133500,0
20150803,13.4,13.4,12,12,5308,0
20150804,13.88,13.88,11.59,12.5,15200,0
20150805,12.5,12.88,12.45,12.45,8600,0
20150806,12.56,13.25,12.44,13.25,5134,0
20150807,13.76,13.76,13.43,13.43,400,0
20150810,13.66,14.27,12.57,13.75,3600,0
20150811,13.27,15.36,13.27,15.36,7675,0
20150812,14.5,15.01,13.72,15.01,4100,0
20150813,14.95,15,14.27,14.27,1200,0
20150814,15.2,15.25,14.1,15,110900,0
20150817,15.25,15.25,15,15,4600,0
20150818,15,15.51,15,15.51,1000,0
20150819,14.69,15,14.69,15,1600,0
20150820,15,15.01,14.21,15,4700,0
20150821,14.52,14.75,14.5,14.6,29300,0
20150824,15,15.01,14.6,14.6,13869,0
20150825,14.62,15.82,13.85,15,1600,0
20150826,14.72,15.11,14.72,15.11,4100,0
20150827,16.3,18,16.25,16.67,1800,0
20150828,16.05,16.05,16.05,16.05,500,0
20150901,15.42,15.42,15.42,15.42,200,0
20150902,16.72,17.57,16.02,17.5,10000,0
20150903,17.61,18.09,17.5,18,6100,0
20150904,18,18,18,18,2100,0
20150908,18,18.1,18,18.1,3100,0
20150909,18,18.25,18,18,5400,0
20150910,18,18.01,18,18,12051,0
20150911,18.01,18.09,17.77,18,5400,0
20150914,18.08,19.13,18.01,18.75,1500,0
20150915,18.01,18.01,17.7,18,2800,0
20150916,17.54,17.98,17.52,17.98,800,0
20150917,17.97,17.97,17.58,17.81,2900,0
20150918,17.35,17.88,17.2,17.88,9200,0
20150921,17.55,17.55,17.55,17.55,300,0
20150922,18,18,18,18,200,0
20150923,18,18.55,18,18.01,49600,0
20150924,18.1,18.1,18,18.1,821,0
20150928,18,18.05,17.334,18,33402,0
20150929,17.57,18.12,17.55,18,9300,0
20150930,18,18.29,17.5,17.5,22700,0
20151001,18,19.27,17.5,18.5,3300,0
20151002,18.36,18.36,18,18,600,0
20151005,18,18,18,18,182,0
