Date,Open,High,Low,Close,Volume,OpenInt
20050225,3.22,3.25,3.22,3.25,1700,0
20050228,3.24,3.25,3.24,3.25,2800,0
20050301,3.09,3.28,3.09,3.27,4450,0
20050302,3.23,3.3,3.23,3.3,3557,0
20050303,3.27,3.27,3.27,3.27,1460,0
20050304,3.25,3.4,3.23,3.32,4200,0
20050307,3.31,3.47,3.31,3.38,5209,0
20050308,3.39,3.39,3.39,3.39,200,0
20050309,3.29,3.32,3.27,3.27,1601,0
20050310,3.26,3.26,3.24,3.24,903,0
20050311,3.3,3.59,3.27,3.35,15101,0
20050314,3.34,3.38,3.33,3.33,1350,0
20050315,3.32,3.32,3.32,3.32,100,0
20050316,3.19,3.28,3.19,3.27,2721,0
20050317,3.27,3.27,3.27,3.27,6580,0
20050318,3.27,3.43,3.27,3.34,1050,0
20050321,3.25,3.25,3.25,3.25,1000,0
20050322,3.2,3.26,3.13,3.17,4700,0
20050324,3.19,3.19,3.14,3.14,1100,0
20050328,3.16,3.33,3.16,3.33,2822,0
20050329,3.31,3.32,3.12,3.32,4393,0
20050330,3.08,3.29,2.87,3.07,11245,0
20050331,3.19,3.25,3.03,3.03,1900,0
20050405,3.23,3.27,3.06,3.06,3400,0
20050406,3.06,3.07,2.99,2.99,1860,0
20050407,2.96,2.96,2.96,2.96,600,0
20050408,2.93,3,2.93,3,1601,0
20050411,3.09,3.33,3.09,3.18,1200,0
20050412,3,3.18,3,3.11,800,0
20050413,3.19,3.19,2.99,2.99,2400,0
20050414,2.99,2.99,2.99,2.99,1060,0
20050415,3.17,3.58,2.99,3.03,4275,0
20050418,3.01,3.02,3.01,3.02,700,0
20050420,3.06,3.06,2.99,2.99,2001,0
20050421,3.01,3.13,3.01,3.13,1100,0
20050422,2.99,2.99,2.91,2.91,4701,0
20050425,2.91,2.91,2.91,2.91,100,0
20050427,2.91,2.91,2.86,2.86,2225,0
20050428,2.86,2.95,2.83,2.95,2932,0
20050429,2.59,2.93,2.48,2.92,6080,0
20050502,2.52,2.91,2.52,2.91,1344,0
20050503,2.52,2.94,2.52,2.94,1836,0
20050504,3.02,3.02,2.91,2.91,1200,0
20050506,2.88,2.89,2.86,2.89,1750,0
20050509,3,3.28,2.88,2.96,30787,0
20050510,2.99,3,2.71,3,6139,0
20050511,2.98,2.98,2.98,2.98,1040,0
20050512,3.05,3.18,2.83,3,3050,0
20050513,2.92,2.92,2.75,2.81,1200,0
20050516,2.77,3.01,2.59,2.6,5478,0
20050517,2.86,2.86,2.78,2.78,1150,0
20050518,2.95,2.99,2.95,2.99,1901,0
20050519,2.8,2.8,2.8,2.8,265,0
20050520,2.73,2.8,2.73,2.8,200,0
20050523,2.98,3.1,2.86,2.86,1350,0
20050524,3.01,3.01,2.67,2.74,2919,0
20050525,2.86,3.08,2.86,3.03,10383,0
20050526,2.95,2.95,2.95,2.95,300,0
20050531,2.8,2.96,2.8,2.86,900,0
20050601,2.99,3,2.89,2.89,1925,0
20050603,2.91,2.91,2.66,2.88,12144,0
20050606,2.82,2.88,2.73,2.73,900,0
20050607,2.73,2.73,2.73,2.73,300,0
20050608,2.73,2.9,2.73,2.76,500,0
20050609,2.82,2.91,2.82,2.91,1100,0
20050610,2.86,2.86,2.86,2.86,300,0
20050613,2.91,2.91,2.79,2.79,18467,0
20050614,2.72,2.72,2.72,2.72,375,0
20050615,2.9,2.9,2.73,2.73,3750,0
20050616,2.87,2.87,2.78,2.78,3900,0
20050617,2.72,2.76,2.72,2.76,700,0
20050621,2.72,2.72,2.72,2.72,1300,0
20050622,2.74,3.18,2.74,3.01,52361,0
20050623,2.92,4.37,2.72,3.2,168273,0
