Date,Open,High,Low,Close,Volume,OpenInt
20050225,11.78,11.78,11.697,11.697,3587,0
20050228,11.649,11.789,11.63,11.78,9674,0
20050301,11.78,11.884,11.649,11.884,7389,0
20050302,11.884,11.884,11.752,11.761,2470,0
20050303,11.884,11.884,11.77,11.799,5325,0
20050304,11.875,11.884,11.809,11.837,8139,0
20050307,11.799,11.799,11.602,11.602,5038,0
20050308,11.706,11.837,11.706,11.77,1935,0
20050309,11.677,11.677,11.677,11.677,760,0
20050310,11.677,11.687,11.677,11.677,4790,0
20050311,11.687,11.827,11.677,11.799,3205,0
20050314,11.752,11.752,11.697,11.697,893,0
20050315,11.697,11.716,11.649,11.677,8335,0
20050316,11.716,11.733,11.602,11.716,4134,0
20050317,11.752,11.752,11.697,11.706,637,0
20050318,11.697,11.733,11.658,11.668,3230,0
20050321,11.697,11.716,11.583,11.583,20876,0
20050322,11.733,11.733,11.583,11.677,1613,0
20050323,11.573,11.677,11.573,11.677,7891,0
20050324,11.668,11.668,11.383,11.62,5180,0
20050328,11.573,11.63,11.364,11.374,5438,0
20050329,11.374,11.507,11.364,11.364,6491,0
20050330,11.469,11.563,11.469,11.517,1379,0
20050331,11.309,11.488,11.309,11.412,9288,0
20050401,11.488,11.507,11.337,11.374,1404,0
20050404,11.329,11.469,11.329,11.364,8367,0
20050405,11.347,11.431,11.347,11.383,31924,0
20050406,11.337,11.337,11.243,11.309,40477,0
20050407,11.329,11.329,11.252,11.319,3150,0
20050408,11.337,11.337,11.243,11.243,7324,0
20050411,11.243,11.243,11.233,11.243,2850,0
20050412,11.252,11.252,11.195,11.195,9393,0
20050413,11.185,11.243,11.167,11.243,2099,0
20050414,11.205,11.224,11.157,11.224,7434,0
20050415,11.224,11.252,11.1,11.157,19118,0
20050418,11.091,11.091,11.043,11.091,1328,0
20050419,11.091,11.091,11.034,11.034,4941,0
20050420,11.024,11.034,10.997,11.016,14830,0
20050421,11.024,11.024,10.354,10.515,44911,0
20050422,10.779,10.826,10.25,10.581,16336,0
20050425,10.732,10.779,10.486,10.571,4990,0
20050426,10.571,10.664,10.554,10.571,12075,0
20050427,10.563,10.674,10.554,10.554,1996,0
20050428,10.581,10.732,10.554,10.674,6567,0
20050429,10.77,10.779,10.515,10.674,8661,0
20050502,10.515,10.713,10.515,10.629,7320,0
20050503,10.515,10.674,10.505,10.674,9019,0
20050504,10.674,10.732,10.468,10.629,15779,0
20050506,10.554,10.742,10.554,10.742,5038,0
20050509,10.978,10.978,10.6,10.674,1613,0
20050510,10.674,10.674,10.554,10.674,10214,0
20050511,10.515,10.581,10.515,10.534,15727,0
20050512,10.468,10.664,10.468,10.476,877,0
20050513,10.674,10.674,10.534,10.664,2733,0
20050516,10.674,10.674,10.629,10.664,2850,0
20050517,10.61,10.674,10.61,10.629,2376,0
20050518,10.629,10.674,10.629,10.674,2676,0
20050519,10.61,10.884,10.61,10.674,993,0
20050520,10.732,10.732,10.732,10.732,89,0
20050523,10.798,10.826,10.468,10.656,10632,0
20050524,11.043,11.043,10.664,10.713,6667,0
20050525,10.554,10.713,10.544,10.713,5766,0
20050526,10.571,10.674,10.571,10.674,1705,0
20050527,10.674,10.779,10.495,10.77,4804,0
20050531,10.826,10.826,10.534,10.808,9647,0
20050602,10.826,11.053,10.826,11.053,8871,0
20050603,11.043,11.043,11.043,11.043,1900,0
20050606,10.94,10.94,10.94,10.94,472,0
20050607,10.732,10.836,10.732,10.836,2755,0
20050608,11.071,11.128,10.997,11.12,6445,0
20050609,11.034,11.034,11.034,11.034,472,0
20050610,11.034,11.148,10.997,11.053,8919,0
20050613,11.091,11.091,11.091,11.091,569,0
20050614,10.978,11.148,10.978,11.128,3326,0
20050615,11.138,11.167,11.034,11.167,2857,0
20050616,11.148,11.185,10.958,10.968,2089,0
20050617,11.148,11.205,11.043,11.148,4669,0
20050620,11.185,11.252,11.185,11.252,3326,0
20050621,11.043,11.053,11.043,11.043,472,0
20050622,11.043,11.043,11.043,11.043,89,0
20050623,11.243,11.243,11.243,11.243,191,0
20050624,11.233,11.383,11.224,11.383,3321,0
20050627,11.374,11.716,11.271,11.668,18636,0
20050628,11.668,11.979,11.668,11.827,3360,0
20050629,11.989,12.358,11.951,12.358,12070,0
20050630,12.31,12.367,12.252,12.262,14735,0
20050701,12.262,12.262,12.252,12.262,2184,0
20050705,12.093,12.243,12.017,12.017,1141,0
20050706,11.799,12.056,11.799,12.047,5165,0
20050707,12.148,12.148,12.148,12.148,89,0
20050708,12.093,12.093,12.093,12.093,12587,0
20050711,12.093,12.206,12.037,12.138,27686,0
20050712,12.187,12.301,12.129,12.301,5839,0
20050713,12.291,12.301,12.291,12.301,200,0
20050714,12.301,12.301,12.301,12.301,379,0
20050715,12.301,12.517,12.301,12.461,5609,0
20050718,12.414,12.461,12.387,12.461,1141,0
20050719,12.461,12.565,12.461,12.47,2507,0
20050720,12.574,12.726,12.545,12.726,21012,0
20050721,12.688,12.773,12.659,12.773,1749,0
20050722,12.829,12.829,12.783,12.829,4649,0
20050725,12.876,12.885,12.829,12.829,7225,0
20050726,12.754,12.981,12.754,12.962,1855,0
20050727,12.829,12.981,12.829,12.981,1236,0
20050728,12.981,12.981,12.829,12.848,924,0
20050729,12.981,12.99,12.811,12.99,3665,0
20050801,12.99,12.99,12.942,12.942,1328,0
20050802,12.942,13.132,12.942,12.998,5345,0
20050803,13.141,13.141,13.132,13.141,760,0
20050804,12.716,13.094,12.716,13.094,1900,0
20050805,13.132,13.141,13.132,13.132,788,0
20050808,13.141,13.141,12.358,12.829,5341,0
20050809,12.99,12.99,12.942,12.942,963,0
20050810,12.942,13.065,12.942,13.065,1186,0
20050811,12.905,12.905,12.764,12.764,325,0
20050815,12.744,12.829,12.735,12.735,16538,0
20050816,12.669,12.726,12.433,12.726,7968,0
20050817,12.726,13.132,12.488,12.726,35931,0
