Date,Open,High,Low,Close,Volume,OpenInt
20050225,20.427,20.622,20.26,20.569,197484,0
20050228,20.604,20.604,20.108,20.365,168724,0
20050301,20.346,20.701,20.346,20.701,227515,0
20050302,20.71,20.868,20.604,20.766,1424278,0
20050303,20.818,20.845,20.596,20.596,227327,0
20050304,20.729,21.031,20.587,20.968,506315,0
20050307,20.968,21.109,20.852,20.852,300299,0
20050308,20.932,20.932,20.587,20.622,241930,0
20050309,20.569,20.631,20.365,20.41,161650,0
20050310,20.346,20.587,20.286,20.419,383869,0
20050311,20.427,20.682,20.322,20.525,140813,0
20050314,20.65,20.95,20.64,20.71,185981,0
20050315,20.905,21.045,20.71,20.738,291641,0
20050316,20.701,20.827,20.665,20.729,196685,0
20050317,20.701,20.827,20.506,20.578,211396,0
20050318,20.587,20.701,20.33,20.587,536442,0
20050321,20.489,20.622,20.346,20.463,162997,0
20050322,20.427,20.665,20.365,20.419,265621,0
20050323,20.365,20.489,20.356,20.365,142905,0
20050324,20.365,20.665,20.365,20.455,107109,0
20050328,20.419,20.674,20.419,20.471,145302,0
20050329,20.65,20.766,20.346,20.365,327269,0
20050330,20.346,20.65,20.346,20.622,213172,0
20050331,20.569,20.65,20.312,20.463,429825,0
20050401,20.41,20.587,20.03,20.187,446793,0
20050404,20.234,20.65,20.161,20.569,393514,0
20050405,20.65,20.79,20.455,20.569,185715,0
20050406,20.525,21.012,20.525,20.859,626949,0
20050407,20.95,20.978,20.674,20.868,275908,0
20050408,20.886,20.886,20.243,20.312,341718,0
20050411,20.243,20.446,20.143,20.161,208544,0
20050412,20.1,20.701,20.048,20.665,185951,0
20050413,20.665,20.71,20.178,20.33,157070,0
20050414,20.41,20.419,20.083,20.091,218200,0
20050415,20.091,20.169,19.498,19.709,297246,0
20050418,19.718,20.083,19.541,19.957,236101,0
20050419,19.965,20.356,19.948,20.243,259430,0
20050420,20.1,20.187,19.436,19.47,316238,0
20050421,19.622,19.983,19.622,19.983,340058,0
20050422,20.048,20.048,19.338,19.523,189579,0
20050425,19.659,20.066,19.436,20.048,216073,0
20050426,19.816,20.057,18.55,18.701,708873,0
20050427,18.55,19.993,18.55,19.862,440722,0
20050428,19.675,19.744,18.976,19.108,294689,0
20050429,19.054,19.595,18.976,19.541,272910,0
20050502,19.446,20.011,19.383,20.011,274263,0
20050503,19.816,20.187,19.816,20.083,435318,0
20050504,20.039,20.543,20.039,20.543,328577,0
20050505,20.622,20.622,20.02,20.151,249437,0
20050506,20.312,20.365,20.066,20.322,176195,0
20050509,20.312,20.631,20.187,20.631,293618,0
20050510,20.463,20.65,20.419,20.489,490645,0
20050511,20.427,20.71,20.322,20.543,254704,0
20050512,20.346,20.773,20.252,20.312,240223,0
20050513,20.322,20.322,19.957,20.03,160277,0
20050516,20.117,20.446,19.983,20.446,157003,0
20050517,20.33,20.489,20.02,20.294,201094,0
20050518,20.489,20.932,20.356,20.886,157378,0
20050519,20.808,20.886,20.65,20.665,115048,0
20050520,20.657,20.896,20.446,20.827,107444,0
20050523,20.747,21.012,20.622,20.877,179045,0
20050524,20.968,20.987,20.808,20.923,92546,0
20050525,20.808,20.932,20.747,20.747,117644,0
20050526,20.868,21.154,20.747,21.154,120761,0
20050527,21.172,21.303,20.905,21.209,130474,0
20050531,21.109,21.376,21.09,21.313,386047,0
20050601,21.33,21.427,21.09,21.411,266692,0
