Date,Open,High,Low,Close,Volume,OpenInt
20050225,2.4129,2.4219,2.1569,2.1569,3939,0
20050228,2.2757,2.2757,2.2757,2.2757,110,0
20050301,2.3672,2.3672,2.1936,2.3672,476,0
20050302,2.2484,2.3581,2.2393,2.2849,2516,0
20050303,2.2393,2.2393,2.1113,2.2393,2187,0
20050304,2.23,2.23,2.23,2.23,218,0
20050307,2.2027,2.2027,2.1661,2.1661,1642,0
20050308,2.1752,2.2027,2.1113,2.1752,3611,0
20050309,2.1021,2.1387,2.1021,2.1387,6017,0
20050310,2.0564,2.2849,2.0564,2.2484,12145,0
20050311,2.2849,2.4678,2.2849,2.4586,12637,0
20050316,2.23,2.3215,2.2027,2.3215,1203,0
20050317,2.1936,2.2484,2.1936,2.2484,876,0
20050318,2.2849,2.3581,2.1843,2.3307,4596,0
20050321,2.1296,2.3854,2.1296,2.3854,383,0
20050322,2.4129,2.4129,2.3307,2.4037,1203,0
20050323,2.4129,3.2902,2.3763,3.1623,239555,0
20050324,3.1075,3.1075,2.6505,2.9155,71318,0
20050328,2.5682,3.1532,2.559,3.1349,54292,0
20050329,2.7876,3.1532,2.7876,3.0252,39394,0
20050330,2.7876,3.1989,2.751,3.0982,30708,0
20050331,3.007,3.0709,2.9703,3.0709,14043,0
20050401,3.0892,3.5187,3.0892,3.4273,43066,0
20050404,3.6466,3.6466,2.9703,3.5827,34072,0
20050405,3.6466,3.6466,3.473,3.5645,13937,0
20050406,3.5645,3.5645,3.4639,3.4822,17834,0
20050407,3.2902,3.3816,3.1349,3.2902,14120,0
20050408,3.3268,3.6559,3.3268,3.4913,15012,0
20050411,3.3909,3.3909,3.3909,3.3909,1390,0
20050412,3.3909,3.7015,3.2902,3.6466,32124,0
20050413,3.3086,3.6924,3.3086,3.6559,31320,0
20050414,3.6466,3.7015,3.528,3.6283,17879,0
20050415,3.528,3.528,3.3909,3.473,5125,0
20050418,3.336,3.4639,3.2079,3.3086,13895,0
20050419,3.3725,3.4639,3.3725,3.4639,4669,0
20050420,3.5005,3.5553,3.473,3.4913,2844,0
20050421,3.5005,3.6559,3.4365,3.6192,15695,0
20050422,3.2263,3.6833,3.2172,3.6742,8645,0
