Date,Open,High,Low,Close,Volume,OpenInt
20100409,13.5,15.75,11.25,11.25,719,0
20100412,12,13.5,12,13.5,573,0
20100413,13.5,18.75,13.5,15,293,0
20100414,22.5,41.25,22.5,41.25,142,0
20100415,38.25,48.75,38.25,48.75,637,0
20100416,66,67.5,46.5,48,733,0
20100419,48,50.25,48,50.25,133,0
20100420,48.75,48.75,39,39,120,0
20100421,41.25,41.25,41.25,41.25,53,0
20100422,41.25,41.25,26.25,26.25,246,0
20100423,28.125,28.125,28.125,28.125,6,0
20100428,33.75,33.75,30,30,141,0
20100429,30,30,30,30,66,0
20100430,26.25,26.25,25.5,25.5,69,0
20100503,26.25,26.25,26.25,26.25,66,0
20100505,24,24,24,24,66,0
20100506,22.5,22.5,22.5,22.5,133,0
20100512,18.9,30,18.825,30,752,0
20100513,21,21,21,21,66,0
20100514,18.825,18.825,18.75,18.75,133,0
20100517,18.825,18.825,18.825,18.825,66,0
20100518,18.825,18.825,16.5,16.5,425,0
20100520,16.5,16.5,16.5,16.5,10,0
20100521,16.5,16.5,16.5,16.5,133,0
20100524,16.5,16.5,16.5,16.5,266,0
20100525,16.5,16.5,15,15,199,0
20100526,15,18.75,15,18.75,322,0
20100527,18.75,18.75,16.5,16.5,634,0
20100528,16.5,16.5,16.5,16.5,146,0
20100602,16.5,16.5,16.5,16.5,61,0
20100607,11.25,11.25,11.25,11.25,399,0
20100608,11.25,12,11.25,12,338,0
20100611,14.25,14.25,14.25,14.25,133,0
20100616,15,15,15,15,133,0
20100618,18,18.75,18,18.75,133,0
20100622,15,15,15,15,333,0
20100625,12,15,12,15,160,0
20100629,15,17.625,14.25,16.125,565,0
20100630,18.75,18.75,16.125,16.125,116,0
20100702,15.75,15.75,15,15,266,0
20100706,18.75,18.75,18.75,18.75,6,0
20100708,18.75,20.625,18.75,20.625,426,0
20100709,22.6875,26.25,22.6875,26.25,1187,0
20100712,28.5,28.5,28.5,28.5,133,0
20100713,26.25,26.25,26.25,26.25,1,0
20100714,17.25,17.25,17.25,17.25,133,0
20100715,17.25,17.25,17.25,17.25,59,0
20100719,21.75,24.75,21.75,24.75,146,0
20100721,17.25,17.25,17.25,17.25,50,0
20100723,18.75,18.75,18.75,18.75,133,0
20100726,18.75,18.75,18.75,18.75,66,0
20100729,17.25,17.25,17.25,17.25,313,0
20100804,16.5,16.5,16.5,16.5,66,0
20100805,16.5,16.5,16.5,16.5,66,0
20100806,16.5,16.5,16.5,16.5,12,0
20100809,9,9,9,9,98,0
20100812,11.25,11.25,11.25,11.25,199,0
20100816,16.5,16.5,15.75,15.75,20,0
20100818,16.5,16.5,16.5,16.5,6,0
20100823,12.75,12.75,12.75,12.75,66,0
20100901,11.25,11.25,11.25,11.25,273,0
20100903,11.25,11.25,11.25,11.25,199,0
20100908,11.25,11.25,11.25,11.25,66,0
20100910,11.25,25.5,11.25,23.25,64,0
20100913,15.75,15.75,15.75,15.75,26,0
20100914,16.5,16.5,12,15.75,126,0
20100915,15.75,21,13.5,21,146,0
20100921,12,16.5,12,16.5,116,0
20100923,13.5,16.5,13.5,13.5,120,0
20100924,13.5,13.5,12.75,12.75,114,0
20101001,11.25,11.25,11.25,11.25,13,0
20101005,11.25,11.25,10.5,10.5,152,0
20101006,11.25,11.25,10.5,10.5,399,0
20101007,10.575,10.725,10.575,10.725,133,0
20101012,11.25,11.25,11.25,11.25,341,0
20101014,11.25,11.25,11.25,11.25,9,0
20101021,11.25,11.25,11.25,11.25,66,0
20101025,9,9,9,9,32,0
20101029,12.75,12.75,12.75,12.75,66,0
20101104,12.75,12.75,12.75,12.75,80,0
20101112,12.75,12.75,12.75,12.75,66,0
20101122,12,12,12,12,66,0
20101124,12.75,12.75,12.75,12.75,66,0
20101130,12.75,12.75,12.75,12.75,2,0
20101203,11.25,11.25,7.5,7.5,287,0
20101213,8.25,8.25,8.25,8.25,33,0
20101222,8.25,8.25,8.25,8.25,333,0
20110104,8.625,8.625,8.25,8.25,666,0
20110105,8.25,10.5,8.25,10.5,991,0
20110106,9,9,9,9,93,0
20110112,9,9,9,9,66,0
20110113,8.25,8.25,8.25,8.25,66,0
20110114,9,9,9,9,53,0
20110125,9,9,8.25,8.25,1333,0
20110126,8.25,8.25,8.25,8.25,6,0
20110202,12,24,12,24,666,0
20110203,20.25,20.25,20.25,20.25,6,0
20110211,8.25,8.25,8.25,8.25,133,0
20110222,14.25,14.25,14.25,14.25,138,0
20110223,12.75,12.75,12.75,12.75,199,0
20110224,11.25,11.25,11.25,11.25,26,0
20110225,11.25,11.25,11.25,11.25,213,0
20110302,9,9,7.95,7.95,399,0
20110304,8.25,8.25,6.75,8.25,233,0
20110307,7.5,7.5,6,7.2,226,0
20110308,6.75,6.75,6.4781,6.4781,266,0
20110311,6,6,6,6,73,0
20110314,7.5,7.5,6.75,6.75,383,0
20110315,7.5,7.5,7.2,7.2,493,0
20110316,6.75,6.75,6.75,6.75,666,0
20110321,6.75,6.75,6.4781,6.4781,521,0
20110325,5.25,5.25,5.25,5.25,1,0
20110329,7.5,7.5,6,7.5,486,0
20110330,7.5,7.5,7.2,7.2,199,0
20110404,7.5,7.5,7.5,7.5,160,0
20110405,7.5,7.5,7.5,7.5,133,0
20110411,6,6,6,6,6,0
20110413,6,6.375,5.25,5.8594,616,0
20110419,6,6,5.7609,5.7609,301,0
20110420,6,6,6,6,6,0
20110421,6,6,3.75,4.5,405,0
20110425,4.5,4.5,4.5,4.5,217,0
20110426,5.25,5.25,4.5,4.5,613,0
20110428,5.25,5.25,3.75,3.75,266,0
20110502,5.25,5.25,5.25,5.25,26,0
20110503,3.75,3.75,3.75,3.75,26,0
20110505,5.25,5.25,5.25,5.25,293,0
20110506,5.25,5.25,5.1,5.1,186,0
20110510,5.25,6,5.25,5.3391,817,0
20110511,5.25,5.25,5.0391,5.0391,279,0
20110513,6,6,6,6,133,0
20110516,6,6,5.7609,5.7609,1733,0
20110517,6,6,5.775,5.775,399,0
20110518,6,7.5,6,6.675,3933,0
20110523,7.5,8.25,6.75,7.7625,1377,0
20110524,6.375,7.5,6,6.8344,2976,0
20110525,7.5,7.5,5.25,5.25,2556,0
20110526,6.75,7.5,5.25,6.5625,1474,0
20110527,6,7.5,6,6.0984,5125,0
20110531,6,6,5.8125,5.8125,1146,0
20110601,7.5,7.5,7.35,7.35,266,0
20110602,7.5,7.5,6.375,6.375,319,0
20110603,6,6,6,6,133,0
20110606,5.625,6,5.25,6,4444,0
20110608,6,6,5.625,6,1492,0
20110609,6,6.75,6,6.75,133,0
20110613,5.625,5.625,5.625,5.625,399,0
20110614,5.625,5.85,5.625,5.8125,267,0
20110615,6,6,6,6,319,0
20110616,6.375,6.375,6.375,6.375,133,0
20110617,5.625,5.625,5.625,5.625,13,0
20110620,5.25,5.25,5.25,5.25,58,0
20110622,5.25,5.25,5.25,5.25,79,0
20110627,5.625,6.75,5.625,6.7125,3141,0
20110628,6,6,6,6,6,0
20110630,6,6.75,5.625,6.75,2325,0
20110701,8.25,8.25,8.25,8.25,53,0
20110707,6,13.5,6,12.75,825,0
20110708,13.5,26.25,13.5,25.5,1359,0
20110711,26.25,75.75,24.7875,52.5,4272,0
20110712,45,45,37.5,37.5,827,0
20110713,37.5,37.5,27,33.75,449,0
20110714,37.5,37.5,30,30,256,0
20110715,32.25,32.25,32.25,32.25,26,0
20110718,33.75,37.5,33.75,37.5,423,0
20110719,37.5,37.5,33.75,36.75,119,0
20110720,36.75,37.5,36.75,37.5,136,0
20110721,37.5,38.175,36.75,36.75,1035,0
20110722,26.7094,37.5,26.7094,36.75,48,0
20110725,37.5,37.5,37.5,37.5,6,0
20110726,36.75,36.75,33.75,33.75,112,0
20110729,30,30,30,30,203,0
20110801,27,33.75,27,33.75,247,0
20110802,27.75,28.5,18.75,28.5,537,0
20110803,22.5,23.25,18.825,23.25,174,0
20110804,24.75,30,24.75,30,102,0
20110805,14.25,33,14.25,33,381,0
20110808,33.75,39.75,30,30,438,0
20110809,30,30,30,30,33,0
20110810,38.25,38.25,26.25,26.25,905,0
20110816,33,33.75,26.25,26.25,323,0
20110817,24,24,23.25,24,327,0
20110818,18.75,20.25,18.45,18.45,1371,0
20110822,18.75,18.75,16.5,17.2875,627,0
20110823,18,18,12.825,13.725,2094,0
20110824,13.125,13.125,9,9.6609,3395,0
20110825,9.75,10.5,9.75,10.5,333,0
20110826,11.175,12,11.175,12,1384,0
20110829,12,12.75,11.25,12.075,679,0
20110830,12.75,12.75,12.75,12.75,66,0
20110831,15,15,15,15,66,0
20110906,13.5,13.5,12.75,12.75,42,0
20110908,8.325,8.325,8.325,8.325,66,0
20110912,13.5,18.75,13.5,18.75,166,0
20110913,22.5,22.5,22.5,22.5,28,0
20110915,18.75,18.75,18.75,18.75,133,0
20110921,22.5,22.5,22.5,22.5,10,0
20110923,13.5,13.5,13.5,13.5,28,0
20110928,22.5,22.5,22.5,22.5,32,0
20110929,22.5,26.25,22.5,26.25,136,0
20111003,18.75,22.5,15,15,199,0
