Date,Open,High,Low,Close,Volume,OpenInt
20111213,31.534,31.848,31.534,31.534,2032,0
20111214,31.534,31.691,31.337,31.344,4815,0
20111215,31.534,31.613,31.337,31.337,4083,0
20111216,31.337,31.337,31.337,31.337,380,0
20111219,31.534,31.73,31.376,31.691,4565,0
20111220,31.73,31.73,31.414,31.73,7143,0
20111221,31.691,31.722,31.534,31.534,7490,0
20111222,31.337,31.848,31.337,31.534,3359,0
20111223,31.534,31.848,31.534,31.73,3476,0
20111227,31.461,31.771,31.218,31.771,3189,0
20111228,31.762,31.771,31.541,31.771,729,0
20111229,31.573,31.771,31.534,31.651,1995,0
20111230,31.613,31.62,31.613,31.613,2032,0
20120103,31.848,31.848,31.613,31.651,3214,0
20120104,31.801,31.848,31.651,31.651,3436,0
20120105,31.848,32.503,31.722,32.503,12543,0
20120106,32.558,32.754,31.928,32.754,1840,0
20120109,32.448,33.283,32.431,32.732,2369,0
20120110,33.054,33.109,33.054,33.109,3335,0
20120111,33.109,33.109,32.912,32.952,2170,0
20120112,33.109,33.109,33.032,33.032,1377,0
20120113,33.109,33.109,33.032,33.109,1230,0
20120117,33.109,33.109,32.448,33.109,4788,0
20120118,32.795,33.307,32.558,33.307,2467,0
20120119,33.267,33.466,32.912,33.04,9133,0
20120120,33.466,33.504,32.912,33.307,3133,0
20120123,33.212,33.307,32.912,33.032,5484,0
20120124,32.921,33.189,32.574,33.061,4137,0
20120125,33.189,33.307,33.07,33.267,13488,0
20120126,33.456,33.472,33.032,33.189,4988,0
20120127,33.109,34.669,33.102,34.669,10652,0
20120130,34.316,34.34,33.938,34.017,6166,0
20120131,34.284,34.489,34.213,34.293,6333,0
20120201,34.489,34.489,34.331,34.331,7998,0
20120202,34.41,34.41,34.182,34.293,21533,0
20120203,34.609,35.081,34.293,35.063,7822,0
20120206,34.859,34.859,34.686,34.686,15294,0
20120207,34.884,34.884,34.293,34.663,8561,0
20120208,34.845,34.845,34.821,34.828,15241,0
20120209,34.694,34.694,34.387,34.451,4821,0
20120210,34.37,34.884,34.37,34.725,4107,0
20120213,34.884,34.884,34.37,34.451,6309,0
20120214,34.678,34.884,34.489,34.686,4002,0
20120215,34.686,34.845,34.37,34.765,6840,0
20120216,34.686,35.017,34.316,34.545,6424,0
20120217,34.845,34.845,34.686,34.845,2523,0
20120221,35.081,35.356,35.081,35.199,8116,0
20120222,34.994,35.293,34.474,34.474,3617,0
20120223,34.498,35.333,34.498,34.93,3853,0
20120224,35.333,35.475,34.41,34.948,5404,0
20120227,34.711,35.434,34.37,35.396,3272,0
20120228,35.428,36.033,35.255,36.033,15931,0
20120229,35.063,35.626,35.056,35.626,7082,0
20120301,35.553,36.018,35.239,35.553,4313,0
20120302,35.53,35.664,35.286,35.562,6406,0
20120305,35.404,35.459,34.686,35.089,4263,0
20120306,35.081,35.081,34.741,34.821,3514,0
20120307,35.063,35.562,34.961,35.341,2952,0
20120308,35.616,35.616,34.852,35.434,9723,0
20120309,35.278,35.388,35.239,35.239,886,0
20120312,35.239,35.861,35.239,35.475,18204,0
20120313,35.53,35.742,35.396,35.42,16267,0
20120314,35.467,36.026,35.467,35.553,9687,0
20120315,35.475,36.026,35.475,35.782,8299,0
20120316,35.986,35.986,35.579,35.711,8188,0
20120319,35.553,36.264,35.553,36.026,4345,0
20120320,35.711,36.256,35.657,35.719,3344,0
20120321,35.79,36.065,35.711,35.719,4821,0
20120322,35.711,35.751,35.672,35.751,8264,0
20120323,35.79,36.106,35.751,35.751,2284,0
20120326,35.711,36.201,35.711,35.751,5801,0
20120327,35.79,36.01,35.79,36.01,1014,0
20120328,36.051,36.051,35.759,36.026,5971,0
20120329,36.059,36.201,35.884,36.169,2379,0
20120330,36.065,36.201,35.806,36.163,12776,0
20120402,36.145,36.201,35.837,35.94,8057,0
20120403,35.893,36.201,35.867,35.867,5530,0
20120404,35.846,36.018,35.829,35.979,4676,0
20120405,35.949,36.201,35.877,36.154,2580,0
20120409,36.617,36.617,35.867,36.332,1842,0
20120410,35.751,35.829,35.711,35.79,4485,0
20120411,35.97,36.08,35.672,35.759,2974,0
20120412,36.319,36.341,35.846,36.303,5905,0
20120413,36.175,36.382,36.106,36.106,6008,0
20120416,35.814,36.256,35.814,36.238,1500,0
20120417,36.264,36.382,35.908,36.065,9720,0
20120418,35.711,35.949,35.475,35.506,13307,0
20120419,35.759,35.79,35.688,35.688,2950,0
20120420,35.111,35.111,35.042,35.056,2409,0
20120423,35.033,35.42,34.789,35.42,3909,0
20120424,34.789,35.633,34.789,35.262,2404,0
20120425,35.545,35.545,35.434,35.434,3458,0
20120426,35.262,35.262,35.159,35.159,2284,0
20120427,35.098,35.482,35.098,35.475,2409,0
20120430,35.704,35.711,35.089,35.711,2495,0
20120501,35.688,35.711,35.081,35.166,7640,0
20120502,35.159,35.159,34.954,35.081,3420,0
20120503,35.05,35.53,34.805,35.523,1701,0
20120504,34.811,35.356,34.686,35.317,5304,0
20120507,35.255,35.348,34.954,35.348,506,0
20120508,35.278,35.388,35.026,35.073,2840,0
20120509,34.93,35.348,34.93,35.255,2867,0
20120510,34.859,35.175,34.859,35.056,8664,0
20120511,34.884,35.081,34.884,34.923,4087,0
20120514,34.923,34.954,34.725,34.789,4486,0
20120515,34.884,35.073,34.884,35.073,380,0
20120516,34.923,35.073,34.914,35.073,8563,0
20120517,34.765,35.428,34.711,34.884,4444,0
20120518,33.04,34.252,33.04,33.882,38029,0
20120521,33.906,34.079,33.898,33.945,15338,0
20120522,34.096,34.103,33.567,33.781,13319,0
20120523,33.629,34.017,33.307,33.623,11197,0
20120524,33.89,34.277,33.819,33.819,1523,0
20120525,33.819,34.079,33.74,33.74,6393,0
20120529,33.575,34.396,33.575,33.945,2443,0
20120530,34.221,34.567,34.198,34.567,2159,0
20120531,34.669,34.669,33.922,34.648,3808,0
20120601,34.34,34.567,34.213,34.521,2284,0
20120604,34.527,34.583,34.017,34.293,1524,0
20120605,34.11,34.648,34.055,34.639,8499,0
20120606,34.656,35.081,34.656,35.081,5929,0
20120607,34.725,35.396,34.616,35.293,5650,0
20120608,34.213,35.475,34.213,35.475,8478,0
20120611,35.664,35.664,35.103,35.103,4400,0
20120612,35.033,35.657,35.003,35.278,7220,0
20120613,34.182,35.239,33.393,34.907,34509,0
20120614,35.239,35.664,35.159,35.608,18032,0
20120615,35.514,36.018,35.341,35.475,4098,0
20120618,35.633,36.209,35.633,35.853,21955,0
20120619,35.949,36.169,35.742,36.073,6699,0
20120620,35.867,36.201,35.679,35.963,14496,0
20120621,36.073,36.367,35.679,36.051,6344,0
20120622,35.679,36.089,35.679,35.861,2818,0
20120625,35.672,36.711,35.585,35.657,5823,0
20120626,36.681,36.681,35.482,36.491,17017,0
20120627,36.508,36.932,36.065,36.405,6877,0
20120628,36.555,36.736,36.546,36.579,8163,0
20120629,37.053,37.053,36.01,36.224,9383,0
20120702,36.279,36.775,35.884,36.264,8981,0
20120703,36.413,36.617,36.279,36.586,3559,0
20120705,36.698,37.013,36.461,36.815,2537,0
20120706,36.932,37.627,36.932,37.249,28558,0
20120709,37.249,37.405,37.013,37.013,5536,0
20120710,37.114,37.556,37.053,37.061,5336,0
20120711,37.469,37.469,36.979,37.154,9350,0
20120712,37.445,37.445,37.034,37.249,8269,0
20120713,37.571,37.571,37.034,37.249,12014,0
20120716,37.494,37.494,36.971,37.287,7486,0
20120717,37.287,37.494,36.979,37.359,26115,0
20120718,36.997,37.13,36.801,37.027,17775,0
20120719,37.006,37.438,36.924,37.146,19233,0
20120720,36.801,37.067,36.279,36.855,11462,0
20120723,36.626,36.633,34.686,36.341,14361,0
20120724,36.917,36.917,36.169,36.681,4198,0
