Date,Open,High,Low,Close,Volume,OpenInt
20050225,0.9638,0.9807,0.9553,0.9807,19871,0
20050228,0.9722,0.9977,0.9722,0.9977,24602,0
20050301,0.989,1.0062,0.989,1.0062,17980,0
20050303,0.989,0.9977,0.989,0.9977,11829,0
20050304,0.989,1.0062,0.989,1.0062,11356,0
20050307,0.9977,0.9977,0.9977,0.9977,475,0
20050309,0.9977,0.9977,0.9807,0.9807,4259,0
20050310,0.9722,0.9722,0.9722,0.9722,2366,0
20050311,0.9638,0.9638,0.9638,0.9638,5676,0
20050314,0.9553,0.9638,0.9384,0.9384,23187,0
20050315,0.9299,0.9638,0.9299,0.9638,24130,0
20050316,0.8961,0.8961,0.8875,0.8961,36435,0
20050317,0.9045,0.9045,0.9045,0.9045,5206,0
20050318,0.9215,0.9384,0.9215,0.9384,17980,0
20050321,0.9384,0.9384,0.9384,0.9384,475,0
20050322,0.947,0.9638,0.947,0.9638,17508,0
20050328,0.9638,0.9807,0.9553,0.9722,15141,0
20050329,0.9722,0.9977,0.9722,0.9977,11829,0
20050330,0.9977,1.0144,0.9977,1.0144,19399,0
20050331,1.0144,1.0144,0.9638,0.9807,29336,0
20050401,0.9807,0.9807,0.9807,0.9807,10410,0
20050404,0.9807,0.9807,0.9807,0.9807,3786,0
20050405,0.9807,0.9807,0.9045,0.947,62455,0
20050406,0.947,0.9553,0.9299,0.947,21290,0
20050407,0.9299,0.9384,0.9299,0.9384,10881,0
20050408,0.9384,0.9638,0.9384,0.947,21766,0
20050411,0.9553,0.9553,0.947,0.947,5206,0
20050412,0.947,0.947,0.947,0.947,6624,0
20050413,0.947,0.947,0.9299,0.9299,37854,0
20050414,0.9299,0.9299,0.9045,0.9045,24602,0
20050415,0.8624,0.8624,0.7861,0.7861,97472,0
20050418,0.7776,0.7776,0.7609,0.7609,15141,0
20050419,0.7693,0.7693,0.7693,0.7693,4733,0
20050420,0.7693,0.7693,0.7693,0.7693,1420,0
20050421,0.7609,0.7609,0.7522,0.7522,7098,0
20050422,0.7609,0.7609,0.7609,0.7609,4259,0
20050425,0.7609,0.7861,0.7609,0.7861,26969,0
20050426,0.7861,0.8032,0.7861,0.8032,25078,0
20050427,0.8032,0.8117,0.7948,0.8117,11829,0
20050429,0.7948,0.8198,0.7948,0.8032,10410,0
20050502,0.7948,0.7948,0.7948,0.7948,11356,0
20050503,0.7948,0.7948,0.7948,0.7948,944,0
20050504,0.7861,0.7861,0.7776,0.7776,3313,0
20050505,0.7609,0.7609,0.7272,0.7355,25550,0
20050509,0.7355,0.7355,0.7355,0.7355,4259,0
20050510,0.7186,0.7272,0.7186,0.7272,17031,0
20050511,0.7186,0.7272,0.7186,0.7272,8044,0
20050512,0.7186,0.7186,0.7101,0.7101,5206,0
20050513,0.7101,0.7101,0.7101,0.7101,944,0
20050517,0.7101,0.7101,0.6933,0.7017,8988,0
20050518,0.7017,0.7017,0.6933,0.7017,8516,0
20050519,0.7186,0.7186,0.6933,0.6933,26969,0
20050523,0.7101,0.7272,0.7101,0.7272,10881,0
20050524,0.7186,0.7186,0.7186,0.7186,4259,0
20050525,0.7272,0.7272,0.7101,0.7101,8516,0
20050526,0.7272,0.7272,0.6846,0.6846,32646,0
20050531,0.6846,0.6933,0.6846,0.6933,8044,0
20050601,0.7017,0.7272,0.7017,0.7101,46843,0
20050602,0.7101,0.7101,0.7101,0.7101,1894,0
20050603,0.7186,0.7186,0.7186,0.7186,3786,0
20050606,0.7272,0.7442,0.7186,0.7186,21290,0
20050607,0.7186,0.7272,0.7186,0.7272,6151,0
20050608,0.7272,0.7609,0.7272,0.7609,26497,0
20050609,0.7693,0.7693,0.7522,0.7609,28863,0
20050610,0.7522,0.7522,0.7442,0.7442,2366,0
20050613,0.7442,0.7522,0.7442,0.7522,4733,0
20050614,0.7355,0.7355,0.7186,0.7272,9937,0
20050615,0.7272,0.7272,0.7272,0.7272,944,0
20050616,0.7272,0.7272,0.7272,0.7272,7572,0
20050617,0.7272,0.7272,0.7272,0.7272,5206,0
20050620,0.7355,0.837,0.7355,0.837,43529,0
20050621,0.8538,0.947,0.8538,0.947,92266,0
20050622,0.947,0.947,0.9299,0.9299,32175,0
20050623,0.9299,0.9299,0.9045,0.9045,20347,0
20050624,0.8961,0.8961,0.8624,0.8624,14667,0
20050627,0.8708,0.8708,0.8624,0.8624,9937,0
20050628,0.8117,0.8198,0.8117,0.8198,46843,0
20050629,0.8198,0.837,0.8198,0.8285,8044,0
20050630,0.8285,0.8285,0.8198,0.8285,9463,0
20050701,0.8285,0.8285,0.8198,0.8198,8044,0
20050705,0.8285,0.837,0.8117,0.8117,18453,0
20050706,0.8117,0.8285,0.8117,0.8198,32175,0
20050707,0.8198,0.8198,0.8117,0.8117,2366,0
20050708,0.8117,0.8117,0.8032,0.8117,13723,0
20050711,0.8198,0.837,0.8032,0.8117,40692,0
20050712,0.8198,0.8198,0.8117,0.8117,3313,0
20050713,0.8032,0.8032,0.8032,0.8032,3786,0
20050714,0.7948,0.7948,0.7693,0.7693,12302,0
20050715,0.7776,0.7776,0.7693,0.7776,17508,0
20050718,0.7861,0.7861,0.7861,0.7861,944,0
20050719,0.7861,0.7861,0.7861,0.7861,24130,0
20050720,0.7693,0.7693,0.7693,0.7693,5206,0
20050722,0.7776,0.7776,0.7522,0.7522,5676,0
20050725,0.7442,0.7442,0.7442,0.7442,24602,0
20050726,0.7442,0.7609,0.7442,0.7442,15614,0
20050727,0.7442,0.7442,0.7442,0.7442,3786,0
20050728,0.7272,0.7272,0.7272,0.7272,944,0
20050729,0.7522,0.7522,0.7442,0.7442,10881,0
20050801,0.7442,0.7442,0.7442,0.7442,9463,0
20050803,0.7522,0.7522,0.7522,0.7522,7572,0
20050808,0.7522,0.7522,0.7522,0.7522,9463,0
20050809,0.7609,0.7609,0.7522,0.7522,6151,0
20050811,0.7522,0.7522,0.7522,0.7522,1420,0
20050812,0.7442,0.7442,0.7272,0.7355,12777,0
20050815,0.7522,0.7522,0.7522,0.7522,6151,0
20050816,0.7442,0.7442,0.7442,0.7442,2366,0
20050817,0.7272,0.7272,0.7272,0.7272,2366,0
20050818,0.7272,0.7272,0.7017,0.7017,5206,0
20050819,0.7017,0.7017,0.7017,0.7017,475,0
20050822,0.7609,0.7776,0.7609,0.7776,40692,0
20050823,0.7776,0.7776,0.7522,0.7522,11829,0
20050824,0.7442,0.7442,0.7442,0.7442,9463,0
20050826,0.7522,0.7522,0.7442,0.7442,3313,0
20050829,0.7272,0.7355,0.7186,0.7355,41166,0
20050830,0.7186,0.7272,0.7186,0.7186,16561,0
20050901,0.7186,0.7522,0.7101,0.7272,53469,0
20050906,0.7186,0.7186,0.7017,0.7101,56305,0
20050907,0.7442,0.7442,0.7186,0.7355,48262,0
20050908,0.7186,0.7272,0.7186,0.7272,6624,0
20050909,0.7272,0.7272,0.7272,0.7272,475,0
20050912,0.7272,0.7693,0.7272,0.7693,15614,0
20050913,0.7522,0.7522,0.7522,0.7522,4259,0
20050914,0.7442,0.7442,0.7186,0.7186,44003,0
20050915,0.7186,0.7186,0.7101,0.7101,9937,0
