Date,Open,High,Low,Close,Volume,OpenInt
20150422,25.5,25.5,25.13,25.35,473008,0
20150424,25.52,25.62,25.48,25.51,14700,0
20150427,25.57,25.63,25.03,25.08,7100,0
20150428,25.59,25.61,25.05,25.35,15000,0
20150429,25.47,25.47,25.47,25.47,100,0
20150501,24.7,24.79,24.7,24.79,3700,0
20150504,24.95,24.95,24.92,24.92,400,0
20150505,24.8,24.8,24.7,24.72,600,0
20150506,24.71,24.74,24.641,24.641,4000,0
20150507,24.7,24.81,24.7,24.81,1434,0
20150508,24.88,24.88,24.88,24.88,300,0
20150511,25.07,25.07,25.01,25.01,300,0
20150512,24.6,24.6,24.45,24.586,4464,0
20150513,24.87,24.87,24.65,24.65,500,0
20150514,24.89,24.9,24.87,24.87,3200,0
20150515,24.861,24.88,24.861,24.88,600,0
20150518,24.949,24.949,24.87,24.87,7380,0
20150519,25,25.05,25,25.02,3200,0
20150520,25.02,25.1,25.02,25.1,800,0
20150521,25.26,25.26,25.25,25.25,800,0
20150522,25.25,25.25,25.22,25.22,200,0
20150526,25.013,25.013,24.79,24.81,900,0
20150527,25.12,25.12,25.12,25.12,300,0
20150528,25.12,25.12,24.999,25,559,0
20150529,25.04,25.05,25.04,25.05,900,0
20150601,25.14,25.14,25.14,25.14,100,0
20150602,25.278,25.278,25.278,25.278,123,0
20150603,25.44,25.6,25.44,25.53,84000,0
20150604,25.44,25.44,25.34,25.35,29600,0
20150605,25.32,25.34,25.27,25.3,5000,0
20150609,25.19,25.28,25.19,25.25,20568,0
20150610,25.58,25.58,25.57,25.57,25495,0
20150611,25.49,25.59,25.44,25.59,25760,0
20150612,25.47,25.59,25.47,25.59,700,0
20150615,25.19,25.59,25.19,25.57,32700,0
20150616,25.47,25.47,25.47,25.47,28700,0
20150617,25.76,25.76,25.49,25.49,9000,0
20150618,25.75,25.75,25.75,25.75,1000,0
20150619,25.65,25.65,25.6,25.6,400,0
20150623,25.7,25.74,25.7,25.74,508,0
20150624,26.1,26.47,25.77,25.79,9300,0
20150625,25.47,25.47,25.26,25.31,2000,0
20150626,25.08,25.08,25.08,25.08,800,0
20150630,24.79,24.79,24.79,24.79,1270,0
20150707,24.11,24.6,24.07,24.6,3400,0
20150710,24.68,24.9,24.68,24.9,2300,0
20150713,25.07,25.07,24.98,25.06,1100,0
20150714,25.1,25.2,25.1,25.2,30170,0
20150715,25.1,25.143,24.945,24.945,32347,0
20150716,25.07,25.11,25.04,25.11,1100,0
20150717,25.04,25.04,25.02,25.02,400,0
20150720,25,25,25,25,500,0
20150721,25.04,25.11,25.04,25.11,1700,0
20150723,25.49,25.49,25.07,25.07,1400,0
20150727,24.31,24.32,24.29,24.32,1800,0
20150728,24.15,24.48,24.07,24.48,2800,0
20150729,24.53,24.53,24.53,24.53,100,0
20150730,24.44,24.6,24.44,24.56,4300,0
20150731,24.47,24.47,24.47,24.47,100,0
20150803,24.3,24.51,24.18,24.25,1571,0
20150804,24.34,24.34,24.34,24.34,300,0
20150810,24.78,24.97,24.77,24.97,1300,0
20150811,24.88,24.88,24.77,24.77,1773,0
20150814,24.42,24.42,24.42,24.42,100,0
20150818,24.09,24.09,24.09,24.09,400,0
20150819,23.83,23.83,23.83,23.83,200,0
20150820,23.41,23.41,23.41,23.41,900,0
20150821,22.73,22.73,22.56,22.56,1600,0
20150824,21.8,21.8,21.75,21.76,1700,0
20150825,21.62,22.71,21.62,22.23,3500,0
20150826,22.35,22.35,22.3,22.33,1700,0
20150901,23.59,23.59,22.87,22.88,4300,0
20150902,22.84,22.84,22.84,22.84,400,0
20150903,23.36,23.36,23.3,23.3,3500,0
20150908,23.66,23.66,23.17,23.39,800,0
20150909,23.65,23.65,23.51,23.51,1000,0
20150910,23.16,23.16,23.16,23.16,1230,0
20150911,23.02,23.02,23,23,900,0
20150916,23.19,23.2,23.16,23.17,2000,0
20150917,23.21,23.77,23.21,23.77,3000,0
20150921,23.03,23.07,23.02,23.07,3400,0
20150923,22.42,22.47,22.42,22.47,200,0
20150928,21.52,21.52,21.52,21.52,684,0
20150929,22.47,22.47,21.19,21.19,7000,0
20150930,21.09,21.42,21.08,21.42,7800,0
20151001,21.33,21.33,21.12,21.17,500,0
20151005,22.25,22.5,22.2,22.5,1323,0
20151006,22.57,22.57,22.43,22.5,6500,0
20151007,23.09,23.09,22.65,22.93,1400,0
20151009,23.22,23.22,23.17,23.17,1600,0
20151012,23.232,23.232,23.232,23.232,700,0
20151013,23.26,23.26,22.81,22.81,200,0
20151016,22.8,22.8,22.8,22.8,200,0
20151019,22.76,22.76,22.66,22.66,800,0
