Date,Open,High,Low,Close,Volume,OpenInt
20141204,23.191,23.245,23.063,23.245,6194,0
20141205,23.2,23.2,23.194,23.194,1960,0
20141208,23.154,23.154,23.145,23.15,2752,0
20141209,23.154,25.469,23.063,24.716,21963,0
20141210,23.154,23.154,22.879,23,16843,0
20141212,23.154,23.154,23.109,23.154,2409,0
20141215,23.154,23.154,22.759,22.833,14448,0
20141216,22.879,23.109,22.85,22.877,3482,0
20141217,22.879,22.879,22.74,22.85,1946,0
20141218,22.833,22.833,22.833,22.833,2184,0
20141219,23.109,23.109,23.063,23.063,326,0
20141222,23.063,23.063,22.934,23.04,12968,0
20141223,23.063,23.063,23.063,23.063,2394,0
20141224,23.015,23.015,22.97,23.015,1632,0
20141226,23.109,23.109,23.109,23.109,2074,0
20141229,23.008,23.015,23.008,23.015,364,0
20141230,23.015,23.015,23.015,23.015,2817,0
20141231,22.97,23.063,22.97,23.015,14479,0
20150102,23.109,23.109,23.015,23.015,2530,0
20150105,23.015,23.08,23.015,23.015,5550,0
20150106,23.044,23.053,23.041,23.053,2807,0
20150107,23.063,23.063,23.015,23.015,3222,0
20150108,23.135,23.154,23.063,23.154,7836,0
20150112,23.109,23.109,23.063,23.063,1154,0
20150113,23.063,23.154,22.97,23.109,6999,0
20150114,23.052,23.053,22.934,23.012,3477,0
20150115,23.015,23.053,23.015,23.034,1197,0
20150116,23.145,23.154,23.063,23.071,2100,0
20150120,23.154,23.154,23.015,23.08,7829,0
20150121,23.015,23.08,23.015,23.015,7146,0
20150122,23.015,23.106,23.015,23.063,11904,0
20150123,23.063,23.063,23.015,23.034,3379,0
20150126,23.015,23.063,22.998,23.015,8152,0
20150127,23.015,23.07,23.015,23.059,12665,0
20150128,23.303,23.303,23.257,23.299,2610,0
20150129,23.294,23.294,23.274,23.274,2957,0
20150130,23.294,23.397,23.294,23.397,2192,0
20150202,23.359,23.359,23.359,23.359,541,0
20150203,23.444,23.444,23.397,23.425,1178,0
20150204,23.444,23.444,23.444,23.444,1831,0
20150205,23.49,23.49,23.378,23.397,3640,0
20150206,23.415,23.415,23.406,23.406,1391,0
20150209,23.406,23.49,23.397,23.397,3640,0
20150210,23.406,23.453,23.397,23.397,4725,0
20150211,23.388,23.388,23.388,23.388,108,0
20150212,23.425,23.425,23.388,23.397,9141,0
20150213,23.397,23.415,23.374,23.397,8412,0
20150217,23.397,23.686,23.397,23.397,7954,0
20150219,23.49,23.49,23.49,23.49,428,0
20150220,23.537,23.724,23.537,23.537,2392,0
20150223,23.836,23.836,23.808,23.808,1285,0
20150224,23.723,23.724,23.584,23.63,2343,0
20150225,23.673,23.724,23.673,23.724,2337,0
20150226,23.817,23.85,23.678,23.836,10493,0
20150227,23.929,23.929,23.63,23.64,19342,0
20150302,23.678,23.817,23.668,23.678,15417,0
20150303,23.724,23.724,23.63,23.724,52462,0
20150304,23.817,24.022,23.798,24.004,11349,0
20150305,23.817,23.817,23.817,23.817,321,0
20150306,24.022,24.022,23.724,23.724,535,0
