Date,Open,High,Low,Close,Volume,OpenInt
20061101,11.588,12.668,11.588,11.851,377518,0
20061102,12.344,12.351,11.969,12.351,68409,0
20061103,12.344,12.47,12.165,12.359,125728,0
20061106,12.513,13.126,12.513,13.058,12740,0
20061107,12.513,13.482,12.513,13.151,18909,0
20061108,13.21,13.21,13.126,13.126,3239,0
20061109,12.973,13.126,12.973,13.126,1449,0
20061110,12.895,13.126,12.895,12.938,3630,0
20061113,13.126,13.126,13.126,13.126,2332,0
20061114,13.126,13.126,13.126,13.126,2488,0
20061115,12.938,13.126,12.938,13.126,10158,0
20061116,13.126,13.126,13.117,13.126,34750,0
20061117,13.126,13.126,12.938,12.938,1617,0
20061120,13.126,13.126,13.126,13.126,1413,0
20061121,13.126,13.126,13.022,13.022,3949,0
20061124,13.126,13.126,13.126,13.126,261,0
20061127,13.126,13.126,12.938,12.938,2889,0
20061128,13.126,13.126,12.895,12.895,3692,0
20061129,13.126,13.126,13.126,13.126,457,0
20061130,12.82,13.048,12.82,13.048,17741,0
20061201,13.09,13.126,13.048,13.126,2357,0
20061204,13.126,13.126,12.869,12.869,1683,0
20061205,13.126,13.126,13.015,13.015,2758,0
20061206,13.108,13.108,12.869,12.869,13593,0
20061207,12.862,12.862,12.862,12.862,13079,0
20061208,12.973,12.973,12.886,12.973,3096,0
20061211,12.895,12.895,12.862,12.862,261,0
20061212,12.869,12.869,12.844,12.862,16260,0
20061213,12.862,12.862,12.862,12.862,6445,0
20061214,12.785,12.862,12.675,12.675,5309,0
20061215,12.548,12.615,12.548,12.615,1360,0
20061218,12.82,12.82,12.659,12.701,5054,0
20061219,12.701,12.802,12.615,12.743,1808,0
20061220,12.82,12.82,12.701,12.82,8808,0
20061221,12.743,12.82,12.683,12.82,8214,0
20061227,12.82,12.82,12.82,12.82,1295,0
20061228,12.802,12.82,12.802,12.82,389,0
20061229,12.82,12.82,12.82,12.82,800,0
20070103,12.743,12.82,12.743,12.743,6733,0
20070104,12.615,12.743,12.583,12.583,13171,0
20070105,12.743,12.82,12.548,12.743,117976,0
20070108,12.973,12.973,12.82,12.82,8026,0
20070109,12.973,12.973,12.597,12.768,1139,0
20070110,12.785,12.785,12.785,12.785,1942,0
20070112,12.964,12.973,12.895,12.895,4597,0
20070116,12.938,12.938,12.912,12.912,5945,0
20070117,12.725,12.725,12.513,12.668,6252,0
20070119,12.623,12.623,12.615,12.623,3619,0
20070122,12.701,12.743,12.588,12.588,3576,0
20070123,12.623,12.623,12.548,12.556,4608,0
20070124,12.548,12.623,12.513,12.513,2846,0
20070125,12.588,12.623,12.513,12.513,8413,0
20070126,12.623,12.623,12.513,12.513,3884,0
20070129,12.623,12.623,12.446,12.47,8362,0
20070130,12.438,12.548,12.438,12.548,4791,0
20070131,12.394,12.623,12.394,12.513,5436,0
20070201,12.513,12.513,12.446,12.446,34059,0
20070202,12.394,12.42,12.394,12.42,327,0
20070205,12.429,12.438,12.293,12.293,5958,0
20070206,12.241,12.359,12.241,12.359,2553,0
20070207,12.359,12.359,12.359,12.359,9195,0
20070208,12.359,12.359,12.259,12.259,1295,0
20070209,12.293,12.303,12.045,12.045,18448,0
20070212,12.045,12.31,12.004,12.31,6261,0
20070213,12.192,12.192,12.182,12.182,261,0
20070214,12.182,12.394,12.165,12.359,2127,0
20070215,12.231,12.359,12.198,12.359,1037,0
20070220,12.208,12.208,12.198,12.198,517,0
20070221,12.165,12.359,12.141,12.359,1355,0
20070222,12.359,12.359,12.174,12.198,1556,0
20070223,12.174,12.174,12.141,12.141,1037,0
20070226,12.141,12.182,12.123,12.182,2234,0
