Date,Open,High,Low,Close,Volume,OpenInt
20130925,5.75,5.75,5.45,5.45,26400,0
20130926,5.65,5.65,5.47,5.47,12000,0
20130927,5.5,5.55,5.5,5.55,5800,0
20130930,5.55,5.6,5.5,5.5,10000,0
20131001,5.6,5.6,5.51,5.51,900,0
20131002,5.5,5.5,5.5,5.5,800,0
20131003,5.75,5.75,5.5,5.7,1400,0
20131004,5.75,6,5.75,5.96,3100,0
20131007,5.75,5.75,5.75,5.75,2000,0
20131008,5.8,5.8,5.8,5.8,500,0
20131009,5.8,5.8,5.8,5.8,500,0
20131010,5.8,5.8,5.75,5.75,5200,0
20131011,5.75,5.75,5.75,5.75,1900,0
20131014,5.7,5.7,5.7,5.7,600,0
20131015,5.62,5.62,5.6,5.61,2900,0
20131016,5.7,5.7,5.36,5.7,6000,0
20131017,5.7,5.7,5.7,5.7,620,0
20131018,5.7,5.7,5.7,5.7,1000,0
20131022,5.52,5.7,5.4,5.4,3000,0
20131023,5.52,5.52,5.45,5.45,11400,0
20131024,5.79,5.8,5.4,5.7,10500,0
20131028,5.75,5.8,5.3,5.55,19700,0
20131029,5.48,5.8,5.48,5.5,8400,0
20131030,5.5,5.7,5.35,5.7,8900,0
20131031,5.8,5.8,5.26,5.26,25400,0
20131101,5.48,5.48,5.34,5.35,5800,0
20131104,5.75,5.75,5.37,5.37,37400,0
20131105,5.37,5.43,5.31,5.35,33800,0
20131106,5.35,5.52,5.34,5.5,18900,0
20131107,5.6,5.6,5.49,5.49,6800,0
20131108,5.25,5.5,5.25,5.5,5400,0
20131111,5.56,5.56,5.43,5.44,5400,0
20131112,5.25,5.45,5.07,5.41,6900,0
20131113,5.21,5.45,5.21,5.4,5000,0
20131114,5.4,5.45,5.4,5.45,8600,0
20131115,5.41,5.41,5,5,43900,0
20131118,5.01,5.24,5.01,5.24,5700,0
20131119,5,5.39,5,5.39,1000,0
20131120,5.05,5.36,5,5.33,2900,0
20131121,5.32,5.32,5.3,5.32,3000,0
20131122,5.32,5.32,5.32,5.32,1100,0
20131125,5.25,5.25,5.25,5.25,2400,0
20131126,5,5.25,5,5.25,5700,0
20131127,5.38,5.4,5.35,5.35,1500,0
20131129,5.4,5.4,5.37,5.39,1500,0
20131202,5.15,5.39,5.1,5.39,800,0
20131203,5.25,5.46,5.25,5.42,7900,0
20131204,5.26,5.39,5.26,5.39,3400,0
20131205,5.34,5.34,5.34,5.34,100,0
20131206,5.3799,5.38,5.3799,5.38,1850,0
20131209,5.12,5.2,5.12,5.2,1600,0
20131210,5.34,5.34,5.34,5.34,100,0
20131212,5.11,5.4,5.11,5.4,1100,0
20131213,5.4,5.4,5.4,5.4,775,0
20131216,5.2,5.4,5.2,5.4,700,0
20131217,5.3,5.39,5.3,5.39,1600,0
20131219,5.389,5.497,5.38,5.4,6888,0
20131220,5.36,5.4,5.35,5.4,1140,0
20131223,5.4,5.4,5.4,5.4,5200,0
20131226,5.4,5.4,5.25,5.27,1800,0
20131227,5.37,5.39,5.37,5.39,1100,0
20131230,5.38,5.39,5.38,5.39,900,0
20131231,5.36,5.4,5.35,5.4,2200,0
20140102,5.4,5.42,5.35,5.35,8173,0
20140103,5.4,5.84,5.4,5.75,43270,0
20140106,5.75,5.8,5.07,5.51,340300,0
20140107,5.67,5.67,5.62,5.62,1950,0
20140108,5.56,5.6,5.56,5.6,2900,0
20140109,5.56,5.71,5.55,5.71,2665,0
20140110,5.76,5.99,5.71,5.7701,15148,0
20140113,5.8,5.8,5.7648,5.8,8398,0
20140114,5.7,5.98,5.69,5.8,37600,0
20140115,5.8,5.89,5.7,5.87,53800,0
20140116,5.89,5.89,5.71,5.89,11300,0
20140117,5.98,5.99,5.8,5.99,12791,0
20140121,5.95,6.08,5.95,5.98,35453,0
20140122,5.99,5.99,5.85,5.85,5000,0
20140123,5.86,5.86,5.86,5.86,2000,0
20140124,5.87,5.87,5.74,5.8,12500,0
20140127,5.86,5.86,5.79,5.8,16500,0
20140128,5.92,5.92,5.76,5.8,10300,0
20140130,5.69,5.84,5.69,5.84,300,0
20140131,5.85,5.85,5.85,5.85,6000,0
20140203,5.85,5.85,5.75,5.75,10520,0
20140204,5.68,5.75,5.6001,5.75,417,0
20140206,5.61,5.75,5.61,5.75,600,0
20140207,5.73,5.7601,5.73,5.75,52089,0
20140210,5.75,5.85,5.7499,5.75,17400,0
20140211,5.75,5.77,5.64,5.7,7865,0
20140212,5.59,5.76,5.5,5.75,15400,0
20140213,5.99,5.99,5.62,5.7,7800,0
20140214,5.7499,5.7499,5.65,5.69,4482,0
20140218,5.98,5.98,5.61,5.65,3727,0
20140219,5.64,5.87,5.64,5.87,5646,0
20140220,5.69,5.75,5.69,5.75,8800,0
20140221,5.73,5.75,5.65,5.75,2706,0
20140224,5.65,5.7,5.65,5.66,9200,0
20140225,5.7,5.7,5.61,5.61,18029,0
20140226,5.75,5.75,5.7,5.7,3631,0
20140227,5.99,6.25,5.72,5.72,180266,0
20140228,5.9,5.9,5.73,5.81,18384,0
20140303,5.85,6.24,5.83,5.92,81705,0
20140304,5.97,6.05,5.89,5.9,76304,0
20140305,5.9,6.02,5.8,5.9901,44040,0
20140306,6,6.52,5.9989,6.5199,103508,0
20140307,6.51,6.6,6.39,6.5,58133,0
20140310,6.6675,6.75,6.564,6.75,11137,0
20140311,6.5174,6.99,6.5174,6.9,61533,0
20140312,7.1,7.1,6.8,7.08,20502,0
20140313,7.15,7.243,6.88,6.99,14677,0
20140314,6.97,6.97,6.85,6.88,4062,0
20140317,6.99,8.48,6.9001,7.98,114890,0
20140318,8.2,8.35,7.7,8.11,156850,0
20140319,8.16,8.35,8.05,8.34,65653,0
20140320,8.39,9,8.2301,8.69,90746,0
20140321,8.75,8.8,7.84,7.9,122862,0
20140324,8.04,8.3999,7.89,7.91,23508,0
20140325,8.22,8.6,7.85,8.19,28040,0
20140326,8.01,8.3,7.84,7.93,16300,0
20140327,7.98,8.07,7.85,7.96,12251,0
20140328,7.7829,8.07,7.7829,7.98,8941,0
20140331,7.99,8.1,7.99,8,40503,0
20140401,8.12,8.42,7.98,8.25,20050,0
20140402,8.3,8.47,8.2,8.27,22244,0
20140403,8.29,8.29,8.0201,8.11,28912,0
20140404,8.28,8.28,7.9,8.01,9799,0
