Date,Open,High,Low,Close,Volume,OpenInt
20050225,3.75,3.93,3.72,3.75,27452,0
20050228,3.75,3.87,3.54,3.63,95581,0
20050301,3.72,3.75,3.54,3.66,48562,0
20050302,3.6,3.69,3.51,3.57,35982,0
20050303,3.63,3.63,3.45,3.45,59599,0
20050304,3.39,3.57,3.36,3.48,59910,0
20050307,3.48,3.57,3.39,3.57,74407,0
20050308,3.45,3.57,3.45,3.45,45542,0
20050309,3.51,3.72,3.48,3.72,77813,0
20050310,3.63,4.5,3.39,3.84,899506,0
20050311,3.84,3.87,3.66,3.72,133080,0
20050314,3.72,3.84,3.66,3.72,50984,0
20050315,3.72,3.81,3.51,3.63,63524,0
20050316,3.69,3.69,3.45,3.45,40799,0
20050317,3.36,3.51,3.36,3.45,77499,0
20050318,3.45,3.57,3.36,3.45,36604,0
20050321,3.39,3.45,3.39,3.45,28650,0
20050322,3.42,3.51,3.3,3.3,45628,0
20050323,3.54,3.69,3.33,3.33,191778,0
20050324,3.33,3.66,3.33,3.42,54430,0
20050328,3.45,3.54,3.39,3.48,26935,0
20050329,3.54,3.54,3.3,3.36,49219,0
20050330,3.45,3.45,3.15,3.18,50237,0
20050331,3.18,3.24,3.12,3.18,32100,0
20050401,3.3,3.3,3.09,3.09,18196,0
20050404,3.12,3.18,2.91,3,68710,0
20050405,3,3.36,2.97,3.36,60826,0
20050406,3.3,3.3,3.03,3.15,28623,0
20050407,3.06,3.27,3.03,3.24,39016,0
20050408,3.48,3.48,3.06,3.09,71047,0
20050411,3.03,3.09,2.97,3.03,38885,0
20050412,3.03,3.12,3,3.12,20080,0
20050413,3.06,3.15,3,3.03,30773,0
20050414,3.12,3.12,2.76,2.91,132144,0
20050415,2.94,3,2.79,2.97,31829,0
20050418,3,3.09,2.91,3.02,38850,0
20050419,3,3.6,2.85,2.91,342320,0
20050420,3,3.15,2.88,3.05,99215,0
20050421,3.15,3.15,2.97,3.09,30009,0
20050422,2.94,3.09,2.88,2.88,41104,0
20050425,2.91,2.97,2.67,2.73,124762,0
20050426,2.76,2.87,2.58,2.7,59249,0
20050427,2.61,2.73,2.55,2.64,35581,0
20050428,2.76,2.76,2.52,2.58,43782,0
20050429,2.64,2.73,2.52,2.61,50429,0
20050502,2.58,2.73,2.55,2.73,31503,0
20050503,2.64,2.82,2.64,2.7,40264,0
20050504,2.73,2.85,2.67,2.76,28734,0
20050505,2.73,2.79,2.61,2.67,46616,0
20050506,2.64,2.85,2.64,2.73,21177,0
20050509,2.73,2.85,2.64,2.7,104289,0
20050510,2.64,2.88,2.55,2.76,44318,0
20050511,2.82,2.82,2.67,2.7,22581,0
20050512,2.73,2.85,2.7,2.76,62743,0
20050513,2.7,2.79,2.64,2.76,51912,0
20050516,2.79,2.79,2.58,2.7,22834,0
20050517,2.7,2.76,2.58,2.67,17271,0
20050518,2.64,2.76,2.64,2.67,10341,0
20050519,2.7,2.76,2.67,2.7,45033,0
20050520,2.64,2.82,2.64,2.7,148167,0
20050523,2.82,3,2.73,2.73,157817,0
20050524,2.82,2.88,2.73,2.82,127693,0
20050525,2.91,2.91,2.7,2.75,51241,0
20050526,2.7,2.79,2.7,2.79,22044,0
20050527,2.85,2.85,2.7,2.79,23146,0
20050531,2.82,2.91,2.7,2.85,20719,0
20050601,2.76,2.94,2.73,2.88,91207,0
20050602,2.76,3.03,2.76,3,41598,0
20050603,2.88,3.27,2.88,3.27,146657,0
20050606,3.27,3.45,3.21,3.3,60419,0
20050607,3.3,3.45,3.12,3.15,46435,0
20050608,3.12,3.45,3.09,3.42,102944,0
20050609,3.54,3.69,3.36,3.48,130642,0
20050610,3.63,3.63,3.36,3.45,42602,0
20050613,3.45,3.45,3.36,3.42,14497,0
20050614,3.33,3.45,3.24,3.3,41716,0
20050615,3.33,3.39,3.24,3.39,28217,0
20050616,3.33,3.42,3.33,3.39,17665,0
20050617,3.39,3.48,3.36,3.48,31087,0
20050620,3.48,3.54,3.33,3.42,21885,0
20050621,3.39,3.45,3.33,3.36,26939,0
20050622,3.48,3.48,3.24,3.24,21656,0
20050623,3.18,3.3,3.09,3.12,28775,0
20050624,3.09,3.15,3.03,3.06,32634,0
20050627,3,3.21,3,3.15,27690,0
20050628,3.09,3.39,3,3.36,34674,0
20050629,3.48,3.48,3.21,3.36,15736,0
20050630,3.09,3.6,3.09,3.48,34378,0
20050701,3.39,3.57,3.24,3.27,15221,0
20050705,3.36,3.42,3.03,3.09,32957,0
20050706,3.15,3.21,3.03,3.18,14562,0
20050707,3.17,3.21,3.03,3.18,13491,0
20050708,3.03,3.18,3.03,3.15,31024,0
20050711,3.12,3.15,3.06,3.15,10557,0
20050712,3.15,3.21,3.06,3.09,12916,0
20050713,3.15,3.3,3.06,3.3,41137,0
20050714,3.27,3.3,3.09,3.09,30398,0
20050715,3.09,3.24,3.09,3.09,21977,0
20050718,3.09,3.15,3.09,3.12,18471,0
20050719,3.06,3.15,3.03,3.09,38376,0
20050720,3.18,3.18,3.03,3.12,37330,0
20050721,3.03,3.09,3.03,3.06,12744,0
20050722,3.03,3.09,3,3.09,45796,0
20050725,2.97,3.12,2.97,3.03,29623,0
20050726,3.03,3.21,2.94,3.21,73378,0
20050727,3.15,3.27,3.12,3.18,23984,0
20050728,3.09,3.24,3,3.06,42335,0
20050729,3,3.12,3,3.09,22667,0
20050801,3.03,3.12,3.03,3.06,25712,0
20050802,3.06,3.09,3,3.06,35689,0
20050803,3,3,2.82,3,81585,0
20050804,3.06,3.06,2.79,2.94,39218,0
20050805,2.97,2.97,2.82,2.85,38320,0
20050808,3,3,2.79,2.88,32065,0
20050809,2.85,2.85,2.64,2.73,90453,0
20050810,2.73,2.76,2.67,2.73,29370,0
20050811,2.73,2.82,2.67,2.73,26130,0
20050812,2.73,2.79,2.64,2.69,39623,0
20050815,2.7,2.76,2.55,2.66,32998,0
20050816,2.58,2.73,2.58,2.73,34786,0
20050817,2.76,2.76,2.43,2.59,64692,0
20050818,2.61,2.61,2.46,2.57,28637,0
20050819,2.55,2.7,2.55,2.64,10091,0
20050822,2.7,2.7,2.37,2.4,111860,0
20050823,2.43,2.43,2.1,2.4,128489,0
20050824,2.34,2.43,2.28,2.43,63452,0
20050825,2.34,2.55,2.25,2.4,273049,0
20050826,2.4,2.43,2.31,2.34,25711,0
20050829,2.28,2.43,2.25,2.37,140213,0
20050830,2.22,2.52,2.22,2.25,47841,0
20050831,2.25,2.28,2.16,2.25,62066,0
20050901,2.25,2.37,2.22,2.34,35334,0
20050902,2.28,2.4,2.28,2.4,33135,0
20050906,2.4,2.4,2.28,2.28,34617,0
