Date,Open,High,Low,Close,Volume,OpenInt
20050225,24.208,24.606,23.993,24.606,61431,0
20050228,24.615,24.632,24.019,24.2,45625,0
20050301,24.226,24.261,23.569,24.234,63525,0
20050302,24.087,24.296,23.861,23.966,21259,0
20050303,24.053,24.128,23.524,23.758,39083,0
20050304,23.957,24.563,23.749,24.252,33505,0
20050307,24.417,24.417,23.835,23.861,26001,0
20050308,23.627,23.758,23.176,23.229,32347,0
20050309,23.193,23.611,22.977,23.402,22070,0
20050310,23.151,23.334,22.527,22.597,37336,0
20050311,22.389,22.657,21.807,22.05,25185,0
20050314,22.31,22.597,22.207,22.589,40562,0
20050315,22.328,23.168,21.981,22.207,44654,0
20050316,21.756,22.364,21.644,22.355,37445,0
20050317,22.44,22.883,22.24,22.7,38619,0
20050318,22.838,22.917,22.041,22.382,115181,0
20050321,22.345,22.553,21.756,21.756,45139,0
20050322,21.842,22.7,21.842,22.165,83691,0
20050323,22.102,23.271,22.059,22.891,117881,0
20050324,22.744,23.376,22.744,23.109,71514,0
20050328,23.176,23.21,22.865,23.1,57531,0
20050329,23.21,23.21,22.926,23.16,42331,0
20050330,23.21,23.253,22.977,23.21,44471,0
20050331,23.262,23.262,22.865,23.064,98846,0
20050401,23.135,23.135,22.328,22.58,182236,0
20050404,22.44,23.003,22.44,22.823,50163,0
20050405,22.942,23.135,22.804,23.091,45604,0
20050406,23.038,23.135,22.64,22.735,25626,0
20050407,22.83,23.03,22.527,23.03,25338,0
20050408,22.942,23.091,22.51,22.744,44011,0
20050411,22.7,22.874,22.303,22.303,44888,0
20050412,22.293,22.752,22.258,22.692,116184,0
20050413,22.735,22.83,22.147,22.285,48087,0
20050414,22.138,22.406,22.094,22.355,38262,0
20050415,22.422,22.631,22.094,22.094,29055,0
20050418,22.198,22.51,22.094,22.215,39540,0
20050419,22.165,22.518,22.12,22.518,79268,0
20050420,22.422,22.692,22.094,22.111,88535,0
20050421,22.527,22.58,22.198,22.527,58617,0
20050422,22.744,22.83,22.094,22.12,394538,0
20050425,22.215,22.319,22.094,22.267,56755,0
20050426,22.535,23.479,22.535,22.744,95042,0
20050427,22.683,23.394,22.683,23.012,38818,0
20050428,22.951,23.376,22.614,23.247,62020,0
20050429,23.22,23.686,22.181,23.603,73959,0
20050502,23.653,23.704,23.038,23.445,75898,0
20050503,23.506,23.533,22.813,22.874,63210,0
20050504,23.038,23.394,22.977,23.073,78236,0
