Date,Open,High,Low,Close,Volume,OpenInt
20111130,8.9335,8.9438,8.7286,8.7332,53726564,0
20111201,8.732,8.8454,8.4515,8.6118,19641976,0
20111202,8.7687,8.9725,8.6301,8.7824,7993550,0
20111205,8.9599,8.9702,8.6622,8.7103,6634207,0
20111206,8.74,8.7847,8.6324,8.6336,6422597,0
20111207,8.6198,8.9049,8.5168,8.8717,6187027,0
20111208,8.8293,8.8511,8.4744,8.487,6390340,0
20111209,8.5202,8.6988,8.4412,8.6141,3835567,0
20111212,8.5443,8.5706,8.4744,8.5214,4104284,0
20111213,8.621,8.7137,8.5408,8.7057,9835212,0
20111214,8.6748,8.6759,8.329,8.4401,7243815,0
20111215,8.4596,8.5832,8.3622,8.4092,6737205,0
20111216,8.4641,8.6679,8.3233,8.6496,15602048,0
20111219,8.7263,8.8293,8.5763,8.5958,6575948,0
20111220,8.7068,8.7984,8.4824,8.7492,4721525,0
20111221,8.7355,8.8545,8.6771,8.8213,3824605,0
20111222,8.8511,8.8511,8.716,8.7332,3345770,0
20111223,8.7217,8.9301,8.7194,8.8774,3110978,0
20111227,8.8202,8.8637,8.7481,8.8442,3672389,0
20111228,8.8545,8.866,8.7343,8.7744,3127408,0
20111229,8.8168,8.9507,8.6817,8.9347,3277528,0
20111230,8.9141,8.9599,8.8248,8.9358,4590464,0
20120103,9.0389,9.0789,8.8545,8.9656,7941370,0
20120104,8.9553,9.1866,8.9038,9.0732,7977147,0
20120105,9.0446,9.4659,9.0194,9.3755,9201026,0
20120106,9.2724,9.4453,9.2724,9.3239,4068778,0
20120109,9.3159,9.4327,9.3136,9.3652,4428465,0
20120110,9.4327,9.4877,9.3835,9.4029,5582136,0
20120111,9.3629,9.4213,9.3262,9.3526,3808918,0
20120112,9.3537,9.537,9.348,9.523,4023000,0
20120113,9.504,9.602,9.4235,9.536,4366197,0
20120117,9.666,9.767,9.634,9.654,4959942,0
20120118,9.697,9.804,9.634,9.783,4979726,0
20120119,9.773,9.843,9.724,9.727,4882135,0
20120120,9.691,9.738,9.505,9.524,4584280,0
