Date,Open,High,Low,Close,Volume,OpenInt
20050225,8.091,8.175,8.036,8.1305,94612,0
20050228,8.175,8.175,7.917,7.9765,126612,0
20050301,7.957,7.957,7.7735,7.818,210600,0
20050302,7.7785,7.798,7.555,7.709,144718,0
20050303,7.7535,7.7535,7.525,7.555,174208,0
20050304,7.5205,7.7735,7.5205,7.7735,29540,0
20050307,8.2645,8.5125,7.9915,8.195,255562,0
20050308,8.2,8.2495,8.091,8.18,91958,0
20050309,8.1405,8.2645,8.0955,8.185,149408,0
20050310,8.681,8.7205,8.2495,8.6015,196724,0
20050311,8.537,8.6065,8.2645,8.3935,86452,0
20050314,8.4035,8.6315,8.2695,8.453,136746,0
20050315,8.314,8.691,8.309,8.448,70256,0
20050316,8.418,8.6115,8.413,8.4875,47916,0
20050317,8.5175,8.7355,8.4825,8.7255,77442,0
20050318,8.7505,8.7505,8.2495,8.2595,183592,0
20050321,8.339,8.3435,8.22,8.304,58992,0
20050322,8.3635,8.4875,8.2445,8.2695,28626,0
20050323,8.2295,8.2295,8.18,8.215,32562,0
20050324,8.185,8.289,8.165,8.165,59902,0
20050328,8.16,8.215,7.922,8.061,62886,0
20050329,8.056,8.2395,7.8875,7.9815,58692,0
20050330,7.9815,8.18,7.962,8.17,28884,0
20050331,8.0955,8.284,7.927,8.046,57196,0
20050401,7.962,8.1305,7.962,8.071,53558,0
20050404,7.9965,8.304,7.9965,8.284,51598,0
20050405,8.3485,8.5175,8.319,8.5125,82166,0
20050406,8.542,8.562,8.339,8.3485,63204,0
20050407,8.309,8.3835,8.299,8.3585,40214,0
20050408,8.324,8.3485,8.18,8.18,32790,0
20050411,8.2745,8.284,8.16,8.18,30662,0
20050412,8.16,8.2695,8.036,8.225,39474,0
20050413,8.2295,8.289,8.061,8.071,44176,0
20050414,8.0265,8.1355,7.9765,7.9765,66296,0
20050415,7.942,7.942,7.7785,7.783,56384,0
20050418,7.8375,7.8475,7.704,7.7235,39052,0
20050419,7.7285,7.9715,7.7285,7.962,63154,0
20050420,7.962,7.962,7.7185,7.7335,51250,0
20050421,7.818,7.932,7.545,7.6195,90598,0
20050422,7.654,7.654,7.183,7.3565,87430,0
20050425,7.431,7.565,7.3615,7.525,34690,0
20050426,7.3765,7.451,7.2325,7.2375,70724,0
20050427,7.183,7.6145,6.925,7.312,69864,0
20050428,7.2275,7.302,7.203,7.2275,39994,0
20050429,7.208,7.3315,7.203,7.292,83462,0
20050502,7.3665,7.3715,7.1435,7.2175,84856,0
20050503,7.2775,7.3765,7.2425,7.3615,52708,0
20050504,7.3515,7.4705,7.3515,7.4015,41368,0
20050505,7.3865,7.426,7.198,7.2675,53954,0
20050506,7.2325,7.5005,7.2325,7.4015,69932,0
20050509,7.456,7.4705,7.3965,7.4705,87524,0
20050510,7.451,7.4805,7.3615,7.3865,52424,0
20050511,7.431,7.456,7.2725,7.292,49196,0
20050512,7.3565,7.3865,7.2525,7.2575,49720,0
20050513,7.2375,7.317,7.074,7.178,47926,0
20050516,7.049,7.158,7.049,7.158,46352,0
20050517,7.049,7.3865,7.049,7.3665,62748,0
20050518,7.3765,7.466,7.3615,7.466,43354,0
20050519,7.5005,7.5005,7.3865,7.441,53524,0
20050520,7.3465,7.431,7.3365,7.3715,45520,0
20050523,7.4705,7.4805,7.3615,7.3815,34414,0
20050524,7.292,7.4015,7.292,7.3865,43942,0
20050525,7.3465,7.3865,7.158,7.2775,79848,0
20050526,7.317,7.441,7.2325,7.3815,42476,0
20050527,7.456,7.4955,7.3865,7.3965,43184,0
20050531,7.3715,7.406,7.1185,7.2175,112310,0
20050601,7.1285,7.3865,7.1285,7.3465,41636,0
20050602,7.2375,7.3865,7.2375,7.3865,53250,0
20050603,7.322,7.4015,7.302,7.327,29956,0
20050606,7.3465,7.3465,7.158,7.198,48676,0
20050607,7.158,7.456,7.158,7.3565,52960,0
20050608,7.3665,7.3865,7.3365,7.3865,28020,0
20050609,7.327,7.3915,7.312,7.3865,29894,0
20050610,7.3465,7.3865,7.297,7.3865,28346,0
20050613,7.322,7.322,7.2475,7.292,24732,0
20050614,7.3465,7.4015,7.307,7.4015,15820,0
20050615,7.3615,7.411,7.297,7.406,44236,0
20050616,7.431,7.4905,7.406,7.451,49664,0
20050617,7.4755,7.4905,7.322,7.322,115312,0
20050620,7.312,7.4705,7.2725,7.441,52154,0
20050621,7.3715,7.431,7.327,7.3715,45120,0
20050622,7.3365,7.3765,7.322,7.3315,37008,0
20050623,7.431,7.5005,7.2725,7.3465,53950,0
20050624,7.287,7.292,7.178,7.178,90076,0
20050627,7.158,7.3665,7.1335,7.3665,39598,0
20050628,7.3365,7.3965,7.183,7.3965,48650,0
20050629,7.3915,7.3915,7.3565,7.3865,27732,0
20050630,7.3865,7.431,7.287,7.287,48542,0
20050701,7.3515,7.416,7.307,7.3365,17196,0
20050705,7.208,7.456,7.208,7.456,96042,0
20050706,7.466,7.6345,7.436,7.57,45916,0
20050707,7.421,7.58,7.327,7.58,50056,0
20050708,7.59,7.5945,7.4955,7.59,110384,0
20050711,7.5945,7.7185,7.56,7.6095,75348,0
20050712,7.6095,7.694,7.55,7.679,43698,0
20050713,7.679,7.679,7.4755,7.4755,38346,0
20050714,7.59,7.59,7.3965,7.4705,23524,0
20050715,7.4015,7.5205,7.3965,7.4805,28162,0
20050718,7.55,7.55,7.466,7.5005,44952,0
20050719,7.5205,7.694,7.466,7.59,47660,0
20050720,7.57,7.6095,7.456,7.466,72040,0
20050721,7.451,7.565,7.4015,7.421,69154,0
20050722,7.421,7.7185,7.421,7.649,113638,0
20050725,7.689,7.9025,7.669,7.8375,155782,0
20050726,7.7635,8.1305,7.7635,8.051,138898,0
20050727,8.1355,8.3585,8.1055,8.3585,47674,0
20050728,8.3635,8.7205,8.314,8.706,190262,0
20050729,8.701,8.795,8.681,8.7255,914502,0
20050801,8.7505,8.7905,8.537,8.547,61136,0
20050802,8.5225,8.681,8.4925,8.6565,80836,0
20050803,8.587,8.6365,8.4725,8.5275,30212,0
20050804,8.4775,8.592,8.413,8.433,90902,0
20050805,8.433,8.562,8.3535,8.4825,71168,0
20050808,8.567,8.6515,8.4825,8.6365,120216,0
20050809,8.6415,8.6565,8.592,8.6415,79872,0
20050810,8.671,8.676,8.552,8.577,36888,0
20050811,8.567,8.567,8.4825,8.5175,23908,0
20050812,8.448,8.4975,8.3635,8.408,47550,0
20050815,8.438,8.5225,8.3535,8.468,41850,0
20050816,8.4035,8.4035,8.175,8.21,28988,0
20050817,8.16,8.294,8.1355,8.294,33192,0
20050818,8.215,8.2395,8.1005,8.1005,20972,0
20050819,8.061,8.16,8.061,8.1155,25846,0
20050822,8.091,8.1255,7.9965,8.051,30568,0
20050823,8.1055,8.1055,8.0015,8.036,21176,0
20050824,8.081,8.205,8.046,8.1105,31046,0
20050825,8.066,8.2,8.041,8.1205,37568,0
20050826,8.1005,8.1355,8.081,8.081,27626,0
20050829,8.071,8.2445,8.0265,8.215,25354,0
20050830,8.2495,8.289,8.195,8.2695,39696,0
20050831,8.289,8.6215,8.215,8.5225,320822,0
20050901,8.5275,8.6365,8.5275,8.6365,68842,0
20050902,8.592,8.6315,8.592,8.6065,48514,0
20050906,8.552,8.6315,8.537,8.6315,81968,0
20050907,8.562,8.6315,8.314,8.6265,36046,0
20050908,8.5275,8.587,8.4975,8.542,26464,0
20050909,8.592,8.6215,8.577,8.6065,14258,0
20050912,8.537,8.6365,8.5175,8.6365,40118,0
20050913,8.6565,8.6565,8.4975,8.4975,28936,0
20050914,8.4975,8.6015,8.453,8.5025,26382,0
20050915,8.4775,8.6115,8.453,8.587,43442,0
20050916,8.6365,8.6565,8.418,8.6565,99196,0
20050919,8.6565,8.671,8.408,8.4875,50036,0
20050920,8.443,8.6115,8.418,8.4825,28950,0
20050921,8.423,8.5075,8.2745,8.453,31230,0
20050922,8.4925,8.4975,8.2745,8.458,15514,0
20050923,8.3785,8.468,8.289,8.463,14032,0
20050926,8.4975,8.4975,8.2595,8.443,37372,0
20050927,8.433,8.4975,8.3985,8.4725,12358,0
20050928,8.4725,8.5325,8.304,8.5175,29186,0
20050929,8.577,8.661,8.314,8.6515,23838,0
20050930,8.681,8.8895,8.552,8.8595,65976,0
20051003,8.7405,8.825,8.706,8.7655,56774,0
20051004,8.8545,8.8595,8.706,8.7505,53222,0
20051005,8.701,8.7805,8.666,8.666,85776,0
20051006,8.681,8.7655,8.4875,8.6165,27528,0
20051007,8.5275,8.7255,8.5275,8.706,29934,0
20051010,8.7505,8.7505,8.681,8.681,15964,0
20051011,8.7505,8.7505,8.542,8.592,27382,0
20051012,8.6065,8.706,8.592,8.6165,61530,0
20051013,8.577,8.577,8.309,8.428,33312,0
20051014,8.4875,8.4925,8.3835,8.433,29068,0
20051017,8.309,8.3885,8.294,8.3535,31790,0
20051018,8.329,8.433,8.22,8.3985,34172,0
20051019,8.408,8.6365,8.2295,8.6365,12164,0
20051020,8.6365,8.7405,8.4775,8.582,23294,0
20051021,8.582,8.686,8.428,8.6565,30292,0
20051024,8.7555,8.8,8.6165,8.8,21228,0
20051025,8.7505,8.8,8.552,8.6265,52138,0
20051026,8.6465,8.805,8.6465,8.7255,21634,0
20051027,9.088,9.172,8.8595,8.8795,166214,0
20051028,9.088,9.2215,8.954,9.202,88888,0
20051031,9.088,9.351,9.043,9.2215,93180,0
20051101,9.1325,9.316,9.093,9.2215,136000,0
20051102,9.2515,9.514,9.2265,9.514,113004,0
20051103,9.534,9.852,9.514,9.807,84984,0
20051104,9.886,10,9.822,10,177934,0
20051107,10,10.05,9.708,9.797,91254,0
20051108,9.728,9.728,9.2665,9.43,65904,0
20051109,9.4795,9.534,9.4005,9.514,51240,0
20051110,9.514,9.514,9.3655,9.46,29996,0
20051111,9.445,9.4995,9.3655,9.3805,64632,0
20051114,9.4055,9.43,9.182,9.187,127412,0
20051115,9.192,9.678,9.192,9.3855,152202,0
20051116,9.4055,9.604,9.3705,9.579,35970,0
20051117,9.614,9.614,9.52,9.549,44972,0
20051118,9.638,9.638,9.46,9.559,46042,0
20051121,9.644,9.644,9.346,9.51,37098,0
20051122,9.54,9.688,9.4055,9.658,52754,0
20051123,9.658,9.772,9.638,9.752,31546,0
20051125,9.817,9.817,9.618,9.663,12786,0
20051128,9.752,9.788,9.41,9.415,29900,0
20051129,9.52,9.604,9.4055,9.53,43226,0
20051130,9.599,9.599,9.2765,9.346,94102,0
20051201,9.356,9.544,9.326,9.52,83378,0
20051202,9.3805,9.544,9.321,9.435,82380,0
20051205,9.3905,9.4995,9.202,9.425,61576,0
20051206,9.4995,9.51,9.336,9.3755,37010,0
20051207,9.445,9.46,9.2315,9.2315,149536,0
20051208,9.326,9.544,9.2465,9.3705,52044,0
20051209,9.3905,9.43,9.2415,9.301,41514,0
20051212,9.316,9.351,9.182,9.291,69230,0
20051213,9.296,9.311,9.088,9.1125,74734,0
20051214,9.172,9.2365,9.083,9.1025,34282,0
20051215,9.2315,9.2315,9.083,9.172,27246,0
20051216,9.1275,9.346,9.1275,9.2515,106856,0
20051219,9.207,9.465,9.1175,9.3855,101640,0
20051220,9.455,9.564,9.316,9.4995,46978,0
20051221,9.534,9.594,9.504,9.569,48280,0
20051222,9.618,9.807,9.544,9.807,11516,0
20051223,9.772,9.98,9.772,9.876,27448,0
20051227,9.733,9.856,9.628,9.693,45288,0
20051228,9.718,9.892,9.708,9.788,36766,0
20051229,9.708,9.842,9.544,9.564,32060,0
20051230,9.544,9.663,9.4005,9.465,38942,0
20060103,9.4795,9.614,9.316,9.594,37578,0
20060104,9.514,9.673,9.46,9.4895,32982,0
20060105,9.475,9.504,9.3855,9.4995,38686,0
20060106,9.599,9.941,9.544,9.906,36204,0
20060109,9.946,9.946,9.802,9.896,18910,0
20060110,9.832,9.916,9.832,9.912,20462,0
20060111,9.683,9.98,9.624,9.892,76330,0
20060112,9.971,10.228,9.832,10.07,100004,0
20060113,10.204,10.204,9.912,10.026,27906,0
20060117,9.906,9.931,9.748,9.842,49214,0
20060118,9.892,9.892,9.782,9.852,34436,0
20060119,9.931,10.164,9.886,10.085,40346,0
20060120,10.164,10.179,9.812,9.827,32628,0
20060123,9.772,9.807,9.698,9.698,52800,0
20060124,9.822,10,9.797,9.922,36148,0
20060125,9.951,9.951,9.544,9.624,75294,0
20060126,9.772,9.996,9.752,9.951,26482,0
20060127,9.832,9.941,9.788,9.906,25274,0
20060130,9.778,9.792,9.658,9.668,19286,0
20060131,9.742,9.862,9.644,9.792,42010,0
20060201,9.876,9.876,9.733,9.733,42204,0
20060202,9.713,9.792,9.579,9.768,33640,0
20060203,9.738,9.951,9.698,9.896,35564,0
20060206,9.812,9.856,9.718,9.847,33756,0
20060207,9.837,9.931,9.733,9.733,18846,0
20060208,9.708,9.802,9.654,9.772,20336,0
20060209,9.832,9.926,9.782,9.782,19792,0
20060210,9.862,9.862,9.718,9.842,48024,0
20060213,9.852,9.852,8.9735,9.068,262084,0
20060214,9.0235,9.098,8.9935,9.0135,66144,0
20060215,9.088,9.1375,9.0035,9.1075,92078,0
