Date,Open,High,Low,Close,Volume,OpenInt
20050301,1.02,1.02,1.02,1.02,400,0
20050309,1.02,1.02,1.02,1.02,500,0
20050311,1.02,1.02,1.02,1.02,500,0
20050318,1.02,1.02,1.02,1.02,300,0
20050406,1.25,1.4,1.25,1.4,2700,0
20050415,1.3,1.3,1.3,1.3,137,0
20050420,1.3,1.3,1.3,1.3,500,0
20050621,1.5,1.5,1.5,1.5,7500,0
20050622,1.4,1.55,1.4,1.5,1800,0
20050624,1.5,1.5,1.5,1.5,2000,0
20050627,1.5,1.75,1.5,1.75,4128,0
20050629,1.75,1.75,1.75,1.75,100,0
20050715,1.5,1.5,1.5,1.5,500,0
20050720,1.5,1.75,1.5,1.75,4500,0
20050721,1.9,2,1.9,2,1200,0
20050722,2.2,2.75,2.2,2.25,2700,0
20050727,2.2,2.3,2.2,2.3,2000,0
20050802,2.25,2.25,2.25,2.25,2000,0
20050804,2,2,1.5,1.5,2500,0
20050822,1.85,1.85,1.84,1.85,3000,0
20050823,1.7,1.85,1.35,1.35,7500,0
20050825,1.5,1.6,1.5,1.6,1000,0
20050829,1.6,1.6,1.6,1.6,2000,0
20050830,1.48,1.5,1.48,1.5,1500,0
20050831,1.7,1.7,1.7,1.7,2750,0
20050901,1.7,1.8,1.7,1.75,6250,0
20050902,1.75,1.8,1.75,1.8,3500,0
20050906,1.8,1.8,1.75,1.77,3000,0
20050907,1.75,1.77,1.75,1.77,5000,0
20050908,1.75,1.75,1.75,1.75,2000,0
20050913,1.7,1.7,1.7,1.7,500,0
20050914,1.7,1.7,1.7,1.7,1000,0
20050916,1.5,1.5,1.5,1.5,500,0
20050919,1.5,1.5,1.5,1.5,500,0
20050920,1.5,1.5,1.5,1.5,150,0
20050923,1.6,1.6,1.6,1.6,1500,0
20050927,1.6,1.6,1.6,1.6,1000,0
20050929,1.7,1.79,1.7,1.77,10500,0
20050930,1.79,1.79,1.79,1.79,3000,0
20051004,1.71,1.71,1.71,1.71,1500,0
20051007,1.68,1.68,1.68,1.68,100,0
20051010,1.6,1.6,1.6,1.6,1000,0
20051012,1.65,1.65,1.65,1.65,500,0
20051014,1.35,1.35,1.35,1.35,200,0
20051019,1.35,1.35,1.35,1.35,1360,0
20051020,1.35,1.55,1.25,1.55,6150,0
20051024,1.35,1.35,1.35,1.35,600,0
20051025,1.25,1.25,0.8,0.8,14650,0
