Date,Open,High,Low,Close,Volume,OpenInt
20050225,7.988,7.988,7.7687,7.8327,6083,0
20050228,7.988,8.0886,7.9424,8.0794,13207,0
20050301,8.0886,8.5455,8.0886,8.1708,24049,0
20050302,8.0063,8.052,7.6773,7.7321,18334,0
20050303,7.7595,7.9332,7.7504,7.9332,1521,0
20050304,7.9514,8.18,7.8144,7.8235,10176,0
20050307,7.9971,8.18,7.9058,7.9058,5437,0
20050308,7.8327,7.9789,7.6681,7.6773,4938,0
20050309,7.851,7.851,7.3117,7.4854,8782,0
20050310,7.6133,7.6864,7.4854,7.5219,5334,0
20050311,7.8053,7.9971,7.5128,7.9971,5755,0
20050314,8.1708,8.1708,7.4488,7.5859,14497,0
20050315,7.787,8.052,7.7413,8.0246,2594,0
20050316,8.0886,8.0886,7.5128,7.915,2954,0
20050317,8.0794,8.0794,7.9058,7.9058,1203,0
20050318,8.0703,8.0794,7.5037,7.5037,2982,0
20050321,7.9971,8.0794,7.787,7.988,6373,0
20050322,7.8601,7.9424,7.5584,7.9424,1565,0
20050323,7.4214,7.8601,7.4031,7.8601,2627,0
20050324,7.8327,7.8418,7.8327,7.8418,985,0
20050328,7.9424,7.9424,7.8601,7.8875,7131,0
20050329,7.5401,7.7687,7.5401,7.7687,6510,0
20050330,7.8235,7.9971,7.6773,7.988,14837,0
20050331,7.2203,7.6773,7.2203,7.5859,5230,0
20050401,7.4123,8.052,7.4123,7.851,3829,0
20050404,7.6224,7.7687,7.6133,7.7687,4310,0
20050405,7.7961,7.7961,7.7687,7.7687,2298,0
20050406,7.7687,7.7687,7.5401,7.6773,1532,0
20050407,7.5767,7.5767,7.5767,7.5767,1094,0
20050408,7.787,7.787,7.5401,7.787,2216,0
20050411,7.5128,7.9514,7.5128,7.8601,12095,0
20050412,7.9424,7.9514,7.8601,7.8601,1160,0
20050413,7.7687,7.7687,7.5493,7.6041,4595,0
20050414,7.7687,7.7687,7.5401,7.5401,1247,0
20050415,7.5401,7.6773,7.5401,7.6773,438,0
20050418,7.7687,7.7687,7.5401,7.7687,3704,0
20050419,7.5128,7.7687,7.5128,7.7687,3312,0
20050420,7.7687,7.7687,7.7687,7.7687,1969,0
20050421,7.851,7.851,7.7778,7.7778,1094,0
20050422,7.9424,7.9424,7.5493,7.8601,3808,0
20050425,7.9424,7.9424,7.6133,7.8601,2544,0
20050426,7.6773,7.7595,7.5584,7.5584,7183,0
20050427,7.4488,7.4488,6.9736,7.4123,6759,0
20050428,7.0376,7.1289,6.5714,7.1289,17524,0
20050429,7.0376,7.3117,7.0376,7.3117,2950,0
20050502,7.266,7.5859,6.9004,7.4945,28938,0
20050503,7.3117,7.4945,7.3117,7.4945,985,0
20050504,7.5859,7.5859,7.5859,7.5859,2433,0
20050505,7.6316,7.659,7.5859,7.5859,2643,0
20050506,7.2203,7.6681,7.0376,7.6681,1422,0
20050509,7.6681,7.723,7.6681,7.723,1040,0
20050510,7.5859,7.5859,7.3208,7.5493,1582,0
20050511,7.5859,7.5859,7.531,7.5859,5799,0
20050512,7.5859,7.5859,7.5859,7.5859,890,0
20050513,7.8327,7.8327,7.2203,7.7687,13784,0
20050516,7.7687,7.7687,7.4031,7.7687,1654,0
20050518,7.4031,7.6407,6.6719,7.6407,20364,0
20050520,7.723,7.723,7.723,7.723,328,0
20050523,7.723,7.723,7.266,7.4031,6402,0
20050524,7.4031,7.6773,7.2203,7.6773,1776,0
20050525,7.4945,7.723,7.4945,7.6773,5984,0
20050526,7.7687,7.7687,7.659,7.659,1751,0
20050527,7.6773,7.7687,7.6773,7.6773,1113,0
20050531,7.7687,7.7687,7.4031,7.7413,6622,0
20050601,7.5401,7.6316,7.458,7.4671,12710,0
20050602,7.2203,7.266,7.2203,7.266,438,0
20050603,7.3117,7.6224,7.3117,7.6224,1068,0
20050607,7.4031,7.4945,7.4031,7.4945,3222,0
20050609,7.6773,7.6773,7.33,7.33,2560,0
20050610,7.3117,7.3117,7.3117,7.3117,109,0
20050613,7.3574,7.4031,7.2203,7.3117,8032,0
20050614,7.3117,7.3117,7.3117,7.3117,1231,0
20050615,7.3117,7.3117,7.138,7.2203,3393,0
20050616,7.1014,7.2843,7.1014,7.1289,733,0
20050617,7.1289,7.1289,7.1289,7.1289,7549,0
20050620,7.0376,7.4031,7.0376,7.3117,4897,0
20050621,7.0376,7.3117,7.0376,7.3117,1641,0
20050622,7.0376,7.6316,7.0376,7.2843,7153,0
20050623,7.3117,7.3117,7.3117,7.3117,197,0
20050624,7.2569,7.2569,7.1289,7.1289,547,0
20050627,7.1746,7.1746,7.0558,7.1746,547,0
20050628,7.001,7.1289,7.001,7.1289,1094,0
20050629,7.0376,7.1289,6.8547,7.1289,3667,0
20050630,6.9461,6.9461,6.8547,6.8547,1313,0
20050701,6.9918,6.9918,6.9918,6.9918,2079,0
20050705,7.0376,7.0376,6.8547,6.9096,779,0
20050706,6.8547,6.8547,6.8547,6.8547,191,0
20050707,6.7267,6.8547,6.7267,6.8547,544,0
20050708,6.9004,6.9004,6.8547,6.8547,1251,0
20050711,6.5349,6.9004,6.4983,6.8456,4831,0
20050712,6.3155,7.065,6.3155,6.8547,1620,0
20050713,6.5349,6.544,6.5349,6.544,656,0
20050714,6.5349,6.7907,6.4434,6.7907,2518,0
20050715,6.4526,6.8547,6.4526,6.5897,3430,0
20050718,6.8547,6.8547,6.5988,6.7633,4115,0
20050719,6.4434,6.8456,6.4434,6.8456,328,0
20050720,6.8547,6.8547,6.8547,6.8547,1422,0
20050721,6.8547,6.8547,6.8456,6.8547,2455,0
20050722,6.6354,6.8913,6.544,6.8913,2285,0
20050725,6.544,6.8913,6.544,6.5806,1948,0
20050726,6.5714,6.9004,6.4434,6.8547,7348,0
20050728,6.8547,6.8821,6.8547,6.8547,547,0
20050729,6.8547,6.9004,6.8547,6.9004,8593,0
20050801,6.9461,6.9461,6.8547,6.8547,785,0
20050802,6.9004,6.9004,6.5897,6.7999,1285,0
20050804,6.6719,6.6719,6.6719,6.6719,219,0
20050805,6.6537,6.809,6.6537,6.681,2720,0
20050808,6.809,6.8547,6.809,6.8364,1138,0
20050809,6.9004,6.9004,6.8913,6.9004,1203,0
20050810,6.8547,6.9004,6.8547,6.9004,875,0
20050812,6.6263,6.7907,6.6263,6.7907,2299,0
20050815,6.9461,7.1289,6.9461,7.0467,3328,0
20050818,6.6171,6.6263,6.5349,6.6263,562,0
20050819,6.9004,6.9004,6.9004,6.9004,109,0
