Date,Open,High,Low,Close,Volume,OpenInt
20090710,8.7344,8.7344,8.7344,8.7344,0,0
20090713,12.272,13.102,12.228,13.093,5244386,0
20090714,13.093,13.093,12.822,12.953,780395,0
20090715,12.839,12.996,12.761,12.953,1027184,0
20090716,12.884,12.971,12.718,12.892,400079,0
20090717,12.874,12.874,12.752,12.857,361534,0
20090720,12.795,12.884,12.777,12.884,426016,0
20090721,12.804,13.03,12.795,13.03,397340,0
20090722,12.971,13.049,12.899,13.015,104915,0
20090723,12.884,13.084,12.848,13.049,120925,0
20090724,13.057,13.057,12.892,13.057,194330,0
20090727,13.03,13.102,12.971,13.024,101674,0
20090728,12.996,13.188,12.971,13.145,141626,0
20090729,13.145,13.232,13.093,13.119,47720,0
20090730,13.188,13.259,13.102,13.206,33855,0
20090731,13.057,13.197,12.979,13.145,61593,0
20090803,13.111,13.179,13.005,13.057,48878,0
20090804,12.971,13.161,12.971,13.161,96484,0
20090805,13.102,13.111,12.987,13.024,25531,0
20090806,13.024,13.084,13.024,13.03,38229,0
20090807,13.076,13.076,12.945,13.015,40599,0
20090810,12.987,13.024,12.936,12.971,36525,0
20090811,12.899,12.945,12.899,12.927,50321,0
20090812,13.005,13.057,12.899,12.927,160803,0
20090813,12.971,12.987,12.839,12.987,72228,0
20090814,13.03,13.03,12.857,12.909,15227,0
20090817,12.996,13.129,12.945,13.119,126306,0
20090818,13.119,13.32,13.093,13.232,103527,0
20090819,13.31,13.625,13.293,13.625,133312,0
20090820,13.625,13.966,13.625,13.957,155430,0
20090821,13.906,14.108,13.887,14.072,55368,0
20090824,14.148,14.273,13.861,13.915,52151,0
20090825,13.933,14.008,13.933,13.957,35916,0
20090826,13.966,13.992,13.887,13.966,38183,0
20090827,13.992,14.016,13.933,14.016,22760,0
20090828,13.869,14.063,13.861,13.974,13051,0
20090831,13.966,13.974,13.869,13.966,18611,0
20090901,14.054,14.228,13.853,13.949,50263,0
20090902,13.933,14.063,13.887,13.992,81705,0
20090903,14.054,14.063,13.983,14.063,11559,0
20090904,14.063,14.063,14.016,14.026,6864,0
20090908,14.045,14.045,13.974,14.016,16435,0
20090909,13.942,13.992,13.915,13.992,4350,0
20090910,14,14.016,13.942,13.974,15113,0
20090911,14.008,14.016,13.853,13.974,20051,0
20090914,13.966,14.175,13.942,14.148,22118,0
20090915,14.185,14.194,13.949,13.983,45375,0
20090916,14.098,14.238,13.957,14.175,125814,0
20090917,14.148,14.175,13.933,13.983,44982,0
20090918,14.016,14.072,13.844,13.949,41235,0
20090921,14,14.063,13.933,14,20052,0
20090922,13.957,14.054,13.949,14.008,81695,0
20090923,14.016,14.016,13.896,13.923,29057,0
20090924,13.974,13.974,13.861,13.933,38997,0
20090925,13.933,13.949,13.801,13.949,100742,0
20090928,13.887,14.108,13.844,13.974,52300,0
20090929,14.008,14.175,13.974,14.045,240379,0
20090930,13.992,14.194,13.512,13.695,1896009,0
20091001,13.835,13.906,13.59,13.739,417076,0
20091002,13.651,13.801,13.642,13.756,70206,0
20091005,13.783,13.923,13.539,13.704,91561,0
