Date,Open,High,Low,Close,Volume,OpenInt
20121003,20.944,20.944,20.798,20.871,28986,0
20121004,20.838,20.871,20.798,20.871,72025,0
20121005,20.912,20.912,20.83,20.879,18171,0
20121008,20.871,20.879,20.855,20.855,16478,0
20121009,20.838,20.879,20.798,20.879,29320,0
20121010,20.879,20.879,20.83,20.879,19763,0
20121011,20.879,20.879,20.838,20.879,57383,0
20121012,20.879,20.879,20.863,20.876,18021,0
20121015,20.879,20.986,20.838,20.887,73765,0
20121016,20.879,20.879,20.838,20.871,48228,0
20121017,20.879,21.233,20.846,21.042,10709,0
20121018,20.994,21.059,20.919,21.059,29377,0
20121019,21.002,21.124,20.919,21.124,13644,0
20121022,21.042,21.042,21.01,21.041,17341,0
20121023,21.002,21.002,20.919,21.002,16178,0
20121024,20.961,21.166,20.887,21.148,20658,0
20121025,21.148,21.239,21.002,21.192,21864,0
20121026,21.157,21.233,21.017,21.017,20990,0
20121031,21.157,21.157,20.977,21.157,2325,0
20121101,21.245,21.245,20.919,20.919,1977,0
20121102,20.971,20.971,20.961,20.969,2325,0
20121105,21.042,21.188,20.969,21.002,7219,0
20121106,21.233,21.233,20.969,21.082,7563,0
20121107,21.059,21.067,21.059,21.067,1806,0
20121108,20.994,21.131,20.961,20.994,11625,0
20121109,21.042,21.042,21.025,21.025,1775,0
20121112,21.034,21.042,20.986,21.042,8446,0
20121113,20.961,20.969,20.887,20.887,20334,0
20121114,21.025,21.025,20.684,20.838,17979,0
20121115,20.871,20.879,20.672,20.675,11853,0
20121116,20.716,20.994,20.665,20.838,25088,0
20121119,21.017,21.017,20.634,20.838,19948,0
20121120,20.917,20.919,20.634,20.684,3792,0
20121121,20.912,20.919,20.684,20.895,3444,0
20121123,20.69,20.757,20.675,20.757,16774,0
20121126,20.675,20.879,20.651,20.806,10820,0
20121127,20.904,20.904,20.675,20.757,9138,0
20121128,20.723,20.798,20.7,20.757,9423,0
20121129,20.707,20.879,20.7,20.846,28521,0
20121130,20.846,20.846,20.641,20.806,5283,0
20121203,20.846,20.846,20.652,20.652,15786,0
20121204,20.675,20.838,20.641,20.838,14219,0
20121205,20.764,20.846,20.684,20.716,5813,0
20121206,20.684,20.69,20.675,20.684,4576,0
20121207,20.658,20.671,20.584,20.584,16709,0
20121210,20.69,20.732,20.601,20.732,1790,0
20121211,20.593,20.593,20.454,20.593,9423,0
20121212,20.716,20.723,20.634,20.634,5503,0
20121213,20.569,20.634,20.52,20.533,5420,0
20121214,20.627,20.627,20.627,20.627,1144,0
20121217,20.471,20.593,20.446,20.56,10744,0
20121218,20.641,20.641,20.511,20.511,3889,0
20121219,20.487,20.634,20.43,20.561,3390,0
20121220,20.584,20.634,20.56,20.634,1847,0
20121221,20.757,20.757,20.56,20.56,1117,0
20121224,20.634,20.736,20.56,20.736,1484,0
20121226,20.658,20.684,20.658,20.684,2270,0
20121227,20.684,20.69,20.511,20.511,4092,0
20121228,20.634,20.634,20.593,20.593,895,0
20121231,20.707,20.798,20.56,20.56,7250,0
20130102,20.806,20.838,20.757,20.757,1837,0
20130103,21.002,21.002,20.716,20.838,5476,0
