Date,Open,High,Low,Close,Volume,OpenInt
20151210,27.67,28.5,26.5,27.78,15009100,0
20151211,27.85,28.5,27.48,27.5,2286000,0
20151214,27.5,27.86,26.11,26.26,1227198,0
20151215,26.39,26.95,26.3,26.5,1086500,0
20151216,26.75,26.95,26.47,26.54,484300,0
20151217,26.94,28.18,26.65,28.01,626800,0
20151218,27.9,28.24,27.66,28.22,945100,0
20151221,28.84,29.86,28.75,29.35,876800,0
20151222,30.16,30.74,29.56,30.1,954059,0
20151223,30.57,30.57,28.35,28.49,1071800,0
20151224,28.33,28.89,27.51,28.21,470834,0
20151228,28.28,28.93,28,28.9,342620,0
20151229,29.21,31.31,29.21,31.1,888170,0
20151230,31.46,31.46,30,30.21,277426,0
20151231,30.22,31,29.99,30.08,274828,0
20160104,28.94,29.03,27.2,27.41,1270270,0
20160105,27.91,28,26.27,26.77,875261,0
20160106,26.46,27.23,26.02,27.05,595217,0
20160107,26.55,27.3194,26.46,26.97,643489,0
20160108,27.06,27.76,26.93,27.17,435644,0
20160111,27.1,27.5,26.95,27.12,808151,0
20160112,27.2,27.427,26.64,26.82,777518,0
20160113,27,27.2,26,26.73,1192233,0
20160114,26.68,27.14,25.7501,26.84,455848,0
20160115,26.04,26.315,24.52,25.19,1121699,0
20160119,25.3,25.71,23.02,24.02,1739400,0
20160120,23.21,23.66,21.62,22.63,1862426,0
20160121,22.72,25.08,22.03,24.24,724628,0
20160122,25.11,25.325,24.27,24.61,610315,0
20160125,24.5,24.6358,23.45,23.67,539996,0
20160126,23.68,24.1999,22.58,24.01,603066,0
20160127,24.02,24.665,22.13,22.25,395767,0
20160128,22.72,22.966,20.17,20.39,1293270,0
20160129,20.99,21.75,20.52,20.76,1190327,0
20160201,20.69,21.22,20.065,21.17,712878,0
20160202,21.04,21.82,20.67,21.34,599704,0
20160203,21.93,24.5,21.12,23.77,500764,0
20160204,24,24.88,23.35,24,1522390,0
20160205,24,24.06,17.55,20.19,3576114,0
20160208,19.88,19.95,16.92,17.92,3069444,0
20160209,17.85,19.46,17.62,18.92,1889703,0
20160210,19.04,21.17,19.04,20.06,1189646,0
20160211,19.41,20.38,19.2,20.35,652500,0
20160212,20.48,20.9,19.69,20.1,677693,0
20160216,20.4,23.77,20.4,22.18,1687292,0
20160217,22.33,23.68,22.32,23.35,913929,0
20160218,23.24,23.93,21.89,22,815719,0
20160219,21.59,22.68,20.92,22.13,863301,0
20160222,22.1,22.99,21.9,22.11,578536,0
20160223,21.88,22.6,21.88,22.51,771158,0
20160224,22.34,22.67,21.69,22.56,429148,0
20160225,23.01,23.555,22.37,23.535,390642,0
20160226,23.47,23.67,22.81,23.3,645620,0
20160229,23.13,23.99,23.1,23.77,692139,0
20160301,23.86,24.25,23.16,23.6,579573,0
20160302,23.45,24.19,23.2324,24.16,477724,0
20160303,24.04,24.49,22.85,23,328845,0
20160304,23.24,23.3994,22.45,23.02,501146,0
20160307,22.98,23.87,22.49,23.03,741457,0
20160308,22.85,23.01,22.29,22.36,278161,0
20160309,22.55,23.7699,21.58,21.77,502840,0
20160310,21.8,22.74,21.24,22.22,616015,0
20160311,22.36,23.57,22.21,22.97,471113,0
20160314,22.97,23.2,22.5006,22.73,201038,0
20160315,22.51,23.59,22.3001,23.5,327224,0
20160316,23.63,24.37,23.41,24.19,528687,0
20160317,23.98,24.67,23.735,24.42,280843,0
20160318,24.33,24.65,23.2,23.24,570641,0
20160321,23.4,24.27,23.07,23.92,317024,0
20160322,23.77,25.02,23.675,24.69,465650,0
20160323,24.75,25.07,24.195,24.63,630582,0
20160324,24.57,24.6,23.28,23.82,700841,0
20160328,24,24.42,23.69,24.01,282759,0
20160329,23.83,24.238,23.71,24.11,229540,0
20160330,24.05,24.79,23.68,23.74,395213,0
20160331,23.68,25.18,23.65,25.15,1045517,0
20160401,24.85,24.975,23.5,23.69,529547,0
20160404,23.77,24.15,23.35,24.1,399740,0
20160405,23.86,24,22.76,23.48,357199,0
20160406,23.44,23.77,23.2,23.55,242892,0
20160407,23.19,23.5899,22.84,23.06,271083,0
20160408,23.25,23.62,23.07,23.24,234008,0
20160411,23.39,23.5125,23.1,23.23,233212,0
20160412,23.3,23.44,22.95,23.11,346539,0
20160413,23.27,23.63,23.2353,23.57,354424,0
20160414,23.57,23.68,22.9,22.94,351723,0
20160415,22.9,23.19,22.5,22.61,191370,0
