Date,Open,High,Low,Close,Volume,OpenInt
20140403,9.742,10.67,8.9413,8.9511,12146882,0
20140404,9.0203,9.2673,8.6251,8.9314,1866439,0
20140407,8.8029,8.8425,7.894,7.9632,2593547,0
20140408,8.0224,8.5001,7.9632,8.3979,971160,0
20140409,8.3682,8.556,8.1015,8.3386,992938,0
20140410,8.2003,8.3287,7.4593,7.4889,1931439,0
20140411,7.4198,7.9928,7.4099,7.6174,726141,0
20140414,7.7063,7.8841,7.1925,7.4099,1072426,0
20140415,7.4099,7.479,6.9258,7.074,626359,0
20140416,7.0937,7.153,6.659,6.8863,1137481,0
20140417,6.8171,6.9159,6.4614,6.659,1135434,0
20140421,6.8171,7.7754,6.7282,7.6668,1498840,0
20140422,7.8545,8.388,7.5778,8.22,1078917,0
20140423,8.22,8.9709,7.894,8.8919,1400852,0
20140424,9.0302,9.1981,8.4769,8.8425,536185,0
20140425,8.8919,8.9956,8.5461,8.8029,457574,0
20140428,9.2179,9.2179,7.9335,8.7041,1098765,0
20140429,8.8523,8.8523,8.2102,8.3584,743538,0
20140430,8.3188,8.3979,8.0027,8.3188,264507,0
20140501,8.2694,8.7832,8.2497,8.7239,260829,0
20140502,8.6646,9.2179,8.6449,9.0697,187257,0
20140505,8.9215,9.129,8.5461,9.0598,321663,0
20140506,8.8721,8.9709,8.6054,8.9314,214644,0
20140507,8.7931,8.8029,7.4692,7.9632,649027,0
20140508,7.9829,8.1805,7.5186,7.6075,221952,0
20140509,7.6075,7.7458,7.4198,7.5284,181974,0
20140512,7.7853,8.1805,7.7853,8.1706,185052,0
20140513,8.062,8.2298,7.8545,7.9533,288980,0
20140514,7.9533,7.9533,7.5581,7.6272,110904,0
20140515,7.6174,7.9335,6.7677,6.9357,951972,0
20140516,7.3012,7.8545,7.074,7.6569,654880,0
20140519,7.568,8.1509,7.2321,7.9632,613845,0
20140520,8.3386,8.6251,7.6569,7.894,856381,0
20140521,8.0126,8.467,7.9435,8.3682,469926,0
20140522,8.3682,8.635,7.8446,7.8644,353414,0
20140523,7.9039,8.6152,7.7854,8.4176,272269,0
20140527,8.4967,8.4967,8.0027,8.1706,348535,0
20140528,8.22,8.22,7.815,8.1015,177841,0
20140529,8.1509,8.9907,8.0916,8.9907,907528,0
20140530,8.9907,8.9907,8.6152,8.8622,747040,0
20140602,8.9511,9.4995,8.7032,8.7931,944120,0
20140603,8.7931,9.2377,8.3979,9.1685,389780,0
20140604,9.0895,9.1685,8.9017,9.0895,228663,0
20140605,9.1191,9.1389,8.6548,9.0104,623521,0
20140606,9.0104,10.028,8.8227,9.781,1166068,0
20140609,9.781,10.255,9.4451,10.048,1139200,0
20140610,9.939,10.226,9.732,9.801,652641,0
20140611,9.88,10.868,9.88,10.71,1670727,0
20140612,10.868,11.214,10.601,10.769,1455651,0
20140613,10.937,11.678,10.927,11.609,690280,0
20140616,11.688,11.856,11.065,11.668,559958,0
20140617,11.579,11.708,10.907,11.016,503171,0
20140618,11.046,12.291,10.996,11.816,955272,0
20140619,11.905,11.955,11.401,11.54,254170,0
20140620,11.54,11.698,11.065,11.174,350213,0
20140623,11.214,11.777,11.194,11.391,558787,0
20140624,11.382,11.836,11.312,11.401,348125,0
20140625,11.322,13.279,11.263,13.101,1030303,0
20140626,13.14,14.059,13.041,13.782,1167671,0
20140627,13.802,14.039,11.974,12.063,1299317,0
20140630,12.439,13.081,11.461,12.972,618027,0
20140701,13.13,13.585,12.618,12.676,376537,0
20140702,12.646,13.634,12.577,12.943,403751,0
20140703,13.338,13.921,12.982,13.693,599192,0
20140707,13.595,13.664,12.35,12.389,720103,0
20140708,12.271,12.389,11.589,11.826,664971,0
20140709,11.955,12.567,11.629,12.172,338938,0
20140710,11.757,12.123,11.195,11.54,541447,0
20140711,11.54,11.727,11.37,11.559,529934,0
20140714,11.816,12.34,11.658,11.846,357831,0
20140715,11.885,12.113,11.688,11.856,290634,0
20140716,11.974,12.103,11.362,11.757,393025,0
20140717,11.737,11.737,10.986,11.609,391325,0
20140718,11.589,11.856,11.352,11.431,145670,0
20140721,11.401,11.688,10.996,11.312,280888,0
20140722,11.461,12.33,11.318,12.261,337322,0
20140723,12.241,12.864,11.638,11.846,848212,0
20140724,12.123,12.123,11.411,11.49,451042,0
20140725,11.451,12.152,11.421,11.698,279960,0
20140728,11.757,11.984,11.48,11.559,536115,0
20140729,11.678,12.794,11.678,12.547,711842,0
20140730,12.617,12.617,11.974,12.172,579767,0
20140731,12.172,12.449,11.362,11.658,784828,0
20140801,11.629,11.806,11.49,11.708,321040,0
20140804,11.826,12.35,11.658,12.291,400676,0
20140805,12.32,12.943,12.093,12.785,1001620,0
20140806,12.794,13.318,12.283,12.982,306385,0
20140807,13.041,13.041,12.449,12.557,237063,0
20140808,12.577,13.585,12.518,13.367,356261,0
20140811,13.446,13.486,12.883,13.199,249700,0
20140812,13.17,14.81,13.17,14.454,784353,0
20140813,14.622,15.186,14.158,14.84,478690,0
20140814,14.889,15.067,14.257,14.8,320168,0
20140815,14.82,15.007,13.595,13.782,509037,0
20140818,14.079,14.523,14.039,14.504,393521,0
20140819,14.583,15.442,14.405,14.78,535671,0
20140820,13.634,14.593,12.943,14.247,1709232,0
20140821,14.365,14.425,13.338,13.387,761441,0
20140822,13.407,14.919,13.407,14.276,1233338,0
20140825,14.385,15.067,13.901,13.901,603480,0
20140826,13.812,13.871,13.486,13.773,486659,0
20140827,13.713,13.842,13.353,13.367,186331,0
20140828,13.358,13.654,12.962,13.545,496321,0
20140829,13.585,14.207,13.239,14.059,398729,0
20140902,14.128,14.474,13.782,13.822,469414,0
20140903,13.861,14.385,13.832,14.089,590245,0
20140904,14.227,14.8,14.089,14.148,491302,0
20140905,14.217,14.405,13.921,14.069,235253,0
20140908,14.326,15.61,13.961,15.432,1264988,0
20140909,15.61,15.66,13.901,14.128,901178,0
20140910,14.128,14.494,13.427,13.881,687379,0
20140911,13.693,13.852,13.022,13.081,670693,0
20140912,13.041,13.328,12.824,13.061,374607,0
20140915,12.992,13.071,11.569,11.965,923742,0
20140916,11.698,12.313,11.698,12.113,472057,0
20140917,11.955,12.379,11.905,12.014,218051,0
20140918,11.945,12.488,11.945,12.31,288269,0
20140919,12.35,13.012,12.103,12.923,434531,0
20140922,12.725,13.403,12.715,13.239,648777,0
20140923,13.209,13.209,12.419,12.528,308769,0
20140924,12.705,13.624,12.597,13.308,428880,0
20140925,13.209,13.387,13.051,13.17,468153,0
20140926,13.17,13.367,12.577,13.17,351977,0
20140929,12.992,13.14,12.705,12.775,424062,0
20140930,12.775,12.972,12.528,12.775,266938,0
20141001,12.705,12.745,11.826,12.152,560645,0
20141002,12.123,12.32,11.303,11.905,823247,0
20141003,12.044,12.281,11.708,11.718,430520,0
20141006,11.856,12.241,11.401,11.441,564358,0
20141007,11.411,11.53,10.72,10.897,636658,0
20141008,10.897,11.599,10.897,11.52,804246,0
20141009,11.52,11.836,11.263,11.391,191677,0
20141010,11.224,11.322,10.72,10.986,354803,0
20141013,11.006,11.214,10.552,10.621,423215,0
20141014,10.769,11.441,10.621,11.312,366834,0
20141015,11.164,11.648,10.71,11.451,289986,0
20141016,11.214,11.787,11.214,11.54,137185,0
20141017,11.668,12.152,11.589,11.895,694400,0
20141020,11.767,12.103,11.747,11.747,132394,0
20141021,11.885,12.251,11.744,11.826,229676,0
20141022,11.836,11.885,11.135,11.194,172559,0
20141023,11.332,11.797,11.303,11.48,184075,0
20141024,11.461,11.767,11.322,11.54,152103,0
20141027,11.391,11.579,11.194,11.461,224698,0
20141028,11.51,12.152,11.382,12.152,263008,0
20141029,12.182,12.291,11.716,12.202,321498,0
20141030,12.083,13.12,12.004,13.041,523753,0
20141031,13.269,13.664,13.051,13.565,557486,0
20141103,13.565,13.871,13.071,13.229,470600,0
20141104,13.101,13.219,12.636,12.745,192001,0
20141105,12.844,13.13,12.458,12.715,278157,0
20141106,13.585,13.832,12.667,12.943,532777,0
20141107,12.893,14.227,12.844,13.713,904392,0
20141110,13.703,14.029,13.466,14.029,1175968,0
20141111,13.861,13.921,13.506,13.782,477768,0
20141112,13.634,13.684,13.199,13.318,420176,0
20141113,13.338,13.545,12.824,12.923,346748,0
20141114,12.854,13.041,12.478,12.636,313876,0
