Date,Open,High,Low,Close,Volume,OpenInt
20050225,5.6865,5.6865,5.5307,5.5961,29201,0
20050228,5.7275,5.7275,5.5798,5.5798,59374,0
20050301,5.506,5.6701,5.506,5.6455,47620,0
20050302,5.6701,5.6946,5.547,5.6045,44051,0
20050303,5.588,5.6536,5.5633,5.6128,20093,0
20050304,5.6865,5.7192,5.6618,5.7192,5486,0
20050307,5.7605,6.1213,5.6784,5.9409,149562,0
20050308,5.9409,5.9409,5.7848,5.8508,60835,0
20050309,5.8836,5.9325,5.8836,5.9244,9530,0
20050310,6.0065,6.0147,5.9325,6.0147,21164,0
20050311,6.0887,6.0887,5.7686,5.9081,33146,0
20050314,5.9244,6.0395,5.9081,6.0228,48004,0
20050315,6.0803,6.0968,5.9244,6.0968,31909,0
20050316,5.9244,6.0887,5.9244,5.9984,3291,0
20050317,6.105,6.105,5.8343,5.9244,29249,0
20050318,5.9736,5.9736,5.8424,5.8752,11478,0
20050321,5.9736,5.9736,5.8508,5.8752,14781,0
20050322,5.8508,5.9984,5.8508,5.9081,27927,0
20050323,5.7848,5.7848,5.6128,5.6455,26699,0
20050324,5.6374,5.6374,5.2187,5.3829,55120,0
20050328,5.2845,5.5633,5.1941,5.4977,56375,0
20050329,5.4731,5.4814,5.3089,5.4402,25846,0
20050330,5.4731,5.4896,5.4731,5.4896,39782,0
20050331,5.547,5.6946,5.4731,5.506,59270,0
20050401,5.4731,5.8343,5.4731,5.8343,67020,0
20050404,5.9244,5.9244,5.5224,5.6045,16758,0
20050405,5.777,5.8343,5.6701,5.777,3839,0
20050406,5.6618,5.8343,5.6618,5.7112,87687,0
20050407,5.7605,5.8343,5.4977,5.6701,49709,0
20050408,5.6536,5.7605,5.6374,5.6374,32491,0
20050411,5.6374,5.6701,5.506,5.588,24474,0
20050412,5.6128,5.6865,5.588,5.6865,3331,0
20050413,5.6374,5.6374,5.4896,5.5961,17388,0
20050414,5.5633,5.6455,5.5307,5.6209,10514,0
20050415,5.4731,5.6784,5.4731,5.6289,20432,0
20050418,5.7933,5.826,5.6289,5.6289,37219,0
20050419,5.5961,5.7519,5.5961,5.7519,3977,0
20050420,5.6865,5.8343,5.6865,5.8343,5830,0
20050421,5.8343,5.9244,5.777,5.777,14507,0
20050422,5.7112,5.8343,5.6618,5.7605,6570,0
20050425,5.9081,5.9081,5.7605,5.777,12948,0
20050426,5.8013,5.8013,5.4731,5.6536,49733,0
20050427,5.6946,5.9081,5.6128,5.8343,61775,0
20050428,5.6536,5.6618,4.5789,4.9481,372678,0
20050429,4.792,4.9071,4.5789,4.7594,128864,0
20050502,4.7182,4.8004,4.669,4.7182,38261,0
20050503,4.7266,4.784,4.5789,4.784,19098,0
20050504,4.7756,4.8495,4.6938,4.8085,52934,0
20050505,4.6853,4.7429,4.6853,4.7349,13190,0
20050506,4.7594,4.8004,4.7349,4.7594,7220,0
20050509,4.7594,4.8085,4.7266,4.7266,15581,0
20050510,4.7429,4.8495,4.7429,4.8495,22189,0
20050511,4.7429,4.7594,4.7266,4.7511,33879,0
20050512,4.7429,4.8743,4.7429,4.8743,23294,0
20050513,4.7349,4.8823,4.7349,4.8823,29219,0
20050516,4.7511,4.8661,4.7266,4.7677,47210,0
20050517,4.8004,4.8332,4.5952,4.6362,38890,0
20050518,4.5952,4.8495,4.5952,4.7594,53496,0
20050519,4.7756,4.7756,4.7429,4.7429,3876,0
20050520,4.7756,4.8085,4.7756,4.8004,42197,0
20050523,4.8167,4.8495,4.784,4.8167,37322,0
20050524,4.8085,4.8332,4.6115,4.7677,20562,0
20050525,4.6279,4.7018,4.6279,4.6608,43612,0
20050526,4.6774,4.7266,4.5625,4.5705,43057,0
20050527,4.5625,4.7018,4.5625,4.6853,25884,0
20050531,4.6279,4.6938,4.6279,4.6527,30708,0
20050601,4.6279,4.7102,4.5705,4.6527,23975,0
20050602,4.6774,4.8332,4.6774,4.7756,28928,0
20050603,4.6938,4.825,4.5705,4.825,53668,0
20050606,4.8167,4.8823,4.6034,4.792,48727,0
20050607,4.7756,4.7756,4.5051,4.5051,41610,0
20050608,4.5625,4.8495,4.5625,4.792,17120,0
20050609,4.8085,4.9235,4.7018,4.7511,37605,0
20050610,4.8332,4.8577,4.7182,4.7429,47513,0
20050613,4.5789,4.8332,4.5789,4.7266,18177,0
20050614,4.8004,4.8413,4.6853,4.7182,52502,0
20050615,4.7018,4.7594,4.7018,4.7102,17923,0
20050616,4.7349,4.7756,4.6938,4.7429,10918,0
20050617,4.7429,4.784,4.7102,4.784,13162,0
20050620,4.7511,5.0957,4.7429,4.7756,120478,0
20050621,4.7756,4.9153,4.7429,4.8661,61147,0
20050622,4.9893,4.9893,4.8004,4.8085,27804,0
20050623,4.825,4.9646,4.8085,4.825,38580,0
20050624,4.9317,4.9317,4.7756,4.784,79463,0
20050627,4.9646,4.9727,4.784,4.8577,49356,0
20050628,4.9071,4.9235,4.792,4.8661,59848,0
20050629,4.8577,4.8577,4.8167,4.8577,22820,0
20050630,4.8577,4.8577,4.8577,4.8577,6398,0
20050701,4.8577,4.9563,4.8167,4.8495,39488,0
20050705,4.8167,5.03,4.8167,4.8413,51468,0
20050706,4.825,4.9235,4.784,4.9235,29367,0
20050707,4.9235,4.9235,4.8413,4.9235,35659,0
20050708,5.0222,5.1205,4.9727,5.0876,18646,0
20050711,5.2027,5.5307,5.2027,5.4076,39601,0
20050712,5.3338,5.3994,5.0222,5.1037,31004,0
20050713,5.1037,5.2433,5.0136,5.0136,18219,0
