Date,Open,High,Low,Close,Volume,OpenInt
20140812,0.28,0.28,0.28,0.28,3600,0
20140819,0.28,0.29,0.28,0.29,5500,0
20140820,0.26,0.26,0.26,0.26,28100,0
20140822,0.27,0.27,0.27,0.27,1600,0
20140825,0.25,0.25,0.243,0.25,68700,0
20140826,0.25,0.25,0.25,0.25,33600,0
20140828,0.24,0.24,0.24,0.24,40000,0
20140829,0.25,0.25,0.24,0.24,45000,0
20140902,0.23,0.24,0.23,0.24,47300,0
20140903,0.24,0.24,0.24,0.24,17900,0
20140925,0.25,0.25,0.25,0.25,8800,0
20141022,0.23,0.23,0.23,0.23,7900,0
20141023,0.23,0.23,0.23,0.23,7800,0
20141029,0.23,0.23,0.21,0.21,5000,0
20141119,0.22,0.22,0.22,0.22,8000,0
20141120,0.22,0.22,0.22,0.22,1000,0
20141121,0.22,0.22,0.22,0.22,120020,0
20141124,0.2,0.2,0.2,0.2,200,0
20141126,0.21,0.21,0.21,0.21,1000,0
20141203,0.21,0.21,0.21,0.21,600,0
20141205,0.21,0.21,0.21,0.21,950,0
20150126,0.2168,0.2168,0.2,0.2,360,0
20150316,0.22,0.22,0.22,0.22,1000,0
20150317,0.25,0.25,0.25,0.25,10000,0
20150325,0.22,0.22,0.22,0.22,40000,0
20150330,0.23,0.23,0.23,0.23,2000,0
20150407,0.27,0.2999,0.27,0.2999,909,0
20150408,0.32,0.32,0.31,0.32,5000,0
20150501,0.33,0.36,0.33,0.36,10500,0
20150504,0.35,0.35,0.35,0.35,200,0
20150528,0.28,0.28,0.28,0.28,200,0
20150601,0.27,0.27,0.27,0.27,2000,0
20150603,0.25,0.25,0.25,0.25,1300,0
20150616,0.25,0.25,0.23,0.24,77000,0
20150617,0.23,0.23,0.21,0.21,900,0
20150625,0.24,0.24,0.24,0.24,1000,0
20150626,0.23,0.23,0.23,0.23,2000,0
20150629,0.23,0.23,0.23,0.23,8000,0
20150825,0.19,0.2,0.19,0.2,4000,0
20150827,0.2,0.2,0.2,0.2,200,0
20150828,0.2,0.21,0.2,0.21,1100,0
20150831,0.2,0.25,0.2,0.25,13000,0
20150901,0.2,0.28,0.2,0.28,2000,0
20150903,0.2,0.2,0.2,0.2,300,0
20150904,0.26,0.3,0.26,0.28,12600,0
20150908,0.3,0.31,0.29,0.29,12000,0
20150910,0.3,0.3,0.3,0.3,25515,0
20150911,0.27,0.27,0.27,0.27,28000,0
20150914,0.2,0.22,0.2,0.22,12900,0
20150915,0.18,0.2,0.18,0.2,700,0
20150916,0.24,0.24,0.24,0.24,100,0
20150917,0.3,0.3,0.3,0.3,13000,0
20150922,0.27,0.28,0.27,0.28,1600,0
20150923,0.29,0.3,0.29,0.3,5000,0
20150924,0.31,0.31,0.31,0.31,2096,0
20150925,0.34,0.34,0.26,0.3,75500,0
20150930,0.3,0.3,0.3,0.3,20000,0
20151001,0.3,0.3,0.3,0.3,8700,0
20151002,0.34,0.34,0.34,0.34,200,0
20151005,0.34,0.38,0.34,0.38,1202,0
20151007,0.38,0.38,0.36,0.36,500,0
20151008,0.36,0.36,0.36,0.36,200,0
20151013,0.28,0.28,0.28,0.28,25000,0
20151022,0.29,0.29,0.29,0.29,6000,0
20151026,0.28,0.3,0.28,0.3,40200,0
20151029,0.28,0.28,0.28,0.28,15000,0
20151102,0.2,0.2,0.2,0.2,100,0
20151113,0.2,0.24,0.17,0.17,21000,0
20151116,0.19,0.19,0.19,0.19,100,0
20151119,0.17,0.17,0.14,0.14,85000,0
20151120,0.14,0.31,0.14,0.3,1100,0
20151123,0.16,0.25,0.14,0.19,192000,0
20151124,0.19,0.19,0.19,0.19,2800,0
20151201,0.14,0.18,0.14,0.18,2100,0
20151203,0.178,0.178,0.178,0.178,125,0
20151215,0.17,0.18,0.17,0.18,200,0
20151218,0.14,0.14,0.14,0.14,100,0
20151221,0.14,0.14,0.14,0.14,100,0
20151224,0.219,0.219,0.17,0.17,200,0
20151228,0.219,0.219,0.219,0.219,100,0
20151229,0.219,0.219,0.141,0.219,1223,0
20160112,0.141,0.141,0.131,0.14,7848,0
20160113,0.147,0.182,0.1201,0.182,800,0
20160114,0.12,0.15,0.12,0.15,4799,0
20160122,0.18,0.18,0.18,0.18,100,0
20160128,0.16,0.18,0.1201,0.13,10400,0
20160129,0.1624,0.188,0.1624,0.188,500,0
20160203,0.179,0.179,0.179,0.179,106,0
20160217,0.1789,0.1789,0.1789,0.1789,1007,0
20160218,0.1436,0.1789,0.1436,0.1789,401,0
20160222,0.1201,0.17,0.1201,0.17,1013,0
20160226,0.147,0.147,0.147,0.147,354,0
20160301,0.1499,0.1499,0.1499,0.1499,193,0
20160302,0.1201,0.1201,0.1201,0.1201,196,0
20160307,0.15,0.15,0.15,0.15,334,0
20160309,0.1499,0.1499,0.1499,0.1499,100,0
20160315,0.12,0.12,0.12,0.12,100,0
20160316,0.15,0.15,0.15,0.15,102,0
20160318,0.1239,0.1239,0.1239,0.1239,1398,0
20160321,0.17,0.17,0.17,0.17,5065,0
20160322,0.1789,0.1789,0.1789,0.1789,761,0
20160323,0.2101,0.23,0.112,0.195,126910,0
20160324,0.2,0.245,0.2,0.22,56175,0
20160328,0.22,0.22,0.2,0.2,21642,0
20160329,0.18,0.185,0.16,0.185,55176,0
20160331,0.194,0.195,0.194,0.195,18576,0
20160401,0.23,0.23,0.19,0.19,16428,0
20160404,0.19,0.19,0.17,0.1701,11798,0
20160405,0.1899,0.1941,0.1899,0.1941,11596,0
20160406,0.17,0.1899,0.17,0.1899,500,0
20160407,0.17,0.17,0.17,0.17,314,0
20160412,0.18,0.18,0.18,0.18,900,0
20160414,0.17,0.17,0.17,0.17,4600,0
