Date,Open,High,Low,Close,Volume,OpenInt
20120515,9.75,9.75,9.75,9.75,250,0
20120517,9.6,9.6,9.6,9.6,830,0
20120522,9.69,9.69,9.69,9.69,1500,0
20120523,9.77,9.77,9.6,9.6,155200,0
20120524,9.6,9.6,9.6,9.6,29500,0
20120525,9.6,9.6,9.6,9.6,61700,0
20120531,9.59,9.61,9.56,9.61,400,0
20120606,9.7,9.7,9.7,9.7,100,0
20120608,9.55,9.55,9.55,9.55,500,0
20120613,9.6,9.6,9.6,9.6,1000,0
20120615,9.6,9.6,9.6,9.6,100,0
20120907,9.66,9.85,9.61,9.68,33200,0
20120913,9.8,9.8,9.72,9.72,200,0
20120924,9.8,9.8,9.8,9.8,1250,0
20121008,9.8,9.8,9.8,9.8,100,0
20121010,9.85,9.85,9.85,9.85,100,0
20121011,9.85,9.85,9.85,9.85,900,0
20121015,9.86,9.86,9.81,9.81,400,0
20121018,9.8,9.8,9.8,9.8,1000,0
20121026,9.81,9.81,9.81,9.81,100,0
20121102,12.66,12.66,9.9,9.9,1100,0
20121105,9.9,9.9,9.9,9.9,100,0
20121112,9.85,9.85,9.84,9.84,1810,0
20121130,9.85,9.85,9.85,9.85,40000,0
20121203,9.85,9.85,9.85,9.85,158930,0
20121210,9.85,9.85,9.85,9.85,18900,0
20121211,9.84,9.84,9.84,9.84,1000,0
20121212,9.84,9.85,9.81,9.84,50690,0
20121214,9.8,9.94,9.8,9.94,300,0
20121219,9.844,9.94,9.844,9.94,200,0
20121221,9.94,9.94,9.94,9.94,100,0
20121231,9.9,9.94,9.88,9.88,13170,0
20130102,9.88,9.95,9.87,9.87,3200,0
20130122,9.95,9.95,9.95,9.95,200,0
20130125,9.95,9.95,9.95,9.95,200,0
20130225,9.93,10,9.9,10,12200,0
20130226,9.9,9.9,9.9,9.9,100,0
20130311,9.99,9.99,9.99,9.99,100,0
20130325,9.9,9.99,9.9,9.99,200,0
20130410,9.99,9.99,9.99,9.99,100,0
20130419,10,10,9.9,10,400,0
20130430,9.92,9.92,9.92,9.92,100,0
20130501,9.99,9.99,9.99,9.99,1000,0
20130510,9.95,9.95,9.94,9.94,50000,0
20130513,9.94,9.94,9.92,9.92,15540,0
20130524,9.92,9.99,9.92,9.99,600,0
20130529,9.99,9.99,9.979,9.979,200,0
20130603,9.99,9.99,9.99,9.99,300,0
20130604,9.99,9.99,9.99,9.99,200,0
20130614,9.93,9.93,9.93,9.93,100,0
20130715,9.941,10.04,9.941,10.04,2850,0
20130723,10,10,10,10,9900,0
20130724,10.05,10.05,10.05,10.05,2000,0
20130731,10.05,10.05,10.05,10.05,100,0
20130801,10.05,10.05,10.05,10.05,200,0
20130813,10,10.04,10,10.04,2100,0
20130814,10.05,10.05,10.05,10.05,400,0
20130816,10.05,10.05,10.05,10.05,1000,0
20130819,10.13,10.14,10.08,10.08,5300,0
20130820,10.1,10.1,10,10.08,7080,0
20130916,10.02,10.03,10.02,10.03,1100,0
20130917,10.03,10.03,10.03,10.03,3630,0
20130925,10.1,10.23,10.06,10.18,103830,0
20130926,10.18,10.18,10.1,10.17,6900,0
20130927,10.18,10.18,10.03,10.06,53550,0
20130930,10.02,10.07,10.02,10.07,200,0
20131001,9.72,10.18,9.72,10.15,26100,0
20131002,9.89,10.18,9.89,10.15,10300,0
20131003,10.08,10.18,10.08,10.15,13000,0
20131004,10.09,10.15,10.09,10.15,1800,0
20131007,10.15,10.18,10.15,10.17,20100,0
20131008,10.17,10.18,10.15,10.16,30100,0
20131009,10.16,10.16,10.15,10.15,11000,0
20131010,10.18,10.18,10.18,10.18,400,0
20131011,10.18,10.18,10.15,10.15,3100,0
20131014,10.15,10.15,10.15,10.15,6400,0
