Date,Open,High,Low,Close,Volume,OpenInt
20050225,18.177,18.212,18.011,18.045,10457,0
20050228,18.045,18.045,17.758,18.045,9024,0
20050301,17.967,18.133,17.88,17.923,13210,0
20050302,18.011,18.212,17.967,18.177,37277,0
20050303,18.133,18.212,18.133,18.133,13667,0
20050304,18.212,18.212,17.591,17.722,9637,0
20050307,17.722,17.818,17.722,17.731,4925,0
20050308,17.8,17.8,17.634,17.8,1047,0
20050309,18.045,18.045,17.758,17.758,5673,0
20050310,17.679,18.212,17.679,18.011,6183,0
20050311,18.011,18.632,18.011,18.466,18145,0
20050314,18.834,19.498,18.834,19.474,72417,0
20050315,19.254,21.111,19.254,21.032,51851,0
20050316,20.944,21.487,19.455,20.076,36368,0
20050317,20.076,20.488,19.394,20.076,25276,0
20050318,20.286,20.533,19.123,20.286,16687,0
20050321,20.286,20.286,19.123,19.411,4411,0
20050322,19.043,19.29,18.956,18.983,12375,0
20050323,18.956,18.956,18.545,18.615,10242,0
20050324,18.589,18.79,18.589,18.781,8057,0
20050328,18.79,18.79,18.256,18.781,6812,0
20050329,18.79,18.79,18.212,18.316,3764,0
20050330,18.212,18.632,18.212,18.333,7882,0
20050331,18.379,18.379,18.212,18.284,3481,0
20050401,18.466,18.466,18.466,18.466,787,0
20050404,18.466,19.166,18.221,19.097,33207,0
20050405,18.632,20.076,18.342,19.665,32826,0
20050406,20.033,20.076,19.209,19.999,9590,0
20050407,20.033,20.243,19.498,20.243,2542,0
20050408,20.2,20.2,19.867,19.867,1801,0
20050411,19.455,19.665,19.254,19.254,6587,0
20050412,19.254,19.254,19.043,19.254,2037,0
20050413,19.455,19.455,19.001,19.001,645,0
20050414,19.043,19.789,19.001,19.789,15564,0
20050415,19.71,20.488,19.71,20.453,16170,0
20050418,20.286,21.032,20.286,20.822,11231,0
20050419,20.777,20.777,19.955,20.286,4291,0
20050420,20.453,20.453,19.71,19.71,26191,0
20050421,19.789,19.789,19.543,19.543,1340,0
20050422,19.455,19.455,19.209,19.29,5388,0
20050425,19.209,19.455,19.209,19.254,4353,0
20050426,19.254,19.455,19.209,19.455,889,0
20050427,19.455,19.455,19.29,19.455,6152,0
20050428,19.455,19.455,19.29,19.411,920,0
20050429,19.455,19.525,19.376,19.376,4619,0
20050502,19.334,19.543,19.254,19.376,12205,0
20050503,19.29,19.789,19.29,19.455,6133,0
20050504,19.455,19.789,19.29,19.665,3653,0
20050505,19.867,20.076,19.622,19.867,8881,0
20050506,20.286,20.692,19.71,19.71,18847,0
20050509,19.71,20.076,19.71,20.033,5207,0
20050510,20.033,20.076,19.455,19.867,11055,0
20050511,19.622,19.71,19.455,19.455,4374,0
20050512,19.464,19.71,19.455,19.71,10943,0
20050513,19.71,20.121,19.455,19.455,3670,0
20050516,19.789,19.867,19.166,19.743,24460,0
20050517,19.166,19.29,18.956,19.209,24135,0
20050518,19.123,19.209,18.632,18.956,15733,0
20050519,19.209,19.209,18.666,19.043,4482,0
20050520,19.043,19.043,18.422,18.64,12013,0
20050523,18.64,18.64,18.422,18.422,5235,0
20050524,18.422,18.632,18.422,18.632,5522,0
20050525,18.632,18.632,18.545,18.632,1176,0
20050526,18.632,18.878,18.632,18.632,1698,0
20050527,18.834,18.912,18.632,18.755,2616,0
20050531,18.755,18.755,18.589,18.666,7423,0
20050601,18.466,18.632,18.466,18.545,2557,0
20050602,18.466,18.632,18.212,18.422,4462,0
20050603,18.379,18.589,18.265,18.589,3386,0
20050606,18.589,18.589,18.299,18.342,878,0
20050607,18.342,18.545,18.212,18.342,9031,0
20050608,18.265,18.422,17.923,18.089,8705,0
20050609,17.923,18.212,17.923,18.212,5102,0
20050610,18.422,18.422,18.011,18.212,3187,0
20050613,18.212,18.212,18.011,18.011,1147,0
20050614,17.967,18.212,17.967,18.133,10925,0
20050615,18.089,18.212,18.089,18.089,1060,0
20050616,18.089,18.212,18.089,18.212,6551,0
20050617,18.212,18.79,18.212,18.79,29736,0
20050620,18.501,18.79,18.177,18.342,8135,0
20050621,18.177,18.177,18.089,18.089,4041,0
20050622,18.212,18.422,18.089,18.089,3649,0
20050623,18.089,18.089,17.923,17.923,2563,0
20050624,17.88,17.923,17.8,17.88,3838,0
20050627,17.8,17.8,17.722,17.8,3585,0
20050628,17.8,17.8,17.722,17.8,2834,0
20050629,17.88,17.88,17.722,17.722,529,0
20050630,17.791,17.791,17.722,17.758,2311,0
20050701,17.758,18.212,17.758,17.8,3564,0
20050705,18.212,18.212,17.8,17.8,1766,0
20050706,17.8,18.089,17.8,17.8,3794,0
20050707,17.8,18.545,17.8,18.466,19413,0
20050708,18.422,19.043,18.422,19.043,10127,0
20050711,18.755,19.789,18.755,19.789,15607,0
20050712,19.789,19.789,19.29,19.789,10111,0
20050713,19.543,19.789,19.411,19.789,2588,0
20050714,19.71,19.789,19.464,19.665,5465,0
20050715,19.411,19.622,19.411,19.622,2483,0
20050718,19.455,19.622,19.455,19.455,4233,0
20050719,19.376,19.543,19.123,19.123,8394,0
20050720,19.209,19.29,19.123,19.209,19623,0
20050721,19.209,19.209,18.501,18.79,11810,0
20050722,18.632,19.001,18.422,18.589,2154,0
20050725,18.422,18.589,18.177,18.177,6070,0
20050726,18.212,18.422,18.063,18.422,3053,0
20050727,18.011,18.212,17.923,18.212,5100,0
20050728,18.212,19.043,18.212,18.834,15757,0
20050729,19.043,19.209,18.834,19.209,7327,0
20050801,19.166,19.455,19.043,19.403,5973,0
20050802,19.043,19.403,18.755,18.79,12757,0
20050803,18.878,19.376,18.79,19.254,4287,0
20050804,19.254,19.254,19.001,19.001,3232,0
20050805,18.834,19.043,18.834,19.043,2259,0
20050808,18.834,19.043,18.632,19.043,6676,0
20050809,19.043,19.043,18.878,19.043,6019,0
20050810,19.043,19.123,19.043,19.043,2020,0
20050811,18.878,19.123,18.878,19.043,2556,0
20050812,18.956,19.455,18.956,19.043,29656,0
20050815,19.043,19.254,18.79,19.043,3795,0
20050816,18.79,19.043,18.632,19.043,4552,0
20050817,18.589,19.043,18.212,19.043,6940,0
20050818,18.956,19.043,18.632,18.632,1307,0
20050819,19.254,19.254,18.632,18.632,7057,0
20050822,18.632,19.209,18.632,19.033,3144,0
20050823,19.043,19.043,19.043,19.043,370,0
20050824,19.823,19.823,19.271,19.613,572,0
20050825,19.403,19.403,19.403,19.403,208,0
20050826,19.613,19.613,19.403,19.403,5399,0
20050829,19.403,19.403,18.975,18.975,1918,0
20050830,19.271,19.525,18.764,18.764,6691,0
20050831,18.764,18.764,18.589,18.589,2967,0
20050901,18.589,18.764,18.589,18.589,10774,0
20050902,18.589,18.764,18.203,18.333,10709,0
20050906,18.333,18.545,18.124,18.333,7529,0
20050907,18.168,18.333,18.168,18.168,16167,0
20050908,18.333,18.764,18.247,18.247,14608,0
20050909,18.333,18.589,18.168,18.589,3390,0
20050912,18.333,18.676,18.333,18.333,4988,0
20050913,17.994,18.247,17.994,18.168,6942,0
20050914,17.994,18.333,17.994,18.247,17455,0
20050915,18.333,18.333,17.994,18.333,9167,0
20050916,18.333,18.422,18.081,18.422,7457,0
20050919,18.081,18.589,17.949,18.124,3103,0
20050920,18.124,18.931,18.124,18.931,8905,0
20050921,18.589,19.183,18.589,19.106,2245,0
20050922,18.545,19.183,18.545,19.183,870,0
20050923,18.764,18.975,18.764,18.975,4028,0
20050926,18.931,18.975,18.764,18.843,6239,0
20050927,18.843,18.931,18.843,18.931,1663,0
20050928,18.931,19.358,18.931,19.358,800,0
20050929,18.931,18.931,18.843,18.843,1757,0
20050930,18.764,18.764,18.333,18.333,4661,0
20051003,18.333,18.379,18.081,18.081,3384,0
20051004,18.124,18.333,18.081,18.203,3537,0
20051005,17.994,18.203,17.967,17.967,844,0
20051006,18.038,18.124,17.994,18.124,4657,0
20051007,17.994,18.545,17.967,18.466,8277,0
20051010,17.994,18.51,17.994,18.466,3200,0
20051011,18.422,18.422,18.124,18.124,1873,0
20051012,18.333,18.466,17.949,18.124,2391,0
20051013,18.124,18.975,17.994,18.676,9191,0
20051014,18.545,18.764,17.994,18.764,5659,0
20051017,18.124,19.183,18.124,19.106,13407,0
20051018,19.183,19.183,18.545,19.018,10213,0
20051019,19.183,19.183,18.545,19.183,5365,0
20051020,18.975,19.106,18.545,18.764,22467,0
20051021,18.333,18.764,18.333,18.764,478,0
20051024,18.124,18.764,18.124,18.764,1429,0
20051025,18.545,18.755,18.124,18.333,4287,0
20051026,18.124,18.247,17.949,18.203,3147,0
20051027,18.081,18.124,17.994,18.081,3250,0
20051028,17.949,18.124,17.949,18.124,1029,0
20051031,18.247,18.333,17.994,18.124,2959,0
20051101,18.333,18.422,18.124,18.124,6431,0
20051102,18.333,18.764,17.994,18.038,11449,0
20051103,18.038,18.51,18.038,18.168,9784,0
20051104,18.333,18.333,17.949,18.203,9310,0
20051107,17.949,18.292,17.949,18.292,11311,0
20051108,18.089,18.124,17.949,17.994,4040,0
20051109,18.038,18.081,18.011,18.011,4365,0
20051110,18.124,18.422,18.011,18.081,16375,0
20051111,18.422,18.51,18.124,18.124,1898,0
20051114,18.038,18.333,18.038,18.247,1393,0
20051115,18.422,18.501,18.247,18.501,11278,0
20051116,18.333,18.886,18.247,18.589,44462,0
20051117,18.676,18.843,18.422,18.666,9509,0
20051118,18.545,18.545,18.168,18.545,12950,0
20051121,18.168,18.886,18.168,18.764,7412,0
20051122,18.764,19.183,18.333,18.975,12235,0
20051123,18.379,18.545,18.379,18.422,3120,0
20051125,18.422,18.422,18.422,18.422,225,0
20051128,18.203,18.51,17.949,17.994,15126,0
20051129,17.949,18.081,17.906,17.906,4447,0
20051130,18.168,18.168,17.827,17.906,4013,0
20051201,17.906,18.422,17.862,17.906,11696,0
20051202,17.906,17.906,17.827,17.827,2971,0
20051205,17.694,17.8,17.266,17.266,18882,0
20051206,17.354,17.782,17.311,17.741,6180,0
20051207,17.564,17.694,17.398,17.529,4306,0
20051208,17.398,17.906,17.311,17.906,12799,0
20051209,17.485,17.485,17.485,17.485,225,0
20051212,17.694,17.694,17.057,17.099,16732,0
20051213,17.057,17.057,16.671,17.057,6497,0
20051214,16.846,17.057,16.846,17.057,4228,0
20051215,16.846,17.144,16.628,17.099,13228,0
20051216,16.968,17.099,16.968,17.099,6168,0
20051219,16.924,17.651,16.924,17.485,27381,0
20051220,17.144,17.651,17.012,17.564,9356,0
20051221,17.012,17.485,17.012,17.266,15286,0
20051222,17.144,17.266,16.628,16.628,10544,0
20051223,16.671,17.057,16.628,17.057,5537,0
20051227,16.846,17.266,16.628,16.968,11934,0
