Date,Open,High,Low,Close,Volume,OpenInt
20060404,13.812,13.812,11.785,11.785,3199,0
20060406,12.189,13.005,12.189,12.601,11142,0
20060407,12.601,12.601,11.363,11.363,11279,0
20060410,11.373,11.785,11.064,11.064,7736,0
20060411,11.103,11.122,11.093,11.093,6601,0
20060412,10.768,10.804,10.768,10.804,614,0
20060413,10.804,10.804,10.795,10.795,366,0
20060417,10.969,11.056,9.586,10.584,32709,0
20060418,10.267,10.574,9.767,10.393,50336,0
20060419,10.489,10.489,10.095,10.383,3344,0
20060420,10.364,10.364,10.355,10.364,889,0
20060424,10.239,10.315,10.124,10.315,1714,0
20060425,9.96,10.325,9.96,10.325,2768,0
20060426,10.162,10.162,10.007,10.162,13903,0
20060427,10.162,10.517,10.162,10.172,1242,0
20060428,10.364,10.364,10.364,10.364,118,0
20060502,10.441,10.768,10.373,10.555,2786,0
20060503,10.555,10.564,10.555,10.564,2678,0
20060504,10.564,10.564,9.96,9.98,6029,0
20060505,9.997,9.997,9.3852,9.4789,11288,0
20060508,9.748,10.345,8.9421,8.9421,7014,0
20060509,8.9421,8.9805,8.7403,8.7403,4536,0
20060510,8.7403,8.9421,8.6828,8.6828,1506,0
20060511,8.577,8.6924,8.5292,8.5868,4210,0
20060512,8.5868,8.5868,8.4137,8.577,11442,0
20060515,8.577,9.0861,8.4137,8.6155,23624,0
20060516,8.8075,9.0573,8.7979,8.9036,18113,0
20060517,8.8941,8.9805,8.8845,8.9805,3046,0
20060518,9.1342,9.1342,8.8075,8.8075,1843,0
20060519,8.8075,8.8075,8.3562,8.3562,4182,0
20060522,8.4137,8.6347,8.4137,8.6347,12533,0
20060523,8.8173,8.9805,8.4523,8.9805,2509,0
20060524,8.9805,8.9805,8.9805,8.9805,492,0
20060526,8.9421,9.3355,8.9421,9.3355,1107,0
20060530,8.7788,8.7788,8.7788,8.7788,118,0
20060531,8.8461,9.3455,8.8461,9.3455,4306,0
20060601,9.3852,9.3852,8.7597,8.9421,1721,0
20060602,9.1727,9.1727,8.7403,8.9134,1213,0
20060605,8.9325,8.9516,8.5292,8.7403,4248,0
20060606,8.5292,8.577,8.5292,8.577,1107,0
20060607,8.6444,8.6539,8.6444,8.6539,1236,0
20060608,8.6924,8.6924,8.6924,8.6924,1475,0
20060609,8.3273,8.3273,8.3273,8.3273,3155,0
