Date,Open,High,Low,Close,Volume,OpenInt
20141219,9.55,9.55,9.55,9.55,273200,0
20141230,9.9,9.9,9.7,9.7,200,0
20150120,9.95,9.95,9.6,9.81,11988,0
20150127,9.9,9.9,9.9,9.9,100,0
20150128,9.49,9.86,9.47,9.72,1059,0
20150129,9.95,9.95,9.95,9.95,100,0
20150202,9.58,9.93,9.58,9.72,4500,0
20150209,10,10,10,10,200,0
20150210,9.9,9.9,9.9,9.9,100,0
20150217,9.4,9.4,9.4,9.4,800,0
20150218,9.95,9.95,9.95,9.95,100,0
20150224,9.55,9.55,9.55,9.55,1000,0
20150225,9.73,9.73,9.7,9.7,400,0
20150319,9.95,9.95,9.92,9.95,5000,0
20150326,10,10,10,10,2000,0
20150401,9.94,9.99,9.94,9.99,800,0
20150406,10.02,10.02,10.02,10.02,100,0
20150414,9.9,9.9,9.9,9.9,900,0
20150415,9.9,9.9,9.9,9.9,651,0
20150416,9.94,9.951,9.9,9.9,18600,0
20150421,9.9,9.9,9.85,9.85,171000,0
20150430,9.95,9.95,9.9,9.9,3100,0
20150501,10,10,10,10,200,0
20150506,9.9,10,9.9,10,12665,0
20150527,10.01,10.02,10.01,10.02,3000,0
20150608,10.03,10.03,10.03,10.03,600,0
20150611,10.05,10.07,10.05,10.07,3200,0
20150615,9.96,10.06,9.93,9.99,3200,0
20150617,9.91,9.98,9.91,9.97,1400,0
20150618,10.08,10.15,10.08,10.15,2000,0
20150707,9.89,9.89,9.89,9.89,100,0
20150709,9.92,10.02,9.92,10.02,1300,0
20150710,10.02,10.02,10.02,10.02,200,0
20150713,9.89,10.21,9.89,10.05,7500,0
20150714,9.94,9.95,9.89,9.94,800,0
20150716,9.89,10.15,9.89,10,5200,0
20150717,9.89,10.15,9.89,10.1,21600,0
20150720,9.89,10.15,9.89,10,45900,0
20150721,10.05,10.05,9.95,9.95,38500,0
20150722,9.95,9.95,9.95,9.95,200,0
20150723,9.98,9.98,9.98,9.98,200,0
20150724,9.97,10,9.97,10,25700,0
20150727,10.01,10.01,9.95,9.95,74300,0
20150807,10.05,10.06,10.01,10.06,800,0
20150811,10.01,10.01,10.01,10.01,150,0
20150825,10.19,10.19,10.19,10.19,100,0
20150827,9.9,10.15,9.85,9.98,8500,0
20150902,9.81,9.81,9.81,9.81,200,0
20150904,9.9,9.9,9.9,9.9,100,0
20150910,9.92,9.96,9.88,9.96,900,0
20150916,9.98,9.98,9.98,9.98,1300,0
20150922,9.89,9.89,9.89,9.89,100,0
20150928,9.88,9.88,9.85,9.85,10754,0
20150929,9.87,9.88,9.87,9.88,5300,0
20150930,9.88,9.88,9.88,9.88,300,0
20151001,9.88,9.88,9.88,9.88,1200,0
20151007,9.88,9.88,9.85,9.88,900,0
20151009,9.88,9.88,9.8,9.8,373000,0
20151021,9.88,9.88,9.88,9.88,5000,0
20151026,9.9,9.9,9.9,9.9,400,0
20151028,9.9,9.9,9.9,9.9,200,0
20151029,9.82,9.82,9.82,9.82,1530000,0
20151111,9.81,9.83,9.81,9.83,500,0
20151116,9.81,9.81,9.81,9.81,1000,0
20151120,9.84,9.84,9.84,9.84,2000,0
20151202,9.82,9.82,9.82,9.82,1000,0
20151204,9.85,9.85,9.85,9.85,200,0
20151207,9.84,9.85,9.84,9.85,300,0
20151209,9.84,9.84,9.84,9.84,100,0
20151210,9.84,9.84,9.84,9.84,200,0
20151211,9.84,9.84,9.84,9.84,100,0
20151214,9.83,9.83,9.83,9.83,100,0
20151215,9.83,9.84,9.83,9.84,2000,0
20151217,9.84,9.84,9.84,9.84,8700,0
20151218,9.84,9.84,9.84,9.84,10100,0
20151221,10.09,10.09,10.09,10.09,100,0
20151222,9.84,9.84,9.84,9.84,4500,0
20151223,9.8,9.8,9.8,9.8,1000,0
20151230,9.82,9.85,9.82,9.85,2300,0
20151231,9.86,9.88,9.86,9.86,3900,0
20160104,9.84,9.84,9.84,9.84,100,0
20160105,9.84,9.84,9.84,9.84,2000,0
20160106,9.84,9.84,9.84,9.84,100,0
20160107,9.85,9.85,9.84,9.84,200,0
20160108,9.85,9.85,9.85,9.85,2505,0
20160111,9.85,9.89,9.85,9.89,3523,0
20160112,9.86,9.86,9.85,9.85,300,0
20160202,9.86,9.86,9.85,9.85,1462,0
20160203,9.87,9.87,9.87,9.87,100,0
20160205,9.87,9.87,9.87,9.87,100,0
20160209,9.86,9.86,9.85,9.85,400,0
20160217,9.9443,9.9443,9.9443,9.9443,250,0
20160304,9.88,9.88,9.88,9.88,30805,0
20160309,9.86,9.86,9.86,9.86,600,0
20160311,9.95,9.95,9.95,9.95,1000,0
20160314,9.86,9.86,9.86,9.86,100,0
20160315,9.88,9.88,9.88,9.88,3093,0
20160318,9.88,9.88,9.88,9.88,100,0
20160321,9.9,9.9,9.9,9.9,1200,0
20160323,9.9,9.9,9.9,9.9,100,0
20160324,9.9,9.9,9.9,9.9,100,0
20160328,9.9,9.91,9.9,9.91,200,0
20160330,9.92,9.92,9.92,9.92,100,0
20160331,9.9,9.9,9.9,9.9,8000,0
20160401,9.9,9.9,9.9,9.9,100,0
20160404,9.9,9.9,9.9,9.9,100,0
20160405,9.92,9.95,9.92,9.92,4550,0
20160406,9.92,9.92,9.92,9.92,42460,0
20160407,9.92,9.93,9.92,9.93,600,0
20160408,9.92,9.92,9.92,9.92,100,0
20160414,9.92,9.92,9.92,9.92,55100,0
20160415,9.92,9.92,9.92,9.92,37500,0
