Date,Open,High,Low,Close,Volume,OpenInt
20050225,16.138,16.55,16.128,16.334,396515,0
20050228,16.245,16.255,16.012,16.208,886876,0
20050301,16.098,16.324,16.098,16.178,617151,0
20050302,16.284,16.44,16.059,16.226,451604,0
20050303,16.334,16.354,15.952,15.952,440675,0
20050304,16.158,16.158,15.982,16.118,286499,0
20050307,16.059,16.226,16.04,16.217,223646,0
20050308,16.178,16.42,16.03,16.098,665452,0
20050309,16.049,16.108,15.982,16.049,241033,0
20050310,16.069,16.079,15.836,15.893,361685,0
20050311,15.893,16.079,15.747,15.846,161609,0
20050314,15.747,16.04,15.747,15.932,341187,0
20050315,16.002,16.079,15.444,15.63,387358,0
20050316,15.561,15.893,15.531,15.776,336513,0
20050317,15.903,15.903,15.415,15.571,262722,0
20050318,15.66,15.856,15.229,15.591,737248,0
20050321,15.503,15.66,15.385,15.454,178391,0
20050322,15.435,15.541,15.269,15.444,589118,0
20050323,15.346,15.522,15.229,15.249,328154,0
20050324,15.239,15.385,14.955,14.955,334272,0
20050328,15.083,15.259,14.946,15.063,262173,0
20050329,15.15,15.199,14.624,14.652,365294,0
20050330,11.632,13.048,11.563,12.18,5767001,0
20050331,12.16,12.335,11.974,12.335,763913,0
20050401,12.267,12.414,12.13,12.17,564518,0
20050404,12.091,12.462,11.983,12.258,907149,0
20050405,12.306,12.453,12.111,12.267,429446,0
20050406,12.443,12.667,12.17,12.248,1371626,0
20050407,12.229,12.434,12.219,12.297,342277,0
20050408,12.219,12.325,12.14,12.248,762724,0
20050411,12.219,12.297,11.935,11.964,391969,0
20050412,11.944,12.091,11.778,12.033,398934,0
20050413,12.071,12.15,11.935,11.983,530407,0
20050414,11.925,12.033,11.739,11.848,609784,0
20050415,11.905,12.003,11.456,11.553,687639,0
20050418,11.583,11.808,11.398,11.769,497132,0
20050419,11.759,11.838,11.456,11.486,777275,0
20050420,11.583,11.69,11.183,11.203,680802,0
20050421,11.408,11.592,11.27,11.358,368774,0
20050422,11.318,11.7,11.143,11.23,576971,0
20050425,11.29,11.553,11.173,11.476,204687,0
20050426,11.427,11.563,11.036,11.086,391913,0
20050427,11.016,11.211,10.879,11.006,570162,0
20050428,10.87,11.056,10.605,10.634,1347518,0
20050429,10.585,10.644,10.253,10.352,1040522,0
20050502,10.302,10.595,10.059,10.449,814563,0
20050503,10.449,10.585,10.137,10.273,511338,0
20050504,10.312,10.575,10.312,10.509,436300,0
20050505,10.44,10.704,10.44,10.585,674181,0
20050506,10.605,10.791,10.499,10.615,285703,0
20050509,10.565,10.753,10.391,10.634,250716,0
20050510,10.674,10.771,10.469,10.556,385356,0
20050511,10.526,10.762,10.526,10.694,289134,0
20050512,10.704,10.801,10.565,10.585,377339,0
20050513,10.585,10.879,10.585,10.753,406484,0
20050516,10.704,10.947,10.704,10.879,469112,0
20050517,10.762,11.066,10.634,10.907,436478,0
20050518,11.016,11.143,10.851,11.036,316911,0
20050519,10.927,11.211,10.927,11.211,215359,0
20050520,11.24,11.338,11.193,11.27,207010,0
20050523,11.27,11.446,11.153,11.23,256328,0
20050524,11.308,11.496,11.193,11.496,240925,0
20050525,11.506,11.788,11.398,11.651,485823,0
20050526,11.778,11.808,11.573,11.769,288493,0
20050527,11.739,11.944,11.632,11.798,134520,0
20050531,11.935,11.944,11.72,11.778,242531,0
20050601,11.788,11.983,11.73,11.798,287298,0
20050602,11.778,11.828,11.632,11.739,427052,0
20050603,11.828,11.944,11.671,11.808,405279,0
20050606,11.808,11.818,11.632,11.788,328798,0
20050607,11.905,12.443,11.759,12.13,594974,0
20050608,12.16,12.267,11.848,11.858,421660,0
20050609,11.818,12.12,11.73,12.12,270003,0
20050610,12.15,12.15,11.769,11.915,217346,0
20050613,11.925,11.974,11.739,11.905,424078,0
20050614,11.925,12.316,11.818,12.209,532971,0
20050615,12.258,12.521,12.003,12.453,367694,0
20050616,12.551,13.048,12.462,12.932,491759,0
20050617,12.824,13.138,12.706,12.942,703269,0
20050620,12.903,12.923,12.561,12.62,310930,0
20050621,12.61,12.726,12.335,12.375,504100,0
20050622,12.414,12.571,12.375,12.492,384907,0
20050623,12.511,12.883,12.482,12.726,893132,0
20050624,12.657,12.677,12.462,12.531,630155,0
20050627,12.531,12.667,12.277,12.424,237486,0
20050628,12.502,12.942,12.384,12.932,439355,0
20050629,12.952,13.235,12.843,13.215,361389,0
20050630,13.245,13.4,13.176,13.225,405497,0
20050701,13.294,13.294,12.972,13.118,295688,0
20050705,13.028,13.225,12.903,13.225,404319,0
20050706,13.196,13.215,12.982,13.098,240389,0
20050707,13.001,13.304,12.903,13.245,260665,0
20050708,13.196,13.636,13.196,13.568,366331,0
20050711,13.498,13.87,13.488,13.84,358193,0
20050712,13.89,13.93,13.568,13.597,395617,0
20050713,13.684,13.792,13.568,13.646,208580,0
20050714,13.782,13.978,13.674,13.684,207609,0
20050715,13.548,13.84,13.548,13.821,129604,0
20050718,13.83,13.83,13.391,13.47,203992,0
20050719,13.488,13.978,13.45,13.96,192659,0
20050720,13.86,13.93,13.733,13.87,485149,0
20050721,13.87,13.9,13.607,13.694,385520,0
20050722,13.723,14.252,13.704,14.163,586417,0
20050725,14.154,14.272,13.978,14.066,232222,0
20050726,14.076,14.232,13.704,13.88,643677,0
20050727,14.006,14.428,13.85,14.34,481682,0
20050728,14.252,15.18,13.92,14.877,593869,0
20050729,14.77,14.857,14.672,14.691,751356,0
20050801,14.711,15.141,14.701,14.916,381848,0
20050802,14.955,15.494,14.955,15.425,325526,0
20050803,15.385,15.395,14.867,15.023,449149,0
20050804,14.955,15.073,14.633,14.662,176030,0
20050805,14.624,14.711,14.378,14.662,309703,0
20050808,14.633,14.808,14.398,14.662,266974,0
20050809,14.662,15.189,14.418,14.691,254276,0
20050810,14.662,14.828,14.32,14.506,295322,0
20050811,14.466,14.847,14.466,14.818,249954,0
20050812,14.76,14.857,14.358,14.378,177396,0
20050815,14.302,14.907,14.222,14.857,285976,0
20050816,14.798,14.828,14.428,14.554,197320,0
20050817,14.525,14.711,14.202,14.691,287508,0
20050818,14.681,14.731,14.506,14.525,141698,0
20050819,14.476,14.897,14.476,14.857,293310,0
20050822,14.907,15.317,14.789,15.307,290033,0
20050823,15.269,15.816,15.199,15.503,677352,0
20050824,15.6,15.63,14.76,14.985,482525,0
20050825,15.004,15.346,14.887,15.307,316747,0
