Date,Open,High,Low,Close,Volume,OpenInt
20050228,5.96,5.96,5.96,5.96,222,0
20050307,6.18,6.18,6.18,6.18,111,0
20050316,6.08,6.08,6.08,6.08,222,0
20050322,5.94,5.94,5.94,5.94,522,0
20050419,4.23,4.23,4.23,4.23,133,0
20050502,4.05,4.05,4.05,4.05,166,0
20050513,5.49,5.49,5.49,5.49,666,0
20050718,6.28,6.28,6.28,6.28,777,0
20050728,6.55,6.55,6.55,6.55,411,0
20050824,6.11,6.11,6.11,6.11,83,0
20050829,5.31,5.31,5.31,5.31,166,0
20050929,6.34,6.34,6.34,6.34,33,0
20051018,5.08,5.08,5.08,5.08,666,0
20051020,5.12,5.12,5.12,5.12,111,0
20051103,5.85,5.85,5.85,5.85,1666,0
20051110,5.62,5.62,5.62,5.62,55,0
20051117,5.58,5.65,5.58,5.58,722,0
20051121,5.6,5.68,5.6,5.6,1722,0
20051128,5.85,5.85,5.85,5.85,2222,0
20051202,6.34,6.57,6.34,6.34,240,0
20051205,6.75,6.75,6.75,6.75,555,0
20051206,6.23,7.43,6.23,6.23,2444,0
20051212,5.52,5.52,5.52,5.52,2222,0
20051213,5.27,5.4,5.27,5.27,933,0
20051214,5.13,5.13,5.13,5.13,444,0
20051219,5.17,5.17,5.17,5.17,1111,0
20060104,5.22,5.39,5.22,5.22,2222,0
20060106,5.11,5.11,5.11,5.11,1666,0
20060109,5.49,5.49,5.49,5.49,1111,0
20060123,5.58,5.58,5.58,5.58,1333,0
20060124,5.58,5.58,5.49,5.58,1111,0
20060207,5.56,5.56,5.56,5.56,1111,0
20060208,5.69,5.69,5.69,5.69,555,0
20060227,5.45,5.76,5.45,5.45,1277,0
20060321,4.86,5.49,4.86,4.86,1499,0
20060323,5.08,5.08,5.08,5.08,166,0
20060331,4.77,4.77,4.68,4.77,1222,0
20060505,5.64,5.64,5.64,5.64,111,0
20060509,5.77,5.77,5.77,5.77,555,0
20060515,5.49,5.49,5.49,5.49,1111,0
20060516,5.67,5.67,5.67,5.67,166,0
20060525,5.16,5.16,5.04,5.16,888,0
20060608,4.91,5.04,4.91,4.91,1999,0
20060612,5.28,5.36,5.28,5.28,1399,0
20060613,5.29,5.42,5.29,5.29,2833,0
