Date,Open,High,Low,Close,Volume,OpenInt
20050225,19.493,20.16,19.474,20.16,28265,0
20050228,20.21,20.246,19.745,20.006,18179,0
20050301,20.21,20.586,19.939,19.967,35896,0
20050302,20.17,20.826,19.967,20.826,31937,0
20050303,20.826,20.826,19.629,20.344,7589,0
20050304,19.503,20.025,19.503,19.939,25619,0
20050307,19.929,19.929,19.493,19.59,25043,0
20050308,19.929,19.929,18.982,19.135,107533,0
20050309,19.435,19.435,19.05,19.183,12085,0
20050310,19.059,19.262,18.836,19.116,53413,0
20050311,19.262,19.718,19.05,19.718,19760,0
20050314,19.493,20.383,19.05,20.12,117741,0
20050315,20.335,20.335,19.718,20.063,28076,0
20050316,19.493,20.383,19.493,19.639,36877,0
20050317,19.493,19.59,19.455,19.455,40502,0
20050318,19.531,19.85,19.493,19.85,45410,0
20050321,19.503,19.668,19.406,19.619,24249,0
20050322,19.435,20.468,19.435,20.295,39017,0
20050323,20.091,20.383,19.551,19.718,39396,0
20050324,20.13,20.13,19.406,19.718,79210,0
20050328,19.59,19.718,19.406,19.406,117071,0
20050329,19.493,19.57,19.106,19.369,48850,0
20050330,19.096,19.698,18.846,19.078,46363,0
20050331,19.629,19.929,18.701,18.701,365568,0
20050401,18.827,18.865,17.503,18.063,183987,0
20050404,17.901,17.901,17.444,17.715,34061,0
20050405,17.753,18.346,17.715,18.346,38572,0
20050406,18.518,18.614,17.891,17.988,10349,0
20050407,18.082,18.082,17.396,17.724,27292,0
20050408,17.483,17.503,16.5,17.283,53552,0
20050411,17.214,17.214,16.481,16.481,33134,0
20050412,16.392,16.481,15.687,16.353,29006,0
20050413,16.51,16.633,16.258,16.529,27691,0
20050414,16.642,16.642,15.697,15.824,98327,0
20050415,15.921,15.949,15.291,15.495,10745,0
20050418,15.677,15.677,14.849,14.885,19074,0
20050419,15.061,15.165,14.663,14.914,15365,0
20050420,15.505,16.044,15.262,15.794,67293,0
20050421,15.716,16.172,15.716,15.911,40928,0
20050422,15.881,16.083,14.538,14.585,49927,0
20050425,14.624,14.624,14.104,14.325,49590,0
20050426,14.451,14.451,13.91,13.91,16787,0
20050427,13.872,13.91,13.349,13.649,20028,0
20050428,13.853,14.182,13.754,14.074,25347,0
20050429,14.192,14.305,13.833,14.123,66742,0
20050502,14.246,14.295,14.015,14.173,74742,0
20050503,14.238,14.355,13.601,13.718,26921,0
20050504,13.737,14.173,13.737,13.996,186871,0
20050505,14.192,14.219,13.853,13.853,136538,0
20050506,13.959,14.035,13.302,13.524,20741,0
20050509,13.9,13.9,13.156,13.234,274806,0
20050510,13.147,13.467,13.07,13.311,79494,0
20050511,13.378,13.62,13.205,13.273,19495,0
20050512,13.244,13.552,13.147,13.292,87880,0
20050513,13.919,13.919,12.849,12.849,30149,0
20050516,13.051,13.533,13.051,13.253,61746,0
20050517,13.147,13.571,13.147,13.339,21216,0
20050518,13.398,14.305,13.302,14.219,102618,0
20050519,14.315,15.09,14.219,14.923,43133,0
20050520,15.109,15.658,14.867,15.185,24573,0
20050523,15.377,15.563,15.33,15.407,8327,0
20050524,15.301,15.34,15.071,15.071,5746,0
20050525,15.099,15.697,15.09,15.291,30674,0
20050526,15.677,15.677,14.771,15.071,12184,0
20050527,15.234,15.234,14.991,15.031,7797,0
20050531,15.136,15.155,14.799,14.799,13936,0
20050601,15.011,15.224,14.972,15.185,9974,0
20050602,15.195,15.505,15.021,15.243,6817,0
20050603,15.291,15.426,14.932,15.291,12920,0
20050606,15.628,15.677,15.136,15.553,20441,0
20050607,15.774,15.949,15.476,15.543,23960,0
20050608,15.426,15.446,14.849,15.128,16478,0
20050609,15.109,15.145,14.771,14.771,86079,0
20050610,14.914,14.952,14.663,14.849,16566,0
20050613,14.839,14.972,14.712,14.952,24167,0
20050614,15.136,15.136,14.491,14.839,37286,0
20050615,14.923,14.942,13.939,14.005,36381,0
20050616,14.219,14.285,13.329,13.552,63722,0
20050617,13.698,14.114,13.119,13.302,60533,0
20050620,13.611,13.611,12.625,12.673,49261,0
20050621,12.673,12.983,12.673,12.78,143982,0
20050622,12.849,12.944,11.834,12.026,226981,0
20050623,12.056,12.451,10.945,12.267,1093998,0
20050624,12.18,14.114,12.18,13.166,610476,0
20050627,13.263,13.62,13.253,13.601,37483,0
20050628,13.457,13.959,13.428,13.939,43328,0
20050629,14.143,14.266,13.737,14.219,48302,0
20050630,14.295,15.185,14.276,14.972,55092,0
20050701,14.904,15.071,14.519,14.885,55841,0
20050705,15.081,15.109,14.867,15.081,29279,0
20050706,15.109,15.109,14.742,14.895,27267,0
20050707,14.672,14.849,14.585,14.78,32992,0
20050708,14.972,14.972,14.712,14.809,17876,0
20050711,14.923,14.923,14.585,14.712,21368,0
20050712,14.789,14.789,14.615,14.634,17204,0
20050713,14.771,14.78,14.653,14.751,12695,0
20050714,14.799,14.849,14.712,14.761,16062,0
20050715,14.538,14.624,14.441,14.538,70358,0
20050718,14.538,14.702,14.295,14.644,15771,0
20050719,14.663,14.751,14.481,14.528,14482,0
20050720,14.519,14.799,14.315,14.722,14451,0
20050721,14.932,15.195,14.895,15.081,12882,0
20050722,14.923,15.155,14.839,15.155,74665,0
20050725,15.243,15.94,15.081,15.94,69547,0
20050726,15.949,16.103,15.833,16.093,19365,0
20050727,16.112,16.162,15.949,15.977,25615,0
20050728,15.814,16.633,15.61,16.441,68387,0
20050729,16.587,16.587,16.112,16.172,77594,0
20050801,16.063,16.529,15.224,15.863,50493,0
20050802,16.083,16.093,15.804,16.044,37497,0
20050803,15.994,16.661,15.994,16.441,6559,0
20050804,16.481,16.481,15.881,16.083,18496,0
20050805,15.967,16.083,15.833,15.833,19896,0
20050808,16.044,16.054,15.638,15.949,40711,0
20050809,15.911,16.103,15.863,15.949,29529,0
20050810,16.063,16.142,15.949,16.044,26349,0
20050811,16.294,17.029,15.949,16.731,33513,0
20050812,16.789,16.847,16.112,16.152,18981,0
20050815,15.949,17.039,15.949,16.905,24785,0
20050816,16.432,16.597,16.313,16.362,16564,0
20050817,16.567,16.567,15.784,16.353,10268,0
20050818,16.343,16.362,16.152,16.211,7471,0
20050819,16.132,16.323,16.044,16.152,26172,0
20050822,16.267,16.294,16.083,16.258,6234,0
20050823,16.382,16.577,16.083,16.132,45773,0
20050824,16.044,16.202,15.901,15.994,60337,0
20050825,16.093,16.192,16.044,16.054,20754,0
20050826,15.994,16.044,15.774,15.794,24791,0
20050829,15.863,15.863,15.505,15.61,6452,0
20050830,15.687,15.994,15.224,15.407,58527,0
20050831,15.514,15.706,15.165,15.32,47202,0
20050901,15.618,15.697,15.155,15.32,46496,0
20050902,15.397,15.563,15.34,15.426,4067,0
20050906,15.368,15.505,15.291,15.416,34338,0
20050907,15.456,15.505,15.099,15.311,36254,0
20050908,15.514,15.514,15.243,15.505,58315,0
20050909,15.61,16.034,15.553,16.034,5794,0
20050912,16.103,16.286,16.044,16.172,15735,0
20050913,16.093,16.172,15.872,16.044,35928,0
20050914,16.083,16.152,15.977,16.044,11569,0
20050915,15.994,16.112,15.949,16.044,15355,0
20050916,16.142,16.294,15.726,16.162,39332,0
20050919,16.073,16.286,16.004,16.182,4427,0
20050920,15.949,16.172,14.789,15.224,164465,0
20050921,15.243,15.716,15.243,15.505,83566,0
20050922,15.618,15.618,15.128,15.195,129876,0
20050923,15.224,15.853,15.224,15.745,66292,0
20050926,15.94,15.949,15.638,15.726,3692,0
20050927,15.94,15.94,15.61,15.687,4844,0
20050928,15.716,16.063,15.638,16.063,119212,0
20050929,16.054,16.112,15.687,16.112,4704,0
20050930,16.112,16.471,16.112,16.471,14577,0
20051003,16.481,16.711,16.441,16.701,8178,0
20051004,16.749,16.749,16.392,16.529,14808,0
20051005,16.441,16.547,15.764,15.93,10166,0
20051006,16.202,16.471,16.063,16.372,20609,0
20051007,16.567,17.155,16.567,17.079,18062,0
20051010,16.945,16.945,16.759,16.895,3602,0
20051011,16.999,17.107,16.915,16.935,10268,0
20051012,16.905,17.224,16.905,16.905,18182,0
20051013,16.866,17.009,16.799,16.895,43671,0
20051014,17.069,17.116,16.945,17.049,2998,0
20051017,17.059,17.059,16.809,16.935,11910,0
20051018,17.116,17.116,16.876,16.973,17336,0
20051019,16.905,17.059,16.661,17.039,8870,0
20051020,17.107,17.107,16.885,16.925,6016,0
20051021,16.885,17.165,16.885,17.165,4735,0
20051024,17.205,17.367,16.973,17.367,46295,0
20051025,17.069,17.329,16.905,17.145,33902,0
20051026,17.195,17.329,17.039,17.135,5539,0
20051027,17.454,17.454,17.069,17.089,16995,0
20051028,17.107,17.367,17.089,17.357,12540,0
20051031,17.543,17.861,17.377,17.861,13714,0
20051101,17.724,18.596,17.724,17.978,30311,0
20051102,18.306,18.527,18.17,18.527,31807,0
20051103,18.634,18.875,18.238,18.346,14753,0
20051104,18.277,18.287,17.792,17.792,15962,0
20051107,17.92,17.988,17.661,17.881,15487,0
20051108,17.763,17.901,17.715,17.812,20751,0
20051109,17.782,18.023,17.773,18.007,29777,0
20051110,17.832,18.401,17.611,18.17,21786,0
20051111,18.101,18.371,17.782,18.316,10445,0
20051114,18.257,18.739,18.17,18.587,8415,0
20051115,18.739,19.455,18.739,19.106,20611,0
20051116,19.386,19.801,19.213,19.688,94052,0
20051117,19.88,19.889,19.658,19.791,10424,0
20051118,20.12,20.16,19.668,19.939,15581,0
20051121,19.939,20.218,19.88,20.045,11712,0
20051122,20.035,20.981,20.035,20.961,100402,0
20051123,20.913,21.251,20.663,21.173,37203,0
20051125,21.183,21.222,21.154,21.193,7587,0
20051128,21.522,22.815,21.281,21.996,110710,0
20051129,20.807,21.406,19.86,21.212,82945,0
20051130,21.088,21.088,20.441,20.701,34682,0
20051201,20.526,20.72,19.986,20.335,36424,0
20051202,20.459,21.34,20.101,20.971,22704,0
20051205,21.116,21.116,19.948,20.16,29059,0
20051206,20.16,20.218,19.85,20.025,20626,0
20051207,19.465,20.383,19.321,20.246,19421,0
20051208,20.18,20.826,20.015,20.335,18214,0
20051209,20.344,20.383,20.082,20.265,10259,0
20051212,20.383,20.393,20.21,20.383,33255,0
20051213,20.431,20.586,20.19,20.586,15100,0
20051214,20.778,20.817,20.246,20.335,8291,0
20051215,20.506,22.074,20.325,21.802,35062,0
20051216,21.849,22.139,20.807,21.301,47682,0
20051219,21.561,21.628,19.899,20.015,35316,0
20051220,20.015,20.015,18.789,18.855,56407,0
20051221,18.739,20.072,18.739,20.072,20629,0
20051222,20.12,20.305,19.164,19.262,23449,0
20051223,19.203,19.359,18.836,18.875,22593,0
20051227,18.654,19.889,18.363,19.841,30915,0
20051228,19.599,19.599,18.836,19.078,16958,0
20051229,19.032,20.923,19.032,20.477,15950,0
20051230,20.373,21.05,19.341,20.383,37353,0
20060103,20.21,21.126,20.21,21.106,12468,0
20060104,20.942,21.271,20.586,21.241,11085,0
20060105,21.271,21.271,20.942,21.116,1491,0
20060106,21.271,21.271,20.971,21.135,6093,0
20060109,20.981,21.126,19.493,20.431,19113,0
20060110,20.305,20.305,19.493,20.091,10612,0
20060111,20.035,20.035,19.272,19.272,10765,0
20060112,19.386,19.386,18.923,19.155,5877,0
20060113,19.155,19.155,18.769,18.923,13120,0
20060117,18.836,19.629,18.769,19.445,9543,0
20060118,19.493,20.807,19.493,20.556,20908,0
20060119,20.788,20.826,20.383,20.487,3041,0
20060120,20.653,20.807,20.383,20.653,21548,0
20060123,20.383,20.663,20.045,20.441,17056,0
20060124,20.393,21.725,19.698,21.647,33946,0
20060125,21.406,21.463,20.826,20.961,11046,0
20060126,20.701,21.088,20.373,21.088,6948,0
20060127,21.088,21.677,20.961,21.088,13114,0
20060130,21.513,21.513,20.576,20.942,6181,0
20060131,20.73,20.895,20.441,20.895,3055,0
20060201,20.826,21.618,20.74,21.126,8017,0
20060202,21.483,21.725,21.126,21.657,30074,0
20060203,21.878,23.484,21.839,22.768,29060,0
20060206,23.386,23.814,23.173,23.551,45842,0
20060207,23.617,23.695,23.058,23.058,15036,0
20060208,23.087,23.097,20.75,21.58,72107,0
20060209,21.444,22.055,21.444,21.947,9114,0
20060210,21.976,21.976,21.212,21.444,12977,0
20060213,21.311,21.463,20.826,20.826,11452,0
20060214,20.691,21.183,20.506,20.73,34071,0
20060215,20.74,21.599,20.691,21.483,5906,0
20060216,21.493,21.765,21.483,21.715,10347,0
20060217,21.05,22.324,21.05,21.956,19876,0
20060221,22.169,22.314,19.222,19.455,80494,0
20060222,20.2,20.855,19.986,20.431,124432,0
20060223,20.556,21.888,20.2,21.454,57795,0
20060224,21.513,22.111,20.961,21.376,17522,0
20060227,20.885,21.878,20.885,21.707,19957,0
20060228,21.513,21.869,21.396,21.869,11224,0
20060301,21.735,21.755,21.291,21.687,15314,0
20060302,21.531,21.531,20.836,21.357,9976,0
20060303,21.07,21.396,19.639,20.218,139885,0
20060306,20.16,20.817,19.967,20.363,35614,0
20060307,20.595,20.624,19.948,19.948,19405,0
20060308,20.035,20.035,18.779,19.069,10932,0
20060309,20.285,20.74,19.378,19.782,21124,0
20060310,19.986,20.21,19.85,19.996,5446,0
20060313,19.967,19.967,19.05,19.811,43196,0
20060314,19.639,19.791,19.272,19.474,30247,0
20060315,19.609,20.025,19.59,19.948,6240,0
20060316,19.929,20.12,19.726,19.821,61700,0
20060317,19.919,20.14,19.735,19.939,63783,0
20060320,19.986,20.2,19.986,20.2,9704,0
20060321,20.015,20.383,20.015,20.255,13559,0
20060322,20.275,20.923,20.17,20.905,37772,0
20060323,20.768,21.435,20.768,21.435,15730,0
20060324,21.493,21.735,20.75,21.725,149578,0
20060327,21.839,21.966,20.459,21.765,34269,0
20060328,21.878,21.878,21.321,21.618,56112,0
20060329,21.628,21.937,21.493,21.647,148952,0
20060330,21.406,22.506,21.406,21.802,158611,0
20060331,22.246,22.422,22.055,22.199,15172,0
20060403,22.064,22.285,21.522,21.735,18381,0
20060404,21.812,22.373,21.541,21.918,39463,0
20060405,21.83,22.139,20.768,21.463,15329,0
20060406,21.58,22.294,21.435,22.045,11085,0
20060407,22.092,22.111,21.667,21.667,7852,0
20060410,21.503,22.064,21.321,21.435,12150,0
20060411,21.513,21.775,21.281,21.444,24030,0
