Date,Open,High,Low,Close,Volume,OpenInt
20050225,15.127,15.134,15.097,15.097,1459,0
20050228,15.635,15.7,15.217,15.366,2106,0
20050303,15.738,15.738,15.738,15.738,2303,0
20050304,15.551,15.551,15.088,15.088,5064,0
20050308,15.012,15.012,15.012,15.012,1642,0
20050310,15.385,15.385,14.902,14.902,705,0
20050314,15.635,15.635,14.939,15.635,6687,0
20050315,14.902,15.729,14.902,15.097,4975,0
20050316,15.088,15.088,15.088,15.088,117,0
20050317,15.088,15.088,14.976,14.976,2245,0
20050322,15.04,15.44,14.948,14.967,5105,0
20050323,15.05,15.05,15.05,15.05,538,0
20050324,15.635,15.635,14.902,14.902,1077,0
20050328,14.902,14.902,14.902,14.902,970,0
20050329,14.853,15.127,14.623,14.623,826,0
20050330,14.437,14.437,14.437,14.437,108,0
20050331,14.213,14.213,14.213,14.213,432,0
20050404,14.251,14.251,13.925,13.925,2046,0
20050413,13.925,14.003,13.925,13.973,2662,0
20050414,14.02,14.02,13.463,13.553,9404,0
20050415,13.563,13.592,13.463,13.592,859,0
20050418,13.767,13.889,13.721,13.721,486,0
20050425,13.787,13.787,13.697,13.697,1294,0
20050426,13.697,13.697,13.697,13.697,215,0
20050427,13.649,13.649,13.649,13.649,969,0
20050429,13.649,14.39,13.649,14.39,1858,0
20050502,14.381,14.781,14.381,14.781,431,0
20050503,14.623,14.623,14.623,14.623,215,0
20050506,13.935,13.935,13.463,13.697,4131,0
20050509,13.697,13.697,13.697,13.697,134,0
20050510,13.64,14.326,13.64,14.316,1186,0
20050513,15.319,15.319,14.03,15.078,4605,0
20050516,14.064,14.819,14.064,14.539,538,0
20050518,14.159,14.159,14.159,14.159,108,0
20050519,14.326,14.623,14.14,14.623,1268,0
20050523,14.02,14.02,13.787,13.787,1034,0
20050524,13.816,13.816,13.697,13.697,1785,0
20050526,13.351,13.915,13.351,13.915,2306,0
20050527,13.925,14.577,13.925,14.261,2496,0
20050531,14.02,14.02,13.649,13.712,3447,0
20050606,13.697,13.697,13.697,13.697,294,0
20050609,13.601,13.697,13.601,13.697,1613,0
20050610,13.954,14.52,13.954,14.52,1180,0
20050613,13.825,13.825,13.825,13.825,701,0
20050615,14.251,14.251,14.251,14.251,2139,0
20050616,13.73,13.935,13.712,13.935,1675,0
20050617,13.712,13.712,13.712,13.712,540,0
20050622,14.02,14.02,14.02,14.02,231,0
20050623,14.057,14.057,14.057,14.057,1644,0
20050624,13.697,13.964,13.697,13.697,3141,0
20050627,13.697,13.697,13.697,13.697,431,0
20050628,13.697,13.697,13.697,13.697,186,0
20050629,14.057,14.064,13.973,13.993,646,0
20050701,13.973,13.973,13.712,13.712,646,0
20050706,14.064,14.064,14.064,14.064,2100,0
20050707,14.251,14.251,13.712,13.712,646,0
20050708,13.712,13.973,13.712,13.925,2640,0
20050711,14.02,14.529,13.925,14.529,1815,0
20050712,14.512,14.512,13.796,13.796,538,0
20050713,13.871,14.177,13.796,13.796,862,0
20050714,13.862,13.862,13.862,13.862,112,0
20050715,13.787,14.169,13.787,14.15,2167,0
20050718,14.529,14.529,13.787,13.787,3178,0
20050719,13.787,13.787,13.787,13.787,271,0
20050720,13.907,13.907,13.787,13.796,1430,0
20050721,13.787,13.787,13.787,13.787,507,0
20050726,14.111,14.206,14.111,14.206,431,0
20050727,14.485,14.485,14.39,14.475,538,0
20050728,14.623,14.642,14.485,14.642,2154,0
20050729,14.762,15.031,14.762,15.022,7625,0
20050801,15.04,15.088,14.819,14.819,87655,0
20050802,15.078,15.319,15.078,15.319,1077,0
20050803,15.274,15.274,15.274,15.274,215,0
20050804,15.319,15.644,15.319,15.467,2460,0
20050805,15.729,15.764,15.729,15.738,1581,0
20050808,15.738,15.782,15.738,15.782,431,0
20050809,15.504,15.504,15.504,15.504,431,0
20050811,15.366,15.366,15.134,15.319,1324,0
20050812,15.292,15.301,14.743,14.762,646,0
20050818,14.753,14.753,14.753,14.753,208,0
20050822,15.012,15.088,15.012,15.088,549,0
20050825,14.623,14.623,14.623,14.623,538,0
20050826,14.623,14.623,14.623,14.623,1503,0
20050830,14.853,14.853,14.853,14.853,2384,0
20050831,14.39,14.853,14.39,14.853,1802,0
20050901,14.853,14.853,14.853,14.853,538,0
20050902,14.623,14.623,14.623,14.623,216,0
20050906,14.948,15.031,14.66,14.677,661,0
20050907,15.002,15.002,14.623,14.623,1212,0
20050908,14.529,15.04,14.529,15.04,241,0
20050909,14.984,14.984,14.984,14.984,215,0
20050912,15.04,15.069,15.04,15.069,655,0
20050913,15.088,15.088,15.04,15.04,431,0
20050916,14.716,15.088,14.529,15.05,4355,0
20050919,14.558,14.558,14.558,14.558,509,0
20050921,15.088,15.088,15.088,15.088,1699,0
20050923,14.529,14.529,14.529,14.529,538,0
20050927,15.088,15.088,15.088,15.088,2346,0
20050929,15.04,15.04,15.04,15.04,402,0
20051004,15.04,15.088,15.04,15.088,1132,0
20051005,15.04,15.04,15.04,15.04,215,0
20051012,14.762,14.762,14.762,14.762,429,0
20051014,14.299,14.299,14.084,14.084,433,0
20051017,14.762,14.762,14.084,14.084,1306,0
20051028,14.084,14.084,14.084,14.084,164,0
20051031,14.084,14.084,13.74,13.74,2046,0
20051102,13.925,14.733,13.835,14.577,24469,0
20051103,14.381,14.39,14.381,14.39,1399,0
20051104,14.159,14.716,13.954,14.716,808,0
20051107,14.623,14.623,14.623,14.623,431,0
20051109,14.159,14.159,14.159,14.159,551,0
20051111,14.177,14.39,14.177,14.39,1268,0
20051114,14.39,14.39,14.39,14.39,379,0
20051115,14.177,14.177,14.177,14.177,862,0
20051116,13.973,13.973,13.973,13.973,108,0
20051117,13.973,14.381,13.973,14.289,2303,0
20051118,14.381,15.226,14.381,14.853,8136,0
20051128,14.447,14.836,14.447,14.836,2170,0
20051129,14.548,14.548,14.457,14.457,2860,0
20051130,14.39,14.39,14.39,14.39,215,0
20051201,14.39,14.39,14.39,14.39,108,0
20051202,14.206,14.206,14.206,14.206,108,0
20051212,14.772,14.781,14.772,14.781,215,0
20051213,14.213,14.213,14.206,14.206,2099,0
20051214,14.81,14.853,14.316,14.419,2587,0
20051215,14.196,14.853,14.196,14.8,1762,0
20051222,14.613,14.652,14.613,14.652,894,0
20051223,14.853,15.226,14.836,15.226,7922,0
20051228,14.863,14.863,14.863,14.863,435,0
20051230,15.04,15.04,15.04,15.04,522,0
20060103,15.04,15.04,15.04,15.04,108,0
20060105,14.39,14.399,14.39,14.399,553,0
20060106,14.853,14.853,14.853,14.853,215,0
20060109,14.447,14.447,14.447,14.447,108,0
20060110,14.447,14.447,14.447,14.447,473,0
20060112,14.094,14.121,14.084,14.084,1633,0
20060113,14.084,14.447,13.973,14.409,3544,0
20060117,14.299,14.299,13.993,13.993,1625,0
20060118,14.299,14.447,14.299,14.447,538,0
20060120,14.03,14.03,14.03,14.03,1591,0
20060123,14.038,14.038,14.038,14.038,538,0
20060124,13.993,14.038,13.993,14.038,646,0
20060125,13.993,13.993,13.925,13.925,1291,0
20060126,13.74,14.447,13.74,14.299,7492,0
20060127,14.299,14.299,14.299,14.299,3110,0
20060130,14.159,14.159,14.159,14.159,1836,0
20060131,14.299,14.447,14.299,14.447,9689,0
20060201,14.261,14.419,14.251,14.419,947,0
20060203,14.251,14.251,14.251,14.251,3713,0
20060207,14.299,14.475,14.299,14.475,13899,0
20060209,14.39,14.39,14.39,14.39,431,0
20060210,14.39,14.613,14.39,14.613,5389,0
20060215,14.567,14.567,14.399,14.399,624,0
20060217,14.623,14.623,14.623,14.623,108,0
20060222,14.687,14.687,14.687,14.687,215,0
20060224,14.853,14.853,14.485,14.485,3156,0
20060227,14.485,14.485,14.485,14.485,215,0
20060228,14.669,14.669,14.669,14.669,538,0
20060301,14.494,14.494,14.494,14.494,3278,0
20060302,14.529,14.529,14.494,14.494,1399,0
20060303,14.494,14.494,14.494,14.494,1613,0
20060307,14.494,14.669,14.494,14.623,9551,0
20060308,14.762,14.762,14.669,14.669,635,0
20060310,14.762,14.762,14.669,14.762,961,0
20060314,14.762,14.762,14.623,14.633,402,0
20060315,14.853,15.088,14.853,15.088,2413,0
20060316,14.633,14.633,14.633,14.633,115,0
20060320,14.669,14.669,14.669,14.669,108,0
20060323,15.078,15.078,14.633,14.633,1892,0
20060324,15.078,15.078,15.078,15.078,2348,0
20060327,15.078,15.078,15.078,15.078,133,0
20060328,15.088,15.088,15.088,15.088,323,0
20060329,15.134,15.134,14.853,14.853,3169,0
20060330,15.217,15.226,15.217,15.217,969,0
20060331,15.226,15.226,14.716,15.208,1969,0
20060403,15.226,15.31,14.853,15.31,1510,0
20060405,14.948,14.948,14.948,14.948,1313,0
20060406,14.948,14.948,14.948,14.948,969,0
20060407,14.948,14.976,14.948,14.976,431,0
20060410,15.088,15.319,15.088,15.319,544,0
20060411,15.141,15.141,15.141,15.141,323,0
20060412,15.188,15.69,15.188,15.69,931,0
20060413,15.782,15.782,15.319,15.319,915,0
20060417,15.782,15.782,15.421,15.421,990,0
20060418,15.328,15.328,14.984,14.984,1946,0
20060419,14.976,14.976,14.976,14.976,218,0
20060420,14.762,15.319,14.762,15.319,2101,0
20060426,15.774,15.774,15.774,15.774,1960,0
20060427,15.782,15.782,15.774,15.782,2266,0
20060428,15.756,15.756,15.551,15.561,6896,0
20060501,15.644,15.653,15.644,15.653,1399,0
20060502,16.062,16.062,15.782,15.915,1399,0
20060504,15.782,15.782,15.551,15.551,2154,0
20060505,15.328,15.366,15.319,15.366,8422,0
20060509,15.366,15.366,15.366,15.366,1646,0
20060510,15.328,15.328,15.328,15.328,1725,0
20060511,15.328,15.328,15.134,15.134,539,0
20060512,15.236,15.236,15.078,15.078,273,0
20060515,15.078,15.088,14.967,15.088,1264,0
20060516,15.022,15.022,15.012,15.012,431,0
20060517,15.012,15.012,15.012,15.012,108,0
20060518,14.994,14.994,14.994,14.994,439,0
20060519,14.994,14.994,14.994,14.994,943,0
20060522,14.958,14.958,14.902,14.902,969,0
20060523,14.902,14.902,14.902,14.902,538,0
20060525,14.863,14.863,14.863,14.863,1022,0
20060530,14.948,14.948,14.409,14.457,4303,0
20060531,14.409,14.409,14.409,14.409,1596,0
20060601,14.669,14.669,14.669,14.669,215,0
20060602,14.669,14.669,14.669,14.669,108,0
20060612,14.994,15.117,14.994,15.117,585,0
20060613,14.677,14.677,14.677,14.677,323,0
20060614,14.485,14.485,14.485,14.485,175,0
20060615,15.078,15.078,15.05,15.05,223,0
20060616,14.503,15.078,14.503,15.078,1807,0
20060619,14.558,14.558,14.558,14.558,215,0
20060621,14.93,14.93,14.93,14.93,754,0
20060622,14.613,14.623,14.494,14.494,1158,0
20060627,14.485,14.485,14.485,14.485,274,0
