Date,Open,High,Low,Close,Volume,OpenInt
20050225,20.319,20.481,20.173,20.378,121741,0
20050228,20.37,20.37,20.151,20.192,138113,0
20050301,20.201,20.582,20.141,20.277,165822,0
20050302,20.201,20.683,20.117,20.378,124956,0
20050303,20.631,20.683,20.201,20.612,119290,0
20050304,20.512,20.692,20.512,20.631,104480,0
20050307,20.599,20.749,20.411,20.472,154387,0
20050308,20.31,20.464,20.277,20.446,294104,0
20050309,20.26,20.612,20.015,20.277,118481,0
20050310,20.117,20.393,20.072,20.244,220760,0
20050311,20.269,20.269,19.999,20.182,91136,0
20050314,20.065,20.378,20.065,20.244,157476,0
20050315,20.269,20.454,19.963,20.041,81813,0
20050316,20.1,20.1,19.846,19.888,171054,0
20050317,19.949,20.117,19.804,19.99,122233,0
20050318,19.949,20.244,19.762,20.236,516418,0
20050321,20.032,20.1,19.737,20.041,76714,0
20050322,19.972,20.168,19.729,19.972,191696,0
20050323,19.839,19.871,19.703,19.721,221906,0
20050324,19.686,19.88,19.677,19.729,171964,0
20050328,19.669,19.829,19.634,19.669,162504,0
20050329,19.729,19.737,19.414,19.634,161762,0
20050330,19.729,19.854,19.634,19.846,84512,0
20050331,19.871,19.871,19.466,19.721,200422,0
20050401,19.721,19.99,19.027,19.449,172517,0
20050404,19.422,19.721,19.256,19.602,75635,0
20050405,19.744,19.871,19.593,19.846,192689,0
20050406,19.94,20.209,19.762,19.812,176897,0
20050407,19.66,19.88,19.593,19.812,67670,0
20050408,19.677,19.839,19.627,19.643,151765,0
20050411,19.541,19.77,19.541,19.602,110335,0
20050412,19.532,19.914,19.298,19.862,178960,0
20050413,19.77,20.072,19.518,19.55,175861,0
20050414,19.651,19.651,19.382,19.51,199387,0
20050415,19.627,19.627,19.045,19.204,252481,0
20050418,19.298,19.694,19.045,19.602,188050,0
20050419,19.651,19.737,19.459,19.686,100428,0
20050420,19.804,19.804,19.187,19.374,147209,0
20050421,19.532,19.846,19.382,19.66,141066,0
20050422,19.762,19.787,19.247,19.321,202179,0
20050425,19.492,19.518,19.265,19.518,233786,0
20050426,19.33,19.62,18.969,19.053,270336,0
20050427,18.875,19.204,18.648,18.993,95571,0
20050428,18.9,19.027,18.673,18.758,133021,0
20050429,18.732,18.908,18.412,18.766,242979,0
20050502,18.673,19.045,18.673,19.027,296229,0
20050503,18.851,19.128,18.705,18.851,172119,0
20050504,18.969,19.211,18.842,19.211,199778,0
20050505,19.002,19.171,18.714,19.035,96308,0
20050506,19.128,19.128,18.859,18.9,105063,0
20050509,16.89,18.665,16.579,18.604,1263518,0
20050510,18.393,18.47,18.167,18.333,139289,0
20050511,18.31,18.656,18.158,18.563,125766,0
20050512,18.444,18.741,18.444,18.538,161086,0
20050513,18.613,18.631,18.302,18.378,106613,0
20050516,18.259,18.926,18.192,18.926,167943,0
20050517,18.875,19.071,18.494,19.027,214250,0
20050518,19.002,19.575,19.002,19.474,148626,0
20050519,19.474,19.51,19.211,19.414,150063,0
20050520,19.466,19.466,19.111,19.408,72471,0
20050523,19.237,19.466,19.204,19.466,88419,0
20050524,19.265,19.839,19.237,19.627,245542,0
20050525,19.408,19.501,19.229,19.298,318448,0
20050526,19.366,19.643,19.366,19.634,125480,0
20050527,19.518,19.862,19.237,19.729,143280,0
20050531,19.846,19.846,19.651,19.686,190611,0
20050601,19.651,20.209,19.584,20.058,153402,0
20050602,19.897,20.151,19.897,20.05,53695,0
20050603,20.081,20.173,19.88,19.99,97250,0
