Date,Open,High,Low,Close,Volume,OpenInt
20050225,12.069,12.233,11.587,11.861,610252,0
20050228,11.795,12.036,11.708,11.882,1004928,0
20050301,11.861,12.167,11.861,12.036,905085,0
20050302,12.09,12.09,11.817,11.85,717312,0
20050303,11.948,12.014,11.817,11.872,878949,0
20050304,11.915,11.959,11.708,11.904,578702,0
20050307,12.441,12.441,11.904,11.959,725470,0
20050308,11.872,12.2,11.708,11.937,757510,0
20050309,11.806,11.937,11.631,11.817,1526604,0
20050310,11.806,11.904,11.488,11.675,940223,0
20050311,11.675,11.74,11.511,11.565,806937,0
20050314,11.543,11.664,11.478,11.642,747954,0
20050315,11.708,11.784,11.488,11.598,644736,0
20050316,11.598,11.926,11.543,11.806,541783,0
20050317,11.675,11.806,11.488,11.664,439880,0
20050318,11.587,11.729,11.084,11.193,1550578,0
20050321,11.106,11.554,10.887,11.533,715198,0
20050322,11.543,11.762,11.226,11.314,567498,0
20050323,11.215,11.675,11.204,11.511,486590,0
20050324,11.543,11.784,11.543,11.543,589780,0
20050328,11.718,11.762,11.488,11.576,431770,0
20050329,11.609,11.62,11.259,11.303,758603,0
20050330,11.226,11.576,11.215,11.554,661421,0
20050331,11.554,11.576,11.314,11.456,744597,0
20050401,11.379,11.511,11.27,11.314,459096,0
20050404,11.379,11.434,11.204,11.336,338891,0
20050405,11.237,11.325,11.018,11.226,478149,0
20050406,11.314,11.423,11.215,11.292,400999,0
20050407,11.215,11.215,10.963,11.149,639214,0
20050408,11.073,11.073,10.821,10.92,769608,0
20050411,10.92,11.084,10.898,10.996,611096,0
20050412,10.942,11.051,10.723,10.953,593979,0
20050413,11.062,11.062,10.712,10.712,472225,0
20050414,10.69,10.909,10.646,10.723,380831,0
20050415,10.734,10.756,10.351,10.548,417999,0
20050418,10.406,10.569,10.121,10.176,557438,0
20050419,10.176,10.351,9.979,10.351,695451,0
20050420,10.395,10.449,10.099,10.154,936292,0
20050421,10.198,10.581,10.198,10.384,1505548,0
20050422,10.263,10.395,10.023,10.023,805361,0
20050425,10.066,10.329,10.033,10.066,740687,0
20050426,9.979,10.099,9.771,9.782,834155,0
20050427,9.749,9.913,9.4425,9.519,1985986,0
20050428,9.4317,9.672,9.3223,9.508,756976,0
20050429,9.4862,9.749,9.3113,9.618,776127,0
20050502,9.563,9.804,9.53,9.585,469060,0
20050503,9.4646,9.902,9.4317,9.694,657918,0
20050504,11.336,13.524,11.27,13.064,7920407,0
20050505,13.064,13.119,12.408,12.517,1985398,0
20050506,12.419,12.55,12.036,12.331,1158929,0
20050509,12.375,12.55,12.025,12.277,872942,0
20050510,12.2,12.353,11.675,11.762,1560229,0
20050511,11.642,12.9,11.642,12.419,1956749,0
20050512,12.353,12.506,12.079,12.222,623056,0
20050513,12.255,12.484,12.178,12.244,769524,0
20050516,12.244,12.331,12.079,12.244,629918,0
