Date,Open,High,Low,Close,Volume,OpenInt
20050225,27.749,28.11,27.749,27.983,1633,0
20050228,28.238,28.759,28.238,28.759,2522,0
20050301,28.719,28.769,28.719,28.769,1047,0
20050302,28.769,28.769,28.1,28.287,676,0
20050307,28.729,28.875,28.709,28.875,1644,0
20050309,28.904,29.101,28.904,29.101,408,0
20050310,29.091,29.091,29.091,29.091,816,0
20050311,29.091,29.101,28.875,28.954,2984,0
20050314,28.836,28.875,28.836,28.866,917,0
20050315,28.621,29.091,28.621,28.769,1679,0
20050316,28.13,28.13,27.218,27.218,1470,0
20050317,27.16,27.356,26.827,27.356,2776,0
20050323,27.602,27.602,27.602,27.602,201,0
20050328,26.925,27.582,26.925,27.582,877,0
20050330,26.65,26.68,26.61,26.67,727,0
20050401,27.208,27.208,27.208,27.208,100,0
20050404,26.58,26.64,26.58,26.64,816,0
20050405,26.336,26.345,25.964,25.964,1426,0
20050406,25.954,25.954,25.954,25.954,100,0
20050407,25.954,26.189,25.846,25.866,1818,0
20050408,25.61,25.61,24.834,24.834,2141,0
20050411,25.199,25.63,24.983,25.542,1739,0
20050412,25.64,28.543,25.61,27.404,5090,0
20050413,26.434,27.16,26.434,27.16,4112,0
20050414,26.925,26.925,26.925,26.925,100,0
20050415,27.16,27.16,26.71,26.71,408,0
20050418,25.767,26.72,25.767,26.72,1017,0
20050419,26.925,27.16,26.925,27.16,201,0
20050420,25.787,26.68,25.787,26.023,917,0
20050422,26.68,27.16,26.68,27.16,786,0
20050425,26.288,26.288,26.189,26.189,2243,0
20050426,25.906,25.906,25.464,25.707,1139,0
20050427,26.179,26.179,26.109,26.109,610,0
20050428,25.385,25.385,25.385,25.385,201,0
20050429,25.906,26.189,25.906,26.189,1224,0
20050502,26.189,26.189,26.004,26.149,873,0
20050503,26.189,26.189,26.189,26.189,2041,0
20050504,26.239,26.288,26.189,26.189,3095,0
20050505,26.738,26.738,26.189,26.189,993,0
20050509,25.727,25.727,24.502,24.67,4580,0
