Date,Open,High,Low,Close,Volume,OpenInt
20050225,14.698,14.904,14.081,14.169,59260,0
20050228,14.121,15.463,13.825,15.2,29287,0
20050301,15.18,15.267,14.708,14.728,6705,0
20050302,14.855,15.885,14.718,15.102,19563,0
20050303,15.2,15.2,14.718,14.864,5768,0
20050304,14.708,15.384,14.708,14.808,9931,0
20050307,15.002,15.523,14.708,15.335,14250,0
20050308,15.631,15.641,15.287,15.453,6170,0
20050309,14.874,15.836,14.728,15.787,14899,0
20050310,15.602,15.836,15.384,15.689,7680,0
20050311,15.483,15.641,15.483,15.583,5099,0
20050314,17.552,17.552,16.327,17.306,43682,0
20050315,18.198,18.679,17.707,18.357,61832,0
20050316,19.004,19.112,15.885,17.651,37469,0
20050317,16.179,17.747,16.179,16.69,12188,0
20050318,15.855,18.445,15.855,18.129,15209,0
20050321,18.445,18.445,16.67,17.659,10308,0
20050322,17.936,17.936,17.238,17.346,7100,0
20050323,18.081,18.081,15.2,16.395,15705,0
20050324,16.091,16.091,15.699,15.816,10835,0
20050328,16.297,17.602,16.023,16.631,27316,0
20050329,16.385,17.208,15.699,15.944,17806,0
20050330,16.278,16.297,15.699,15.699,11043,0
20050331,15.443,15.699,14.914,15.443,18873,0
20050401,16.307,16.317,15.443,15.443,17020,0
20050404,15.493,17.092,15.493,16.857,19799,0
20050405,16.767,17.542,16.375,17.336,17510,0
20050406,17.542,17.592,16.924,17.072,8887,0
20050407,17.258,17.602,16.729,17.484,7352,0
20050408,17.651,17.651,16.219,16.69,8526,0
20050411,18.139,18.139,16.944,17.092,16967,0
20050412,18.129,18.129,16.777,16.964,5102,0
20050413,17.277,17.946,16.914,17.218,7895,0
20050414,16.67,16.993,16.641,16.67,7547,0
20050415,16.571,16.67,14.071,14.778,40560,0
20050418,14.179,14.718,11.679,14.463,26613,0
20050419,15.728,15.728,12.953,14.218,15312,0
20050420,13.287,14.247,13.287,14.014,6832,0
20050421,13.513,14.024,13.345,13.738,14473,0
20050422,13.766,13.766,13.335,13.375,13557,0
20050425,13.012,13.385,12.807,13.365,21507,0
20050426,13.141,13.247,12.767,13.208,15025,0
20050427,12.817,12.845,12.424,12.777,4488,0
20050428,12.257,12.601,12.257,12.454,5410,0
20050429,12.355,12.405,11.904,12.405,4801,0
20050502,12.051,12.355,12.051,12.355,9558,0
20050503,12.944,14.708,12.944,13.051,32824,0
20050504,14.316,14.874,13.404,13.728,34129,0
20050505,14.512,14.512,13.141,13.151,21199,0
20050506,12.944,13.483,12.944,13.433,4892,0
20050509,13.041,13.67,13.041,13.67,8996,0
20050510,13.563,13.64,13.523,13.64,4782,0
20050511,13.543,13.543,13.493,13.513,1965,0
