Date,Open,High,Low,Close,Volume,OpenInt
20050225,18.653,18.948,18.653,18.712,3645,0
20050228,18.827,18.948,18.678,18.922,7603,0
20050301,18.678,18.827,18.653,18.818,24995,0
20050302,18.827,18.827,18.685,18.702,4984,0
20050303,18.773,18.773,18.526,18.534,2477,0
20050304,18.534,18.782,18.534,18.653,6879,0
20050307,18.526,18.737,18.314,18.589,9279,0
20050308,18.103,18.737,18.044,18.737,7276,0
20050309,18.737,19.066,18.332,18.414,1133,0
20050310,18.414,18.737,18.414,18.526,1796,0
20050311,18.449,18.543,18.323,18.543,1697,0
20050314,18.737,18.948,18.653,18.653,19625,0
20050315,18.746,18.746,18.534,18.653,3487,0
20050316,18.782,18.836,18.508,18.836,18096,0
20050317,18.827,18.827,18.112,18.449,8174,0
20050318,18.526,18.526,18.526,18.526,1930,0
20050321,18.263,18.72,18.263,18.414,1847,0
20050322,18.414,18.414,18.414,18.414,121,0
20050323,18.026,18.44,18.026,18.314,6018,0
20050324,18.737,18.737,18.314,18.491,2837,0
20050328,18.103,18.737,18.103,18.712,12383,0
20050329,18.72,18.72,18.314,18.323,2333,0
20050330,17.99,18.57,17.99,18.57,2271,0
20050331,18.72,18.737,18.643,18.737,6450,0
20050401,18.008,18.755,18.008,18.755,7016,0
20050404,18.755,18.755,18.449,18.653,11861,0
20050405,18.737,18.827,18.625,18.625,9004,0
20050406,18.103,18.653,18.103,18.466,4607,0
20050407,18.112,18.653,18.103,18.475,24519,0
20050408,18.121,18.737,18.121,18.737,11636,0
20050411,18.616,18.827,18.543,18.543,2199,0
20050412,18.377,18.653,18.377,18.653,14076,0
20050413,18.589,18.827,18.57,18.827,2802,0
20050414,18.737,18.737,18.57,18.72,23752,0
20050415,18.273,18.662,18.273,18.432,3763,0
20050418,18.323,18.323,17.928,18.103,4088,0
20050419,18.702,18.737,18.314,18.314,4313,0
20050420,18.483,18.702,18.405,18.702,13596,0
20050421,18.57,18.589,18.075,18.589,7267,0
20050422,17.99,18.827,17.99,18.764,25610,0
20050425,18.728,18.764,18.202,18.526,1195,0
20050426,18.526,18.634,18.526,18.534,3802,0
20050427,18.534,18.702,18.534,18.702,3809,0
20050428,18.297,18.616,18.297,18.616,4083,0
20050429,18.653,18.653,18.483,18.526,2283,0
20050502,18.273,18.526,18.273,18.395,3805,0
20050503,18.273,18.653,18.273,18.57,4841,0
20050504,18.273,18.764,18.211,18.764,1872,0
20050505,18.764,18.957,18.728,18.827,5300,0
20050506,18.827,18.827,18.229,18.483,5791,0
20050509,18.526,18.57,18.314,18.314,1362,0
20050510,18.526,18.526,18.483,18.483,2271,0
20050511,18.44,19.142,18.44,18.662,11843,0
20050512,18.694,18.994,18.616,18.836,13155,0
20050513,18.888,18.948,18.466,18.466,12144,0
20050516,18.616,18.616,18.616,18.616,571,0
20050517,18.414,19.011,18.395,19.011,2519,0
20050518,18.255,19.039,18.255,19.039,13508,0
20050519,18.466,18.737,18.466,18.653,2327,0
20050520,18.994,18.994,18.288,18.57,1476,0
20050523,18.57,18.846,18.57,18.737,4257,0
20050524,18.737,18.782,18.526,18.782,5791,0
20050525,19.371,19.371,18.994,18.994,22022,0
20050526,18.906,18.906,18.737,18.737,454,0
20050527,18.526,18.966,18.526,18.948,2566,0
20050531,19.16,19.16,18.534,18.534,1246,0
20050601,18.625,18.653,18.526,18.526,1307,0
20050602,18.846,18.846,18.846,18.846,121,0
20050603,18.395,18.898,18.314,18.314,2662,0
20050606,20.015,20.015,18.508,18.561,6826,0
20050607,18.499,18.737,17.882,18.57,149392,0
20050608,18.28,18.491,17.882,18.273,122119,0
20050609,17.928,18.395,17.919,18.386,2211,0
20050610,18.395,18.466,18.395,18.466,15893,0
20050613,18.44,18.44,17.982,18.28,2954,0
20050614,18.377,18.423,18.22,18.386,4427,0
20050615,17.797,18.332,17.206,18.263,4596,0
20050616,17.708,18.377,17.708,18.377,7949,0
20050617,18.377,18.377,17.919,17.919,47977,0
20050620,17.708,18.229,17.461,18.229,6713,0
20050621,18.229,18.994,18.211,18.669,38738,0
20050622,18.075,18.737,18.053,18.737,2953,0
20050623,18.737,18.737,18.341,18.368,5901,0
20050624,17.91,18.255,17.91,18.255,793,0
20050627,18.229,18.229,18.121,18.229,495,0
20050628,18.061,18.061,18.061,18.061,1247,0
20050629,17.882,18.386,17.882,18.22,4143,0
20050630,18.288,18.483,18.229,18.238,3103,0
20050701,18.634,18.634,17.708,17.882,57769,0
20050705,18.405,18.423,18.148,18.246,5048,0
20050706,17.982,18.314,17.982,18.148,27963,0
20050707,17.982,18.728,17.982,18.712,15610,0
20050708,18.229,18.782,18.229,18.518,19712,0
20050711,18.246,18.818,18.246,18.818,23025,0
20050712,18.809,18.809,18.625,18.737,1362,0
20050713,18.737,18.737,18.653,18.662,6584,0
20050714,18.737,18.906,18.737,18.906,1218,0
20050715,18.669,18.994,18.669,18.8,1534,0
20050718,19.532,19.532,18.846,18.906,4911,0
20050719,18.906,19.16,18.791,18.906,10024,0
20050720,18.737,18.737,18.678,18.678,2155,0
20050721,18.906,18.906,18.712,18.898,2414,0
20050722,18.873,19.389,18.737,18.782,9422,0
20050725,18.782,19.057,18.782,18.818,1476,0
20050726,18.782,19.057,18.782,18.948,2356,0
20050727,19.101,19.125,19.002,19.002,1266,0
20050728,19.002,19.363,19.002,19.363,2246,0
20050729,19.38,19.389,19.224,19.389,1418,0
20050801,19.488,19.858,19.426,19.795,12825,0
20050802,19.928,20.228,19.911,20.228,13071,0
20050803,20.447,20.702,20.447,20.702,2726,0
20050804,20.871,20.871,20.29,20.871,10138,0
20050805,20.659,20.659,20.659,20.659,1448,0
20050808,20.148,20.404,19.592,20.404,2608,0
20050809,20.175,20.175,20.069,20.069,571,0
20050810,20.395,20.395,20.023,20.298,5335,0
20050811,20.262,20.737,20.033,20.737,2916,0
20050812,20.5,20.633,20.298,20.633,1430,0
20050815,20.281,20.737,19.803,20.193,5958,0
20050816,20.201,20.323,20.193,20.201,2608,0
20050817,19.821,20.395,19.821,20.271,866,0
20050818,20.228,20.271,19.628,19.973,2215,0
20050819,20.201,20.201,20.13,20.13,454,0
20050822,20.13,20.58,20.015,20.456,21901,0
20050823,20.737,20.737,19.803,20.65,14077,0
20050824,19.462,20.957,19.462,20.957,2857,0
20050825,20.369,20.456,20.369,20.395,571,0
20050826,20.244,20.447,20.244,20.351,6923,0
20050829,20.395,20.871,20.395,20.659,2308,0
20050830,20.659,20.871,20.5,20.871,3633,0
20050831,20.456,21.099,20.456,21.099,15690,0
20050901,20.871,20.871,20.544,20.686,14687,0
20050902,20.104,20.395,20.104,20.306,2409,0
20050906,20.404,20.447,20.404,20.447,2275,0
20050907,20.447,20.447,20.193,20.43,5234,0
20050908,20.447,20.447,20.447,20.447,626,0
20050909,19.655,20.994,19.655,20.617,4439,0
20050912,20.994,21.003,20.659,20.957,12558,0
20050913,20.879,20.879,20.737,20.871,17592,0
20050914,20.525,20.871,20.483,20.871,2407,0
20050915,20.571,21.196,20.525,20.525,1586,0
20050916,20.447,20.447,20.447,20.447,905,0
20050919,20.447,20.535,20.447,20.535,1731,0
20050920,20.617,20.782,20.447,20.447,15586,0
20050921,20.819,20.819,20.702,20.737,430,0
20050922,20.535,20.535,20.447,20.447,1318,0
20050923,20.746,20.837,20.659,20.659,1701,0
20050926,20.659,20.863,20.553,20.702,5073,0
20050927,20.544,20.81,20.544,20.709,2383,0
20050928,20.718,20.888,20.474,20.474,4263,0
20050929,20.81,20.81,20.447,20.447,3493,0
20050930,20.525,20.922,20.525,20.819,2566,0
20051003,20.871,21.295,20.871,21.295,7389,0
20051004,21.092,22.147,21.092,22.147,6086,0
20051005,21.857,22.156,21.646,21.804,13033,0
20051006,21.998,22.156,21.295,21.936,23684,0
20051007,21.522,22.147,21.522,22.147,14571,0
20051010,21.592,22.191,21.592,21.867,9458,0
20051011,22.147,22.147,21.936,22.138,1363,0
20051012,21.768,21.768,21.768,21.768,3830,0
20051013,21.506,22.138,21.48,22.138,1295,0
20051014,21.574,21.674,21.453,21.655,1105,0
20051017,21.214,21.574,21.214,21.574,229,0
20051018,21.574,22.147,21.574,21.822,3121,0
20051019,22.122,22.13,22.122,22.13,229,0
20051020,21.319,21.683,21.319,21.683,2521,0
20051021,22.033,22.897,21.708,22.025,20719,0
20051024,23.337,26.069,23.337,24.79,70073,0
20051025,25.443,25.486,24.358,24.703,11918,0
20051026,24.236,24.986,24.236,24.897,20153,0
20051027,24.897,24.897,24.358,24.491,3350,0
20051028,24.491,24.703,24.482,24.659,18340,0
20051031,24.703,24.703,24.155,24.334,6961,0
20051101,24.366,24.703,24.366,24.571,3294,0
20051102,24.537,24.537,24.236,24.325,5154,0
20051103,24.897,24.897,24.308,24.712,11542,0
20051107,24.317,24.676,24.317,24.501,5909,0
20051108,24.325,24.712,24.308,24.712,2161,0
20051109,24.686,24.686,24.686,24.686,2271,0
20051110,24.358,24.51,24.325,24.51,2501,0
20051111,24.393,24.473,24.28,24.28,2042,0
20051114,24.146,24.703,24.146,24.308,586,0
20051115,24.28,24.703,24.28,24.466,1484,0
20051116,24.703,24.703,24.466,24.528,4654,0
20051117,24.491,24.703,24.358,24.491,25190,0
20051118,24.28,24.703,24.28,24.703,7046,0
20051121,24.491,24.491,24.28,24.491,3233,0
20051122,24.191,24.604,24.191,24.604,793,0
20051123,24.703,24.703,24.402,24.694,1817,0
20051125,24.402,24.703,24.402,24.491,4085,0
20051128,24.182,24.537,24.182,24.537,1847,0
20051129,24.28,24.457,24.28,24.457,571,0
20051130,24.448,24.686,24.298,24.686,36157,0
20051201,24.79,24.87,24.614,24.825,17068,0
20051202,24.87,24.87,24.632,24.703,14581,0
20051205,24.623,24.703,24.623,24.65,3292,0
20051206,24.614,24.782,24.614,24.774,8378,0
20051207,24.519,24.614,24.402,24.491,9877,0
20051208,24.448,24.65,24.138,24.138,11760,0
20051209,24.28,24.703,24.28,24.473,14270,0
20051212,24.308,24.501,24.271,24.271,14625,0
20051213,24.182,24.491,24.182,24.289,7378,0
20051214,24.473,24.473,24.263,24.358,4549,0
20051215,24.28,24.712,24.255,24.632,24777,0
20051216,24.694,24.703,24.694,24.703,3517,0
20051219,24.703,24.703,24.308,24.595,8731,0
20051220,24.571,24.703,24.571,24.571,854,0
20051221,24.289,24.79,24.289,24.595,4504,0
20051222,24.614,24.748,24.491,24.491,9307,0
20051223,24.491,24.491,24.28,24.491,14842,0
20051227,24.448,24.676,24.448,24.482,5111,0
20051228,24.448,24.528,24.28,24.528,3010,0
20051229,24.342,25.002,24.342,24.852,30479,0
20051230,25.063,27.935,24.703,27.214,32246,0
20060103,27.963,27.963,25.98,26.069,8804,0
20060104,26.024,26.473,26.024,26.024,2322,0
20060105,26.069,26.104,25.725,25.725,3999,0
20060106,26.244,26.244,25.865,25.865,2086,0
20060109,25.734,25.768,25.408,25.408,7948,0
20060110,25.408,25.408,24.703,24.703,6041,0
20060111,24.703,24.914,24.491,24.604,6592,0
20060112,24.703,24.703,24.28,24.28,3189,0
20060113,24.13,24.694,24.13,24.587,8791,0
20060117,24.173,25.108,24.173,24.703,2146,0
20060118,24.703,24.703,24.686,24.703,1913,0
20060119,24.703,24.977,24.703,24.977,344,0
20060120,24.914,24.914,24.905,24.905,905,0
20060123,24.614,24.959,24.614,24.959,1817,0
20060124,25.963,26.561,25.963,26.156,9882,0
20060125,26.403,26.403,26.051,26.377,6604,0
20060126,26.059,26.333,25.988,25.988,1487,0
20060127,25.892,26.226,25.892,25.98,4544,0
20060130,26.192,26.429,26.192,26.244,6353,0
20060131,26.377,27.265,26.252,27.256,9804,0
20060201,27.653,27.679,27.24,27.576,7535,0
20060202,27.468,27.909,27.468,27.707,3565,0
20060203,28.086,28.191,27.468,28.191,6476,0
20060206,27.671,28.253,27.576,27.611,2155,0
20060207,27.989,27.989,27.549,27.653,3345,0
20060208,27.161,28.111,27.161,28.111,5029,0
20060209,28.28,28.322,27.787,27.813,2693,0
20060210,28.148,28.148,27.751,28.103,1896,0
20060213,27.98,27.98,27.697,27.707,1407,0
20060214,28.094,28.094,27.707,27.715,893,0
20060215,27.688,28.111,27.688,28.111,4612,0
20060216,28.157,28.157,27.823,28.111,793,0
20060217,28.111,28.111,27.813,28.094,1301,0
20060221,27.769,27.769,27.769,27.769,229,0
20060222,27.549,28.094,27.549,28.094,2499,0
20060223,26.455,27.468,26.455,27.468,2839,0
20060224,27.451,27.653,27.425,27.653,1370,0
20060227,27.715,28.455,27.715,27.989,4684,0
20060228,27.399,28.12,27.399,28.12,1307,0
20060301,28.236,28.236,28.111,28.111,1440,0
20060302,28.111,28.518,28.111,28.182,4053,0
20060303,28.236,28.236,28.236,28.236,206,0
20060306,28.236,28.236,28.111,28.111,344,0
20060307,27.697,28.182,27.697,27.98,2046,0
20060308,28.236,28.236,27.935,28.111,1158,0
20060309,28.236,28.236,27.855,28.111,454,0
20060310,28.236,28.28,27.935,28.111,7750,0
20060313,28.111,28.535,28.111,28.535,1701,0
20060314,28.535,28.535,28.253,28.253,1646,0
20060315,28.527,28.527,28.315,28.315,2327,0
20060316,28.322,28.527,28.228,28.527,2503,0
20060317,28.322,28.322,27.778,27.778,6264,0
20060320,26.13,27.513,26.112,27.169,6738,0
20060321,26.834,26.834,26.773,26.834,1063,0
20060322,26.834,27.256,26.808,26.826,3467,0
20060323,26.738,26.834,26.738,26.834,600,0
20060324,26.086,26.834,26.086,26.834,12779,0
20060327,26.834,27.256,26.834,27.256,3086,0
20060328,26.94,27.248,26.077,26.834,2042,0
20060329,26.834,27.099,26.509,27.099,1591,0
20060330,26.923,27.09,26.703,26.747,4426,0
20060331,27.136,27.256,27.126,27.256,1103,0
20060403,27.053,27.053,26.834,26.834,1476,0
20060404,26.834,27.205,26.757,27.205,793,0
20060405,27.256,27.256,26.834,27.205,3422,0
20060406,27.232,27.232,26.932,26.932,425,0
20060407,26.915,26.915,26.879,26.906,1504,0
20060410,27.232,27.232,26.834,26.834,329,0
20060411,27.178,27.248,26.623,27.232,6006,0
20060412,27.256,27.256,26.817,26.879,3841,0
20060413,26.791,27.256,26.791,27.256,4318,0
20060417,26.834,27.256,26.834,27.256,4881,0
20060418,27.256,27.347,27.169,27.169,3020,0
20060419,26.623,27.196,26.464,26.834,36705,0
20060420,26.959,26.959,26.747,26.879,12438,0
20060421,26.817,26.834,26.817,26.834,895,0
20060424,26.834,26.834,26.553,26.553,454,0
20060425,26.448,26.826,26.448,26.826,605,0
20060426,26.826,26.826,26.658,26.658,454,0
20060427,26.333,26.448,26.333,26.448,2780,0
20060428,26.658,26.826,26.658,26.826,743,0
20060501,26.545,26.773,26.545,26.773,686,0
20060502,26.834,27.003,26.834,26.834,15779,0
20060503,26.993,27.003,26.843,26.843,2031,0
20060504,26.623,26.658,26.403,26.658,677,0
20060505,26.5,26.757,26.403,26.403,3427,0
20060508,26.325,26.721,26.325,26.623,3649,0
20060509,26.403,26.403,25.249,25.698,9988,0
20060510,25.189,25.795,25.189,25.435,4421,0
20060511,26.28,26.28,25.646,25.768,3596,0
20060512,25.629,25.629,25.459,25.459,781,0
20060515,25.707,26.439,25.556,25.556,10031,0
20060516,25.593,25.9,25.593,25.9,905,0
20060517,25.593,25.777,25.584,25.777,1133,0
20060519,25.777,25.777,25.777,25.777,3731,0
20060522,25.435,25.679,25.126,25.679,941,0
20060523,25.505,26.183,25.505,26.183,1849,0
20060524,25.849,26.218,25.768,25.936,2042,0
20060526,25.822,25.98,25.822,25.98,626,0
20060530,25.98,25.988,25.98,25.988,229,0
20060531,25.786,25.786,25.768,25.768,571,0
20060601,25.768,25.768,25.768,25.768,545,0
20060605,25.547,25.547,25.547,25.547,273,0
20060606,25.514,25.875,25.239,25.556,44554,0
20060607,25.477,25.638,25.477,25.61,8408,0
20060608,25.556,25.556,25.514,25.556,6260,0
20060612,25.514,25.963,25.514,25.963,2845,0
20060613,25.602,25.602,25.143,25.435,571,0
20060614,25.126,25.382,25.126,25.382,232,0
20060615,25.547,25.629,25.547,25.629,2092,0
20060616,25.31,25.31,25.31,25.31,271,0
20060619,25.514,25.514,25.345,25.345,5617,0
20060620,25.514,25.514,25.495,25.514,849,0
20060621,25.135,25.556,25.135,25.556,905,0
20060623,25.759,25.768,25.759,25.768,308,0
20060627,25.161,25.505,25.161,25.337,3506,0
20060629,25.725,25.768,25.584,25.584,571,0
20060630,25.602,25.602,25.566,25.566,507,0
20060703,25.126,25.249,24.897,25.249,1430,0
20060705,25.214,25.301,25.198,25.301,2234,0
20060706,25.556,25.556,25.222,25.505,697,0
20060707,25.556,25.971,25.514,25.822,1669,0
20060710,25.971,25.971,25.486,25.486,636,0
20060712,24.632,25.744,24.632,25.638,454,0
20060714,25.638,25.768,24.73,25.556,2225,0
20060717,24.923,25.198,24.923,25.17,571,0
20060718,25.4,25.4,25.4,25.4,229,0
20060720,25.486,25.486,25.468,25.468,683,0
20060721,25.477,25.813,25.468,25.813,3104,0
20060724,25.143,25.54,25.099,25.468,4701,0
20060725,25.198,25.222,25.198,25.222,793,0
20060726,25.198,25.786,25.198,25.786,571,0
20060727,25.813,25.813,25.214,25.266,626,0
20060728,24.676,25.468,24.061,25.468,2271,0
20060731,25.468,25.505,25.337,25.505,853,0
20060801,25.813,25.813,25.655,25.655,1591,0
20060802,25.556,25.556,25.382,25.556,2505,0
20060804,25.556,25.909,25.556,25.909,229,0
20060807,25.531,25.531,25.531,25.531,229,0
20060808,25.804,25.946,25.786,25.831,3081,0
20060809,26.342,26.342,25.856,25.856,344,0
20060810,25.744,25.768,25.744,25.768,793,0
20060811,25.707,25.707,25.707,25.707,232,0
20060814,25.679,25.679,25.679,25.679,121,0
20060815,25.556,25.813,25.556,25.813,229,0
20060816,25.354,25.875,25.354,25.638,906,0
20060817,25.663,25.671,25.638,25.671,1250,0
20060818,26.165,26.165,25.804,25.804,571,0
20060821,25.435,25.435,25.417,25.425,852,0
20060822,25.768,25.768,25.768,25.768,1133,0
20060823,25.768,25.768,25.337,25.337,741,0
20060824,25.556,25.725,25.556,25.638,5102,0
20060825,25.619,25.795,25.593,25.593,2608,0
20060828,25.547,25.61,25.547,25.61,581,0
20060829,25.514,25.629,25.425,25.629,8822,0
20060830,25.768,25.777,25.768,25.777,677,0
20060831,25.98,26.139,25.813,25.954,3649,0
20060901,25.505,26.112,25.505,26.112,4655,0
20060905,25.337,26.491,25.337,26.367,10990,0
20060906,25.997,26.13,25.892,26.104,3066,0
20060911,26.834,26.834,26.685,26.685,1079,0
20060912,26.306,26.641,26.306,26.333,1541,0
20060913,26.121,26.165,26.121,26.165,229,0
20060918,25.875,27.169,25.875,27.169,7073,0
20060919,26.729,27.03,26.729,27.03,344,0
20060920,27.044,28.191,27.044,27.733,8864,0
20060921,27.679,27.679,27.679,27.679,571,0
20060922,27.671,27.849,27.671,27.813,4286,0
20060925,27.567,27.567,26.906,27.223,4261,0
20060926,26.791,27.769,26.791,27.54,6540,0
20060927,27.468,27.468,27.46,27.46,344,0
20060928,27.425,27.778,27.425,27.451,2498,0
20061002,27.399,27.567,27.099,27.425,2100,0
20061003,28.103,28.111,27.443,27.443,454,0
20061004,27.653,27.855,27.434,27.46,2003,0
20061005,27.611,28.359,27.611,28.034,3769,0
20061006,27.954,28.13,27.954,28.111,905,0
20061009,28.322,28.322,27.918,28.139,2044,0
20061010,28.103,28.244,28.068,28.244,2545,0
20061011,28.042,28.042,28.042,28.042,229,0
20061012,27.927,28.28,27.891,28.28,1508,0
20061013,28.007,28.007,28.007,28.007,171,0
20061016,27.679,27.697,27.679,27.697,344,0
20061017,27.292,28.111,27.292,28.103,1496,0
20061018,26.843,28.111,26.843,28.111,1277,0
20061019,27.408,28.12,27.408,28.12,1247,0
20061020,27.971,28.28,27.971,28.28,2319,0
20061023,28.455,29.707,28.007,28.959,6286,0
20061024,28.959,28.959,27.715,28.764,7974,0
20061025,28.747,29.116,28.509,28.959,1362,0
20061026,29.301,29.301,28.959,28.959,3184,0
20061027,29.355,29.364,29.355,29.364,455,0
20061030,28.571,28.959,28.571,28.959,1407,0
20061101,28.959,28.959,28.712,28.959,2042,0
20061102,29.204,29.249,28.852,29.178,1090,0
20061103,29.292,29.355,29.178,29.178,1247,0
20061106,29.134,29.364,29.134,29.364,1133,0
20061107,29.178,29.389,29.178,29.389,1893,0
20061110,29.557,29.557,27.679,28.042,4428,0
20061113,28.535,28.606,28.051,28.606,7079,0
20061114,28.306,29.433,28.306,28.843,3239,0
20061115,28.861,29.346,28.552,28.878,2383,0
20061116,28.896,28.959,28.271,28.535,4676,0
20061117,28.535,28.675,28.094,28.535,4356,0
20061120,28.368,28.878,28.368,28.693,964,0
20061121,28.73,28.959,28.509,28.782,2735,0
20061122,28.684,29.09,28.684,28.941,677,0
20061127,29.777,29.777,28.341,28.73,2334,0
20061128,28.588,28.959,28.579,28.579,760,0
20061129,28.614,28.667,28.228,28.518,3125,0
20061130,28.886,28.941,28.482,28.941,1643,0
20061201,29.24,29.257,28.959,28.959,5949,0
20061204,28.959,28.959,28.949,28.959,6775,0
20061205,28.959,29.389,28.73,28.73,2158,0
20061206,27.823,28.675,27.823,28.438,16138,0
20061207,28.271,28.65,28.271,28.322,6124,0
20061208,28.738,28.738,28.368,28.738,2893,0
20061211,28.959,28.959,28.949,28.959,4695,0
20061212,28.588,28.932,28.28,28.535,4278,0
20061214,28.535,28.535,28.438,28.438,1817,0
20061215,28.527,28.535,28.111,28.111,1318,0
20061218,28.111,28.518,27.855,28.13,3138,0
20061219,27.909,28.13,27.909,28.111,344,0
20061220,28.111,28.111,28.111,28.111,1247,0
20061221,27.671,27.98,27.31,27.98,3358,0
20061222,27.989,28.412,27.558,27.909,7638,0
20061226,27.823,28.034,27.62,28.034,3139,0
20061227,27.724,28.473,27.645,28.28,4719,0
20061228,28.544,28.712,28.051,28.219,4539,0
20061229,27.849,28.289,27.849,28.094,2042,0
20070103,28.042,28.111,28.042,28.111,4655,0
20070104,28.139,28.28,27.883,28.157,1930,0
20070105,28.165,28.219,27.679,27.9,12748,0
