Date,Open,High,Low,Close,Volume,OpenInt
20150416,22.263,22.912,21.285,21.469,16198823,0
20150417,21.73,23.183,21.576,21.934,3996790,0
20150420,23.329,23.474,22.128,22.225,2025647,0
20150421,22.263,22.525,21.345,21.634,1283730,0
20150422,21.78,21.964,20.753,21.111,967339,0
20150423,21.101,21.924,20.927,21.877,462614,0
20150424,22.148,22.185,21.441,21.45,772229,0
20150427,21.489,21.683,20.357,20.569,1223790,0
20150428,20.589,21.083,20.086,20.986,745886,0
20150429,20.637,21.315,20.482,20.628,303416,0
20150430,20.743,21.228,20.357,20.705,448565,0
20150501,20.908,20.976,20.618,20.715,316640,0
20150504,20.753,20.986,20.357,20.472,681938,0
20150505,20.705,21.151,20.589,21.092,472842,0
20150506,21.625,21.78,21.151,21.432,872030,0
20150507,21.73,21.73,21.586,21.673,485518,0
20150508,21.75,22.215,21.546,21.586,695781,0
20150511,21.238,22.051,20.996,21.8,787829,0
20150512,21.827,21.964,21.499,21.606,268365,0
20150513,21.596,21.75,21.054,21.141,538339,0
20150514,21.519,21.519,20.918,21.266,563443,0
20150515,21.16,21.634,21.151,21.537,291581,0
20150518,21.325,21.479,20.908,21.335,469261,0
20150519,21.111,21.653,21.111,21.509,314883,0
20150520,21.372,21.586,21.305,21.576,259924,0
20150521,21.586,21.586,20.996,21.325,224488,0
20150522,21.17,21.537,21.17,21.402,173661,0
20150526,21.469,21.537,21.18,21.432,178866,0
20150527,21.412,21.847,21.228,21.693,355174,0
20150528,21.673,21.693,21.257,21.402,194586,0
20150529,21.335,21.479,20.927,21.198,304139,0
20150601,21.248,21.441,21.179,21.208,220563,0
20150602,21.325,21.586,21.198,21.479,308989,0
20150603,21.335,22.525,21.335,22.379,610242,0
20150604,22.456,22.553,21.904,22.021,349492,0
20150605,21.924,22.7,21.924,22.419,252899,0
20150608,22.399,22.844,22.263,22.67,353625,0
20150609,22.884,22.884,22.292,22.389,320501,0
20150610,22.312,22.961,22.312,22.718,192611,0
20150611,22.7,23.125,22.438,22.563,383242,0
20150612,22.429,22.583,22.167,22.476,169633,0
20150615,22.389,22.787,22.302,22.718,219840,0
20150616,22.747,23.812,22.747,23.444,714273,0
20150617,23.406,23.919,23.038,23.329,678425,0
20150618,23.425,23.57,22.884,22.951,549187,0
