Date,Open,High,Low,Close,Volume,OpenInt
20130703,19.793,19.793,19.498,19.498,88101,0
20130705,25.134,25.134,19.4,19.4,94547,0
20130708,19.406,19.599,19.4,19.599,59906,0
20130709,19.599,20.416,19.49,19.56,46543,0
20130710,19.599,19.63,19.446,19.522,52696,0
20130711,19.56,19.871,19.531,19.56,40768,0
20130712,19.56,19.833,19.522,19.717,16999,0
20130715,19.638,20.027,19.638,19.754,51035,0
20130716,19.911,19.911,19.638,19.75,7290,0
20130717,19.754,20.027,19.737,19.793,31476,0
20130718,19.981,20.027,19.871,19.988,18134,0
20130719,19.871,19.877,19.731,19.833,30826,0
20130722,19.972,19.981,19.754,19.949,24937,0
20130723,19.903,19.949,19.77,19.77,23204,0
20130724,19.926,19.949,19.8,19.949,10202,0
20130725,19.793,19.949,19.793,19.871,7614,0
20130726,19.871,19.949,19.754,19.871,15612,0
20130729,19.949,20.027,19.871,19.989,22798,0
20130730,20.018,20.018,19.817,20.011,21495,0
20130731,20.027,20.027,19.871,20.027,24157,0
20130801,20.027,20.027,19.871,19.923,86531,0
20130802,19.958,20.011,19.833,19.833,113949,0
20130805,19.989,19.989,19.871,19.949,23414,0
20130806,19.999,20.133,19.936,19.999,13405,0
20130807,19.924,20.227,19.79,19.971,13366,0
20130808,20.032,20.032,19.821,19.867,22147,0
20130809,19.924,19.963,19.837,19.845,14957,0
20130812,20.032,20.04,19.845,19.976,8961,0
20130813,19.971,19.999,19.949,19.999,23349,0
20130814,19.821,20.071,19.821,19.938,10377,0
20130815,19.938,19.992,19.712,19.712,25449,0
20130816,19.728,19.999,19.728,19.943,10315,0
20130819,19.947,19.999,19.741,19.784,40539,0
20130820,19.712,20.149,19.712,19.876,14484,0
20130821,19.845,19.845,19.766,19.766,14396,0
20130822,19.785,19.924,19.785,19.924,9982,0
20130823,19.929,20.055,19.845,19.862,4708,0
20130826,20.124,20.124,19.749,19.757,5227,0
20130827,19.845,19.999,19.821,19.837,10643,0
20130828,19.911,19.994,19.853,19.853,11827,0
20130829,19.971,19.977,19.862,19.977,3858,0
20130830,20.249,20.392,20.249,20.384,25342,0
20130903,19.999,19.999,19.954,19.999,7266,0
20130904,20.052,20.123,19.934,19.934,11886,0
20130905,20.077,20.077,19.934,19.934,10000,0
20130906,19.974,20.123,19.968,20.123,7692,0
20130909,20.202,20.447,20.053,20.249,20410,0
20130910,20.195,21.074,20.195,20.211,45648,0
20130911,20.217,20.447,20.199,20.4,14246,0
20130912,20.256,20.406,20.249,20.29,12568,0
20130913,20.366,20.406,20.366,20.406,4909,0
20130916,20.447,20.447,20.366,20.384,16999,0
20130917,20.447,20.447,20.345,20.415,13912,0
20130918,20.447,20.756,20.345,20.351,29081,0
20130919,20.36,20.437,20.217,20.29,23554,0
20130920,20.384,20.437,20.077,20.187,15032,0
20130923,20.187,20.345,20.059,20.202,33997,0
20130924,20.32,20.32,20.132,20.17,17293,0
20130925,20.161,20.29,20.132,20.187,9662,0
20130926,20.179,20.249,20.132,20.249,10171,0
20130927,20.161,20.242,20.132,20.132,9789,0
20130930,20.352,20.513,20.312,20.312,25107,0
20131001,20.052,20.29,20.052,20.29,14118,0
20131002,20.29,20.345,20.249,20.32,7377,0
20131003,20.36,20.36,20.249,20.271,10304,0
20131004,20.42,21.054,20.381,20.381,13270,0
20131007,20.54,20.659,20.324,20.578,7581,0
20131008,20.427,20.427,20.398,20.398,5172,0
20131009,20.349,20.571,20.349,20.381,2272,0
20131010,20.571,20.659,20.388,20.532,8718,0
20131011,20.499,20.862,20.427,20.697,9476,0
20131014,20.578,20.848,20.46,20.46,14655,0
20131015,20.674,20.674,20.388,20.451,13517,0
20131016,20.603,20.634,20.427,20.469,13895,0
20131017,20.54,20.65,20.46,20.499,9732,0
20131018,20.627,20.758,20.627,20.697,4548,0
20131021,20.746,20.832,20.659,20.737,15309,0
20131022,20.674,20.813,20.516,20.785,18447,0
20131023,20.807,20.813,20.659,20.746,7499,0
20131024,20.807,20.848,20.659,20.666,5183,0
20131025,20.803,20.803,20.659,20.659,15163,0
20131028,20.813,20.813,20.603,20.603,11492,0
20131029,20.611,20.832,20.578,20.785,8467,0
20131030,20.641,20.793,20.603,20.688,6948,0
20131031,20.87,20.926,20.87,20.918,4521,0
20131101,20.807,20.936,20.778,20.927,10487,0
20131104,20.975,21.054,20.936,21.054,6570,0
20131105,20.975,20.975,20.627,20.627,9732,0
20131106,20.71,20.792,20.542,20.607,12555,0
20131107,20.632,20.71,20.632,20.694,1379,0
20131108,20.703,20.734,20.607,20.734,11673,0
20131111,20.829,21.062,20.624,20.75,2510,0
20131112,20.607,20.744,20.607,20.71,2256,0
20131113,20.821,20.829,20.71,20.829,6402,0
20131114,20.829,20.86,20.685,20.75,7656,0
20131115,20.296,20.854,20.296,20.854,24106,0
20131118,20.559,20.801,20.559,20.671,3401,0
20131119,20.583,20.879,20.583,20.839,34522,0
20131120,20.792,20.792,20.624,20.758,6906,0
20131121,20.75,21.133,20.624,20.91,3141,0
20131122,20.87,21.133,20.86,20.996,8913,0
20131125,20.948,21.109,20.717,21.109,7155,0
20131126,21.013,21.029,20.895,20.909,12097,0
20131127,21.001,21.241,21.001,21.042,8735,0
20131129,21.177,21.177,20.814,21.042,5115,0
20131202,21.079,21.079,20.905,20.921,3865,0
20131203,20.952,21.001,20.952,20.991,8333,0
20131204,21.001,21.05,20.889,20.944,4864,0
20131205,20.882,20.983,20.842,20.842,3240,0
20131206,20.849,20.864,20.808,20.808,2099,0
20131209,20.842,20.859,20.803,20.803,3150,0
20131210,20.746,20.921,20.746,20.778,3397,0
20131211,20.803,20.803,20.705,20.705,5615,0
20131212,20.833,20.842,20.705,20.719,5489,0
20131213,20.759,20.784,20.705,20.705,4243,0
20131216,20.759,20.803,20.705,20.803,7109,0
20131217,20.803,20.833,20.705,20.803,4495,0
20131218,20.705,20.882,20.705,20.842,3992,0
20131219,20.813,20.813,20.56,20.717,6662,0
20131220,20.842,20.842,20.674,20.674,3765,0
20131223,20.768,20.803,20.666,20.778,15711,0
20131224,20.821,20.833,20.813,20.833,2041,0
20131226,20.905,20.921,20.666,20.666,13473,0
20131227,20.64,21.033,20.64,20.921,6865,0
20131230,20.941,21.126,20.836,20.836,8306,0
20131231,20.78,21.063,20.78,20.973,6200,0
20140102,20.973,20.973,20.78,20.868,3815,0
20140103,20.933,20.973,20.859,20.899,20817,0
20140106,20.836,20.892,20.836,20.868,13142,0
20140107,20.892,20.97,20.804,20.898,15945,0
20140108,20.973,20.973,20.818,20.851,34575,0
20140109,20.859,20.859,20.797,20.809,15352,0
20140110,20.892,20.892,20.885,20.885,1488,0
20140113,20.842,20.842,20.842,20.842,130,0
20140114,20.965,21.054,20.859,20.859,4584,0
20140115,21.078,21.078,20.892,20.892,10907,0
