Date,Open,High,Low,Close,Volume,OpenInt
20150520,798.2,888.62,785.72,792.92,2519,0
20150521,792.09,799.62,781.54,786.82,3288,0
20150522,783.48,795.44,767.61,778.75,2763,0
20150526,784.3,805.72,783.2,804.06,6958,0
20150527,803.51,803.51,778.75,781.54,741,0
20150528,799.06,799.06,786.54,789.58,477,0
20150529,792.65,799.34,786.54,791.82,593,0
20150601,791.54,792.65,782.37,787.92,344,0
20150602,792.65,795.44,788.47,791.27,784,0
20150603,791.27,791.27,782.92,782.92,493,0
20150604,779.58,803.24,779.58,800.99,3046,0
20150605,799.62,802.37,789.85,792.92,366,0
20150608,797.37,803.79,793.47,799.06,356,0
20150609,804.89,806.54,794.62,794.89,167,0
20150610,794.02,794.02,771.78,771.78,518,0
20150611,765.13,767.61,752.54,763.99,2049,0
20150612,764.85,771.78,764.85,765.13,685,0
20150615,753.99,796.54,753.99,791.27,2369,0
20150616,829.81,830.99,783.35,787.29,1123,0
20150617,767.61,799.1,757.37,782.57,414,0
20150618,792.02,792.02,762.89,773.52,365,0
20150619,764.46,781.78,764.07,779.42,148,0
20150622,787.29,787.29,756.19,756.59,602,0
20150623,753.84,758.56,748.13,748.71,781,0
20150624,755.41,755.41,747.53,751.86,482,0
20150625,747.93,752.26,739.66,752.26,327,0
20150626,749.5,753.04,747.53,753.04,344,0
20150629,768.4,825.08,765.65,812.88,2497,0
20150630,793.59,835.71,792.02,814.45,2892,0
20150701,784.54,800.68,777.06,788.47,385,0
20150702,786.11,803.04,778.63,801.86,716,0
20150706,813.27,859.72,786.9,820.36,989,0
20150707,809.34,849.88,795.17,795.17,868,0
20150708,813.67,851.85,810.91,851.85,1258,0
20150709,826.26,865.63,822.33,857.76,1191,0
20150710,828.63,840.04,801.07,801.46,1149,0
20150713,889.25,903.42,732.58,733.37,1943,0
20150714,731.79,732.19,705.41,722.02,469,0
20150715,714.07,728.24,707.78,720.38,227,0
20150716,694.78,706.2,669.59,670.38,1328,0
20150717,671.17,681.01,670.38,675.1,41,0
20150720,671.56,677.07,661.72,662.12,627,0
20150722,705.81,705.81,669.2,669.2,109,0
20150723,673.92,675.1,669.2,669.2,285,0
20150724,683.37,692.82,682.19,683.77,164,0
20150727,702.66,727.46,702.66,722.34,557,0
