Date,Open,High,Low,Close,Volume,OpenInt
19830406,0.5882,0.5971,0.5793,0.5793,1419804,0
19830407,0.5882,0.5882,0.5793,0.5882,1327924,0
19830408,0.606,0.606,0.5971,0.606,1556758,0
19830411,0.606,0.6415,0.606,0.6415,7452660,0
19830412,0.6415,0.6415,0.6327,0.6415,4614791,0
19830413,0.6415,0.6594,0.6415,0.6504,3467162,0
19830414,0.6504,0.6594,0.6415,0.6415,6389979,0
19830415,0.6504,0.6504,0.6415,0.6415,2215516,0
19830418,0.6415,0.6415,0.6239,0.6415,2768527,0
19830419,0.6327,0.6415,0.6239,0.6239,1626095,0
19830420,0.6239,0.6327,0.6239,0.6239,1192701,0
19830421,0.6327,0.6327,0.606,0.6149,2359405,0
19830422,0.6239,0.6239,0.606,0.6149,1489144,0
19830425,0.5971,0.606,0.5882,0.5971,2615972,0
19830426,0.5971,0.6149,0.5882,0.606,2411408,0
19830427,0.6239,0.6239,0.6149,0.6149,3687326,0
19830428,0.6327,0.6415,0.6239,0.6327,1913869,0
19830429,0.6415,0.6415,0.6327,0.6327,2824004,0
19830502,0.6239,0.6327,0.6149,0.6239,2127102,0
19830503,0.6239,0.6327,0.6149,0.6327,2667981,0
19830504,0.6415,0.6415,0.6327,0.6327,2035223,0
19830505,0.6415,0.6415,0.6327,0.6327,2846539,0
19830506,0.6415,0.6685,0.6415,0.6594,3784407,0
19830509,0.6594,0.6594,0.6504,0.6594,3129113,0
19830510,0.6504,0.6594,0.6504,0.6594,4105120,0
19830511,0.6685,0.6685,0.6504,0.6594,2453014,0
19830512,0.6594,0.6594,0.6327,0.6415,2629843,0
19830513,0.6415,0.6415,0.6239,0.6327,1981483,0
19830516,0.6239,0.6239,0.6149,0.6239,1823726,0
19830517,0.6239,0.6327,0.6149,0.6149,2021357,0
19830518,0.6239,0.6327,0.6149,0.6149,3082308,0
19830519,0.6149,0.6149,0.5882,0.5971,3179386,0
19830520,0.5882,0.6149,0.5793,0.606,2529291,0
19830523,0.5971,0.6239,0.5971,0.6239,2269258,0
19830524,0.6239,0.6239,0.6149,0.6239,1986682,0
