Date,Open,High,Low,Close,Volume,OpenInt
20140505,20.781,20.781,20.035,20.41,19265,0
20140506,20.532,20.656,20.532,20.532,3521,0
20140507,20.532,20.574,20.377,20.483,3624,0
20140508,20.532,20.697,20.451,20.451,3503,0
20140509,20.483,20.673,20.451,20.548,26807,0
20140512,20.673,20.673,20.615,20.656,6945,0
20140513,20.491,20.656,20.483,20.656,2597,0
20140514,20.615,20.74,20.615,20.689,2263,0
20140515,20.905,20.905,20.864,20.905,5073,0
20140516,20.624,20.905,20.624,20.876,2677,0
20140519,21.111,21.111,20.697,20.947,7945,0
20140520,21.008,21.008,20.451,20.773,34629,0
20140521,20.747,20.747,20.284,20.673,22369,0
20140522,20.697,20.905,20.697,20.781,5797,0
20140523,20.905,20.905,20.615,20.615,4801,0
20140528,20.64,20.892,20.491,20.892,3527,0
20140529,20.54,20.864,20.532,20.864,3745,0
20140530,20.822,22.709,20.805,22.212,15916,0
20140602,21.32,21.32,20.706,21.32,1873,0
20140603,20.905,20.905,20.905,20.905,296,0
20140604,20.781,20.781,20.697,20.697,6799,0
20140605,20.796,21.111,20.796,21.111,725,0
20140606,20.97,21.153,20.864,20.905,2295,0
20140609,21.068,21.068,20.781,21.036,1873,0
20140610,20.947,21.128,20.755,21.111,10871,0
20140611,20.996,21.036,20.822,21.012,1861,0
20140612,20.88,20.989,20.88,20.989,847,0
20140613,20.905,20.905,20.848,20.905,1570,0
20140616,20.897,20.905,20.889,20.897,3908,0
20140617,20.947,21.061,20.854,20.864,1084,0
20140618,20.98,20.988,20.781,20.822,11475,0
20140619,20.988,20.988,20.781,20.781,861,0
20140620,20.706,20.988,20.706,20.905,29091,0
20140623,20.822,20.947,20.706,20.947,12786,0
20140624,20.747,20.822,20.697,20.822,1330,0
20140625,20.822,20.906,20.697,20.781,7344,0
20140626,20.899,21.591,20.824,21.018,8326,0
20140627,21.463,21.479,21.463,21.472,2379,0
20140701,21.059,21.479,21.059,21.102,8701,0
20140702,21.118,21.16,21.118,21.16,1429,0
20140703,21.236,21.438,21.185,21.193,2610,0
20140707,21.185,21.286,21.126,21.126,2974,0
20140708,21.126,21.211,20.899,21.211,4022,0
20140709,21.018,21.102,20.85,20.942,3838,0
20140710,21.018,21.177,20.942,21.177,3735,0
20140711,21.059,21.16,20.908,21.151,4341,0
20140714,21.151,21.151,21.151,21.151,1874,0
20140715,21.026,21.026,21.018,21.018,8063,0
20140716,21.018,21.018,21.008,21.008,4206,0
20140717,21.018,21.018,20.984,21.018,3853,0
