Date,Open,High,Low,Close,Volume,OpenInt
20050225,51.335,51.412,50.755,51.266,90202,0
20050228,51.054,52.04,50.986,51.876,210870,0
20050301,52.108,52.736,52.011,52.417,150409,0
20050302,52.117,53.017,52.117,52.281,127935,0
20050303,52.204,52.417,51.403,51.77,123853,0
20050304,52.089,52.669,51.838,52.311,127878,0
20050307,52.233,52.756,51.662,51.672,136959,0
20050308,51.586,52.001,51.103,51.384,125342,0
20050309,51.335,51.403,50.184,50.465,153195,0
20050310,50.329,50.755,49.856,50.01,124522,0
20050311,50.077,50.551,49.904,50.029,123213,0
20050314,49.933,50.416,49.885,50.281,117670,0
20050315,50.495,50.706,49.866,50.175,139074,0
20050316,50.203,50.252,49.651,49.788,153632,0
20050317,49.739,50.049,49.17,49.353,143573,0
20050318,49.632,49.641,47.622,49.062,269281,0
20050321,48.908,49.216,48.724,49.044,85417,0
20050322,48.879,49.092,47.738,47.903,112706,0
20050323,47.757,48.144,47.197,47.35,158125,0
20050324,47.37,47.651,46.714,46.819,132732,0
20050328,47.082,47.651,46.384,46.393,271564,0
20050329,46.374,46.55,45.602,45.698,170192,0
20050330,45.514,46.412,45.514,46.402,112422,0
20050331,46.56,46.58,45.225,45.524,120456,0
20050401,45.534,46.422,45.157,45.389,156982,0
20050404,45.806,45.921,45.245,45.689,226550,0
20050405,45.689,46.056,45.195,45.205,155189,0
20050406,45.399,46.655,45.321,46.501,181303,0
20050407,46.645,46.867,46.192,46.336,73242,0
20050408,46.251,46.279,45.255,45.669,104388,0
20050411,45.534,45.679,45.195,45.418,60862,0
20050412,45.195,46.511,44.954,46.374,139774,0
20050413,46.115,46.54,45.283,45.418,170185,0
20050414,45.418,45.669,44.356,44.616,99417,0
20050415,44.567,44.954,43.95,43.986,96222,0
20050418,43.544,45.079,43.505,44.79,144917,0
20050419,44.751,45.631,44.751,45.389,97642,0
20050420,45.264,45.631,45.05,45.167,214104,0
20050421,45.167,46.307,45.167,46.307,142253,0
20050422,46.211,46.452,45.824,46.152,255575,0
20050425,46.007,46.645,45.958,46.452,186001,0
20050426,46.271,46.402,44.616,44.741,132805,0
20050427,44.471,45.747,44.075,45.428,146334,0
20050428,45.292,45.544,44.567,44.567,109513,0
20050429,44.867,45.021,43.977,44.383,191529,0
20050502,44.131,45.486,44.131,45.438,151755,0
20050503,45.34,47.178,45.34,46.926,351125,0
20050504,47.13,48.772,46.964,48.57,269045,0
20050505,48.347,49.062,47.951,48.637,258111,0
20050506,48.744,48.82,47.546,47.728,70219,0
20050509,47.631,48.454,47.449,48.385,94058,0
20050510,48.395,48.395,47.487,47.709,61922,0
20050511,47.566,48.269,47.38,48.249,98364,0
20050512,48.193,48.82,48.144,48.695,182829,0
20050513,48.918,48.918,47.35,47.805,86613,0
20050516,47.728,48.676,47.709,48.617,90000,0
20050517,48.289,48.724,47.825,48.385,75848,0
20050518,48.724,49.641,48.695,49.622,76875,0
20050519,49.594,49.69,49.16,49.294,72795,0
20050520,49.284,49.788,48.385,49.788,107487,0
20050523,49.846,50.329,49.343,49.962,143506,0
20050524,49.788,50.049,49.294,49.575,38009,0
20050525,49.641,49.641,48.337,49.062,253993,0
20050526,49.015,49.46,48.772,49.46,85405,0
20050527,49.131,49.274,48.532,48.86,95617,0
20050531,48.627,48.772,48.308,48.405,108752,0
20050601,48.249,48.899,48.048,48.724,102588,0
20050602,48.522,48.782,48.096,48.356,87577,0
20050603,48.019,48.522,47.679,48.019,83925,0
20050606,47.855,48.588,47.576,48.532,59339,0
20050607,48.578,49.092,48.434,48.676,113504,0
20050608,48.532,48.869,48.532,48.617,144929,0
20050609,48.617,48.617,47.67,47.951,145809,0
20050610,47.805,47.893,47.032,47.032,116900,0
20050613,47.032,47.052,46.066,46.56,175095,0
20050614,46.307,46.422,45.968,46.192,153966,0
20050615,46.355,46.54,45.186,46.412,429999,0
20050616,46.402,46.675,46.192,46.54,105298,0
20050617,46.636,47.602,46.007,47.602,560778,0
20050620,47.487,47.931,47.072,47.641,190542,0
20050621,47.593,48.24,47.593,48.019,78024,0
20050622,47.961,48.676,47.961,48.503,175594,0
20050623,48.415,48.82,48.347,48.734,142385,0
20050624,48.724,49.788,48.724,49.313,392999,0
20050627,49.274,49.729,49.16,49.661,178361,0
20050628,49.69,50.697,49.489,50.697,171749,0
