Date,Open,High,Low,Close,Volume,OpenInt
20050225,11.644,11.729,11.567,11.701,169855,0
20050228,11.786,11.786,11.596,11.72,463811,0
20050301,11.72,11.873,11.663,11.835,324295,0
20050302,11.701,11.971,11.701,11.796,139832,0
20050303,11.893,11.893,11.701,11.796,177756,0
20050304,11.893,11.893,11.738,11.806,151455,0
20050307,11.932,11.941,11.71,11.806,195088,0
20050308,11.72,11.835,11.701,11.758,169235,0
20050309,11.701,11.71,11.481,11.481,85546,0
20050310,11.462,11.644,11.211,11.326,204268,0
20050311,11.365,11.491,11.268,11.462,145767,0
20050314,11.346,11.586,11.346,11.53,85307,0
20050315,11.481,11.683,11.481,11.481,112426,0
20050316,11.53,11.547,11.452,11.51,100430,0
20050317,11.413,11.683,11.413,11.547,64717,0
20050318,11.683,11.683,11.452,11.51,374543,0
20050321,11.615,11.634,11.491,11.624,69787,0
20050322,11.606,11.786,11.491,11.491,58648,0
20050323,11.53,11.53,11.365,11.365,76246,0
20050324,11.51,11.654,11.491,11.491,111840,0
20050328,11.432,11.596,11.432,11.538,63062,0
20050329,11.432,11.557,11.365,11.365,171432,0
20050330,11.422,11.615,11.375,11.53,114220,0
20050331,11.422,11.586,11.413,11.481,193483,0
20050401,11.422,11.52,11.365,11.365,165377,0
20050404,11.365,11.422,11.316,11.336,76932,0
20050405,11.336,11.394,11.249,11.249,118322,0
20050406,11.346,11.384,11.143,11.143,215827,0
20050407,11.219,11.219,11.049,11.211,149303,0
20050408,11.152,11.172,10.817,10.836,59270,0
20050411,10.944,10.944,10.663,10.663,144844,0
20050412,10.653,10.827,10.279,10.779,187568,0
20050413,10.779,10.934,10.539,10.539,63531,0
20050414,10.415,10.5,10.251,10.251,157457,0
20050415,10.232,10.557,9.752,9.79,243279,0
20050418,9.713,10.163,9.646,10.163,302979,0
20050419,10.118,10.366,10.118,10.327,159175,0
20050420,10.173,10.405,10.108,10.251,215390,0
20050421,10.27,10.643,10.202,10.48,94002,0
20050422,10.48,10.702,10.251,10.442,82865,0
20050425,10.625,10.625,9.952,10.069,187749,0
20050426,10.318,11.201,10.049,10.643,473096,0
20050427,10.692,11.53,10.529,11.432,527230,0
20050428,11.316,11.586,10.807,10.953,329004,0
20050429,11.201,11.462,10.953,11.297,150056,0
20050502,11.162,11.624,11.162,11.624,138930,0
20050503,11.365,11.815,11.365,11.776,296164,0
20050504,11.776,12.24,11.767,12.163,482390,0
20050505,12.077,12.201,11.758,11.806,321228,0
20050506,11.767,11.951,11.767,11.922,133270,0
20050509,11.98,12.153,11.854,12.153,170560,0
20050510,11.912,12.22,11.912,12.191,161430,0
20050511,12.106,12.382,12.058,12.287,140346,0
20050512,12.382,12.382,12,12,121163,0
20050513,12.191,12.191,11.644,11.729,118647,0
20050516,11.99,12.077,11.729,12.077,149557,0
20050517,11.932,12.009,11.767,11.912,188767,0
20050518,12.123,12.46,11.873,12.411,231675,0
20050519,12.402,12.644,12.402,12.567,158126,0
20050520,12.652,12.652,12.372,12.431,290051,0
20050523,12.479,12.479,12.191,12.326,193718,0
20050524,12.143,12.24,12.028,12.123,266630,0
20050525,12.326,12.326,11.971,12.067,320043,0
20050526,12.21,12.306,12.009,12.287,147772,0
20050527,12.24,12.488,12.133,12.421,195430,0
20050531,12.557,12.605,12.277,12.382,174484,0
20050601,12.488,12.7,12.372,12.681,248301,0
20050602,12.69,12.951,12.45,12.596,458843,0
20050603,12.488,12.557,12.326,12.45,78438,0
20050606,12.363,12.557,12.316,12.527,83402,0
20050607,12.586,12.727,12.344,12.652,149377,0
20050608,12.796,12.796,12.614,12.747,322416,0
20050609,12.709,12.922,12.567,12.903,286496,0
20050610,12.903,12.903,12.796,12.854,84879,0
20050613,12.805,12.969,12.805,12.969,95596,0
20050614,12.932,13.017,12.805,13.017,311516,0
20050615,13.046,13.363,13.046,13.363,307446,0
20050616,13.354,13.969,13.344,13.949,372405,0
20050617,13.959,14.046,13.824,13.833,525435,0
20050620,13.873,13.873,13.431,13.45,291169,0
20050621,13.479,13.489,13.315,13.45,78077,0
20050622,13.612,13.746,13.509,13.576,130189,0
20050623,13.499,13.959,13.489,13.65,170696,0
20050624,13.566,13.901,12.989,13.218,268121,0
20050627,13.132,13.19,12.883,13.122,109228,0
20050628,13.315,13.518,13.056,13.499,134905,0
20050629,13.566,13.863,13.373,13.863,130915,0
20050630,13.833,13.833,13.334,13.46,139028,0
20050701,13.586,13.94,13.509,13.94,171802,0
20050705,13.756,14.219,13.698,14.219,177377,0
20050706,14.371,14.381,14.16,14.209,151844,0
20050707,14.065,14.228,13.64,13.814,285659,0
20050708,13.843,14.093,13.804,13.969,180297,0
20050711,14.112,14.4,13.833,14.093,448945,0
20050712,13.949,14.41,13.949,14.334,133832,0
20050713,14.381,14.381,13.756,13.997,134850,0
20050714,14.18,14.247,13.612,13.688,192326,0
20050715,13.66,13.785,13.344,13.737,328768,0
20050718,13.717,13.717,13.256,13.344,97574,0
20050719,13.509,14.265,13.47,14.219,169586,0
20050720,14.151,14.304,13.959,14.304,191679,0
20050721,14.304,14.304,13.997,14.084,129709,0
20050722,13.969,14.334,13.959,14.334,119564,0
20050725,14.265,14.334,13.997,14.046,63236,0
20050726,13.988,13.988,13.64,13.698,151850,0
20050727,13.766,14.036,13.766,13.795,151067,0
20050728,13.853,14.247,13.707,13.979,206414,0
20050729,13.882,14.381,13.882,14.361,221446,0
20050801,14.4,14.4,14.151,14.39,164181,0
20050802,14.39,14.41,13.833,14.026,312672,0
20050803,14.093,14.257,13.979,14.065,139156,0
20050804,13.843,14.065,13.509,13.509,157627,0
20050805,13.65,13.65,13.141,13.141,116937,0
20050808,13.373,13.46,13.208,13.45,80754,0
20050809,13.315,13.528,13.315,13.344,38768,0
20050810,13.47,13.882,13.46,13.65,180647,0
20050811,13.622,13.873,13.576,13.707,137853,0
20050812,13.66,13.756,13.602,13.65,187625,0
20050815,13.65,13.688,13.576,13.576,78582,0
20050816,13.518,13.882,13.18,13.246,160849,0
20050817,13.218,13.431,13.132,13.218,48685,0
20050818,13.17,13.266,13.046,13.066,98436,0
20050819,13.046,13.393,13.046,13.305,48573,0
20050822,13.45,13.586,13.285,13.586,58573,0
20050823,13.538,13.631,13.334,13.393,55197,0
20050824,13.228,13.46,13.132,13.132,127267,0
20050825,13.085,13.295,13.046,13.285,65259,0
20050826,13.19,13.228,13.046,13.046,86388,0
20050829,13.076,13.199,12.989,13.16,82385,0
20050830,12.979,13.027,12.805,12.864,103739,0
20050831,12.961,13.122,12.757,13.056,176824,0
20050901,12.979,13.037,12.893,13.027,157944,0
20050902,12.969,13.007,12.718,12.825,129445,0
20050906,12.913,13.602,12.815,13.373,252613,0
20050907,13.344,13.44,13.228,13.393,65574,0
20050908,13.236,13.383,13.17,13.383,110454,0
20050909,13.402,13.557,13.402,13.557,60209,0
20050912,13.528,14.247,13.499,14.219,265596,0
20050913,14.132,14.132,13.622,13.66,157999,0
20050914,13.795,13.795,13.246,13.421,197104,0
20050915,13.431,13.431,13.334,13.344,160086,0
20050916,13.45,13.45,13.295,13.334,550935,0
20050919,13.295,13.295,12.835,12.903,86858,0
20050920,12.932,12.932,12.421,12.45,140437,0
20050921,12.46,12.922,12.133,12.634,279778,0
20050922,12.7,13.046,12.537,12.776,294946,0
20050923,12.757,13.218,12.737,13.132,131537,0
20050926,13.199,13.557,13.199,13.528,131058,0
20050927,13.518,13.717,13.276,13.602,177617,0
20050928,13.412,13.431,12.874,13.017,50783,0
20050929,13.208,13.586,13.151,13.576,79837,0
20050930,13.64,13.64,13.45,13.622,95995,0
20051003,13.688,14.075,13.66,13.776,162065,0
20051004,13.776,14.017,13.737,13.814,100978,0
20051005,13.737,13.766,12.998,12.998,290328,0
20051006,12.998,13.19,12.644,12.7,108979,0
20051007,12.825,13.151,12.727,13.141,47449,0
20051010,13.037,13.199,12.747,12.747,60160,0
20051011,12.854,12.854,12.662,12.69,122788,0
20051012,12.672,12.747,12.46,12.652,90599,0
20051013,12.586,12.913,12.508,12.766,65510,0
20051014,12.932,12.932,12.576,12.681,78116,0
20051017,12.776,12.776,12.354,12.441,71706,0
20051018,12.402,12.766,12.191,12.21,162942,0
20051019,12.153,12.757,12.058,12.662,135380,0
20051020,12.652,12.825,12.258,12.344,48919,0
20051021,12.258,12.652,12.258,12.508,194843,0
20051024,12.547,12.805,12.498,12.766,114798,0
20051025,12.662,12.913,12.518,12.586,45848,0
20051026,12.709,12.922,12.547,12.586,86530,0
20051027,12.498,12.718,12.153,12.191,76585,0
20051028,12.306,12.557,12.268,12.557,89794,0
20051031,12.488,12.998,12.488,12.796,172075,0
20051101,12.718,12.747,12.24,12.306,217384,0
20051102,12.421,12.757,12.392,12.757,53106,0
20051103,12.883,13.151,12.874,12.883,108387,0
20051104,13.066,13.114,12.874,13.114,44780,0
20051107,13.104,13.19,12.835,13.141,144929,0
20051108,12.979,13.056,12.586,12.69,110559,0
20051109,12.796,12.796,12.527,12.709,30399,0
20051110,12.796,12.796,12.268,12.652,70032,0
20051111,12.498,12.903,12.498,12.69,75111,0
20051114,12.605,12.69,12.527,12.652,10615,0
20051115,12.786,12.932,12.363,12.363,88394,0
20051116,12.326,12.382,12.171,12.21,34987,0
20051117,12.106,12.488,12.106,12.431,44236,0
20051118,12.634,12.634,12.363,12.441,55141,0
20051121,12.518,13.334,12.518,13.066,90087,0
20051122,13.199,13.285,12.411,12.815,210305,0
20051123,12.969,13.132,12.969,12.969,89472,0
20051125,12.815,13.095,12.815,13.095,12983,0
20051128,13.285,13.285,12.737,12.903,96121,0
20051129,13.007,13.085,12.737,12.883,66698,0
20051130,12.913,13.085,12.7,13.076,199054,0
20051201,13.095,13.65,13.056,13.65,166525,0
20051202,13.324,13.679,13.132,13.315,129896,0
20051205,13.141,13.602,13.085,13.566,100273,0
20051206,13.688,13.688,13.334,13.412,71083,0
20051207,12.998,12.998,12.893,12.969,172105,0
20051208,12.805,13.354,12.747,13.324,383817,0
20051209,13.363,13.717,13.295,13.538,227364,0
20051212,13.67,13.679,13.566,13.65,127675,0
20051213,13.557,13.64,13.421,13.64,70232,0
20051214,13.631,13.785,13.518,13.737,95213,0
20051215,13.631,13.67,13.334,13.402,123636,0
20051216,13.344,13.612,12.989,12.989,588571,0
20051219,12.951,13.17,12.737,12.747,148377,0
20051220,12.932,13.104,12.766,12.998,188236,0
20051221,13.076,13.236,13.056,13.228,182808,0
20051222,13.285,13.509,13.236,13.363,111488,0
20051223,13.47,13.882,13.295,13.785,338605,0
20051227,13.882,13.91,13.698,13.766,134041,0
20051228,13.853,13.853,13.679,13.698,83352,0
20051229,13.737,13.979,13.688,13.853,82498,0
20051230,13.776,13.93,13.737,13.776,129463,0
20060103,13.969,14.093,13.746,14.093,125950,0
20060104,13.988,14.361,13.988,14.199,147976,0
20060105,14.247,14.314,14.16,14.228,77439,0
20060106,14.353,14.854,14.237,14.669,149945,0
20060109,14.574,14.825,14.536,14.806,409567,0
20060110,14.728,14.796,14.334,14.564,137701,0
20060111,14.458,14.458,14.151,14.189,130394,0
20060112,14.18,14.189,13.91,13.92,69365,0
20060113,14.046,14.046,13.91,13.92,51745,0
20060117,13.901,13.969,13.766,13.853,69538,0
20060118,13.65,13.959,13.65,13.814,91065,0
20060119,13.901,14.219,13.698,14.036,145690,0
20060120,14.228,14.228,13.949,13.988,92977,0
20060123,14.228,14.228,13.66,13.873,91436,0
20060124,13.612,13.882,13.612,13.776,239004,0
20060125,13.979,14.545,13.882,14.334,521325,0
20060126,14.582,14.844,14.448,14.844,342374,0
20060127,14.881,14.947,14.438,14.574,256752,0
20060130,14.796,15.044,14.506,14.957,158321,0
20060131,15.015,15.053,14.718,14.976,362120,0
20060201,15.091,15.111,14.786,15.034,125919,0
20060202,14.737,15.082,14.737,14.844,315126,0
20060203,14.767,15.053,14.526,14.526,142827,0
20060206,14.631,15.053,14.592,15.053,160667,0
20060207,15.053,15.533,14.854,15.332,320068,0
20060208,15.479,15.479,15.208,15.362,156553,0
20060209,15.553,15.553,15.217,15.371,148413,0
20060210,15.543,15.543,15.178,15.371,44644,0
20060213,15.208,15.332,15.101,15.217,140230,0
20060214,15.12,15.677,14.986,15.609,173916,0
20060215,15.745,15.929,14.825,15.9,233252,0
20060216,16.331,16.331,15.89,16.186,278460,0
20060217,16.186,16.186,15.43,15.802,309933,0
20060221,15.959,15.959,15.371,15.639,257157,0
20060222,15.658,15.871,15.562,15.735,274967,0
20060223,15.591,15.851,15.543,15.735,296154,0
20060224,15.802,16.016,15.391,15.871,393120,0
20060227,16.045,16.111,15.851,15.997,341851,0
20060228,15.764,15.968,15.391,15.44,272134,0
20060301,15.479,16.006,15.256,15.949,119773,0
20060302,15.987,16.006,15.562,15.773,151634,0
20060303,15.658,15.842,15.43,15.469,144019,0
20060306,15.488,15.543,14.806,15.101,216188,0
20060307,15.034,15.332,14.899,15.217,140937,0
20060308,15.188,15.506,15.006,15.44,234921,0
20060309,15.562,15.562,15.256,15.323,107391,0
20060310,15.371,15.543,15.159,15.459,109690,0
20060313,15.479,15.697,15.082,15.449,207447,0
20060314,15.332,15.783,15.276,15.658,323519,0
20060315,15.745,16.026,15.525,15.861,282601,0
20060316,16.026,16.215,15.677,15.725,78840,0
20060317,15.802,16.073,15.707,15.9,499796,0
20060320,15.968,16.13,15.717,15.939,202493,0
20060321,15.968,16.073,15.629,15.851,195507,0
20060322,15.793,16.026,15.609,15.89,139366,0
