Date,Open,High,Low,Close,Volume,OpenInt
20140724,13.2,13.65,12.56,12.92,3201180,0
20140725,12.6,13.29,12.02,12.65,259381,0
20140728,13.09,13.09,12.15,12.75,188756,0
20140729,12.64,13.24,12.14,12.6,20601,0
20140730,12.81,12.83,12.35,12.56,44661,0
20140731,12.11,12.85,12.11,12.35,33938,0
20140801,13,13,12.2,12.3,41800,0
20140804,12.37,12.98,12.37,12.8,36327,0
20140805,12.75,13.216,12.5,13,55163,0
20140806,13.34,14.02,13.08,13.4,75554,0
20140807,13.47,13.93,13.07,13.23,37851,0
20140808,13.22,13.625,13,13.24,34651,0
20140811,13,13.96,13,13.72,5997,0
20140812,14.31,14.9,13.98,14.2,83566,0
20140813,14.98,15.77,13.7,14.27,164466,0
20140814,13.76,14.69,13.75,14.07,177267,0
20140815,14.12,15.6,13.75,15.05,230658,0
20140818,15.32,16.49,15.31,16,241373,0
20140819,16.78,16.78,15.89,15.99,62859,0
20140820,15.89,16,15.53,15.84,53053,0
20140821,15.55,16.47,15.542,15.85,67029,0
20140822,15.68,16.337,15.641,15.86,30888,0
20140825,15.83,16.46,15.83,16.37,33993,0
20140826,16.5,16.93,15.97,16.45,52711,0
20140827,16.21,16.32,15.9,15.96,42723,0
20140828,16,16.45,15.5,15.79,36240,0
20140829,15,16.71,15,16.2,53740,0
20140902,16.25,16.38,15.5,16.07,55540,0
20140903,15.79,16.11,14.8,15.16,68689,0
20140904,15.12,16.793,15.12,16.53,58722,0
20140905,16.49,18.3,16.25,17.11,64128,0
20140908,17.52,17.97,16.711,17.25,118314,0
20140909,17.66,17.99,16.76,17.18,64651,0
20140910,17.17,17.47,16.54,16.85,86461,0
20140911,17,17.572,16.75,17.01,196444,0
20140912,17.16,18.07,16.8,17.02,179440,0
20140915,17.42,18.09,15.48,15.95,84469,0
20140916,16.03,16.33,14.73,15.4,96461,0
20140917,15.36,15.99,14.71,15.53,73651,0
20140918,15.85,15.85,15.052,15.31,33748,0
20140919,15.35,15.79,14.51,15.03,200656,0
20140922,15.42,15.48,14.36,14.76,56154,0
20140923,15.15,16,14.5,15.84,100167,0
20140924,15.86,16.26,15.091,15.61,49966,0
20140925,15.4,15.87,15.1,15.71,46892,0
20140926,15.326,16.3,15.326,16.29,100824,0
20140929,15.658,16.29,15.658,16.09,51932,0
20140930,16.05,16.25,15,15.5,790368,0
20141001,15.39,15.67,15.05,15.19,188636,0
20141002,15.15,16.3,15.056,15.99,159903,0
20141003,16.04,16.14,15.52,15.87,46941,0
20141006,15.85,16.2,15.5,15.91,73831,0
20141007,15.3,15.83,15.15,15.69,89290,0
20141008,15.62,16.11,15.51,16.02,66452,0
20141009,16.07,16.13,15.7,15.72,44193,0
20141010,15.67,16.14,15.31,15.925,51212,0
20141013,16.04,17.87,15.68,16.25,285804,0
20141014,16.09,16.32,15.68,16.11,70364,0
20141015,16.02,16.18,15.58,16.05,74403,0
20141016,15.84,16.18,15.4,16.18,47478,0
20141017,16.18,16.3,15.84,16.19,173323,0
20141020,16.17,16.3,15.99,16.3,40876,0
20141021,16.3,17.01,16.25,16.78,105180,0
20141022,16.98,17.56,16.87,17.42,191326,0
20141023,17.47,19.008,17.23,18.89,151513,0
20141024,18.95,19.86,18.95,19.47,89515,0
20141027,19.51,19.83,17.5,18.04,91038,0
20141028,18.04,19.14,17.75,19,64587,0
20141029,18.58,18.79,17.92,18.33,52990,0
20141030,18.21,19.25,18.18,19.09,55389,0
20141031,19.5,19.5,18.62,18.99,21410,0
20141103,18.93,19.085,18.79,18.87,15322,0
20141104,18.76,18.971,18.07,18.21,24565,0
20141105,18.39,18.39,17.08,17.87,62154,0
20141106,18.29,18.8,17.36,17.99,57059,0
20141107,18.03,18.53,17.865,18.04,31361,0
20141110,17.582,18.52,17.582,18.09,50000,0
20141111,18.15,18.53,18.04,18.25,37149,0
20141112,18.25,19.22,18.25,19.09,45653,0
20141113,18.96,19.01,18.268,18.39,26862,0
20141114,18.35,18.35,17.17,17.73,37639,0
20141117,17.64,17.925,17.26,17.66,14228,0
20141118,17.75,18.01,17.48,17.9,13955,0
20141119,17.95,18.09,17.52,17.54,21007,0
20141120,17.46,17.62,17.26,17.6,26951,0
20141121,17.84,18.18,17.1,17.37,57044,0
20141124,17.25,17.74,16.52,16.99,63848,0
20141125,17.19,17.61,16.78,17.52,35362,0
20141126,18.05,18.2,16.91,18.01,22919,0
20141128,18.1,18.1,17.26,17.3,7660,0
20141201,17.22,17.22,15.53,16.08,50971,0
20141202,16.26,16.63,16.12,16.53,17240,0
20141203,16.9,17.08,16.55,16.94,10103,0
20141204,17.28,18.52,17.25,18.01,32578,0
20141205,18.08,18.85,17.899,18.71,79516,0
20141208,18.79,19.13,18.32,18.97,29257,0
20141209,18.85,20,18.01,19.9,75479,0
20141210,19.98,20.95,19.03,19.07,36663,0
20141211,19.35,19.55,19.08,19.28,67425,0
20141212,19.13,20.46,19.13,19.99,47110,0
20141215,20.49,20.49,19,19.14,62069,0
20141216,19.14,19.79,19.03,19.41,41864,0
20141217,19.3,20.35,19.29,20.34,14825,0
20141218,20.46,20.69,19.75,19.85,66454,0
20141219,19.74,20.5,19.66,20.5,145455,0
20141222,20.43,21.29,20.43,21.1,24751,0
20141223,21.39,21.39,20.53,20.72,38400,0
20141224,21.02,21.02,19.88,19.97,27207,0
20141226,19.89,20.3,19.6,19.92,23251,0
20141229,20.16,20.84,19.115,19.48,67078,0
20141230,19.5,19.9,18.84,19.14,56505,0
20141231,18.88,18.88,18,18.55,74432,0
20150102,18.72,18.72,18.104,18.3,36555,0
20150105,18.57,21.375,18.31,20.73,95100,0
20150106,20.9,20.9,19.75,20.23,51523,0
20150107,20.73,20.73,19.6,19.74,39550,0
20150108,20.5,20.5,19.29,19.54,76122,0
20150109,20.07,20.07,19.05,19.28,57045,0
20150112,19.17,19.24,18.75,18.84,66437,0
20150113,20.55,23.22,19.65,23.04,260246,0
20150114,22.8,24.87,22.65,24.52,162240,0
20150115,24.77,24.78,23.14,23.45,77011,0
20150116,23.52,23.52,22.45,22.95,69374,0
20150120,22.69,22.81,21.23,21.315,175768,0
20150121,21.21,21.27,20.85,21.06,171450,0
20150122,21.17,21.64,21.09,21.22,150926,0
20150123,21.01,21.755,20.85,21.37,150328,0
20150126,21.22,21.87,20.86,20.96,104651,0
20150127,20.93,22.56,20.8,22,94151,0
20150128,21.86,22.19,21.5,21.71,579909,0
20150129,21.66,21.74,21,21.6,141079,0
20150130,21.41,21.6,20.89,21.07,34877,0
20150202,20.96,21.42,20.8,21.26,164321,0
20150203,21.5,21.55,21,21.24,529124,0
20150204,21.24,21.58,20.95,21.28,124757,0
20150205,21.25,21.65,21.1,21.27,107385,0
20150206,21.21,21.5,21.08,21.31,131961,0
20150209,21.42,21.42,20.96,21,400753,0
20150210,21.07,22.82,21,22.58,155600,0
20150211,22.34,22.81,21.73,22.49,45365,0
20150212,22.71,22.775,21.82,22.6,90289,0
20150213,22.766,23.36,22.281,23.06,73806,0
20150217,23.17,23.34,22.32,22.8,88825,0
20150218,22.86,23.05,22.5,23,70659,0
20150219,22.85,23.1,22.48,22.95,52280,0
20150220,23.09,23.09,22.25,22.7,31469,0
20150223,22.49,22.89,22.03,22.79,65109,0
20150224,22.84,24.5,22.6,23.38,236671,0
20150225,23.11,23.91,22.37,23.58,194173,0
20150226,23.09,23.69,22.77,23.55,408604,0
20150227,23.54,26.87,23.03,26.41,653583,0
20150302,26.57,28.8,25,28.39,240000,0
20150303,27.5,27.75,25.6,25.88,633600,0
20150304,25.89,26.25,25.01,25.06,239700,0
20150305,25.12,25.86,25.01,25.26,121000,0
20150306,25.09,25.3,24.45,24.47,89600,0
20150309,24.6,24.94,22.58,24.14,204900,0
20150310,23.86,24,22.99,23.2,146700,0
20150311,23.4,23.4,22.66,22.8,629500,0
20150312,22.8,24.04,22.6,23.86,458800,0
20150313,24.29,24.29,23.37,23.71,234100,0
20150316,23.51,24.36,22.82,23.34,231000,0
20150317,23.37,23.71,22.99,23.69,132100,0
20150318,23.46,23.71,23.11,23.39,61900,0
20150319,23.45,23.71,23.16,23.46,145900,0
20150320,23.46,24.32,23.44,24.15,330800,0
20150323,24.15,25.1,24.15,25.01,298000,0
20150324,25.06,25.21,24.45,25.15,221300,0
20150325,25.1,25.73,24.46,25.58,245900,0
20150326,25.58,25.58,24.86,25.29,246000,0
20150327,25.55,25.55,25,25.41,62200,0
20150330,25.1,25.74,25.1,25.7,145700,0
20150331,25.54,26.21,25.53,25.83,99400,0
20150401,25.4,26.31,25.4,26.23,116000,0
20150402,26.34,26.88,25.94,26.32,175000,0
20150406,26.07,26.55,25.75,25.77,144600,0
20150407,25.83,25.84,25.485,25.49,56669,0
20150408,25.47,25.9,25.3,25.31,136600,0
20150409,25.73,26.74,25.64,26.3,93935,0
20150410,26.33,26.79,26.33,26.57,61200,0
20150413,26.67,27.2,25.55,26.3,75400,0
20150414,26.42,26.71,26.01,26.3,49000,0
20150415,26.33,26.42,25.74,26.1,101540,0
20150416,25.98,26.47,25.47,26.17,153834,0
20150417,26.19,26.24,25.59,26,236000,0
20150420,26.02,26.25,25.88,26.03,152800,0
20150421,26.63,26.63,25.9,26.13,128814,0
20150422,26.1,26.33,26.03,26.1,81686,0
20150423,26.13,26.34,25.8,26.15,96000,0
20150424,26.05,26.28,25.67,25.91,154900,0
20150427,26.03,26.18,25.71,25.91,151900,0
20150428,25.95,26.27,25.75,26,99700,0
20150429,25.85,26.25,25.26,25.42,77800,0
20150430,25.29,25.41,24.77,25.09,125800,0
20150501,25.04,25.46,24.63,24.88,98600,0
20150504,25.22,27.12,24.99,26.49,291800,0
20150505,26.29,26.29,24.29,24.69,146800,0
20150506,24.5,25.99,24.03,25.85,219668,0
20150507,25.85,25.86,22.88,24.04,403110,0
20150508,23.41,25.52,23.41,24.92,175800,0
20150511,23.1,24.4,23,23.89,339400,0
20150512,23.95,23.95,23.37,23.89,440873,0
20150513,23.96,23.96,23.43,23.59,338800,0
20150514,23.6,24.27,23.31,24.24,351300,0
20150515,23.9,24.28,23.32,23.93,292412,0
20150518,23.72,24.9,23.72,24.87,264652,0
20150519,24.75,24.75,23.75,24.02,329500,0
20150520,24.13,24.86,23.96,24.53,301800,0
20150521,24.35,24.46,22.61,23.22,255400,0
20150522,23.39,24.47,23.03,23.93,204800,0
20150526,23.78,24.02,23.5,23.56,143588,0
20150527,23.64,23.72,23.28,23.51,158500,0
20150528,23.24,23.62,22.26,23.61,272824,0
20150529,23.8,23.81,23.16,23.74,412900,0
20150601,24.42,24.66,23.57,24.11,253000,0
20150602,23.85,25.34,23.4,25.16,542618,0
20150603,26.39,27.65,25.33,25.92,2753300,0
20150604,25.99,27.9,25.43,27.45,951300,0
20150605,27.41,27.98,27.04,27.45,291200,0
20150608,27.6,28.47,27.4,27.9,421400,0
20150609,27.69,27.88,26.85,27.47,260586,0
20150610,27.8,28.89,27.19,28.5,285379,0
20150611,28.47,29.49,28.336,29.19,313483,0
20150612,29.08,29.69,28.95,29.03,667800,0
20150615,28.86,29.98,28.86,29.61,266600,0
20150616,29.64,29.97,29.24,29.53,241300,0
20150617,29.78,29.86,29.36,29.52,231900,0
20150618,29.65,29.74,28.34,28.94,446900,0
20150619,29,29.23,28.56,29,379700,0
20150622,29.06,29.38,28.82,29.21,423700,0
20150623,29.08,29.75,28.85,28.92,193463,0
20150624,28.74,29.02,28.27,28.7,277200,0
20150625,28.86,29.2,28.39,28.99,163400,0
20150626,28.93,29.74,27.49,28.65,1697500,0
20150629,28.35,28.74,27.95,28.22,170400,0
20150630,28.83,28.83,27.55,28.63,132552,0
20150701,28.68,28.95,28.03,28.39,165600,0
20150702,28.36,29.22,28.36,28.9,374800,0
20150706,28.6,28.76,27.68,28.71,374000,0
20150707,28.62,29.06,28.17,28.95,395000,0
20150708,28.77,29.2,28.09,28.27,288100,0
20150709,28.44,28.92,28.16,28.41,390800,0
20150710,28.72,29.65,28.37,29.48,246900,0
20150713,29.78,31.02,29.63,30.88,488200,0
20150714,30.75,30.845,28.86,29.89,360744,0
20150715,29.95,30.335,29.32,30.03,287865,0
20150716,30.15,31.31,30.07,31.2,436600,0
20150717,31.26,31.49,30.31,31.4,374000,0
20150720,31.14,31.5,30.21,30.68,299400,0
20150721,30.72,31.4,30.21,31.3,157500,0
20150722,31.01,32.5,31,32.23,360300,0
20150723,32.32,32.85,32.27,32.54,330600,0
20150724,32.48,32.85,32.11,32.44,260500,0
20150727,32.39,32.51,31.25,31.53,479600,0
20150728,31.72,31.88,30.33,30.72,440300,0
20150729,30.77,30.92,29.87,29.93,265100,0
20150730,29.94,30.41,29.35,29.52,284800,0
20150731,29.64,30.13,29.12,29.67,379900,0
20150803,29.55,30.43,29.5,29.97,173050,0
20150804,30.1,30.32,29.46,30.14,135500,0
20150805,30.42,30.79,29.77,30.21,263700,0
20150806,29.91,30.801,26.21,28,759118,0
20150807,27.98,28.4,26.69,27.75,412900,0
20150810,27.75,27.89,27.33,27.63,183500,0
20150811,27.54,27.92,27.08,27.65,206720,0
20150812,27.61,28.75,27,28.22,442000,0
20150813,28.14,28.75,27.9,28.19,126200,0
20150814,28.23,30.47,27.8,28.56,136200,0
20150817,28.54,29,28.12,28.72,167200,0
20150818,28.75,30.6,28.75,29.92,242800,0
20150819,29.81,30.01,29.14,29.2,222800,0
20150820,29,29.28,27.67,28.11,267600,0
