Date,Open,High,Low,Close,Volume,OpenInt
20130724,0.66,0.7,0.6,0.6,32400,0
20130725,0.6,0.65,0.55,0.6299,14199,0
20130726,0.63,0.7,0.6,0.6999,16680,0
20130729,0.699,0.699,0.615,0.615,3750,0
20130730,0.65,0.85,0.6499,0.85,7300,0
20130731,0.7,0.8,0.7,0.75,9850,0
20130801,0.7,0.85,0.7,0.85,5000,0
20130802,0.72,0.77,0.72,0.77,3460,0
20130805,0.8001,1.1,0.77,0.9499,31000,0
20130806,0.85,0.8501,0.85,0.8501,7300,0
20130807,0.85,0.87,0.66,0.8,16203,0
20130808,0.8,0.81,0.8,0.81,8000,0
20130809,0.8,0.8,0.8,0.8,10400,0
20130812,0.851,0.851,0.76,0.76,3345,0
20130813,0.899,0.94,0.899,0.94,1000,0
20130814,1,2.12,0.949,1.9999,57268,0
20130815,2.02,2.5,1.8001,2,49507,0
20130816,2.1,2.1,1.59,1.75,8449,0
20130819,2.05,2.13,1.75,1.75,17950,0
20130820,2.25,2.25,1.75,1.75,1100,0
20130821,1.61,1.6501,1.55,1.6501,3025,0
20130822,1.651,1.651,1.651,1.651,100,0
20130823,1.75,1.75,1.65,1.65,6200,0
20130826,1.75,1.75,1.62,1.62,1420,0
20130827,1.63,1.75,1.52,1.75,12800,0
20130828,1.75,1.88,1.75,1.8799,2300,0
20130829,1.88,1.88,1.14,1.3,11446,0
20130830,1.58,1.58,1.5799,1.5799,540,0
20130903,1.57,1.57,1.2,1.34,11320,0
20130904,1.35,1.35,1.35,1.35,300,0
20130905,1.55,1.55,1.49,1.5,1150,0
20130906,1.45,1.58,1.4499,1.52,14482,0
20130909,1.53,1.6,1.5,1.6,8240,0
20130910,1.62,1.83,1.62,1.65,16837,0
20130911,1.8199,1.8199,1.35,1.73,2700,0
20130913,1.71,1.73,1.71,1.73,2200,0
20130916,1.7,1.7,1.37,1.37,650,0
20130917,1.42,1.47,1.42,1.47,750,0
20130918,1.8,1.8,1.8,1.8,900,0
20130920,1.4,1.42,1.21,1.4,12698,0
20130923,1.4,1.4,1.34,1.34,5300,0
20130924,1.33,1.37,1.33,1.37,400,0
20130925,1.4,1.5,1.4,1.42,24500,0
20130926,1.4,1.43,1.3,1.4,3100,0
20130927,1.3,1.4,1.3,1.35,4080,0
20130930,1.35,1.35,1.2,1.28,8000,0
20131001,1.3,1.3,1.3,1.3,1900,0
20131003,1.2,1.26,1.2,1.26,1000,0
20131004,1.28,1.28,1.28,1.28,100,0
20131007,1.2,1.2,1,1,1900,0
20131008,1,1,0.65,0.8,17581,0
20131009,0.88,0.98,0.84,0.88,13931,0
20131010,0.98,1,0.9,0.9,3700,0
20131016,0.89,0.89,0.89,0.89,700,0
20131017,0.9,0.9,0.9,0.9,500,0
20131018,0.85,0.85,0.6,0.6,2200,0
20131021,0.7,0.75,0.57,0.6,27939,0
20131022,0.65,0.7,0.55,0.6,4700,0
20131023,0.6,0.6,0.6,0.6,4100,0
20131024,0.6,0.6,0.6,0.6,200,0
20131029,0.6,0.6,0.6,0.6,9000,0
20131030,0.8,0.8,0.6,0.6,8000,0
20131031,0.71,0.71,0.5,0.59,8915,0
20131101,0.51,0.6,0.43,0.5,16800,0
20131105,0.51,0.51,0.51,0.51,1400,0
20131106,0.55,0.55,0.54,0.55,3100,0
20131108,0.6,0.6,0.6,0.6,100,0
20131113,0.5,0.5,0.5,0.5,200,0
20131114,0.55,0.55,0.55,0.55,300,0
20131115,0.5,0.5,0.49,0.5,19000,0
20131118,0.25,0.5,0.25,0.5,6200,0
20131119,0.48,0.48,0.46,0.46,300,0
20131120,0.49,0.49,0.49,0.49,500,0
20131122,0.6,0.6,0.45,0.45,1700,0
20131126,0.46,0.5,0.46,0.5,400,0
20131127,0.65,0.75,0.65,0.69,1400,0
20131202,0.5,0.75,0.4,0.45,14500,0
20131204,0.62,0.62,0.45,0.45,1100,0
20131206,0.5,0.5,0.5,0.5,1000,0
20131209,0.5,0.5,0.5,0.5,650,0
20131210,0.5,0.5,0.42,0.42,1501,0
20131211,0.45,0.45,0.45,0.45,400,0
20131213,0.471,0.478,0.471,0.478,900,0
20131216,0.58,0.68,0.5,0.5,13920,0
20131217,0.5,0.62,0.48,0.48,13200,0
20131220,0.6,0.6,0.6,0.6,100,0
20140106,0.5,0.5,0.48,0.48,1000,0
20140108,0.48,0.48,0.45,0.45,3000,0
20140109,0.423,0.423,0.4,0.4,1100,0
20140110,0.35,0.36,0.3,0.33,10200,0
20140113,0.35,0.4,0.35,0.36,7400,0
20140114,0.35,0.4,0.35,0.35,1500,0
20140115,0.35,0.36,0.35,0.36,1600,0
20140116,0.35,0.35,0.35,0.35,3800,0
20140117,0.446,0.446,0.43,0.43,800,0
20140123,0.47,0.5,0.47,0.47,11200,0
20140124,0.4,0.44,0.4,0.4,3600,0
20140127,0.38,0.38,0.38,0.38,2000,0
20140128,0.38,0.38,0.38,0.38,200,0
20140129,0.4,0.4,0.38,0.38,1200,0
20140130,0.4,0.43,0.4,0.43,8700,0
20140203,0.45,0.45,0.45,0.45,370,0
20140204,0.2,0.49,0.2,0.35,15545,0
20140205,0.33,0.33,0.3,0.3,1100,0
20140206,0.47,0.47,0.33,0.45,1305,0
20140207,0.45,0.45,0.45,0.45,1000,0
20140210,0.45,0.45,0.3,0.3,900,0
20140212,0.4,0.43,0.4,0.43,925,0
20140213,0.47,0.6299,0.43,0.4899,12172,0
20140214,0.48,0.48,0.48,0.48,500,0
20140218,0.34,0.34,0.34,0.34,350,0
20140221,0.5999,0.5999,0.32,0.34,3825,0
20140225,0.39,0.39,0.39,0.39,500,0
20140226,0.4,0.48,0.37,0.48,12757,0
20140228,0.48,0.48,0.32,0.361,3866,0
20140303,0.4401,0.581,0.4401,0.53,55344,0
20140304,0.6,0.75,0.6,0.62,59741,0
20140305,0.72,2.76,0.7199,2.75,245879,0
20140306,2.25,2.4,1.43,1.7,150864,0
20140307,1.4,1.68,0.82,1.21,96740,0
20140310,1.25,1.41,1.21,1.4,68997,0
20140311,2,2,1.01,1.1,40865,0
20140312,1.2,1.2,0.63,0.8,129985,0
20140313,1.15,1.15,0.85,1.06,56106,0
20140314,1.1,1.14,0.8415,1.14,83767,0
