Date,Open,High,Low,Close,Volume,OpenInt
19910425,1.2913,1.3495,1.2913,1.3398,143375,0
19910426,1.3398,1.3884,1.3109,1.3788,311471,0
19910429,1.3788,1.4466,1.3688,1.3688,253789,0
19910430,1.3688,1.3688,1.2913,1.3495,220008,0
19910501,1.3495,1.3495,1.2913,1.3109,9888,0
19910502,1.3109,1.3303,1.3109,1.3303,215886,0
19910503,1.3303,1.3495,1.3109,1.3109,161503,0
19910506,1.3109,1.3495,1.3109,1.3204,135135,0
19910507,1.3204,1.3495,1.2913,1.2913,79104,0
19910508,1.2913,1.3495,1.2913,1.3495,11537,0
19910509,1.3495,1.3495,1.2913,1.2913,89814,0
19910510,1.2913,1.3495,1.2913,1.2913,20601,0
19910513,1.2913,1.3303,1.2913,1.3303,14008,0
19910514,1.2913,1.2913,1.2524,1.2524,44494,0
19910515,1.2524,1.3109,1.2524,1.2524,109592,0
19910516,1.2524,1.3109,1.2524,1.2623,84048,0
19910517,1.2623,1.2913,1.2524,1.2814,107942,0
19910520,1.2814,1.3109,1.2718,1.3109,31312,0
19910521,1.3109,1.3109,1.2524,1.2524,43670,0
19910522,1.2524,1.2913,1.2524,1.2524,22249,0
19910523,1.2524,1.3109,1.2524,1.2718,26368,0
19910524,1.2718,1.3109,1.2524,1.3109,160681,0
19910528,1.3109,1.3495,1.2913,1.3204,194462,0
19910529,1.3204,1.4466,1.3109,1.4079,457318,0
19910530,1.4079,1.4466,1.3884,1.4466,39552,0
19910531,1.427,1.427,1.3884,1.3884,27192,0
19910603,1.3884,1.4079,1.3495,1.3591,260383,0
19910604,1.3591,1.3884,1.3495,1.3591,23894,0
19910605,1.3591,1.3884,1.3495,1.3884,7416,0
19910606,1.3884,1.3884,1.3495,1.3688,11537,0
19910607,1.3688,1.3884,1.3495,1.3591,34609,0
19910610,1.3591,1.3884,1.3495,1.3495,13184,0
19910611,1.3495,1.3884,1.3495,1.3495,39552,0
19910612,1.3495,1.3884,1.3495,1.3591,246374,0
19910613,1.3591,1.3591,1.3495,1.3495,20601,0
19910614,1.3495,1.3884,1.3495,1.3884,51088,0
19910617,1.3884,1.3884,1.3884,1.3884,821,0
19910619,1.3788,1.3788,1.3303,1.3495,84869,0
19910620,1.3495,1.3688,1.3303,1.3303,32958,0
19910621,1.3303,1.3303,1.2913,1.2913,93111,0
19910624,1.2913,1.3109,1.2135,1.2623,106295,0
19910625,1.2718,1.2718,1.2718,1.2718,9063,0
19910626,1.2718,1.2913,1.2331,1.2524,59331,0
19910627,1.2524,1.2913,1.2135,1.2331,22249,0
19910628,1.2331,1.2913,1.2135,1.2135,66742,0
