Date,Open,High,Low,Close,Volume,OpenInt
20150626,6.25,6.38,5.65,6.17,745900,0
20150629,6.15,6.8,5.42,5.93,587800,0
20150630,6.14,6.26,6,6,98946,0
20150701,6.07,6.3,6,6.18,53600,0
20150702,6.32,6.54,6.1,6.25,248500,0
20150706,6.24,6.24,6,6.14,48300,0
20150707,6.09,6.24,5.07,5.39,160200,0
20150708,5.1,5.29,3.83,3.98,232100,0
20150709,4.34,4.68,4.15,4.67,124900,0
20150710,4.8,5.22,4.8,5.09,72800,0
20150713,5.18,5.57,5.18,5.44,49100,0
20150714,5.55,5.72,5.44,5.5,35549,0
20150715,5.5,5.51,5.3,5.4,39393,0
20150716,5.43,5.55,5.4,5.55,4600,0
20150717,5.43,5.45,4.84,5.44,63200,0
20150720,5.75,6,5.29,5.56,117800,0
20150721,5.4,5.43,4.56,4.69,28500,0
20150722,4.4,4.84,4.04,4.11,21400,0
20150723,4.44,4.44,3.75,4,37600,0
20150724,4,4.36,4,4.02,20900,0
20150727,4.03,4.2,4.03,4.03,19300,0
20150728,4.08,4.25,3.57,3.96,73000,0
20150729,3.98,4.2,3.98,4.18,34700,0
20150730,4.19,4.71,4.19,4.27,81300,0
20150731,4.4,4.5,4.15,4.15,24600,0
20150803,4.16,4.54,4.16,4.35,73440,0
20150804,4.56,4.6,4.4,4.59,48300,0
20150805,4.69,5.15,4.69,5.08,16700,0
20150806,5.1,5.55,5.1,5.25,43034,0
20150807,5.4,5.4,4.63,5.2,16100,0
20150810,5.19,5.4,4.6,5.39,17000,0
20150811,5.14,5.48,5.12,5.312,27183,0
20150812,5.11,5.35,4.78,4.86,85200,0
20150813,4.73,4.9,4.51,4.68,20800,0
20150814,4.39,4.79,4.19,4.22,10600,0
20150817,4.29,5.2,4.29,4.97,32800,0
20150818,4.89,6.05,4.89,6.05,58500,0
20150819,5.92,5.95,5.21,5.21,21800,0
20150820,5.95,5.95,5.25,5.89,18200,0
20150821,5.17,5.66,5.11,5.11,10200,0
20150824,4.8,5.21,4.8,4.8,3000,0
20150825,5.15,5.6,5.15,5.48,7200,0
20150826,5.5,5.8,4.94,5.79,14400,0
20150827,5.2,5.7,5.2,5.42,3100,0
20150828,5.23,5.51,5.07,5.31,4000,0
20150831,5.5,5.5,5.5,5.5,200,0
20150901,4.57,4.57,4.57,4.57,100,0
20150902,5,5,5,5,100,0
20150903,5.16,5.16,5.16,5.16,200,0
20150904,4.36,5.25,4.36,5.22,4400,0
20150908,5.22,5.22,4.91,5.1,6000,0
20150909,4.9,4.9,4.9,4.9,1000,0
20150910,5.1,5.52,5.1,5.3,4806,0
20150914,5.55,5.55,4.81,4.81,3100,0
20150916,4.81,4.81,4.43,4.43,4900,0
20150917,4.44,4.9,4.25,4.25,5800,0
20150918,4.08,4.08,4.08,4.08,200,0
20150921,4.58,4.58,3.8,3.8,3400,0
20150922,4.52,4.52,4.22,4.5,2900,0
20150923,4.2,4.37,4.03,4.37,1100,0
20150924,4.4999,4.4999,4,4,36084,0
20150925,4.23,4.38,3.25,3.41,65500,0
20150928,3.41,3.41,2.64,2.8,36990,0
20150929,2.8,2.8,2.41,2.45,19600,0
20150930,2.42,2.5,2.15,2.15,22700,0
20151001,2.1,2.39,2.1,2.22,9700,0
20151002,2.23,2.37,2.15,2.35,16000,0
20151005,2.91,3.15,2.22,2.39,46982,0
20151006,2.32,2.32,2,2.19,22100,0
20151007,2.11,2.3,2.1,2.16,14300,0
20151008,2.18,2.8,2.18,2.66,48300,0
20151009,2.79,2.99,2.61,2.61,29900,0
20151012,2.98,2.98,2.59,2.66,6656,0
20151013,2.96,3.49,2.65,2.72,27200,0
20151014,2.67,2.99,2.44,2.82,17100,0
20151015,2.9,2.97,2.5,2.71,29900,0
20151016,2.45,2.73,2.45,2.6,17600,0
20151019,2.4,2.9,2.4,2.57,22400,0
20151020,2.4,2.9,2.4,2.42,18785,0
20151021,2.42,2.47,2.25,2.29,19800,0
20151022,2.53,2.69,2.3,2.55,120100,0
