Date,Open,High,Low,Close,Volume,OpenInt
20050225,24.751,26.139,24.751,25.326,554435,0
20050228,25.277,25.445,24.123,24.358,523035,0
20050301,24.242,24.711,23.477,23.625,401161,0
20050302,23.87,23.87,22.646,23.146,417797,0
20050303,23.165,23.937,22.988,23.136,275170,0
20050304,23.175,23.897,23.126,23.487,589064,0
20050307,24.417,24.457,23.457,23.743,634197,0
20050308,23.87,23.907,22.52,22.549,430894,0
20050309,22.636,22.782,21.306,21.374,500700,0
20050310,21.336,21.598,20.364,20.61,663331,0
20050311,21.227,21.99,20.689,21.011,601153,0
20050314,20.933,21.394,19.484,19.965,780191,0
20050315,19.876,20.798,19.779,20.384,606590,0
20050316,21.257,21.366,19.681,21.237,1014457,0
20050317,21.217,21.539,20.778,21.1,385930,0
20050318,21.482,21.618,20.59,20.885,265520,0
20050321,20.894,21.217,19.769,20.21,460307,0
20050322,20.394,20.876,19.945,20.052,395655,0
20050323,19.916,20.21,18.83,18.859,393832,0
20050324,18.869,19.425,18.674,18.771,267681,0
20050328,18.723,18.859,17.714,18.634,556500,0
20050329,18.436,18.82,17.734,17.831,634237,0
20050330,17.655,18.193,16.931,17.204,770573,0
20050331,17.47,17.781,16.911,17.116,476825,0
20050401,17.223,17.714,17.145,17.184,374002,0
20050404,17.096,17.106,16.52,16.726,309034,0
20050405,17.233,17.243,16.667,17.048,376361,0
20050406,16.657,17.067,16.529,16.872,265594,0
20050407,17.009,17.262,16.803,17.223,238110,0
20050408,17.164,17.213,16.784,16.999,340623,0
20050411,16.999,16.999,16.147,16.245,284818,0
20050412,16.284,16.472,15.365,15.844,678835,0
20050413,15.756,15.893,15.228,15.483,314063,0
20050414,15.473,15.542,14.602,14.699,531548,0
20050415,14.602,15.159,14.396,14.884,565747,0
20050418,14.533,15.296,14.396,14.866,347004,0
20050419,14.738,15.726,14.651,15.562,437267,0
20050420,15.689,15.883,15.365,15.424,256850,0
20050421,15.532,15.951,14.738,15.316,422625,0
20050422,15.218,15.453,14.484,15.198,273063,0
20050425,15.218,15.698,15.042,15.698,300206,0
20050426,15.679,16.079,15.679,16,608605,0
20050427,15.689,15.854,15.169,15.189,608695,0
20050428,15.111,15.228,14.084,14.084,723582,0
20050429,14.103,14.356,13.887,14.006,365724,0
20050502,13.887,14.045,13.465,13.779,306250,0
20050503,13.71,14.035,13.543,13.651,239968,0
20050504,13.603,15.883,13.603,15.169,588888,0
20050505,15.169,15.463,14.514,14.778,330629,0
20050506,14.836,15.365,14.836,15.326,186417,0
20050509,15.091,15.414,14.846,15.032,121034,0
20050510,14.416,14.67,14.026,14.093,367884,0
20050511,13.967,14.356,13.739,13.957,350536,0
20050512,14.123,14.123,13.27,13.329,414486,0
20050513,13.407,13.543,12.782,13.007,329550,0
20050516,13.057,13.164,12.703,12.752,242176,0
20050517,12.683,13.309,12.683,13.057,203524,0
20050518,13.241,17.321,13.172,16.264,3165627,0
20050519,16.264,16.482,15.355,15.649,865312,0
20050520,16.157,16.226,15.198,15.296,423744,0
20050523,15.316,15.716,15.081,15.483,370043,0
20050524,15.316,15.629,14.943,15.14,232853,0
20050525,15.062,15.12,14.552,14.768,320418,0
20050526,14.778,15.081,14.572,14.836,181272,0
20050527,15.443,16.274,15.13,15.208,428151,0
20050531,15.002,15.375,14.856,15.032,162670,0
20050601,15.091,15.286,14.728,14.894,135377,0
20050602,14.933,15.552,14.728,15.208,175349,0
20050603,15.228,15.659,14.602,14.689,224515,0
20050606,14.748,14.972,14.337,14.445,213471,0
20050607,14.356,14.748,14.152,14.386,158056,0
20050608,14.406,14.679,14.161,14.219,121854,0
20050609,14.161,14.386,14.113,14.152,91099,0
20050610,14.142,14.552,14.113,14.524,205810,0
20050613,14.464,14.718,14.267,14.524,82421,0
20050614,14.748,14.836,14.366,14.778,95554,0
20050615,14.884,15.443,14.856,15.316,255092,0
20050616,15.316,15.794,15.189,15.562,285745,0
20050617,15.794,15.942,15.159,15.296,147880,0
20050620,15.159,15.159,14.612,14.728,460718,0
20050621,14.651,14.699,14.356,14.406,226075,0
20050622,14.426,14.542,14.123,14.17,229962,0
20050623,13.887,14.152,13.719,13.917,228765,0
20050624,13.818,13.927,13.543,13.563,205340,0
20050627,13.475,13.719,13.077,13.145,279122,0
20050628,13.241,13.749,13.241,13.543,296351,0
20050629,13.593,13.642,13.067,13.251,148524,0
20050630,13.221,13.261,12.733,12.742,318103,0
20050701,12.782,12.958,12.693,12.801,122985,0
20050705,12.752,12.849,12.517,12.643,170588,0
20050706,12.634,13.172,12.634,12.879,195937,0
20050707,12.879,13.251,12.547,13.172,286604,0
20050708,13.126,13.818,13.106,13.407,157498,0
20050711,13.495,13.927,13.407,13.729,275921,0
20050712,13.719,14.161,13.593,13.977,165061,0
20050713,14.026,14.093,13.642,13.927,84763,0
20050714,13.927,14.123,13.116,13.465,153968,0
20050715,13.436,13.739,13.221,13.3,111522,0
20050718,13.241,13.543,13.164,13.446,81776,0
20050719,13.426,14.133,13.416,13.937,204265,0
20050720,13.937,14.602,13.937,14.426,299912,0
20050721,14.504,14.651,14.055,14.396,252241,0
20050722,14.445,15.218,14.445,14.866,474294,0
20050725,15.169,15.169,14.709,14.904,211385,0
20050726,14.904,15.277,14.748,15.081,305893,0
20050727,15.12,15.179,14.846,15.091,144740,0
20050728,15.208,15.552,15.091,15.355,486243,0
20050729,15.316,15.679,15.032,15.316,349159,0
20050801,15.345,15.562,15.042,15.218,184435,0
20050802,15.228,15.698,15.228,15.562,270351,0
20050803,15.62,15.649,14.788,15.286,220061,0
20050804,15.159,15.316,14.768,14.894,123923,0
20050805,14.778,15.218,14.778,14.953,211140,0
20050808,14.914,15.493,14.778,15.062,153705,0
20050809,15.247,15.424,14.982,15.15,70909,0
20050810,15.12,15.443,14.953,15.169,176388,0
20050811,15.13,15.473,15.13,15.414,144062,0
20050812,15.542,15.629,15.267,15.552,229594,0
20050815,15.513,15.542,15.052,15.267,96890,0
20050816,15.208,15.375,15.022,15.277,165673,0
20050817,15.277,15.552,14.904,15.503,165425,0
20050818,15.503,15.562,14.552,15.052,177310,0
20050819,15.032,15.189,14.923,14.992,62572,0
20050822,15.228,15.453,14.904,15.384,72286,0
20050823,15.355,15.542,14.768,15.198,106701,0
20050824,15.218,15.453,15.032,15.384,172173,0
20050825,15.414,15.854,15.267,15.746,230422,0
20050826,15.834,15.834,15.306,15.365,93549,0
20050829,15.296,15.794,15.228,15.716,161059,0
20050830,15.611,15.844,15.473,15.736,128680,0
20050831,15.746,16.04,15.698,15.893,209906,0
20050901,15.794,16.657,15.794,16.579,481762,0
20050902,16.706,16.941,16.422,16.736,195221,0
20050906,16.989,17.038,16.403,16.589,101083,0
20050907,16.921,17.223,16.803,17.058,179565,0
