Date,Open,High,Low,Close,Volume,OpenInt
20050225,13.05,13.95,12.85,13.9,184031,0
20050228,14.1,14.1,13.15,13.45,114881,0
20050301,13.7,13.75,13.15,13.4,89198,0
20050302,13.45,13.5,12.95,13.3,68234,0
20050303,13.5,13.8,13.05,13.75,135056,0
20050304,13.85,13.9,13.24,13.8,57097,0
20050307,13.8,13.9,13.4,13.4,85980,0
20050308,13.35,13.5,13.05,13.2,91109,0
20050309,13.35,13.35,12.78,13,57770,0
20050310,12.95,13,12.2,12.55,127365,0
20050311,12.5,12.75,12.25,12.5,44302,0
20050314,12.3,13,12.2,13,73617,0
20050315,13.1,13.35,13,13.3,113848,0
20050316,13.3,13.4,12.9,13.3,89868,0
20050317,12.8,13.5,12.8,13.5,64233,0
20050318,13.2,13.35,12.8,13.25,120654,0
20050321,12.95,13.35,12.75,13.1,58087,0
20050322,13.3,13.4,12.7,13.05,38794,0
20050323,12.75,13.15,12.7,13.15,40343,0
20050324,12.9,13.7,12.75,13.5,54565,0
20050328,13.5,13.9,13.25,13.5,105746,0
20050329,13.45,13.5,12.95,13.2,45914,0
20050330,13.05,13.3,12.8,13.3,40791,0
20050331,13.25,13.35,12.6,12.75,232382,0
20050401,13,13,11.25,11.35,256441,0
20050404,11.35,11.7,10.65,11.25,184375,0
20050405,11.45,11.65,10.8,10.9,68641,0
20050406,11,11.05,10.75,10.8,47340,0
20050407,10.8,10.8,10.15,10.3,125208,0
20050408,10.25,10.65,10.2,10.3,75172,0
20050411,10.45,10.85,10.25,10.65,126036,0
20050412,10.65,10.75,10.2,10.65,41035,0
20050413,10.65,10.65,10.35,10.4,42716,0
20050414,10.4,10.6,10.2,10.25,43249,0
20050415,10.3,10.5,9.45,9.7,173426,0
20050418,9.55,9.85,9,9.5,84454,0
20050419,9.45,9.95,9.45,9.65,115143,0
20050420,9.9,10.2,9.7,9.8,114545,0
20050421,9.8,10.25,9.75,10.1,99968,0
20050422,10.15,10.25,9.35,9.35,110267,0
20050425,9.5,9.8,9.25,9.25,85763,0
20050426,9.3,10.36,9.2,10.05,168102,0
20050427,10.05,11.5,10,11.38,158524,0
20050428,11.3,11.95,10.6,10.65,169425,0
20050429,11.15,11.7,10.5,10.5,102524,0
20050502,10.95,11.05,10.65,10.9,113494,0
20050503,11,11.55,10.85,11.25,120041,0
20050504,11.3,11.8,11.2,11.7,143810,0
20050505,11.8,12.05,11.7,11.9,93620,0
20050506,12.2,12.4,11.7,11.8,103759,0
20050509,11.95,12.4,11.85,12.35,139538,0
20050510,12.7,12.75,12.2,12.3,106060,0
20050511,13,13.05,12.55,12.6,114555,0
20050512,12.85,12.9,12.3,12.4,71033,0
20050513,12.7,12.7,12.1,12.45,67050,0
20050516,12.4,12.45,12.25,12.35,43862,0
20050517,12.5,13.1,12.25,12.85,76150,0
20050518,13.2,13.25,12.45,13.05,118986,0
20050519,13.2,13.35,13,13.05,107218,0
20050520,13.05,13.7,12.8,12.9,25540,0
20050523,13.25,13.7,13.1,13.35,238758,0
20050524,13.4,13.9,13.4,13.75,182486,0
20050525,13.9,14,13.7,13.7,223403,0
20050526,14,14,13.7,13.8,106951,0
20050527,13.9,13.9,13.5,13.6,80972,0
20050531,13.75,13.75,13.5,13.55,69165,0
20050601,13.5,13.6,12.5,12.8,149390,0
20050602,12.9,13,12.25,12.3,151378,0
20050603,12.25,12.5,12.15,12.2,104296,0
20050606,12.15,12.45,12.1,12.35,56773,0
20050607,12.35,12.85,12.1,12.15,76515,0
20050608,12.85,13.4,12.65,12.65,144250,0
20050609,12.5,13.25,12.5,13,99694,0
20050610,12.85,13,12.75,12.85,50860,0
20050613,13,13.2,12.8,13.15,92197,0
20050614,13.25,13.4,13.25,13.35,108217,0
20050615,13.35,13.5,12.85,13.4,75350,0
20050616,14,15.4,13.8,15.05,576207,0
20050617,14.9,15.9,14.9,15.75,326531,0
20050620,15.8,16,15.2,15.25,169334,0
20050621,15.35,15.5,14.55,15.1,164775,0
20050622,15.25,15.5,14.8,14.9,63487,0
20050623,14.8,15.05,14.65,14.75,71762,0
20050624,14.75,15.7,14.75,15.7,192598,0
20050627,15.7,16,14.6,15.1,131952,0
20050628,15.1,16,15.1,15.9,92089,0
20050629,15.8,16.75,15.75,16.5,304341,0
20050630,16.7,17.25,16.55,16.75,167269,0
20050701,16.9,16.9,16,16.1,100811,0
20050705,16.25,18.55,16.2,18.3,363102,0
20050706,18.6,19.05,16.25,16.3,452390,0
20050707,16.2,18.1,16,17.85,215153,0
20050708,14.5,15.5,14.15,14.35,2116431,0
20050711,14.9,15.7,14.6,15.35,1095005,0
20050712,15.45,15.55,14.75,14.95,353727,0
20050713,15,15,14.15,14.4,335941,0
20050714,14.65,14.65,13.8,14.1,295421,0
20050715,14,14.2,13.75,13.85,256573,0
20050718,14.25,14.9,13.95,14.85,447483,0
20050719,15.45,15.75,14.9,15.65,577341,0
20050720,15.75,16,15.55,16,293130,0
20050721,16.3,16.6,16.05,16.4,455158,0
20050722,16.5,16.65,15.95,16.2,188752,0
20050725,16.45,16.55,16.2,16.3,225748,0
20050726,16.35,16.45,15.6,15.95,196711,0
20050727,15.95,16.25,15.2,15.5,215109,0
20050728,15.5,15.75,15.27,15.7,151063,0
20050729,15.95,15.95,15.2,15.55,102990,0
20050801,15.5,15.75,15.2,15.45,162433,0
20050802,15.5,15.55,14.55,14.8,278734,0
20050803,14.55,15.05,14.5,14.7,168821,0
20050804,14.25,14.9,14.25,14.45,169433,0
20050805,14.5,14.65,13.9,14.05,188979,0
20050808,13.85,14.25,13.85,13.95,181633,0
20050809,13.85,14.85,13.85,14.65,246750,0
20050810,14.95,15.1,14.15,14.35,173922,0
20050811,14.65,14.65,14.2,14.5,80364,0
20050812,14.5,14.95,14.2,14.25,91054,0
20050815,14.2,14.5,14.05,14.5,83948,0
20050816,14.5,14.5,14,14,66477,0
20050817,14,14.25,13.9,14,80133,0
20050818,13.9,14.3,13.9,14.1,56288,0
20050819,14.05,14.25,13.95,13.95,54217,0
20050822,14,14.3,13.9,14.25,90141,0
20050823,14.3,14.6,14.15,14.55,228918,0
20050824,14.55,14.65,14,14.05,156491,0
20050825,14,14.35,13.75,13.8,156857,0
20050826,13.75,14,13.5,13.7,106950,0
20050829,13.3,14.05,13,13.6,152704,0
20050830,13.45,13.45,12.85,13.1,174652,0
20050831,12.9,13.25,12.75,13.25,82822,0
20050901,13.2,13.55,13.05,13.25,94759,0
20050902,13.3,14.2,13.25,14.15,322984,0
20050906,14.25,14.5,13.9,14.25,217940,0
20050907,14.35,14.65,14.2,14.5,247639,0
20050908,14.5,14.55,13.7,14,207596,0
20050909,13.85,14.25,13.6,14,154808,0
20050912,14,14,13.25,13.65,248711,0
20050913,13.55,13.7,13.3,13.5,103758,0
20050914,13.6,13.6,13.35,13.5,164797,0
20050915,13.5,13.6,13.1,13.25,241156,0
20050916,13.45,13.45,12.6,12.95,393976,0
20050919,13,13,11.8,12.05,326570,0
20050920,12.2,12.35,12,12.2,202928,0
20050921,12.25,12.3,11.9,12.1,161212,0
20050922,11.95,12.45,11.75,12.25,177140,0
20050923,12.25,12.7,12.05,12.65,86592,0
20050926,12.8,12.95,12.5,12.85,127547,0
20050927,12.75,12.9,12.35,12.75,103709,0
20050928,12.7,12.75,12.25,12.4,135003,0
20050929,12.35,12.6,12.15,12.4,353602,0
20050930,13.1,13.1,12.8,13.05,300299,0
20051003,13.15,13.3,13.05,13.1,157063,0
20051004,13.05,13.35,12.7,13.1,242159,0
20051005,13,13.15,12.55,12.6,149506,0
20051006,12.5,12.75,12.45,12.55,110181,0
20051007,12.5,12.7,12,12.7,513852,0
20051010,12.55,12.65,12.25,12.6,100093,0
20051011,12.4,12.55,12.05,12.2,149414,0
20051012,12.1,12.15,11.7,12,224528,0
20051013,11.85,12.1,10.95,11.7,484406,0
20051014,11.7,11.75,11.45,11.65,118946,0
20051017,11.55,12.05,11.45,12.05,121684,0
20051018,12.1,12.1,11.7,11.9,116293,0
20051019,11.75,12.25,11.55,12.25,193365,0
20051020,12.15,12.25,11.7,12,191661,0
20051021,12,12.3,11.75,11.95,129280,0
20051024,11.85,12,11.7,12,91141,0
20051025,11.75,12.15,11.68,12.1,91934,0
20051026,12.05,12.35,11.75,12.35,121892,0
20051027,12.4,12.4,11.4,11.5,184302,0
20051028,11.75,11.75,10.85,11.3,305698,0
20051031,11.25,11.45,11.05,11.3,133656,0
20051101,11.15,11.3,10.6,10.85,190465,0
20051102,10.7,10.95,10.55,10.75,269443,0
20051103,10.75,12.25,10.7,12.25,330808,0
20051104,12,12.25,11.65,12.05,102136,0
20051107,12.6,12.8,12.1,12.1,302556,0
20051108,12.2,12.35,11.9,12,138630,0
20051109,12.05,12.2,11.9,12.05,133005,0
20051110,12.1,12.1,11.75,11.9,94973,0
20051111,11.9,12.05,11.8,11.9,139069,0
20051114,11.9,12.5,11.75,11.95,188007,0
20051115,11.9,11.95,11.05,11.05,382107,0
20051116,11.25,11.55,11.1,11.5,256275,0
20051117,11.5,11.8,11.5,11.8,141690,0
20051118,11.9,12,11.6,11.85,103753,0
20051121,11.9,11.95,11.7,11.85,113562,0
20051122,11.75,11.95,11.7,11.8,120457,0
20051123,11.7,12,11.7,11.85,122928,0
20051125,11.95,11.95,11.7,11.7,37300,0
20051128,11.85,11.85,11.25,11.4,125770,0
20051129,11.35,11.5,11.25,11.3,109347,0
20051130,11.3,11.3,10.9,11.05,261227,0
20051201,11.2,11.25,10.8,11,275555,0
20051202,11,11.35,11,11.35,259394,0
20051205,11.3,11.5,11.1,11.2,140357,0
20051206,11.15,11.5,11.1,11.4,193771,0
20051207,11.5,11.6,11.1,11.1,164468,0
20051208,11.05,11.25,11,11.2,154732,0
20051209,11.2,11.2,10.8,10.85,187892,0
20051212,10.8,11.05,10.65,11,342464,0
20051213,10.9,11,10.8,10.8,113363,0
