Date,Open,High,Low,Close,Volume,OpenInt
19900326,2.5668,2.6155,2.5668,2.6155,22131,0
19900328,2.6155,2.6349,2.5668,2.6155,47544,0
19900329,2.6349,2.6349,2.6155,2.6155,27052,0
19900330,2.5668,2.5668,2.5668,2.5668,817,0
19900402,2.6252,2.6252,2.6155,2.6155,73777,0
19900404,2.6838,2.6838,2.5862,2.5862,67217,0
19900405,2.6349,2.6349,2.5862,2.5862,100828,0
19900406,2.5862,2.5862,2.5471,2.5471,292646,0
19900409,2.5471,2.5471,2.5471,2.5471,10657,0
19900410,2.5862,2.5862,2.5471,2.5471,6556,0
19900411,2.5862,2.6155,2.5471,2.6155,175423,0
19900412,2.5862,2.6349,2.5862,2.5862,54923,0
19900416,2.5862,2.6252,2.5862,2.6155,34428,0
19900417,2.5862,2.6155,2.5862,2.5862,73777,0
19900418,2.6349,2.6446,2.5862,2.6349,264775,0
19900419,2.6349,2.6349,2.5862,2.6252,452494,0
19900420,2.6349,2.6349,2.5668,2.5862,127879,0
19900423,2.5668,2.6155,2.5668,2.6155,18853,0
19900424,2.6057,2.6057,2.5862,2.5862,16395,0
19900425,2.6155,2.6155,2.5862,2.6057,1972289,0
19900426,2.7327,2.7327,2.7327,2.7327,1638,0
19900427,2.6155,2.7327,2.6155,2.6645,20493,0
19900430,2.7327,2.7813,2.7327,2.7813,20493,0
19900501,2.6645,2.801,2.6645,2.7522,135259,0
19900502,2.801,2.8495,2.7813,2.8495,89352,0
19900503,2.7813,2.8495,2.7327,2.7327,163947,0
19900504,2.8301,2.8301,2.7327,2.7424,74595,0
19900507,2.7327,2.7424,2.7327,2.7424,7376,0
19900508,2.7327,2.7327,2.7327,2.7327,58201,0
19900509,2.7327,2.7522,2.6349,2.7131,30332,0
19900510,2.6349,2.6741,2.6349,2.6741,142634,0
19900511,2.6741,2.6838,2.6349,2.6741,39348,0
19900514,2.6741,2.7522,2.6349,2.7522,31148,0
19900515,2.6349,2.7522,2.6349,2.6645,22131,0
19900516,2.6645,2.6838,2.6645,2.6838,46724,0
19900517,2.6645,2.6935,2.6645,2.6838,118043,0
19900518,2.6645,2.7227,2.6645,2.6645,20493,0
19900521,2.6645,2.6838,2.6645,2.6645,13117,0
19900522,2.7327,2.7327,2.6838,2.6838,12295,0
19900523,2.6838,2.6838,2.6838,2.6838,1638,0
19900524,2.6838,2.6838,2.6838,2.6838,9019,0
19900525,2.6838,2.6838,2.6838,2.6838,817,0
19900529,2.6838,2.6838,2.6838,2.6838,4100,0
19900530,2.6838,2.7327,2.6838,2.6935,57382,0
19900531,2.7424,2.7813,2.7227,2.7813,22131,0
19900601,2.6838,2.6838,2.6838,2.6838,16395,0
19900604,2.6838,2.6838,2.6838,2.6838,11478,0
19900605,2.6838,2.7227,2.6838,2.7131,26232,0
19900606,2.7131,2.7522,2.7131,2.7522,68859,0
19900607,2.7327,2.801,2.7327,2.801,3280,0
19900608,2.7131,2.7227,2.7131,2.7131,9837,0
19900611,2.7131,2.7327,2.7131,2.7327,11478,0
19900612,2.7131,2.7131,2.7131,2.7131,8194,0
19900613,2.7327,2.7522,2.7327,2.7327,87710,0
19900614,2.7424,2.7424,2.7424,2.7424,5738,0
19900615,2.7327,2.801,2.7327,2.7327,16395,0
19900618,2.7327,2.801,2.7327,2.7715,74595,0
19900619,2.7327,2.7327,2.7131,2.7227,81154,0
19900620,2.7131,2.7327,2.6838,2.6838,100010,0
19900621,2.6645,2.7327,2.6645,2.7227,8194,0
19900622,2.7227,2.7227,2.6645,2.6645,38528,0
19900625,2.6645,2.6935,2.6645,2.6645,81971,0
19900626,2.6645,2.6741,2.6645,2.6741,116401,0
19900627,2.7327,2.7327,2.6645,2.6645,13934,0
19900628,2.6645,2.6645,2.6645,2.6645,1638,0
19900629,2.6645,2.7327,2.6645,2.6935,16395,0
19900702,2.6838,2.7327,2.6645,2.6645,29510,0
19900703,2.7327,2.7327,2.7327,2.7327,9019,0
19900705,2.6349,2.7131,2.6349,2.6349,3280,0
19900706,2.7131,2.7327,2.7131,2.7327,7376,0
19900709,2.7131,2.7131,2.5862,2.5862,61481,0
19900710,2.5862,2.6838,2.5862,2.6838,19674,0
19900711,2.6838,2.6838,2.6155,2.6155,98367,0
19900712,2.6155,2.7131,2.6155,2.7131,131977,0
19900713,2.7131,2.7131,2.6349,2.6349,23775,0
19900716,2.6349,2.7131,2.6349,2.6349,31971,0
19900717,2.6349,2.6645,2.6349,2.6645,18035,0
19900718,2.6349,2.6349,2.6349,2.6349,817,0
19900720,2.7131,2.7131,2.6349,2.6349,5738,0
19900723,2.6645,2.6838,2.6645,2.6838,85253,0
19900724,2.7131,2.7131,2.6645,2.6645,36887,0
19900725,2.6645,2.6838,2.6645,2.6645,42624,0
19900726,2.6645,2.6741,2.6645,2.6741,41806,0
19900727,2.7327,2.7327,2.7327,2.7327,817,0
19900730,2.7131,2.7522,2.6838,2.7522,26232,0
19900731,2.7522,2.8495,2.7522,2.8109,374619,0
19900801,2.8691,2.8691,2.7813,2.8109,53282,0
19900802,2.7813,2.8495,2.7813,2.8495,309861,0
19900803,2.801,2.801,2.7327,2.801,362323,0
19900806,2.7813,2.7813,2.6446,2.6838,422165,0
19900807,2.6349,2.7327,2.6349,2.6349,5738,0
19900810,2.6155,2.6349,2.5862,2.6349,38528,0
19900813,2.5862,2.6155,2.5862,2.6057,172964,0
19900814,2.6349,2.6349,2.5668,2.5668,6556,0
19900815,2.5668,2.5862,2.5668,2.5862,43446,0
19900816,2.5668,2.5668,2.5668,2.5668,4100,0
19900817,2.5668,2.5763,2.5471,2.5471,34428,0
19900820,2.5668,2.5668,2.5668,2.5668,2456,0
19900821,2.557,2.6155,2.5471,2.5471,63118,0
19900822,2.4983,2.4983,2.4983,2.4983,12295,0
19900823,2.4983,2.4983,2.3521,2.3521,98367,0
19900824,2.3031,2.4495,2.3031,2.4495,49185,0
19900827,2.4495,2.4495,2.3815,2.3815,5738,0
19900828,2.4495,2.4495,2.3521,2.3521,82795,0
19900829,2.4009,2.4009,2.3815,2.3815,10657,0
19900830,2.3815,2.3815,2.3815,2.3815,4918,0
19900831,2.3815,2.3815,2.3521,2.3521,7376,0
19900904,2.3521,2.3521,2.3521,2.3521,1638,0
19900905,2.4009,2.4495,2.3521,2.3521,29510,0
19900906,2.4495,2.4495,2.3521,2.3521,19674,0
19900907,2.3815,2.3815,2.3815,2.3815,12295,0
19900910,2.4495,2.4495,2.3716,2.3716,10657,0
19900911,2.3521,2.3521,2.3521,2.3521,817,0
19900912,2.3521,2.3521,2.3521,2.3521,4100,0
19900914,2.3521,2.3521,2.3521,2.3521,9837,0
19900917,2.4495,2.4495,2.3521,2.3521,12295,0
19900918,2.3521,2.4495,2.3521,2.3521,30332,0
19900920,2.4009,2.4009,2.3815,2.3815,5738,0
19900924,2.3521,2.4009,2.3521,2.3521,671364,0
19900925,2.3909,2.4299,2.3617,2.3617,35249,0
19900926,2.4593,2.4593,2.4106,2.4396,55741,0
19900927,2.4396,2.4396,2.3617,2.3617,170507,0
19900928,2.3617,2.4396,2.3421,2.3815,49185,0
19901001,2.3617,2.4106,2.3617,2.3617,133615,0
19901002,2.4106,2.4593,2.4106,2.4106,15576,0
19901003,2.3909,2.3909,2.3909,2.3909,817,0
19901004,2.3909,2.3909,2.3909,2.3909,9019,0
19901005,2.3909,2.3909,2.3909,2.3909,4918,0
19901008,2.3909,2.3909,2.3909,2.3909,6556,0
19901009,2.3909,2.4593,2.3909,2.3909,68037,0
