Date,Open,High,Low,Close,Volume,OpenInt
20150312,2.34,2.34,2.308,2.308,3300,0
20150313,2.3,2.3,2.26,2.26,1900,0
20150317,2.26,2.26,2.26,2.26,1200,0
20150318,2.15,2.15,2.15,2.15,25000,0
20150319,2.3,2.3,2.15,2.15,26200,0
20150330,2.2,2.2,2.2,2.2,25000,0
20150401,2.21,2.3,2.2,2.3,25200,0
20150406,2.37,2.37,2.37,2.37,25000,0
20150407,2.3,2.3,2.15,2.16,33339,0
20150408,2.35,2.35,2.2,2.2,43278,0
20150415,2.3,2.3,2.3,2.3,14603,0
20150416,2.38,2.38,2.38,2.38,300,0
20150428,2.44,2.45,2.44,2.45,7110,0
20150429,2.45,2.5,2.45,2.5,12400,0
20150430,2.4,2.4,2.4,2.4,500,0
20150505,2.5,2.5,2.5,2.5,6000,0
20150506,2.53,2.53,2.53,2.53,200,0
20150507,2.57,2.57,2.57,2.57,1900,0
20150508,2.5,2.5,2.5,2.5,3500,0
20150513,2.5,2.5,2.42,2.42,8300,0
20150520,2.3,2.3,2.3,2.3,600,0
20150601,2.3601,2.3601,2.36,2.36,400,0
20150602,2.85,2.9,2.85,2.9,4948,0
20150603,2.7601,2.9,2.7601,2.9,7606,0
20150605,2.89,2.9,2.89,2.9,400,0
20150608,2.46,2.46,2.46,2.46,625,0
20150609,3.17,3.18,3.17,3.18,3787,0
20150610,3.35,3.54,3.35,3.49,8500,0
20150611,3.35,3.35,3.35,3.35,100,0
20150612,3.4538,3.4538,3.4538,3.4538,100,0
20150615,3.33,3.333,3.32,3.333,4044,0
20150616,3.49,3.5,3.47,3.47,18122,0
20150617,3.5,3.5,3.41,3.42,1400,0
20150618,3.5,3.6,3.49,3.6,30383,0
20150625,3.5,3.5,3.5,3.5,3095,0
20150710,3.15,3.15,3.15,3.15,3000,0
20150722,3.45,3.6,3.45,3.6,9900,0
20150723,3.65,3.65,3.51,3.51,7636,0
20150803,2.69,2.69,2.69,2.69,400,0
20150810,3.13,3.13,3.13,3.13,600,0
20150811,3,3,3,3,10116,0
20150819,2.8,2.8,2.8,2.8,4000,0
20150824,2.01,2.01,2,2,5600,0
20150825,2.01,2.04,2,2,1800,0
20150828,1.91,1.91,1.91,1.91,106,0
20150901,2.001,2.02,1.98,2.02,26900,0
20150915,2.44,2.45,2.26,2.41,101445,0
20150916,2.8,2.8,2.338,2.4006,2295,0
20150918,1.95,1.95,1.93,1.93,200,0
20150930,1.92,1.95,1.92,1.95,64894,0
20151002,2.1,2.1,1.85,2.06,15870,0
20151022,2.31,2.31,2.23,2.23,1000,0
20151023,2.31,2.31,2.31,2.31,2152,0
20151106,3.18,3.74,2.343,3.148,57255,0
20151109,3.15,3.15,2,3.149,2319,0
20151119,2.68,2.68,2.68,2.68,150,0
20151130,2.2584,2.65,2.2584,2.65,900,0
20151201,2.72,2.83,2.65,2.83,9800,0
20151204,3.45,3.45,2.65,2.65,7576,0
20151207,2.32,2.32,2.31,2.31,1582,0
20151208,2.44,2.44,2.44,2.44,1200,0
20151211,2.3,2.3,2.3,2.3,100,0
20151214,2.3,2.3,2.3,2.3,400,0
20151229,2.21,2.21,2.21,2.21,5560,0
20160106,1.99,1.99,1.7,1.75,6300,0
20160107,1.55,1.55,1.32,1.32,27628,0
20160108,1.4,1.4,1.4,1.4,400,0
20160111,1.2,1.2,1.15,1.15,2500,0
20160113,0.95,0.95,0.95,0.95,100,0
20160114,1,1,1,1,200,0
20160115,0.95,0.95,0.759,0.759,6515,0
20160119,0.7,0.7,0.7,0.7,0,0
20160129,0.91,0.91,0.91,0.91,200,0
20160202,0.71,0.71,0.71,0.71,5000,0
20160208,1.41,1.41,1.41,1.41,100,0
20160211,0.45,0.61,0.45,0.61,14700,0
20160212,0.7,0.7,0.7,0.7,5000,0
20160303,0.91,1.1,0.74,0.9,62800,0
20160304,1.08,1.1899,0.91,1.1001,900,0
20160308,0.98,0.98,0.97,0.97,1300,0
20160309,0.88,1.08,0.85,0.85,5599,0
20160310,1.43,1.43,1.43,1.43,641,0
20160317,1.25,1.25,1.25,1.25,917,0
20160318,1.11,1.25,1.11,1.25,2141,0
20160324,1.36,1.36,1.36,1.36,200,0
